Player,Game Week,Position,Team,League,Minutes,Rating
Jack Stephens,J2,DF,Southampton,Premier League,90.0,6.75
Jan Bednarek,J2,DF,Southampton,Premier League,90.0,7.06
Taylor Harwood-Bellis,J2,DF,Southampton,Premier League,75.0,5.7
Chris Wood,J2,FW,Nott'ham Forest,Premier League,75.0,6.53
Callum Hudson-Odoi,J2,MO,Nott'ham Forest,Premier League,89.0,7.07
Anthony Elanga,J2,MO,Nott'ham Forest,Premier League,90.0,7.07
Morgan Gibbs-White,J2,MO,Nott'ham Forest,Premier League,89.0,7.67
Elliot Anderson,J2,MF,Nott'ham Forest,Premier League,74.0,6.95
Ibrahim Sangaré,J2,MF,Nott'ham Forest,Premier League,65.0,6.32
Ryan Yates,J2,MF,Nott'ham Forest,Premier League,25.0,5.82
Ola Aina,J2,DF,Nott'ham Forest,Premier League,90.0,6.65
Murillo,J2,DF,Nott'ham Forest,Premier League,90.0,5.76
Nikola Milenković,J2,DF,Nott'ham Forest,Premier League,90.0,6.27
Neco Williams,J2,DF,Nott'ham Forest,Premier League,90.0,7.06
Son Heung-min,J2,FW,Tottenham,Premier League,90.0,8.01
Wilson Odobert,J2,MO,Tottenham,Premier League,66.0,6.52
Richarlison,J2,FW,Tottenham,Premier League,24.0,5.62
Brennan Johnson,J2,MO,Tottenham,Premier League,90.0,6.02
James Maddison,J2,MO,Tottenham,Premier League,78.0,7.49
Yves Bissouma,J2,MF,Tottenham,Premier League,72.0,7.44
Dejan Kulusevski,J2,MO,Tottenham,Premier League,66.0,6.96
Pape Matar Sarr,J2,MO,Tottenham,Premier League,24.0,5.48
Destiny Udogie,J2,DF,Tottenham,Premier League,72.0,6.06
Micky van de Ven,J2,DF,Tottenham,Premier League,90.0,6.65
Cristian Romero,J2,DF,Tottenham,Premier League,90.0,8.36
Pedro Porro,J2,DF,Tottenham,Premier League,90.0,7.36
Dominic Calvert-Lewin,J2,FW,Everton,Premier League,71.0,5.52
Dwight McNeil,J2,MO,Everton,Premier League,90.0,6.83
Jack Harrison,J2,MO,Everton,Premier League,56.0,5.87
Jesper Lindstrøm,J2,MO,Everton,Premier League,34.0,5.83
Abdoulaye Doucouré,J2,MO,Everton,Premier League,56.0,5.5
Iliman Ndiaye,J2,MO,Everton,Premier League,34.0,6.04
Idrissa Gana Gueye,J2,MF,Everton,Premier League,89.0,6.42
Tim Iroegbunam,J2,MF,Everton,Premier League,90.0,4.91
Vitaliy Mykolenko,J2,DF,Everton,Premier League,90.0,6.83
Michael Keane,J2,DF,Everton,Premier League,90.0,7.09
James Tarkowski,J2,DF,Everton,Premier League,90.0,6.34
Roman Dixon,J2,DF,Everton,Premier League,90.0,6.57
Rodrigo Muniz,J2,FW,Fulham,Premier League,79.0,6.76
Alex Iwobi,J2,MO,Fulham,Premier League,90.0,7.41
Adama Traoré,J2,MO,Fulham,Premier League,68.0,7.6
Tom Cairney,J2,MO,Fulham,Premier League,22.0,5.82
Emile Smith Rowe,J2,MO,Fulham,Premier League,68.0,7.05
Harry Wilson,J2,MO,Fulham,Premier League,22.0,6.29
Saša Lukić,J2,MF,Fulham,Premier League,90.0,6.93
Andreas Pereira,J2,MF,Fulham,Premier League,85.0,7.14
Antonee Robinson,J2,DF,Fulham,Premier League,90.0,7.47
Calvin Bassey,J2,DF,Fulham,Premier League,90.0,5.94
Issa Diop,J2,DF,Fulham,Premier League,90.0,5.42
Kenny Tete,J2,DF,Fulham,Premier League,90.0,6.88
Jamie Vardy,J2,FW,Leicester City,Premier League,70.0,5.63
Stephy Mavididi,J2,FW,Leicester City,Premier League,20.0,5.39
Bobby De Cordova-Reid,J2,MO,Leicester City,Premier League,62.0,5.64
Jordan Ayew,J2,MO,Leicester City,Premier League,28.0,6.43
Abdul Fatawu Issahaku,J2,MO,Leicester City,Premier League,90.0,6.29
Facundo Buonanotte,J2,MO,Leicester City,Premier League,70.0,6.31
Oliver Skipp,J2,MO,Leicester City,Premier League,20.0,5.66
Wilfred Ndidi,J2,MF,Leicester City,Premier League,90.0,7.0
Harry Winks,J2,MF,Leicester City,Premier League,90.0,6.29
Victor Bernth Kristiansen,J2,DF,Leicester City,Premier League,84.0,7.24
