Player,Game Week,Position,Team,League,Minutes,Rating
Pierluigi Gollini,J1,GK,Genoa,Italian Serie A,90,6.79
Yann Sommer,J1,GK,Inter,Italian Serie A,90,6.04
Michele Di Gregorio,J1,GK,Juventus,Italian Serie A,90,7.05
Pepe Reina,J1,GK,Como,Italian Serie A,90,5.48
Federico Ravaglia,J11,GK,Bologna,Italian Serie A,90,6.91
Wladimiro Falcone,J11,GK,Lecce,Italian Serie A,90,6.72
Robert Sánchez,J1,GK,Chelsea,English Premier League,90,5.67
Ederson,J1,GK,Manchester City,English Premier League,90,7.57
Mads Hermansen,J1,GK,Leicester City,English Premier League,90,6.83
Guglielmo Vicario,J1,GK,Tottenham,English Premier League,90,6.67
Jason Steele,J2,GK,Brighton,English Premier League,90,6.46
André Onana,J2,GK,Manchester Utd,English Premier League,90,6.51
Ederson,J2,GK,Manchester City,English Premier League,90,5.83
Arijanet Muric,J2,GK,Ipswich Town,English Premier League,90,5.42
Alex McCarthy,J2,GK,Southampton,English Premier League,90,6.81
Matz Sels,J2,GK,Nott'ham Forest,English Premier League,90,7.19
Guglielmo Vicario,J2,GK,Tottenham,English Premier League,90,6.99
Jordan Pickford,J2,GK,Everton,English Premier League,90,5.46
Bernd Leno,J2,GK,Fulham,English Premier League,90,7.14
Mads Hermansen,J2,GK,Leicester City,English Premier League,90,6.13
Dean Henderson,J2,GK,Crystal Palace,English Premier League,90,5.42
Alphonse Areola,J2,GK,West Ham,English Premier League,90,7.51
Emiliano Martínez,J2,GK,Aston Villa,English Premier League,90,5.78
David Raya,J2,GK,Arsenal,English Premier League,90,7.47
José Sá,J2,GK,Wolves,English Premier League,90,5.21
Robert Sánchez,J2,GK,Chelsea,English Premier League,90,5.87
Maduka Okoye,J11,GK,Udinese,Italian Serie A,90,6.73
Michele Di Gregorio,J11,GK,Juventus,Italian Serie A,90,7.43
Neto,J2,GK,Bournemouth,English Premier League,90,7.31
Nick Pope,J2,GK,Newcastle Utd,English Premier League,90,6.81
Alisson,J2,GK,Liverpool,English Premier League,90,7.43
Mark Flekken,J2,GK,Brentford,English Premier League,90,6.7
David Raya,J3,GK,Arsenal,English Premier League,90,6.59
Bart Verbruggen,J3,GK,Brighton,English Premier League,90,7.04
Arijanet Muric,J3,GK,Ipswich Town,English Premier League,90,6.63
Bernd Leno,J3,GK,Fulham,English Premier League,90,6.23
Matz Sels,J3,GK,Nott'ham Forest,English Premier League,90,6.1
Sam Johnstone,J3,GK,Wolves,English Premier League,90,7.06
Mark Flekken,J3,GK,Brentford,English Premier League,90,6.39
Aaron Ramsdale,J3,GK,Southampton,English Premier League,90,6.12
Mads Hermansen,J3,GK,Leicester City,English Premier League,90,6.28
Emiliano Martínez,J3,GK,Aston Villa,English Premier League,90,6.53
Jordan Pickford,J3,GK,Everton,English Premier League,90,5.85
Kepa Arrizabalaga,J3,GK,Bournemouth,English Premier League,90,5.78
Alphonse Areola,J3,GK,West Ham,English Premier League,45,5.87
Łukasz Fabiański,J3,GK,West Ham,English Premier League,45,6.27
Ederson,J3,GK,Manchester City,English Premier League,90,6.05
Nick Pope,J3,GK,Newcastle Utd,English Premier League,90,7.01
Guglielmo Vicario,J3,GK,Tottenham,English Premier League,90,6.09
Stefano Turati,J11,GK,Monza,Italian Serie A,90,6.97
Mike Maignan,J11,GK,Milan,Italian Serie A,90,7.31
Robert Sánchez,J3,GK,Chelsea,English Premier League,90,6.69
Dean Henderson,J3,GK,Crystal Palace,English Premier League,90,7.23
André Onana,J3,GK,Manchester Utd,English Premier League,90,5.46
Alisson,J3,GK,Liverpool,English Premier League,90,7.49
Aaron Ramsdale,J4,GK,Southampton,English Premier League,90,6.54
André Onana,J4,GK,Manchester Utd,English Premier League,90,7.32
Ederson,J4,GK,Manchester City,English Premier League,90,7.06
Mark Flekken,J4,GK,Brentford,English Premier League,90,6.61
Alisson,J4,GK,Liverpool,English Premier League,90,6.06
Matz Sels,J4,GK,Nott'ham Forest,English Premier League,90,7.72
Dean Henderson,J4,GK,Crystal Palace,English Premier League,90,6.18
Mads Hermansen,J4,GK,Leicester City,English Premier League,90,6.18
Bernd Leno,J4,GK,Fulham,English Premier League,90,6.29
Alphonse Areola,J4,GK,West Ham,English Premier League,90,6.21
Bart Verbruggen,J4,GK,Brighton,English Premier League,90,7.09
Arijanet Muric,J4,GK,Ipswich Town,English Premier League,90,7.91
Emiliano Martínez,J4,GK,Aston Villa,English Premier League,90,5.88
Jordan Pickford,J4,GK,Everton,English Premier League,90,5.79
Mark Travers,J4,GK,Bournemouth,English Premier League,90,6.65
Robert Sánchez,J4,GK,Chelsea,English Premier League,90,7.83
Alex Meret,J11,GK,Napoli,Italian Serie A,90,5.11
Marco Carnesecchi,J11,GK,Atalanta,Italian Serie A,90,7.51
Guglielmo Vicario,J4,GK,Tottenham,English Premier League,90,6.57
David Raya,J4,GK,Arsenal,English Premier League,90,7.68
Sam Johnstone,J4,GK,Wolves,English Premier League,90,6.3
Nick Pope,J4,GK,Newcastle Utd,English Premier League,90,6.75
Alphonse Areola,J5,GK,West Ham,English Premier League,90,5.6
Robert Sánchez,J5,GK,Chelsea,English Premier League,90,7.85
Guglielmo Vicario,J5,GK,Tottenham,English Premier League,90,6.97
Mark Flekken,J5,GK,Brentford,English Premier League,90,5.84
Emiliano Martínez,J5,GK,Aston Villa,English Premier League,90,6.43
Sam Johnstone,J5,GK,Wolves,English Premier League,90,5.32
Bernd Leno,J5,GK,Fulham,English Premier League,90,6.67
Nick Pope,J5,GK,Newcastle Utd,English Premier League,90,5.76
Aaron Ramsdale,J5,GK,Southampton,English Premier League,90,7.15
Arijanet Muric,J5,GK,Ipswich Town,English Premier League,90,6.58
Mads Hermansen,J5,GK,Leicester City,English Premier League,90,6.95
Jordan Pickford,J5,GK,Everton,English Premier League,90,6.76
Caoimhín Kelleher,J5,GK,Liverpool,English Premier League,90,7.67
Kepa Arrizabalaga,J5,GK,Bournemouth,English Premier League,90,6.52
Dean Henderson,J5,GK,Crystal Palace,English Premier League,90,7.96
André Onana,J5,GK,Manchester Utd,English Premier League,90,7.26
Vanja Milinković-Savić,J11,GK,Torino,Italian Serie A,90,6.31
David de Gea,J11,GK,Fiorentina,Italian Serie A,90,7.3
Bart Verbruggen,J5,GK,Brighton,English Premier League,90,6.0
Matz Sels,J5,GK,Nott'ham Forest,English Premier League,90,5.64
Ederson,J5,GK,Manchester City,English Premier League,90,5.72
David Raya,J5,GK,Arsenal,English Premier League,90,6.68
Nick Pope,J6,GK,Newcastle Utd,English Premier League,90,6.77
Ederson,J6,GK,Manchester City,English Premier League,90,6.57
Mark Flekken,J6,GK,Brentford,English Premier League,90,6.84
Alphonse Areola,J6,GK,West Ham,English Premier League,90,6.78
Jordan Pickford,J6,GK,Everton,English Premier League,90,6.73
Dean Henderson,J6,GK,Crystal Palace,English Premier League,90,5.34
David Raya,J6,GK,Arsenal,English Premier League,90,5.39
Mads Hermansen,J6,GK,Leicester City,English Premier League,90,6.74
Robert Sánchez,J6,GK,Chelsea,English Premier League,90,5.87
Bart Verbruggen,J6,GK,Brighton,English Premier League,90,5.4
Matz Sels,J6,GK,Nott'ham Forest,English Premier League,90,6.05
Bernd Leno,J6,GK,Fulham,English Premier League,90,7.07
Sam Johnstone,J6,GK,Wolves,English Premier League,90,6.21
Alisson,J6,GK,Liverpool,English Premier League,90,6.57
Arijanet Muric,J6,GK,Ipswich Town,English Premier League,90,5.62
Emiliano Martínez,J6,GK,Aston Villa,English Premier League,90,6.59
Lorenzo Montipò,J11,GK,Hellas Verona,Italian Serie A,90,5.81
Mile Svilar,J11,GK,Roma,Italian Serie A,90,5.42
André Onana,J6,GK,Manchester Utd,English Premier League,90,6.39
Guglielmo Vicario,J6,GK,Tottenham,English Premier League,90,7.29
Kepa Arrizabalaga,J6,GK,Bournemouth,English Premier League,90,6.86
Aaron Ramsdale,J6,GK,Southampton,English Premier League,90,5.68
Dean Henderson,J7,GK,Crystal Palace,English Premier League,90,6.09
Alisson,J7,GK,Liverpool,English Premier League,78,6.73
Mark Flekken,J7,GK,Brentford,English Premier League,90,5.65
Sam Johnstone,J7,GK,Wolves,English Premier League,90,5.74
Mads Hermansen,J7,GK,Leicester City,English Premier League,90,7.78
Kepa Arrizabalaga,J7,GK,Bournemouth,English Premier League,90,6.48
Ederson,J7,GK,Manchester City,English Premier League,90,6.3
Bernd Leno,J7,GK,Fulham,English Premier League,90,5.37
Alphonse Areola,J7,GK,West Ham,English Premier League,90,6.43
Arijanet Muric,J7,GK,Ipswich Town,English Premier League,90,5.83
David Raya,J7,GK,Arsenal,English Premier League,90,6.14
Aaron Ramsdale,J7,GK,Southampton,English Premier League,90,5.72
Jordan Pickford,J7,GK,Everton,English Premier League,90,7.59
Nick Pope,J7,GK,Newcastle Utd,English Premier League,90,7.31
Emiliano Martínez,J7,GK,Aston Villa,English Premier League,90,7.67
André Onana,J7,GK,Manchester Utd,English Premier League,90,7.36
Yann Sommer,J11,GK,Inter,Italian Serie A,90,7.5
Filip Stankovic,J11,GK,Venezia,Italian Serie A,90,7.03
Robert Sánchez,J7,GK,Chelsea,English Premier League,90,6.89
Matz Sels,J7,GK,Nott'ham Forest,English Premier League,90,6.99
Bart Verbruggen,J7,GK,Brighton,English Premier League,90,5.66
Guglielmo Vicario,J7,GK,Tottenham,English Premier League,90,5.48
Guglielmo Vicario,J8,GK,Tottenham,English Premier League,90,6.41
Alphonse Areola,J8,GK,West Ham,English Premier League,90,5.72
Bernd Leno,J8,GK,Fulham,English Premier League,90,5.53
Emiliano Martínez,J8,GK,Aston Villa,English Premier League,90,6.85
Arijanet Muric,J8,GK,Ipswich Town,English Premier League,90,6.18
Jordan Pickford,J8,GK,Everton,English Premier League,90,7.27
Aaron Ramsdale,J8,GK,Southampton,English Premier League,90,5.48
Mads Hermansen,J8,GK,Leicester City,English Premier League,90,6.71
André Onana,J8,GK,Manchester Utd,English Premier League,90,6.73
Mark Flekken,J8,GK,Brentford,English Premier League,90,6.15
Nick Pope,J8,GK,Newcastle Utd,English Premier League,90,6.76
Bart Verbruggen,J8,GK,Brighton,English Premier League,90,7.83
Kepa Arrizabalaga,J8,GK,Bournemouth,English Premier League,90,7.51
David Raya,J8,GK,Arsenal,English Premier League,90,6.3
José Sá,J8,GK,Wolves,English Premier League,90,6.36
Ederson,J8,GK,Manchester City,English Premier League,90,6.43
Devis Vásquez,J11,GK,Empoli,Italian Serie A,90,7.56
Pepe Reina,J11,GK,Como,Italian Serie A,90,6.22
Caoimhín Kelleher,J8,GK,Liverpool,English Premier League,90,6.28
Robert Sánchez,J8,GK,Chelsea,English Premier League,90,6.14
Matz Sels,J8,GK,Nott'ham Forest,English Premier League,90,7.56
Dean Henderson,J8,GK,Crystal Palace,English Premier League,90,6.88
Mads Hermansen,J9,GK,Leicester City,English Premier League,90,5.33
Matz Sels,J9,GK,Nott'ham Forest,English Premier League,90,6.58
Bart Verbruggen,J9,GK,Brighton,English Premier League,90,6.06
José Sá,J9,GK,Wolves,English Premier League,90,6.01
Ederson,J9,GK,Manchester City,English Premier League,90,7.01
Aaron Ramsdale,J9,GK,Southampton,English Premier League,90,6.48
Mark Flekken,J9,GK,Brentford,English Premier League,90,5.51
Arijanet Muric,J9,GK,Ipswich Town,English Premier League,90,5.85
Emiliano Martínez,J9,GK,Aston Villa,English Premier League,90,6.82
Mark Travers,J9,GK,Bournemouth,English Premier League,90,7.14
Jordan Pickford,J9,GK,Everton,English Premier League,90,6.72
Bernd Leno,J9,GK,Fulham,English Premier League,90,6.89
Łukasz Fabiański,J9,GK,West Ham,English Premier League,90,7.23
André Onana,J9,GK,Manchester Utd,English Premier League,90,6.05
Robert Sánchez,J9,GK,Chelsea,English Premier League,90,6.67
Nick Pope,J9,GK,Newcastle Utd,English Premier League,90,6.28
Zion Suzuki,J11,GK,Parma,Italian Serie A,90,6.78
Nicola Leali,J11,GK,Genoa,Italian Serie A,90,7.2
Dean Henderson,J9,GK,Crystal Palace,English Premier League,90,7.67
Guglielmo Vicario,J9,GK,Tottenham,English Premier League,90,6.9
David Raya,J9,GK,Arsenal,English Premier League,90,6.21
Caoimhín Kelleher,J9,GK,Liverpool,English Premier League,90,5.93
Nick Pope,J10,GK,Newcastle Utd,English Premier League,90,7.04
David Raya,J10,GK,Arsenal,English Premier League,90,6.91
Caoimhín Kelleher,J10,GK,Liverpool,English Premier League,90,6.11
Bart Verbruggen,J10,GK,Brighton,English Premier League,90,6.02
Aaron Ramsdale,J10,GK,Southampton,English Premier League,90,7.77
Jordan Pickford,J10,GK,Everton,English Premier League,90,6.19
Matz Sels,J10,GK,Nott'ham Forest,English Premier League,90,7.01
Łukasz Fabiański,J10,GK,West Ham,English Premier League,90,5.9
Arijanet Muric,J10,GK,Ipswich Town,English Premier League,90,6.67
Mads Hermansen,J10,GK,Leicester City,English Premier League,90,6.13
Mark Travers,J10,GK,Bournemouth,English Premier League,90,6.97
Ederson,J10,GK,Manchester City,English Premier League,90,6.6
José Sá,J10,GK,Wolves,English Premier League,90,6.71
Dean Henderson,J10,GK,Crystal Palace,English Premier League,90,6.01
Guglielmo Vicario,J10,GK,Tottenham,English Premier League,90,6.52
Emiliano Martínez,J10,GK,Aston Villa,English Premier League,90,5.6
Ivan Provedel,J11,GK,Lazio,Italian Serie A,90,6.18
Simone Scuffet,J11,GK,Cagliari,Italian Serie A,90,6.15
André Onana,J10,GK,Manchester Utd,English Premier League,90,6.37
Robert Sánchez,J10,GK,Chelsea,English Premier League,90,6.37
Bernd Leno,J10,GK,Fulham,English Premier League,90,6.05
Mark Flekken,J10,GK,Brentford,English Premier League,90,6.66
Łukasz Fabiański,J11,GK,West Ham,English Premier League,90,7.64
Jordan Pickford,J11,GK,Everton,English Premier League,90,7.77
Dean Henderson,J11,GK,Crystal Palace,English Premier League,90,5.86
Bernd Leno,J11,GK,Fulham,English Premier League,90,7.55
José Sá,J11,GK,Wolves,English Premier League,90,6.96
Aaron Ramsdale,J11,GK,Southampton,English Premier League,90,5.74
Mark Flekken,J11,GK,Brentford,English Premier League,90,6.13
Kepa Arrizabalaga,J11,GK,Bournemouth,English Premier League,90,5.56
Bart Verbruggen,J11,GK,Brighton,English Premier League,90,7.16
Ederson,J11,GK,Manchester City,English Premier League,90,6.26
Caoimhín Kelleher,J11,GK,Liverpool,English Premier League,90,7.43
Emiliano Martínez,J11,GK,Aston Villa,English Premier League,90,5.71
Guglielmo Vicario,J11,GK,Tottenham,English Premier League,90,6.33
Arijanet Muric,J11,GK,Ipswich Town,English Premier League,90,7.11
Matz Sels,J11,GK,Nott'ham Forest,English Premier League,90,5.77
Nick Pope,J11,GK,Newcastle Utd,English Premier League,90,6.61
Maduka Okoye,J2,GK,Udinese,Italian Serie A,90,6.97
Ivan Provedel,J2,GK,Lazio,Italian Serie A,90,5.82
Nicola Leali,J12,GK,Genoa,Italian Serie A,90,7.11
Pepe Reina,J12,GK,Como,Italian Serie A,90,6.74
André Onana,J11,GK,Manchester Utd,English Premier League,90,7.56
Mads Hermansen,J11,GK,Leicester City,English Premier League,90,5.26
Robert Sánchez,J11,GK,Chelsea,English Premier League,90,6.44
David Raya,J11,GK,Arsenal,English Premier League,90,6.48
Mads Hermansen,J12,GK,Leicester City,English Premier League,90,6.39
Robert Sánchez,J12,GK,Chelsea,English Premier League,90,6.09
Emiliano Martínez,J12,GK,Aston Villa,English Premier League,90,5.91
Dean Henderson,J12,GK,Crystal Palace,English Premier League,90,6.42
Bernd Leno,J12,GK,Fulham,English Premier League,90,4.99
José Sá,J12,GK,Wolves,English Premier League,90,6.44
Kepa Arrizabalaga,J12,GK,Bournemouth,English Premier League,90,5.92
Bart Verbruggen,J12,GK,Brighton,English Premier League,90,7.1
David Raya,J12,GK,Arsenal,English Premier League,90,7.0
Matz Sels,J12,GK,Nott'ham Forest,English Premier League,90,5.42
Jordan Pickford,J12,GK,Everton,English Premier League,90,7.15
Mark Flekken,J12,GK,Brentford,English Premier League,90,7.77
Ederson,J12,GK,Manchester City,English Premier League,90,5.34
Guglielmo Vicario,J12,GK,Tottenham,English Premier League,90,7.65
Alex McCarthy,J12,GK,Southampton,English Premier League,90,6.48
Caoimhín Kelleher,J12,GK,Liverpool,English Premier League,90,5.84
Wladimiro Falcone,J12,GK,Lecce,Italian Serie A,90,6.07
Devis Vásquez,J12,GK,Empoli,Italian Serie A,90,6.59
Arijanet Muric,J12,GK,Ipswich Town,English Premier League,90,6.83
André Onana,J12,GK,Manchester Utd,English Premier League,90,6.8
Nick Pope,J12,GK,Newcastle Utd,English Premier League,90,5.81
Łukasz Fabiański,J12,GK,West Ham,English Premier League,90,7.47
Bart Verbruggen,J13,GK,Brighton,English Premier League,90,6.12
Joe Lumley,J13,GK,Southampton,English Premier League,90,6.3
José Sá,J13,GK,Wolves,English Premier League,90,5.53
Kepa Arrizabalaga,J13,GK,Bournemouth,English Premier League,90,5.8
Matz Sels,J13,GK,Nott'ham Forest,English Premier League,90,7.33
Arijanet Muric,J13,GK,Ipswich Town,English Premier League,90,6.95
Mark Flekken,J13,GK,Brentford,English Premier League,90,6.55
Mads Hermansen,J13,GK,Leicester City,English Premier League,90,5.69
Dean Henderson,J13,GK,Crystal Palace,English Premier League,90,5.9
Nick Pope,J13,GK,Newcastle Utd,English Premier League,90,6.6
Łukasz Fabiański,J13,GK,West Ham,English Premier League,90,5.37
David Raya,J13,GK,Arsenal,English Premier League,90,6.36
André Onana,J13,GK,Manchester Utd,English Premier League,90,7.0
Jordan Pickford,J13,GK,Everton,English Premier League,90,5.24
Fraser Forster,J13,GK,Tottenham,English Premier League,90,6.8
Bernd Leno,J13,GK,Fulham,English Premier League,90,6.75
Filip Stankovic,J12,GK,Venezia,Italian Serie A,90,5.55
Zion Suzuki,J12,GK,Parma,Italian Serie A,90,7.14
Robert Sánchez,J13,GK,Chelsea,English Premier League,90,7.6
Emiliano Martínez,J13,GK,Aston Villa,English Premier League,45,5.71
Robin Olsen,J13,GK,Aston Villa,English Premier League,45,6.17
Caoimhín Kelleher,J13,GK,Liverpool,English Premier League,90,7.37
Stefan Ortega,J13,GK,Manchester City,English Premier League,90,6.31
Arijanet Muric,J14,GK,Ipswich Town,English Premier League,90,6.73
Dean Henderson,J14,GK,Crystal Palace,English Premier League,90,7.62
Mads Hermansen,J14,GK,Leicester City,English Premier League,90,7.28
Łukasz Fabiański,J14,GK,West Ham,English Premier League,90,5.73
Nick Pope,J14,GK,Newcastle Utd,English Premier League,90,6.37
Caoimhín Kelleher,J14,GK,Liverpool,English Premier League,90,5.76
Jordan Pickford,J14,GK,Everton,English Premier League,90,7.46
José Sá,J14,GK,Wolves,English Premier League,90,5.11
Stefan Ortega,J14,GK,Manchester City,English Premier League,90,7.31
Matz Sels,J14,GK,Nott'ham Forest,English Premier League,90,6.09
Joe Lumley,J14,GK,Southampton,English Premier League,90,6.21
Filip Jørgensen,J14,GK,Chelsea,English Premier League,90,6.81
David Raya,J14,GK,Arsenal,English Premier League,90,7.35
André Onana,J14,GK,Manchester Utd,English Premier League,90,6.65
Emiliano Martínez,J14,GK,Aston Villa,English Premier League,90,6.43
Mark Flekken,J14,GK,Brentford,English Premier League,90,6.51
Alen Sherri,J12,GK,Cagliari,Italian Serie A,90,5.76
Mike Maignan,J12,GK,Milan,Italian Serie A,90,5.44
Bernd Leno,J14,GK,Fulham,English Premier League,90,6.31
Bart Verbruggen,J14,GK,Brighton,English Premier League,90,5.07
Kepa Arrizabalaga,J14,GK,Bournemouth,English Premier League,90,7.57
Fraser Forster,J14,GK,Tottenham,English Premier League,90,6.66
Emiliano Martínez,J15,GK,Aston Villa,English Premier League,90,6.79
Joe Lumley,J15,GK,Southampton,English Premier League,90,7.03
Dean Henderson,J15,GK,Crystal Palace,English Premier League,90,6.49
Stefan Ortega,J15,GK,Manchester City,English Premier League,90,5.74
Mark Flekken,J15,GK,Brentford,English Premier League,90,5.96
Nick Pope,J15,GK,Newcastle Utd,English Premier League,90,5.38
André Onana,J15,GK,Manchester Utd,English Premier League,90,5.19
Matz Sels,J15,GK,Nott'ham Forest,English Premier League,90,6.21
Mads Hermansen,J15,GK,Leicester City,English Premier League,90,6.8
Bart Verbruggen,J15,GK,Brighton,English Premier League,90,5.77
Arijanet Muric,J15,GK,Ipswich Town,English Premier League,90,6.48
Kepa Arrizabalaga,J15,GK,Bournemouth,English Premier League,90,6.72
Bernd Leno,J15,GK,Fulham,English Premier League,90,6.96
David Raya,J15,GK,Arsenal,English Premier League,90,6.19
Fraser Forster,J15,GK,Tottenham,English Premier League,90,5.88
Robert Sánchez,J15,GK,Chelsea,English Premier League,90,5.36
Mattia Perin,J12,GK,Juventus,Italian Serie A,90,7.19
Vanja Milinković-Savić,J12,GK,Torino,Italian Serie A,90,6.18
Łukasz Fabiański,J15,GK,West Ham,English Premier League,90,6.82
Sam Johnstone,J15,GK,Wolves,English Premier League,90,5.9
Alisson,J16,GK,Liverpool,English Premier League,90,6.09
Bernd Leno,J16,GK,Fulham,English Premier League,90,6.02
Sam Johnstone,J16,GK,Wolves,English Premier League,90,6.01
Arijanet Muric,J16,GK,Ipswich Town,English Premier League,90,7.07
Martin Dúbravka,J16,GK,Newcastle Utd,English Premier League,90,7.15
Mads Hermansen,J16,GK,Leicester City,English Premier League,45,6.65
Danny Ward,J16,GK,Leicester City,English Premier League,45,5.45
David Raya,J16,GK,Arsenal,English Premier League,90,6.95
Jordan Pickford,J16,GK,Everton,English Premier League,90,7.91
Matz Sels,J16,GK,Nott'ham Forest,English Premier League,90,6.23
Emiliano Martínez,J16,GK,Aston Villa,English Premier League,90,6.15
Bart Verbruggen,J16,GK,Brighton,English Premier League,90,5.49
Dean Henderson,J16,GK,Crystal Palace,English Premier League,90,6.84
Ederson,J16,GK,Manchester City,English Premier League,90,6.16
André Onana,J16,GK,Manchester Utd,English Premier League,90,6.29
Alex McCarthy,J16,GK,Southampton,English Premier League,90,5.29
Fraser Forster,J16,GK,Tottenham,English Premier League,90,7.35
Robert Sánchez,J16,GK,Chelsea,English Premier League,90,7.19
Mark Flekken,J16,GK,Brentford,English Premier League,90,6.12
Marco Carnesecchi,J12,GK,Atalanta,Italian Serie A,90,7.02
Maduka Okoye,J12,GK,Udinese,Italian Serie A,90,6.03
Kepa Arrizabalaga,J16,GK,Bournemouth,English Premier League,90,7.01
Łukasz Fabiański,J16,GK,West Ham,English Premier League,90,7.07
Emiliano Martínez,J17,GK,Aston Villa,English Premier League,90,6.78
Stefan Ortega,J17,GK,Manchester City,English Premier League,90,6.15
Arijanet Muric,J17,GK,Ipswich Town,English Premier League,90,5.42
Martin Dúbravka,J17,GK,Newcastle Utd,English Premier League,90,6.95
Mark Flekken,J17,GK,Brentford,English Premier League,90,5.71
Matz Sels,J17,GK,Nott'ham Forest,English Premier League,90,7.76
Łukasz Fabiański,J17,GK,West Ham,English Premier League,90,7.11
Bart Verbruggen,J17,GK,Brighton,English Premier League,90,6.79
Dean Henderson,J17,GK,Crystal Palace,English Premier League,90,4.91
David Raya,J17,GK,Arsenal,English Premier League,90,7.17
André Onana,J17,GK,Manchester Utd,English Premier League,90,5.8
Kepa Arrizabalaga,J17,GK,Bournemouth,English Premier League,90,7.65
Danny Ward,J17,GK,Leicester City,English Premier League,90,5.34
José Sá,J17,GK,Wolves,English Premier League,90,7.68
Jordan Pickford,J17,GK,Everton,English Premier League,90,7.44
Robert Sánchez,J17,GK,Chelsea,English Premier League,90,7.53
Bernd Leno,J17,GK,Fulham,English Premier League,90,7.05
Aaron Ramsdale,J17,GK,Southampton,English Premier League,90,7.69
David de Gea,J12,GK,Fiorentina,Italian Serie A,90,6.23
Lorenzo Montipò,J12,GK,Hellas Verona,Italian Serie A,90,5.56
Fraser Forster,J17,GK,Tottenham,English Premier League,90,5.4
Alisson,J17,GK,Liverpool,English Premier League,90,5.37
Stefan Ortega,J18,GK,Manchester City,English Premier League,90,6.18
Jordan Pickford,J18,GK,Everton,English Premier League,90,7.21
Aaron Ramsdale,J18,GK,Southampton,English Premier League,90,6.42
Łukasz Fabiański,J18,GK,West Ham,English Premier League,35,6.88
Alphonse Areola,J18,GK,West Ham,English Premier League,55,7.38
Martin Dúbravka,J18,GK,Newcastle Utd,English Premier League,90,7.14
Emiliano Martínez,J18,GK,Aston Villa,English Premier League,90,6.44
Matz Sels,J18,GK,Nott'ham Forest,English Premier League,90,7.74
Fraser Forster,J18,GK,Tottenham,English Premier League,90,6.54
Kepa Arrizabalaga,J18,GK,Bournemouth,English Premier League,90,7.4
Dean Henderson,J18,GK,Crystal Palace,English Premier League,90,7.38
Robert Sánchez,J18,GK,Chelsea,English Premier League,90,6.69
Bernd Leno,J18,GK,Fulham,English Premier League,90,7.02
José Sá,J18,GK,Wolves,English Premier League,90,7.64
André Onana,J18,GK,Manchester Utd,English Premier League,90,5.78
Alisson,J18,GK,Liverpool,English Premier League,90,6.05
Jakub Stolarczyk,J18,GK,Leicester City,English Premier League,90,5.95
Bart Verbruggen,J18,GK,Brighton,English Premier League,90,7.68
Mark Flekken,J18,GK,Brentford,English Premier League,35,7.22
Hákon Rafn Valdimarsson,J18,GK,Brentford,English Premier League,55,7.49
Mile Svilar,J12,GK,Roma,Italian Serie A,90,5.46
Łukasz Skorupski,J12,GK,Bologna,Italian Serie A,90,5.93
David Raya,J18,GK,Arsenal,English Premier League,90,7.13
Arijanet Muric,J18,GK,Ipswich Town,English Premier League,90,6.86
Jakub Stolarczyk,J19,GK,Leicester City,English Premier League,90,5.7
Stefan Ortega,J19,GK,Manchester City,English Premier League,90,7.36
Jordan Pickford,J19,GK,Everton,English Premier League,90,6.25
Matz Sels,J19,GK,Nott'ham Forest,English Premier League,90,7.53
Fraser Forster,J19,GK,Tottenham,English Premier League,90,6.16
José Sá,J19,GK,Wolves,English Premier League,90,5.94
Bernd Leno,J19,GK,Fulham,English Premier League,90,6.46
Kepa Arrizabalaga,J19,GK,Bournemouth,English Premier League,90,6.6
Dean Henderson,J19,GK,Crystal Palace,English Premier League,90,6.75
Aaron Ramsdale,J19,GK,Southampton,English Premier League,90,6.47
Alphonse Areola,J19,GK,West Ham,English Premier League,90,5.55
Alisson,J19,GK,Liverpool,English Premier League,90,6.78
Emiliano Martínez,J19,GK,Aston Villa,English Premier League,90,5.92
Bart Verbruggen,J19,GK,Brighton,English Premier League,90,5.99
Christian Walton,J19,GK,Ipswich Town,English Premier League,90,7.95
Filip Jørgensen,J19,GK,Chelsea,English Premier League,90,6.18
André Onana,J19,GK,Manchester Utd,English Premier League,90,5.91
Martin Dúbravka,J19,GK,Newcastle Utd,English Premier League,90,7.09
Stefano Turati,J12,GK,Monza,Italian Serie A,90,7.11
Ivan Provedel,J12,GK,Lazio,Italian Serie A,90,7.32
Mark Flekken,J19,GK,Brentford,English Premier League,90,5.94
David Raya,J19,GK,Arsenal,English Premier League,90,6.34
Brandon Austin,J20,GK,Tottenham,English Premier League,90,6.51
Martin Dúbravka,J20,GK,Newcastle Utd,English Premier League,90,6.76
Emiliano Martínez,J20,GK,Aston Villa,English Premier League,90,6.34
Jakub Stolarczyk,J20,GK,Leicester City,English Premier League,90,6.11
Mark Travers,J20,GK,Bournemouth,English Premier League,90,7.12
Jordan Pickford,J20,GK,Everton,English Premier League,90,7.17
Dean Henderson,J20,GK,Crystal Palace,English Premier League,90,6.4
Robert Sánchez,J20,GK,Chelsea,English Premier League,90,6.61
Aaron Ramsdale,J20,GK,Southampton,English Premier League,90,5.91
Mark Flekken,J20,GK,Brentford,English Premier League,90,7.49
Stefan Ortega,J20,GK,Manchester City,English Premier League,90,6.55
Alphonse Areola,J20,GK,West Ham,English Premier League,90,5.47
Bart Verbruggen,J20,GK,Brighton,English Premier League,90,6.21
