Player,Game Week,Position,Team,League,Minutes,Rating
Fabiano,J3,GK,AC Omonia,UEFA Europa Conference League,90,6.69
Veljko Ilic,J3,GK,TSC Bačka Top,UEFA Europa Conference League,90,6.35
Amir Saipi,J3,GK,Lugano,UEFA Europa Conference League,90,5.36
Gabriel Kobylak,J3,GK,Legia Warsaw,UEFA Europa Conference League,90,7.54
Fyodor Lapoukhov,J3,GK,Dinamo Minsk,UEFA Europa Conference League,90,5.35
Filip Stankovic,J22,GK,Venezia,Italian Serie A,90,6.91
Lorenzo Montipò,J22,GK,Hellas Verona,Italian Serie A,90,6.3
Thijmen Nijhuis,J3,GK,HJK,UEFA Europa Conference League,90,5.45
Matevž Vidovšek,J3,GK,Olimpija,UEFA Europa Conference League,90,7.57
Silviu Șmalenea,J3,GK,Petrocub,UEFA Europa Conference League,90,5.64
Niklas Hedl,J3,GK,Rapid Wien,UEFA Europa Conference League,90,7.26
Ivica Ivušić,J3,GK,Pafos FC,UEFA Europa Conference League,90,6.78
Mukhammedzhan Seysen,J3,GK,Astana FK,UEFA Europa Conference League,90,7.38
Rohan Ferguson,J3,GK,Larne FC,UEFA Europa Conference League,90,6.31
Lawrence Ati-Zigi,J3,GK,St. Gallen,UEFA Europa Conference League,90,6.06
Filip Jørgensen,J3,GK,Chelsea,UEFA Europa Conference League,90,7.39
Ognjen Čančarević,J3,GK,FC Noah,UEFA Europa Conference League,90,5.22
Bruno Varela,J3,GK,Vitória,UEFA Europa Conference League,90,6.07
Matouš Trmal,J3,GK,Mladá Boleslav,UEFA Europa Conference League,90,6.68
Craig Gordon,J3,GK,Hearts,UEFA Europa Conference League,90,5.7
Kevin Müller,J3,GK,Heidenheim,UEFA Europa Conference League,90,7.42
Jörg Siebenhandl,J3,GK,LASK,UEFA Europa Conference League,90,7.17
Maxime Delanghe,J3,GK,Cercle Brugge,UEFA Europa Conference League,90,7.58
Oscar Jansson,J3,GK,Djurgården,UEFA Europa Conference League,90,5.86
Bartłomiej Drągowski,J3,GK,Panathinaikos,UEFA Europa Conference League,90,6.16
Sławomir Abramowicz,J3,GK,Jagiellonia,UEFA Europa Conference League,90,7.05
Albert Posiadala,J3,GK,Molde,UEFA Europa Conference League,90,5.37
Nicola Leali,J22,GK,Genoa,Italian Serie A,90,7.11
Stefano Turati,J22,GK,Monza,Italian Serie A,90,6.64
Nathan Trott,J3,GK,FC Copenhagen,UEFA Europa Conference League,90,6.05
Muhammed Şengezer,J3,GK,Başakşehir,UEFA Europa Conference League,90,6.79
Adrián,J3,GK,Betis,UEFA Europa Conference League,90,6.45
Lovro Štubljar,J3,GK,NK Celje,UEFA Europa Conference League,90,6.21
Vid Belec,J3,GK,APOEL,UEFA Europa Conference League,90,7.02
Pietro Terracciano,J3,GK,Fiorentina,UEFA Europa Conference League,90,5.57
Muhammed Şengezer,J4,GK,Başakşehir,UEFA Europa Conference League,90,6.78
Silviu Șmalenea,J4,GK,Petrocub,UEFA Europa Conference League,90,6.84
Connor Roberts,J4,GK,The New Saints,UEFA Europa Conference League,90,6.95
Jacob Rinne,J4,GK,Djurgården,UEFA Europa Conference League,90,6.83
Filip Manojlović,J4,GK,Borac Banja Luka,UEFA Europa Conference League,90,6.0
Lukas Jungwirth,J4,GK,LASK,UEFA Europa Conference League,82,5.85
Albert Posiadala,J4,GK,Molde,UEFA Europa Conference League,90,6.71
Vid Belec,J4,GK,APOEL,UEFA Europa Conference League,90,7.6
Maxime Delanghe,J4,GK,Cercle Brugge,UEFA Europa Conference League,90,7.53
Craig Gordon,J4,GK,Hearts,UEFA Europa Conference League,90,5.98
Lovro Štubljar,J4,GK,NK Celje,UEFA Europa Conference League,90,5.75
Sławomir Abramowicz,J4,GK,Jagiellonia,UEFA Europa Conference League,90,5.54
Kevin Müller,J4,GK,Heidenheim,UEFA Europa Conference League,90,6.8
Filip Jørgensen,J4,GK,Chelsea,UEFA Europa Conference League,90,7.64
Zion Suzuki,J23,GK,Parma,Italian Serie A,90,5.48
Wladimiro Falcone,J23,GK,Lecce,Italian Serie A,90,6.99
Lawrence Ati-Zigi,J4,GK,St. Gallen,UEFA Europa Conference League,90,5.96
Veljko Ilic,J4,GK,TSC Bačka Top,UEFA Europa Conference League,90,6.25
Yuri Lodygin,J4,GK,Panathinaikos,UEFA Europa Conference League,90,7.65
Thijmen Nijhuis,J4,GK,HJK,UEFA Europa Conference League,90,6.85
Fyodor Lapoukhov,J4,GK,Dinamo Minsk,UEFA Europa Conference League,90,6.12
Theo Sander,J4,GK,FC Copenhagen,UEFA Europa Conference League,90,6.79
Amir Saipi,J4,GK,Lugano,UEFA Europa Conference League,90,7.96
Daniel Schmidt,J4,GK,Gent,UEFA Europa Conference League,90,6.08
Matouš Trmal,J4,GK,Mladá Boleslav,UEFA Europa Conference League,90,6.28
Adrián,J4,GK,Betis,UEFA Europa Conference League,90,6.57
Matevž Vidovšek,J4,GK,Olimpija,UEFA Europa Conference League,90,6.93
Rohan Ferguson,J4,GK,Larne FC,UEFA Europa Conference League,90,7.16
Niklas Hedl,J4,GK,Rapid Wien,UEFA Europa Conference League,90,6.69
Léon-Maurice Pöhls,J4,GK,Shamrock Rov,UEFA Europa Conference League,90,6.8
Pietro Terracciano,J4,GK,Fiorentina,UEFA Europa Conference League,90,6.28
Ivica Ivušić,J4,GK,Pafos FC,UEFA Europa Conference League,90,5.28
