Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Line Index,Passes Index
Rome-Jayden Owusu-Oduro,nl NED,GK,AZ Alkmaar,20,2004,28,28,2520,39,44
Ronaldo,br BRA,GK,Bahia,28-331,1996,6,6,468,79,49
Roy Kortsmit,nl NED,GK,NAC Breda,31,1992,1,1,90,36,70
Rubén Cordano,bo BOL,GK,bo Bolívar,26-276,1998,2,2,180,22,51
Rui Encarnação,pt POR,GK,Nacional,26,1998,2,1,135,11,26
Rui Silva,pt POR,GK,Sporting CP,30,1994,17,17,1530,54,24
Salvatore Sirigu,it ITA,GK,Palermo,37,1987,3,3,270,33,45
Samuel Soares,pt POR,GK,Benfica,22,2002,2,2,180,81,28
Samuele Perisan,it ITA,GK,Sampdoria,26,1997,1,1,57,66,30
Sean Johnson,us USA,GK,Toronto FC,36-049,1989,22,22,1980,65,36
Sebastian Breza,ca CAN,GK,CF Montréal,27-126,1998,3,3,270,34,41
Sebastiano Desplanches,it ITA,GK,Palermo,21,2003,21,20,1854,42,58
Sebastián Britos,uy URU,GK,pe Universitario,37-198,1988,6,6,540,75,54
Sebastián Jurado,mx MEX,GK,FC Juárez,26,1997,21,21,1890,35,31
Sebastián Meza,ar ARG,GK,Huracán,25-127,2000,1,1,90,5,7
Senne Lammens,be BEL,GK,Antwerp,22,2002,30,30,2700,81,69
Seny Dieng,sn SEN,GK,Middlesbrough,29,1994,17,17,1530,32,32
Sergio Rochet,uy URU,GK,Internacional,32-118,1993,2,2,135,74,39
Simon Mignolet,be BEL,GK,Club Brugge,36,1988,30,30,2669,50,66
Simon Moore,eng ENG,GK,Sunderland,34,1990,4,4,360,58,43
Simone Ghidotti,it ITA,GK,Sampdoria,24,2000,9,9,720,78,43
Simão Bertelli,br BRA,GK,AVS Futebol,31,1993,11,11,990,71,65
Sinan Bolat,tr TUR,GK,Westerlo,35,1988,11,11,990,44,65
Solomon Brynn,eng ENG,GK,Middlesbrough,23,2000,6,6,509,57,33
Stefan Frei,ch SUI,GK,Seattle Sounders,39-090,1986,18,18,1620,44,32
Stefano Gori,it ITA,GK,Spezia,28,1996,23,23,2070,58,66
Stijn van Gassel,nl NED,GK,NEC Nijmegen,27,1996,2,2,180,64,38
Thiago Cardozo,uy URU,GK,Unión,28-353,1996,15,15,1346,52,36
Thomas Didillon,fr FRA,GK,Willem II,28,1995,34,34,3060,59,69
Thomas Hasal,ca CAN,GK,LAFC,26-010,1999,1,1,90,27,32
Thomas Kaminski,be BEL,GK,Luton Town,31,1992,45,45,3990,37,65
Thomas Vettorel,it ITA,GK,Cosenza,23,2000,2,1,124,17,42
Théo Defourny,be BEL,GK,Charleroi,32,1992,1,1,90,13,14
Tiago Volpi,br BRA,GK,Grêmio,34-212,1990,32,32,2880,70,71
Timon Wellenreuther,de GER,GK,Feyenoord,28,1995,29,29,2610,65,68
Tobe Leysen,be BEL,GK,OH Leuven,22,2002,29,29,2610,75,76
Tom Glover,au AUS,GK,Middlesbrough,26,1997,7,6,571,41,52
Tom Vandenberghe,be BEL,GK,Gent,31,1992,12,12,1080,41,70
Tomas Romero,sv SLV,GK,NYCFC,24-212,2000,3,3,270,73,34
Tomás Durso,ar ARG,GK,Atlé Tucumán,26-143,1999,11,11,990,52,60
Tomás Marchiori,ar ARG,GK,ar Vélez Sarsfield,30-029,1995,22,22,1980,44,23
Tomáš Vaclík,cz CZE,GK,Boavista,35,1989,12,12,1080,59,68
Tomé,pt POR,GK,Boavista,17,2006,2,2,180,11,40
Vasilios Barkas,gr GRE,GK,Utrecht,30,1994,31,31,2790,50,60
Vicente Reyes,cl CHI,GK,Norwich City,20,2003,4,3,271,15,24
Viktor Johansson,se SWE,GK,Stoke City,25,1998,46,46,4140,73,53
Vincenzo Fiorillo,it ITA,GK,Salernitana,34,1990,17,16,1366,31,43
Vladan Kovačević,ba BIH,GK,Sporting CP,26,1998,6,6,540,35,21
Václav Hladký,cz CZE,GK,Burnley,33,1990,1,1,90,77,34
Walter,br BRA,GK,Mirassol,37-243,1987,6,6,540,84,67
Walter Benítez,ar ARG,GK,PSV Eindhoven,31,1993,34,34,3015,42,62
Warleson,br BRA,GK,Cercle Brugge,27,1996,10,9,817,61,55
Wessel Speel,0,GK,Minnesota Utd,0,0,3,3,199,15,38
Will Norris,eng ENG,GK,Portsmouth,30,1993,8,8,720,28,67
Williams Barlasina,ar ARG,GK,Aldosivi,27-020,1998,5,5,450,25,43
Wéverton,br BRA,GK,Palmeiras,37-218,1987,17,17,1530,67,25
Yanick van Osch,nl NED,GK,RKC Waalwijk,27,1997,3,3,270,60,78
Yohei Takaoka,jp JPN,GK,Vancouver W'caps,29-125,1996,22,22,1980,52,41
Zack Steffen,us USA,GK,Colorado Rapids,30-108,1995,13,13,1170,70,57
Éverson,br BRA,GK,Atlético Mineiro,34-362,1990,12,12,1080,69,66
Óscar Ustari,ar ARG,GK,Inter Miami,39-016,1986,17,17,1362,35,74
