Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Line Index,Passes Index
ar ARG,GK,Defensa y Just,43-156,1982,17,17,1530,55,68
ar ARG,GK,Monterrey,33,1991,24,24,2160,56,65
us USA,GK,Cardiff City,29,1995,17,17,1530,31,42
sr SUR,GK,Groningen,29,1995,32,32,2880,56,70
us USA,GK,Columbus Crew,39-135,1986,5,5,450,40,27
ar ARG,GK,Ind. Rivadavia,28-060,1997,17,17,1530,66,58
ar ARG,GK,Necaxa,29,1995,34,34,3060,51,65
nl NED,GK,Heracles Almelo,24,2000,34,34,3060,49,71
ar ARG,GK,Racing Club,28-101,1997,5,4,421,50,39
ar ARG,GK,Banfield,24-140,2001,17,17,1530,63,52
ar ARG,GK,bo Bolívar,32-230,1992,3,3,270,32,41
ar ARG,GK,Tigre,25-058,2000,17,17,1530,60,41
br BRA,GK,Ceará,40-167,1985,8,7,657,71,56
uy URU,GK,Estudiantes–LP,39-033,1986,1,1,90,64,50
mx MEX,GK,UANL,23,2001,3,3,270,71,52
cl CHI,GK,cl Colo-Colo,34-085,1991,1,1,90,65,39
it ITA,GK,Reggiana,32,1992,36,36,3240,40,37
it ITA,GK,Salernitana,18,2006,1,0,47,13,83
pt POR,GK,Estrela,23,2001,1,0,45,72,87
ar ARG,GK,ar River Plate,38-276,1986,23,23,2070,49,36
uy URU,GK,Sporting CP,24,2000,11,11,990,35,25
ar ARG,GK,Godoy Cruz,27-038,1998,17,17,1530,65,75
eng ENG,GK,Preston,27,1997,37,37,3329,50,78
br BRA,GK,Fluminense,44-292,1980,12,12,1080,40,24
br BRA,GK,Vitória,32-295,1992,2,2,180,15,17
cl CHI,GK,Racing Club,37-309,1987,19,19,1646,61,43
br BRA,GK,Santa Clara,26,1998,34,34,3060,57,51
br BRA,GK,Santos,24-287,2000,13,13,1170,58,36
cl CHI,GK,cl U de Chile,31-314,1993,6,6,540,53,34
br BRA,GK,Atlético Mineiro,23-009,2002,1,1,90,40,30
uy URU,GK,py Olimpia,32-089,1993,3,3,270,41,46
py PAR,GK,py Cerro Porteño,37-112,1988,3,3,270,43,48
ie IRL,GK,Standard Liège,22,2002,6,6,540,29,48
eng ENG,GK,Millwall,19,2005,4,4,360,38,66
eng ENG,GK,Norwich City,30,1993,9,8,765,47,34
it ITA,GK,Südtirol,23,2001,5,5,450,46,33
it ITA,GK,Südtirol,36,1988,18,18,1620,45,72
it ITA,GK,Sassuolo,25,1999,10,10,900,54,44
mx MEX,GK,UNAM,32,1992,4,4,360,43,60
ec ECU,GK,ec LDU de Quito,29-141,1996,6,6,526,69,63
ar ARG,GK,ar Talleres,33-140,1992,19,19,1665,38,53
ar ARG,GK,ec Independiente,27-154,1998,6,6,540,49,32
fr FRA,GK,Dender,23,2001,1,0,49,18,5
mx MEX,GK,Querétaro,33,1990,25,25,2250,60,60
mx MEX,GK,AVS Futebol,39,1985,23,23,2070,42,62
bo BOL,GK,pe Alianza Lima,32-162,1993,6,6,540,40,69
uy URU,GK,uy Peñarol,30-273,1994,3,3,270,49,47
br BRA,GK,Juventude,32-131,1993,7,7,585,53,37
co COL,GK,co Nacional,31-336,1993,1,1,90,50,40
be BEL,GK,Genk,31,1993,19,19,1710,44,60
ec ECU,GK,Huracán,38-111,1987,16,16,1440,59,42
nl NED,GK,Groningen,30,1994,2,2,180,24,69
ro ROU,GK,Sassuolo,26,1998,27,27,2430,57,36
mx MEX,GK,Mazatlán,33,1990,34,34,3015,57,68
fr FRA,GK,LAFC,38-205,1986,18,18,1620,45,48
br BRA,GK,Corinthians,26-169,1999,9,9,810,44,38
mx MEX,GK,Santos,23,2001,1,1,90,60,44
ar ARG,GK,Deportivo Riestra,33-102,1992,17,17,1530,71,71
uy URU,GK,ec Barcelona,28-184,1997,2,1,144,43,33
fr FRA,GK,Leeds United,24,2000,39,39,3510,54,28
ru RUS,GK,Famalicão,27,1997,15,15,1350,57,36
hr CRO,GK,Hull City,24,2000,44,44,3960,53,42
se SWE,GK,Derby County,26,1998,40,40,3600,51,58
it ITA,GK,Modena,21,2003,1,1,90,31,70
eng ENG,GK,Cardiff City,31,1993,29,29,2610,49,47
eng ENG,GK,Sheffield Weds,20,2004,38,38,3420,42,51
ca CAN,GK,Portland Timbers,28-148,1997,12,12,1080,69,64
eng ENG,GK,Luton Town,33,1991,2,1,147,61,74
eng ENG,GK,Burnley,21,2002,45,45,4050,60,44
eng ENG,GK,Oxford United,24,1999,45,45,4050,60,72
be BEL,GK,Go Ahead Eag,24,1999,16,16,1440,60,58
nl NED,GK,Zwolle,23,2000,30,30,2700,59,64
ec ECU,GK,ar Talleres,34-283,1990,5,4,405,62,63
ve VEN,GK,Orlando City,22-243,2002,2,2,180,51,35
jm JAM,GK,Atlanta Utd,20-348,2004,1,1,90,57,27
us USA,GK,Chicago Fire,32-104,1993,7,6,591,31,34
nl NED,GK,RKC Waalwijk,28,1996,24,24,2160,47,78
nl NED,GK,AZ Alkmaar,33,1991,6,6,540,44,63
ve VEN,GK,ve Dep Táchira,27-219,1997,6,6,540,50,49
mx MEX,GK,Puebla,31,1993,4,4,360,45,69
br BRA,GK,Rio Ave,33,1991,8,8,720,48,56
us USA,GK,Houston Dynamo,36-278,1988,2,1,120,47,44
be BEL,GK,Sint-Truiden,33,1990,3,3,270,30,42
eng ENG,GK,QPR,22,2002,1,1,90,69,62
eng ENG,GK,West Brom,28,1995,10,10,900,38,64
us USA,GK,Nashville SC,36-343,1988,23,23,2070,61,44
nl NED,GK,PSV Eindhoven,27,1996,1,0,45,23,84
es ESP,GK,Estoril,34,1990,29,29,2610,53,58
nl NED,GK,RKC Waalwijk,23,2001,3,3,270,37,69
br BRA,GK,Botafogo (RJ),29-156,1996,19,19,1710,58,50
us USA,GK,LA Galaxy,33-015,1992,11,11,990,46,27
us USA,GK,Sporting KC,24-091,2001,22,22,1980,53,49
at AUT,GK,Almere City,24,2000,1,0,10,30,68
eng ENG,GK,Houston Dynamo,32-061,1993,24,23,2148,47,41
us USA,GK,Cesena,27,1997,27,27,2430,52,27
ca CAN,GK,CF Montréal,24-022,2001,20,20,1800,46,47
sct SCO,GK,Portsmouth,31,1993,2,1,150,58,44
ar ARG,GK,Rosario Central,39-054,1986,15,15,1350,52,62
ar ARG,GK,Aldosivi,44-073,1981,13,13,1170,42,54
mx MEX,GK,Querétaro,25,1998,9,9,810,51,34
eng ENG,GK,Derby County,28,1995,6,6,540,45,58
eng ENG,GK,West Brom,22,2001,6,6,540,30,45
ar ARG,GK,Newell's OB,22-047,2003,2,2,180,58,47
mx MEX,GK,Tijuana,32,1992,21,21,1880,53,69
ve VEN,GK,ec Barcelona,30-272,1994,5,5,396,76,39
mx MEX,GK,Tijuana,43,1981,11,10,910,55,39
mx MEX,GK,Pachuca,20,2004,2,2,180,18,41
mx MEX,GK,Guadalajara,24,2000,32,32,2879,62,58
mx MEX,GK,Atlas,27,1997,3,3,270,36,30
pt POR,GK,Boavista,23,2000,4,4,360,45,61
pt POR,GK,Estrela,28,1996,14,14,1260,55,63
br BRA,GK,Fortaleza,36-316,1988,18,18,1620,73,50
pt POR,GK,Arouca,24,2000,5,5,450,53,48
ar ARG,GK,Platense,26-283,1998,17,17,1530,61,44
py PAR,GK,Belgrano,30-259,1994,11,11,990,35,61
uy URU,GK,Atlé Tucumán,32-009,1993,6,6,540,62,61
ar ARG,GK,Cen. Córdoba–SdE,24-038,2001,2,2,180,32,28
be BEL,GK,Dender,25,1998,4,3,315,48,41
mx MEX,GK,UNAM,33,1991,19,19,1710,55,57
nl NED,GK,Feyenoord,26,1998,4,4,360,25,45
br BRA,GK,Farense,21,2003,6,6,540,49,67
wls WAL,GK,Leeds United,33,1990,7,7,630,47,40
cr CRC,GK,Estoril,24,2000,4,4,360,60,28
co COL,GK,Cruz Azul,24,2000,33,33,2970,51,47
br BRA,GK,Moreirense,28,1995,29,29,2610,42,64
cr CRC,GK,Newell's OB,38-216,1986,14,14,1260,69,66
kr KOR,GK,D.C. United,22-046,2003,7,7,630,47,70
be BEL,GK,Westerlo,35,1989,10,10,900,50,63
gr GRE,GK,NAC Breda,32,1991,1,1,90,23,74
hr CRO,GK,Charlotte,32-360,1992,21,21,1890,52,40
de GER,GK,Twente,34,1990,31,31,2790,39,45
be BEL,GK,Standard Liège,31,1992,4,4,315,68,54
ar ARG,GK,Lanús,25-215,1999,1,1,90,24,28
cl CHI,GK,Swansea City,30,1993,46,46,4140,46,69
me MNE,GK,Famalicão,25,1999,18,18,1620,62,42
ar ARG,GK,Boca Juniors,22-301,2002,2,2,180,43,39
ar ARG,GK,Spezia,34,1990,11,11,990,49,68
jp JPN,GK,Sint-Truiden,23,2001,27,27,2430,52,49
it ITA,GK,Pisa,25,1999,1,1,90,29,20
eng ENG,GK,Millwall,29,1994,2,1,91,66,47
it ITA,GK,Brescia,29,1995,1,1,90,57,49
it ITA,GK,Brescia,29,1995,37,37,3330,63,55
it ITA,GK,Cittadella,29,1995,10,9,855,66,56
de GER,GK,Go Ahead Eag,24,2000,18,18,1620,39,39
ar ARG,GK,Sarmiento,30-129,1995,17,17,1530,67,52
br BRA,GK,Vitória,26-345,1998,13,13,1170,63,48
ar ARG,GK,ve Carabobo,27-273,1997,6,6,540,47,21
br BRA,GK,Nacional,28,1996,33,33,2925,59,54
be BEL,GK,Kortrijk,29,1995,7,5,543,49,65
py PAR,GK,py Olimpia,24-096,2001,1,1,90,62,52
br BRA,GK,RB Bragantino,24-143,2001,2,2,180,69,30
it ITA,GK,Salernitana,33,1991,18,18,1575,47,40
us USA,GK,D.C. United,28-253,1996,16,16,1440,51,58
mx MEX,GK,Monterrey,30,1993,10,10,900,44,55
ar ARG,GK,Gimnasia–LP,25-186,2000,3,3,270,32,38
mx MEX,GK,Toluca,31,1992,5,5,450,28,36
pa PAN,GK,uy Nacional,34-125,1991,6,6,540,53,14
mx MEX,GK,América,27,1997,29,29,2565,47,45
br BRA,GK,Famalicão,23,2001,1,1,90,60,86
dk DEN,GK,Millwall,25,1999,41,41,3689,52,43
cz CZE,GK,Braga,22,2002,17,17,1530,62,49
nl NED,GK,Fortuna Sittard,30,1993,6,6,540,48,63
br BRA,GK,Vasco da Gama,30-121,1995,13,13,1170,35,29
id IDN,GK,FC Dallas,27-066,1998,20,20,1800,45,59
dk DEN,GK,Anderlecht,24,1999,2,2,180,58,55
ar ARG,GK,Instituto,25-106,2000,17,17,1530,51,48
ar ARG,GK,Belgrano,35-091,1990,5,5,450,58,52
br BRA,GK,br Palmeiras,38-213,1986,1,1,90,47,39
it ITA,GK,Carrarese,28,1995,24,24,2092,77,67
it ITA,GK,Mantova,32,1992,38,38,3420,48,36
it ITA,GK,Bari,26,1998,2,1,109,57,75
it ITA,GK,Sampdoria,33,1991,7,7,630,41,32
br BRA,GK,Bahia,29-097,1996,14,13,1242,57,58
ar ARG,GK,Barracas Central,28-307,1996,17,17,1530,52,55
br BRA,GK,Juventude,33-135,1992,6,5,495,61,29
py PAR,GK,py Olimpia,27-181,1998,2,2,180,37,61
lt LTU,GK,Südtirol,27,1997,15,15,1350,49,64
nl NED,GK,RKC Waalwijk,27,1997,4,4,360,37,56
ie IRL,GK,Middlesbrough,25,1999,17,17,1530,61,35
rs SRB,GK,Estrela,22,2002,2,2,180,59,70
rs SRB,GK,Kortrijk,26,1998,5,5,425,50,60
be BEL,GK,Charleroi,20,2004,8,8,720,54,73
uy URU,GK,uy Peñarol,36-051,1989,3,3,270,65,49
uy URU,GK,py Libertad,42-116,1983,1,1,90,26,35
br BRA,GK,Ajax,32,1992,26,26,2340,49,44
br BRA,GK,Corinthians,23-063,2002,5,5,450,45,32
br BRA,GK,Rio Ave,25,1999,1,0,15,23,46
us USA,GK,NYCFC,26-320,1998,19,19,1710,57,28
eng ENG,GK,Oxford United,30,1993,1,1,90,22,55
it ITA,GK,Cesena,32,1991,11,11,990,48,36
be BEL,GK,Standard Liège,20,2004,19,18,1665,73,59
nl NED,GK,Fortuna Sittard,30,1993,28,28,2520,59,58
ar ARG,GK,San Martín de San Juan,26-332,1998,17,17,1530,47,66
ar ARG,GK,ar Estudiantes–LP,29-154,1996,23,23,2070,51,50
ar ARG,GK,Unión,27-150,1998,4,4,360,58,48
ie IRL,GK,Bristol City,27,1996,46,46,4140,46,56
fr FRA,GK,OH Leuven,27,1997,1,1,90,62,92
ca CAN,GK,Portland Timbers,31-069,1994,10,10,900,51,58
be BEL,GK,Cercle Brugge,23,2001,21,21,1881,57,43
nl NED,GK,Utrecht,31,1993,3,3,270,65,63
us USA,GK,FC Dallas,24-055,2001,2,2,180,46,34
eng ENG,GK,Sheffield Utd,24,1999,43,43,3870,65,66
nl NED,GK,Dender,27,1996,27,27,2336,55,52
it ITA,GK,Frosinone,25,1999,36,36,3240,56,50
nl NED,GK,Heerenveen,30,1994,19,18,1695,55,53
mx MEX,GK,Puebla,34,1990,24,24,2160,52,50
mx MEX,GK,Tijuana,29,1995,3,3,270,36,53
pt POR,GK,Moreirense,33,1991,1,0,3,33,16
nl NED,GK,Zwolle,27,1997,4,4,360,39,74
be BEL,GK,Genk,19,2005,11,11,989,54,59
it ITA,GK,Catanzaro,31,1993,38,38,3420,57,56
ci CIV,GK,Charleroi,22,2002,21,21,1890,63,62
sn SEN,GK,Spezia,27,1997,4,4,360,51,51
ar ARG,GK,UANL,38,1986,28,28,2519,60,62
ar ARG,GK,Lanús,32-093,1993,16,16,1440,70,50
ar ARG,GK,Gimnasia–LP,30-056,1995,14,14,1260,68,56
it ITA,GK,Carrarese,23,2001,2,1,158,19,18
gt GUA,GK,Columbus Crew,28-351,1996,3,3,270,44,13
dk DEN,GK,Colorado Rapids,24-009,2001,10,10,900,69,52
be BEL,GK,Westerlo,29,1995,1,1,90,49,88
nl NED,GK,Sparta R'dam,28,1995,34,34,3060,61,74
be BEL,GK,Beerschot,23,2001,21,21,1845,55,49
de GER,GK,Arouca,24,2000,29,29,2610,47,50
it ITA,GK,Carrarese,35,1988,2,1,158,43,60
at AUT,GK,Portsmouth,27,1997,35,35,3090,46,63
nl NED,GK,Almere City,26,1997,34,34,3050,48,70
be BEL,GK,Club Brugge,26,1997,1,0,31,46,74
rs SRB,GK,LA Galaxy,23-267,2001,12,12,1080,36,32
br BRA,GK,Pisa,36,1988,1,1,90,43,40
dk DEN,GK,Salernitana,25,1999,16,16,1440,50,61
se SWE,GK,Coventry City,22,2002,28,28,2467,46,39
py PAR,GK,San Lorenzo,25-038,2000,17,17,1530,51,49
be BEL,GK,Mechelen,27,1997,30,30,2700,62,60
mx MEX,GK,León,35,1988,8,8,720,53,65
mx MEX,GK,UNAM,19,2005,7,7,630,54,56
mx MEX,GK,San Diego FC,30-012,1995,2,2,180,45,29
it ITA,GK,Sampdoria,21,2003,10,7,753,63,40
us USA,GK,Columbus Crew,24-128,2001,15,15,1350,38,37
cr CRC,GK,Casa Pia,25,1999,32,32,2880,64,48
is ISL,GK,Kortrijk,23,2000,11,11,922,31,70
es ESP,GK,Toluca,29,1994,10,10,900,40,44
fr FRA,GK,QPR,30,1994,45,45,4050,38,53
pe PER,GK,Orlando City,35-146,1990,21,21,1890,49,39
nir NIR,GK,Sheffield Weds,19,2005,8,8,720,48,71
bg BUL,GK,Feyenoord,19,2004,1,1,90,34,53
pl POL,GK,Twente,37,1987,3,3,270,34,67
br BRA,GK,Real Salt Lake,35-060,1990,22,22,1980,58,49
br BRA,GK,São Paulo,36-026,1989,20,20,1800,54,21
uy URU,GK,Vélez Sarsfield,21-232,2003,1,1,90,45,50
nl NED,GK,Ajax,40,1983,24,24,2160,58,70
pt POR,GK,Casa Pia,37,1986,1,1,90,30,33
mx MEX,GK,Mazatlán,27,1997,1,0,45,63,39
pt POR,GK,Farense,25,1998,28,28,2520,57,61
it ITA,GK,Modena,27,1997,37,37,3330,46,58
nl NED,GK,NEC Nijmegen,21,2003,32,32,2880,62,64
ar ARG,GK,Inter Miami,23-045,2002,4,1,250,27,50
mx MEX,GK,América,37,1987,6,5,495,48,36
py PAR,GK,py Libertad,26-285,1998,5,5,450,58,67
ar ARG,GK,Independiente,34-133,1991,17,17,1530,52,57
ar ARG,GK,bo San Antonio Bulo Bulo,31-194,1994,6,6,540,50,62
ch SUI,GK,St. Louis,34-247,1990,13,13,1170,53,67
us USA,GK,FC Cincinnati,24-308,2000,23,23,2070,55,41
nl NED,GK,AZ Alkmaar,20,2004,28,28,2520,43,41
br BRA,GK,Bahia,28-331,1996,6,6,468,71,49
nl NED,GK,NAC Breda,31,1992,1,1,90,34,67
bo BOL,GK,bo Bolívar,26-276,1998,2,2,180,40,47
pt POR,GK,Nacional,26,1998,2,1,135,28,25
pt POR,GK,Sporting CP,30,1994,17,17,1530,47,22
it ITA,GK,Palermo,37,1987,3,3,270,39,39
pt POR,GK,Benfica,22,2002,2,2,180,65,22
it ITA,GK,Sampdoria,26,1997,1,1,57,45,38
us USA,GK,Toronto FC,36-049,1989,22,22,1980,58,40
ca CAN,GK,CF Montréal,27-126,1998,3,3,270,43,34
it ITA,GK,Palermo,21,2003,21,20,1854,47,50
uy URU,GK,pe Universitario,37-198,1988,6,6,540,65,63
mx MEX,GK,FC Juárez,26,1997,21,21,1890,42,36
ar ARG,GK,Huracán,25-127,2000,1,1,90,17,6
be BEL,GK,Antwerp,22,2002,30,30,2700,77,59
sn SEN,GK,Middlesbrough,29,1994,17,17,1530,31,26
uy URU,GK,Internacional,32-118,1993,2,2,135,65,32
be BEL,GK,Club Brugge,36,1988,30,30,2669,49,54
eng ENG,GK,Sunderland,34,1990,4,4,360,51,43
it ITA,GK,Sampdoria,24,2000,9,9,720,66,47
br BRA,GK,AVS Futebol,31,1993,11,11,990,68,64
tr TUR,GK,Westerlo,35,1988,11,11,990,52,65
eng ENG,GK,Middlesbrough,23,2000,6,6,509,44,27
ch SUI,GK,Seattle Sounders,39-090,1986,18,18,1620,48,33
it ITA,GK,Spezia,28,1996,23,23,2070,55,58
nl NED,GK,NEC Nijmegen,27,1996,2,2,180,58,56
uy URU,GK,Unión,28-353,1996,15,15,1346,49,38
fr FRA,GK,Willem II,28,1995,34,34,3060,55,72
ca CAN,GK,LAFC,26-010,1999,1,1,90,40,29
be BEL,GK,Luton Town,31,1992,45,45,3990,48,70
it ITA,GK,Cosenza,23,2000,2,1,124,30,48
be BEL,GK,Charleroi,32,1992,1,1,90,21,19
br BRA,GK,Grêmio,34-212,1990,32,32,2880,61,68
de GER,GK,Feyenoord,28,1995,29,29,2610,57,56
be BEL,GK,OH Leuven,22,2002,29,29,2610,68,74
au AUS,GK,Middlesbrough,26,1997,7,6,571,39,53
be BEL,GK,Gent,31,1992,12,12,1080,47,60
sv SLV,GK,NYCFC,24-212,2000,3,3,270,59,32
ar ARG,GK,Atlé Tucumán,26-143,1999,11,11,990,52,63
ar ARG,GK,ar Vélez Sarsfield,30-029,1995,22,22,1980,47,30
cz CZE,GK,Boavista,35,1989,12,12,1080,61,70
pt POR,GK,Boavista,17,2006,2,2,180,26,54
gr GRE,GK,Utrecht,30,1994,31,31,2790,52,57
cl CHI,GK,Norwich City,20,2003,4,3,271,21,18
se SWE,GK,Stoke City,25,1998,46,46,4140,66,53
it ITA,GK,Salernitana,34,1990,17,16,1366,37,51
ba BIH,GK,Sporting CP,26,1998,6,6,540,37,17
cz CZE,GK,Burnley,33,1990,1,1,90,72,28
br BRA,GK,Mirassol,37-243,1987,6,6,540,77,56
ar ARG,GK,PSV Eindhoven,31,1993,34,34,3015,39,49
br BRA,GK,Cercle Brugge,27,1996,10,9,817,45,57
0,GK,Minnesota Utd,0,0,3,3,199,27,53
eng ENG,GK,Portsmouth,30,1993,8,8,720,48,68
ar ARG,GK,Aldosivi,27-020,1998,5,5,450,30,45
br BRA,GK,Palmeiras,37-218,1987,17,17,1530,64,36
nl NED,GK,RKC Waalwijk,27,1997,3,3,270,52,83
jp JPN,GK,Vancouver W'caps,29-125,1996,22,22,1980,53,37
us USA,GK,Colorado Rapids,30-108,1995,13,13,1170,59,59
br BRA,GK,Atlético Mineiro,34-362,1990,12,12,1080,56,57
ar ARG,GK,Inter Miami,39-016,1986,17,17,1362,45,58
