Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
br BRA,MF,Santa Clara,24,1999,32,31,2630,33,49,38,31
be BEL,MO,Sint-Truiden,23,2000,27,26,2221,74,27,54,33
br BRA,DF,Juventude,28-109,1997,5,5,360,39,22,16,57
bo BOL,FW,bo San Antonio Bulo Bulo,29-119,1996,1,0,3,16,29,30,11
py PAR,MO,py Libertad,25-294,1999,6,1,218,70,28,55,50
uy URU,FW,Racing Club,31-181,1994,19,5,635,72,30,29,68
es ESP,FW,Nacional,25,1999,10,5,484,42,61,32,64
ar ARG,MF,ar Racing Club,24-060,2001,9,3,308,59,84,82,42
ar ARG,MF,Atlé Tucumán,26-066,1999,18,18,1570,46,58,49,74
ar ARG,FW,ar Racing Club,33-012,1992,18,18,1526,80,62,47,40
es ESP,DF,Braga,27,1997,10,8,711,49,87,63,47
mx MEX,DF,Atlas,26,1997,15,8,762,36,34,28,86
ar ARG,DF,Independiente,30-006,1995,10,9,722,80,72,73,43
br BRA,DF,Anderlecht,26,1998,7,6,542,66,51,48,48
br BRA,MO,Vasco da Gama,24-286,2000,10,0,210,40,66,62,59
pt POR,MF,Moreirense,18,2006,1,0,14,21,13,7,6
pt POR,FW,Sporting CP,19,2005,1,0,1,16,13,7,63
pt POR,DF,Nacional,24,2000,1,0,19,22,17,9,29
pt POR,FW,Braga,17,2007,7,3,243,46,72,27,22
pt POR,MO,Famalicão,21,2002,3,0,9,40,9,45,30
ar ARG,MF,Rosario Central,24-069,2001,3,2,198,21,15,8,33
ar ARG,MO,Defensa y Just,22-059,2003,2,0,47,27,22,46,60
ar ARG,FW,NYCFC,21-030,2004,22,10,919,45,77,83,77
uy URU,MO,Banfield,23-064,2002,16,11,1031,46,44,49,47
ar ARG,MF,Racing Club,25-158,2000,19,18,1244,59,56,33,50
ar ARG,FW,Godoy Cruz,28-168,1997,8,3,329,57,31,32,61
ar ARG,MF,ar Vélez Sarsfield,31-113,1994,22,21,1840,44,64,63,62
uy URU,FW,Fluminense,26-291,1998,8,8,513,41,56,66,66
ar ARG,MF,Lanús,28-050,1997,15,15,1289,30,39,21,56
ar ARG,FW,Unión,24-246,2000,9,5,449,42,45,29,30
ar ARG,DF,Belgrano,26-090,1999,4,4,360,26,31,20,42
ar ARG,DF,ar Racing Club,33-115,1992,9,9,802,37,61,60,29
ar ARG,DF,Palmeiras,21-184,2004,14,11,1080,37,56,61,64
ar ARG,MO,San Lorenzo,20-044,2005,3,0,27,48,16,64,6
ar ARG,DF,ar Vélez Sarsfield,23-283,2001,9,8,607,64,74,82,82
ar ARG,GK,Boca Juniors,37-125,1988,16,16,1440,47,52,42,37
ar ARG,MF,Boca Juniors,25-060,2000,1,1,57,44,25,51,22
0,MF,Lanús,0,0,13,5,608,33,43,36,79
ar ARG,FW,Sarmiento,19-010,2006,2,0,33,18,13,23,34
ar ARG,MO,Banfield,25-130,2000,4,1,90,18,53,12,32
uy URU,DF,Necaxa,25,1998,26,25,2273,51,52,37,45
ar ARG,MF,Necaxa,27,1996,48,43,3604,89,82,72,60
ar ARG,MO,Lanús,21-078,2004,2,1,77,39,38,35,50
uy URU,DF,Internacional,27-275,1997,7,6,534,32,23,21,52
ar ARG,GK,Flamengo,29-332,1995,19,19,1710,55,62,46,39
uy URU,DF,RB Bragantino,27-295,1997,6,2,224,51,47,55,73
ar ARG,MF,Sarmiento,20-169,2005,1,0,12,39,13,7,25
ar ARG,DF,Defensa y Just,26-005,1999,1,1,90,39,20,31,79
py PAR,DF,Rosario Central,24-184,2001,16,16,1397,76,54,64,60
ar ARG,MO,Huracán,25-076,2000,11,4,438,32,53,42,44
ly LBY,MF,Bari,32,1992,34,33,2805,61,73,48,52
ng NGA,MF,Gent,20,2004,1,0,1,21,32,33,21
se SWE,MO,Nashville SC,22-007,2003,22,11,978,53,46,59,54
dz ALG,DF,Mechelen,26,1998,23,22,1996,66,60,43,57
tr TUR,DF,Ajax,21,2003,8,7,562,49,72,62,40
us USA,MF,Middlesbrough,22,2001,35,33,2915,44,64,54,60
us USA,MO,Real Salt Lake,18-021,2007,2,0,58,25,19,55,18
au AUS,MF,Standard Liège,26,1998,34,32,2840,32,45,38,61
ie IRL,MO,Millwall,20,2003,25,6,696,46,50,75,74
sy SYR,DF,Charleroi,24,2000,26,22,2020,36,40,37,60
nl NED,MO,Gent,21,2002,3,0,54,75,59,80,92
es ESP,MO,FC Juárez,30,1994,13,3,422,59,42,77,57
tt TRI,MF,Atlanta Utd,22-201,2002,15,8,784,71,64,76,69
au AUS,MO,Salernitana,28,1996,21,7,896,43,54,33,48
eng ENG,DF,Sunderland,23,2001,12,8,703,51,53,44,35
us USA,MF,St. Louis,25-165,2000,20,14,1392,55,37,54,60
it ITA,MF,Cittadella,18,2006,1,0,10,39,41,47,21
eng ENG,DF,Sheffield Weds,25,1998,13,11,938,37,54,26,65
br BRA,MF,Moreirense,24,2000,31,31,2513,82,80,69,15
ar ARG,GK,ar Cen. Córdoba–SdE,34-330,1990,22,22,1980,41,41,41,57
ar ARG,DF,Tigre,28-198,1997,3,1,96,42,37,11,27
py PAR,DF,Internacional,31-175,1994,7,6,576,65,78,76,28
ie IRL,MF,Sunderland,29,1995,22,13,1212,57,33,48,40
ar ARG,MO,pe Alianza Lima,27-021,1998,1,0,33,64,30,83,6
us USA,FW,Nashville SC,20-121,2005,1,0,14,16,43,47,26
mx MEX,MF,Santos,26,1998,23,15,1382,50,43,39,66
ec ECU,MF,Atlético Mineiro,26-332,1998,25,24,2109,26,30,31,56
ar ARG,MO,Arg Juniors,23-250,2001,17,17,1434,53,72,47,53
mx MEX,MF,Querétaro,26,1997,24,9,935,60,54,76,33
ec ECU,MO,Cercle Brugge,21,2003,26,14,1303,55,47,70,34
mx MEX,DF,Guadalajara,27,1997,26,22,1999,81,63,81,49
br BRA,MO,Internacional,34-067,1991,15,15,1273,76,92,48,35
mx MEX,FW,Guadalajara,33,1991,10,7,532,59,60,44,53
uy URU,MO,Arg Juniors,25-175,2000,14,14,1162,57,69,73,56
ar ARG,MO,Estrela,30,1993,27,18,1470,35,64,35,65
br BRA,DF,Juventude,35-330,1989,9,8,687,47,56,59,37
uy URU,DF,cl Colo-Colo,23-104,2002,6,6,540,39,61,43,67
ar ARG,MO,Gimnasia–LP,22-075,2003,13,8,730,30,37,57,75
us USA,MF,py Cerro Porteño,26-350,1998,3,0,37,21,27,58,57
mx MEX,MF,Mazatlán,24,2000,20,13,1118,39,61,48,21
ar ARG,MF,Porto,23,2001,31,26,2198,41,76,40,41
ar ARG,MO,Boca Juniors,22-357,2002,13,9,678,33,50,45,62
sk SVK,MO,Seattle Sounders,31-012,1994,21,17,1555,82,93,49,18
it ITA,FW,Salernitana,28,1996,18,17,1408,60,48,59,52
py PAR,DF,py Olimpia,34-161,1991,1,1,90,71,48,60,28
mx MEX,MO,Puebla,23,2001,22,12,957,19,44,24,53
pt POR,DF,Vitória,20,2003,10,7,675,62,83,88,71
mx MEX,MF,Querétaro,19,2004,14,9,720,74,41,49,47
co COL,DF,co CA Bucaramanga,27-032,1998,6,6,482,57,79,49,62
co COL,GK,co CA Bucaramanga,31-008,1994,6,6,540,49,42,44,36
co COL,MF,co CA Bucaramanga,26-147,1999,2,1,89,43,36,32,58
mx MEX,MO,Tijuana,21,2003,1,0,33,22,15,8,15
pe PER,DF,pe Universitario,36-060,1989,5,4,360,48,36,38,61
mx MEX,DF,Atlético,26,1997,30,27,2402,42,60,57,50
it ITA,MF,Cosenza,22,2002,29,28,2170,77,66,75,39
mx MEX,MF,Santos,24,2000,27,23,2004,60,45,41,41
mx MEX,MF,Atlas,31,1992,31,31,2573,58,53,40,42
us USA,GK,Minnesota Utd,26-097,1999,2,1,161,41,44,41,37
be BEL,DF,Twente,25,1998,20,11,1116,73,58,48,60
us USA,MF,San Diego FC,21-355,2003,12,6,488,44,53,54,68
mx MEX,MF,Necaxa,22,2001,14,6,515,30,28,34,58
us USA,MF,Philadelphia Union,38-081,1987,16,5,490,61,70,60,66
ve VEN,MO,Frosinone,18,2006,5,2,120,31,27,12,28
mx MEX,MF,Tijuana,22,2002,27,25,2053,35,55,36,56
ar ARG,DF,py Olimpia,28-088,1997,1,1,90,28,15,10,56
ve VEN,FW,Estoril,23,2000,33,15,1692,56,31,28,50
ar ARG,FW,Ceará,28-094,1997,2,0,49,39,59,27,40
mx MEX,DF,Necaxa,27,1997,29,22,1875,51,63,66,55
ar ARG,DF,San Martín de San Juan,27-343,1997,14,13,1075,48,46,53,53
co COL,MO,Gimnasia–LP,22-319,2002,10,7,591,37,42,71,56
pe PER,DF,pe Sporting Cristal,19-317,2005,1,0,45,34,17,64,4
us USA,MO,América,26,1998,27,24,1961,76,85,73,57
ar ARG,DF,Newell's OB,27-075,1998,14,12,1089,45,47,60,63
ar ARG,DF,Ind. Rivadavia,24-292,2000,9,5,437,31,31,63,52
ar ARG,MF,Newell's OB,24-029,2001,11,6,624,39,40,50,49
ar ARG,FW,Rosario Central,21-303,2003,1,1,81,34,31,29,29
ru RUS,MF,Atlanta Utd,29-275,1995,22,21,1871,81,82,71,22
hr CRO,MO,Fortuna Sittard,28,1996,27,23,1770,46,59,39,37
it ITA,MF,Pisa,23,2000,21,8,749,87,75,83,25
it ITA,MF,Sampdoria,28,1995,22,16,1361,48,39,22,60
it ITA,MO,Carrarese,28,1995,11,6,441,22,52,41,18
it ITA,DF,Cosenza,28,1995,27,26,2169,48,70,56,54
it ITA,MO,Mantova,20,2003,29,4,832,67,25,32,54
it ITA,DF,Modena,20,2004,25,22,1998,64,41,59,69
it ITA,DF,Modena,25,1999,26,18,1435,82,67,77,46
it ITA,DF,Reggiana,21,2003,15,11,971,44,44,61,57
it ITA,MF,Juve Stabia,21,2003,5,0,24,35,11,22,78
it ITA,MF,Südtirol,25,1999,21,7,661,89,47,72,66
it ITA,GK,Cosenza,31,1993,37,37,3296,65,77,68,49
it ITA,DF,Sampdoria,22,2002,26,24,2191,48,28,41,53
it ITA,GK,Sassuolo,23,2001,1,1,90,41,44,47,32
it ITA,DF,Cittadella,36,1988,33,25,2363,51,64,53,56
it ITA,MF,Reggiana,22,2002,37,33,2866,70,30,48,69
it ITA,GK,Frosinone,22,2002,2,2,180,41,41,42,40
mx MEX,DF,Monterrey,19,2005,1,1,61,54,50,33,22
it ITA,DF,Bari,25,1999,8,0,161,60,51,62,35
it ITA,DF,Südtirol,21,2002,1,0,15,22,17,10,11
it ITA,MF,Palermo,21,2002,4,0,35,21,20,50,68
it ITA,DF,Pisa,21,2003,3,1,152,49,76,61,44
be BEL,MF,Union SG,27,1997,15,12,1027,76,75,79,54
it ITA,GK,Sampdoria,30,1994,14,14,1260,53,55,44,64
it ITA,DF,Cittadella,21,2003,6,2,177,49,60,67,17
it ITA,MO,Cittadella,31,1993,33,30,2592,46,52,27,52
cv CPV,FW,Fortuna Sittard,27,1997,18,13,1185,44,40,34,50
br BRA,FW,Mirassol,26-153,1999,1,1,57,16,27,32,30
py PAR,FW,Ind. Rivadavia,30-033,1995,7,7,541,72,57,51,51
gq EQG,MF,Almere City,23,2001,10,4,405,58,37,23,40
it ITA,DF,Sampdoria,30,1994,9,7,674,34,51,34,61
py PAR,MF,py Olimpia,23-364,2001,4,3,212,58,45,47,61
us USA,DF,Orlando City,20-344,2004,19,18,1655,92,76,84,55
mx MEX,MF,Necaxa,16,2008,1,0,5,21,11,14,6
us USA,MF,Colorado Rapids,20-153,2005,1,0,1,21,11,16,6
ar ARG,MO,Instituto,21-110,2004,17,17,1412,72,57,54,63
pt POR,DF,Boavista,18,2005,2,1,99,22,17,12,38
eng ENG,MF,Oxford United,19,2004,20,10,933,29,24,44,79
us USA,MO,FC Juárez,23,2000,5,0,59,32,50,65,71
eng ENG,FW,San Diego FC,23-099,2002,19,11,931,49,51,86,52
se SWE,MO,Groningen,22,2002,2,0,10,15,9,3,6
eng ENG,MF,West Brom,29,1995,43,39,3351,69,75,50,45
br BRA,GK,Mirassol,35-251,1989,6,6,540,49,54,44,46
us USA,MO,Nashville SC,29-292,1995,23,20,1618,37,43,41,52
es ESP,GK,UNAM,20,2003,10,10,900,57,62,45,49
eng ENG,GK,West Brom,27,1996,30,30,2700,45,44,49,71
it ITA,DF,Mantova,30,1994,19,18,1345,58,30,25,45
sv SLV,MF,Seattle Sounders,28-356,1996,18,15,1349,52,61,69,73
br BRA,DF,Flamengo,34-174,1991,14,13,1044,52,74,88,37
br BRA,MF,Corinthians,30-067,1995,4,2,196,31,45,27,28
br BRA,MO,Vasco da Gama,35-194,1990,9,0,118,38,21,50,40
br BRA,DF,Botafogo (RJ),32-216,1992,18,14,1206,86,79,70,41
ar ARG,MF,Sarmiento,26-082,1999,11,6,639,54,63,70,77
ec ECU,MO,ec LDU de Quito,26-089,1999,5,4,354,64,74,53,43
cl CHI,MO,Grêmio,22-316,2002,7,1,213,63,52,41,36
dk DEN,DF,Benfica,26,1997,18,17,1412,61,76,80,67
ar ARG,DF,Botafogo (RJ),30-125,1995,11,11,990,37,53,55,81
ar ARG,MO,Deportivo Riestra,25-178,2000,13,3,392,29,44,42,55
ie IRL,MF,Middlesbrough,22,2001,7,0,77,92,76,59,13
de GER,DF,NY Red Bulls,31-314,1993,16,11,1037,53,62,65,75
eg EGY,MO,RKC Waalwijk,30,1994,5,0,70,25,25,39,57
se SWE,DF,Brescia,26,1998,33,24,2205,45,56,69,32
dk DEN,FW,Pisa,22,2002,32,25,2164,58,47,46,52
uy URU,FW,uy Peñarol,23-052,2002,3,0,70,66,37,73,33
au AUS,MF,Cardiff City,21,2003,35,29,2409,67,69,48,63
pt POR,MF,Sporting CP,19,2005,2,1,89,35,22,18,64
pt POR,DF,AZ Alkmaar,22,2001,31,31,2594,40,56,48,41
pt POR,DF,Arouca,26,1998,14,9,823,62,69,63,58
ad AND,MF,Estrela,20,2003,1,0,21,21,19,7,25
be BEL,MO,Charleroi,19,2004,2,0,14,35,37,28,20
ar ARG,DF,Internacional,24-298,2000,14,14,1216,83,83,88,57
be BEL,MF,Standard Liège,21,2003,8,2,193,41,49,68,44
gr GRE,DF,Real Salt Lake,27-076,1998,20,16,1286,68,83,78,18
mx MEX,MO,Pachuca,19,2005,8,2,170,32,46,54,72
fr FRA,MF,Palermo,27,1996,17,17,1372,33,57,33,46
ar ARG,FW,Lanús,33-166,1992,12,1,246,79,86,60,26
ar ARG,MO,ar Estudiantes–LP,30-274,1994,10,5,389,43,38,54,66
ar ARG,MO,San Lorenzo,25-151,2000,16,13,976,62,29,47,55
ar ARG,MO,Aldosivi,28-262,1996,10,1,227,20,12,23,52
py PAR,MF,py Cerro Porteño,20-214,2004,2,0,58,44,54,35,46
fr FRA,FW,Anderlecht,24,2000,11,2,279,50,77,81,72
mx MEX,DF,Necaxa,28,1996,20,18,1527,50,30,31,38
py PAR,MF,py Libertad,19-297,2005,5,3,263,37,26,52,26
mx MEX,MO,Cruz Azul,24,2000,29,21,1696,50,77,36,44
ar ARG,DF,Banfield,27-320,1997,14,14,1211,26,29,29,55
co COL,MO,ar Estudiantes–LP,22-197,2003,13,2,390,26,43,65,82
ar ARG,GK,py Cerro Porteño,33-015,1992,3,3,270,54,44,42,52
ar ARG,FW,Lanús,21-034,2004,13,7,545,46,59,68,70
ar ARG,DF,Defensa y Just,31-272,1993,15,15,1288,57,81,80,63
mx MEX,MO,Toluca,26,1997,34,31,2510,79,91,72,64
ec ECU,GK,ec LDU de Quito,23-300,2001,1,0,14,41,45,42,32
cz CZE,DF,Spezia,28,1996,34,32,2830,65,68,46,52
eng ENG,MF,Westerlo,19,2004,21,18,1606,85,54,71,40
eng ENG,MF,Luton Town,24,1999,26,25,2037,69,73,69,72
eng ENG,DF,Sheffield Utd,20,2003,30,27,2103,47,75,64,65
eng ENG,DF,Hull City,26,1997,41,37,3389,34,48,49,44
eng ENG,MO,QPR,21,2003,27,4,747,54,28,49,62
py PAR,FW,Tigre,29-213,1995,8,1,227,72,36,63,69
mx MEX,MO,Monterrey,24,2000,28,10,1130,55,33,30,48
mx MEX,GK,León,37,1987,26,26,2340,56,57,47,66
mx MEX,MO,Pachuca,29,1994,19,7,693,71,55,52,68
uy URU,MO,Arouca,25,1999,33,28,2420,50,36,33,56
sn SEN,GK,Palermo,30,1993,1,1,36,41,44,50,45
us USA,MF,St. Louis,35-068,1990,15,8,710,31,55,28,42
co COL,MO,co Nacional,29-028,1996,6,3,253,66,38,37,35
ng NGA,MF,Antwerp,24,2000,23,22,1980,59,67,71,54
ca CAN,FW,Vancouver W'caps,24-282,2000,14,7,781,50,94,85,75
tr TUR,MO,Dender,22,2002,4,0,44,78,32,48,62
iq IRQ,FW,Stoke City,22,2002,15,11,829,55,39,59,63
iq IRQ,MO,Almere City,20,2004,11,4,437,72,72,74,62
ma MAR,MF,Anderlecht,19,2005,6,5,425,30,23,72,51
mx MEX,MO,UNAM,20,2003,15,0,228,78,59,53,45
gm GAM,MF,Genk,22,2001,2,2,180,61,46,80,72
ir IRN,MO,Heerenveen,30,1993,19,16,1451,71,69,65,71
lr LBR,MF,Minnesota Utd,17-328,2007,3,0,10,21,12,55,6
br BRA,MF,São Paulo,32-024,1993,18,17,1411,54,58,36,32
nir NIR,MF,Preston,24,1999,29,28,2418,46,33,32,74
ng NGA,MO,Houston Dynamo,23-184,2002,21,10,909,56,54,71,73
si SVN,GK,NE Revolution,31-202,1993,22,22,1980,45,40,43,36
rs SRB,MF,Palermo,22,2002,24,2,559,60,34,54,75
ir IRN,MO,Westerlo,23,2001,26,22,1806,74,58,72,70
br BRA,MF,Flamengo,28-138,1997,33,11,1011,67,80,68,70
br BRA,MO,Fortaleza,25-106,2000,5,2,187,41,60,64,54
ec ECU,FW,Inter Miami,19-036,2006,6,1,157,49,32,20,58
mx MEX,DF,Pachuca,23,2001,17,14,1334,39,46,53,60
es ESP,MF,Toronto FC,25-280,1999,20,13,1219,56,62,46,71
mx MEX,MF,Mazatlán,31,1993,13,10,861,54,54,66,23
cr CRC,FW,NYCFC,26-277,1998,19,19,1649,77,52,61,25
mx MEX,MF,Atlas,22,2001,2,0,53,43,30,8,64
be BEL,MF,Utrecht,21,2003,21,15,1270,24,29,23,77
be BEL,MF,Sint-Truiden,20,2004,2,2,147,21,18,11,32
0,FW,py Olimpia,0,0,1,0,19,42,43,58,62
pt POR,DF,FC Dallas,20-093,2005,4,3,271,27,21,12,79
jm JAM,DF,FC Cincinnati,31-001,1994,15,4,458,55,53,79,77
br BRA,MO,Grêmio,19-075,2006,9,5,424,37,39,52,81
br BRA,DF,Santa Clara,21,2002,2,2,163,31,31,23,41
mx MEX,MF,Pachuca,21,2002,22,10,895,72,76,72,56
mx MEX,DF,Necaxa,23,2000,20,14,1413,73,33,37,69
ml MLI,MF,Arouca,23,2000,16,12,1059,41,44,64,66
no NOR,MO,SJ Earthquakes,35-031,1990,13,5,488,66,69,45,47
be BEL,DF,Anderlecht,19,2004,3,1,123,27,38,49,51
gh GHA,MO,Norwich City,21,2002,21,8,727,49,67,29,50
se SWE,MO,Willem II,20,2004,22,5,703,57,53,76,59
us USA,MF,Columbus Crew,28-232,1996,11,3,286,37,66,64,59
de GER,MF,Heerenveen,27,1997,15,8,734,29,59,51,69
jm JAM,DF,Luton Town,30,1994,31,31,2706,39,57,56,38
eng ENG,MO,Blackburn,19,2005,22,6,723,49,41,62,52
mx MEX,MO,Cruz Azul,22,2001,5,0,22,29,38,19,15
mx MEX,MO,Cruz Azul,18,2005,21,4,616,65,69,64,55
eng ENG,MF,Watford,17,2007,1,0,19,37,42,44,6
fr FRA,MO,Houston Dynamo,27-234,1997,22,20,1614,45,79,55,40
ma MAR,MF,Charleroi,17,2006,1,0,11,21,12,10,6
ma MAR,FW,Braga,23,2001,33,15,1604,63,54,29,62
nl NED,MF,Willem II,21,2003,23,21,1741,30,41,43,78
ma MAR,MF,Estrela,31,1992,24,17,1372,24,32,20,47
il ISR,MF,Union SG,19,2004,24,16,1500,76,69,82,78
be BEL,MF,Almere City,29,1995,26,23,1768,29,54,39,35
nl NED,DF,Twente,22,2002,18,15,1280,87,84,86,45
ma MAR,MO,Burnley,23,2000,1,0,25,15,9,54,60
ua UKR,GK,Benfica,22,2001,32,32,2880,47,58,51,57
es ESP,MF,Boca Juniors,35-339,1989,5,4,253,40,66,44,73
dk DEN,FW,Anderlecht,26,1998,41,39,3408,77,92,73,44
uy URU,MO,Toluca,20,2004,16,6,719,49,38,37,58
ec ECU,MO,FC Dallas,29-049,1996,15,14,1141,63,40,51,42
br BRA,DF,Colorado Rapids,23-248,2001,2,0,23,41,38,35,19
pe PER,DF,Santos,32,1992,23,21,1810,52,45,40,72
ch SUI,MO,Genk,25,1999,25,23,1765,64,39,30,34
jm JAM,GK,Philadelphia Union,34-240,1990,14,14,1260,55,57,57,43
eng ENG,MO,Sheffield Utd,20,2003,22,10,951,68,59,73,75
eng ENG,MF,Portsmouth,25,1999,39,32,2817,47,37,26,45
jm JAM,FW,Plymouth Argyle,33,1991,13,5,550,50,55,29,48
br BRA,FW,Grêmio,23-214,2001,7,0,122,69,32,73,39
it ITA,FW,Juve Stabia,24,2000,33,31,2586,57,45,48,46
it ITA,FW,Benfica,30,1993,14,4,457,85,50,70,63
it ITA,DF,Südtirol,26,1998,3,3,232,59,72,78,53
it ITA,DF,Cittadella,21,2003,4,2,160,31,28,13,62
it ITA,DF,Catanzaro,21,2003,7,6,430,58,30,75,37
it ITA,DF,Cesena,25,1999,33,28,2596,54,77,56,53
it ITA,DF,Brescia,27,1997,22,19,1706,57,62,53,62
it ITA,FW,Bari,27,1997,22,7,784,74,62,56,63
it ITA,GK,Cremonese,29,1994,38,38,3420,63,72,60,67
it ITA,MF,Sassuolo,24,2000,23,19,1407,46,71,65,40
it ITA,DF,Südtirol,22,2002,30,26,2419,66,56,30,55
bg BUL,DF,Cosenza,25,1999,19,17,1558,65,47,26,42
it ITA,FW,Catanzaro,33,1991,14,5,474,47,43,21,47
it ITA,FW,Cittadella,31,1993,8,2,227,32,57,55,67
it ITA,DF,Südtirol,38,1986,16,14,1250,47,77,54,56
it ITA,DF,Reggiana,27,1997,36,35,3091,35,40,38,59
it ITA,DF,Bari,21,2003,29,20,1745,62,66,74,39
it ITA,DF,Brescia,22,2002,17,14,1155,38,55,39,39
it ITA,MO,Cosenza,24,2000,30,13,1430,49,53,45,37
it ITA,MF,Cittadella,24,1999,25,6,825,39,49,63,38
bj BEN,FW,Standard Liège,22,2002,19,4,526,52,46,62,45
dk DEN,GK,Westerlo,22,2002,8,8,720,68,60,59,58
dk DEN,DF,Colorado Rapids,31-123,1994,22,22,1980,52,35,32,36
gr GRE,DF,Rio Ave,21,2003,16,15,1364,38,35,33,62
no NOR,MO,Benfica,20,2004,20,3,524,75,87,75,22
dk DEN,FW,Club Brugge,24,1999,19,14,1136,85,92,87,52
be BEL,MF,Antwerp,18,2006,10,4,457,24,30,23,53
at AUT,MO,Blackburn,32,1991,30,15,1411,61,55,23,37
mx MEX,MO,Cruz Azul,22,2002,22,5,636,55,72,43,71
ro ROU,MO,Salernitana,19,2004,2,0,33,65,73,79,6
br BRA,GK,Gil Vicente FC,23,2001,33,33,2970,53,49,48,65
us USA,DF,Sporting KC,30-077,1995,10,4,358,56,74,90,57
us USA,DF,Chicago Fire,28-290,1996,22,22,1852,86,77,64,54
dk DEN,MO,Gent,29,1995,7,7,443,54,80,57,60
wls WAL,DF,Preston,32,1992,40,36,3236,43,59,52,61
ie IRL,MO,Stoke City,20,2003,35,26,2357,44,56,27,67
us USA,DF,Charlotte,24-351,2000,20,18,1625,46,40,28,45
us USA,GK,Philadelphia Union,19-170,2006,9,9,810,54,42,42,66
us USA,GK,Houston Dynamo,31-285,1993,4,4,306,41,40,46,34
ru RUS,GK,Seattle Sounders,26-321,1998,4,4,360,41,40,43,43
is ISL,FW,Gent,22,2002,26,13,1257,48,63,50,54
bg BUL,MF,Casa Pia,25,1999,26,20,1664,44,27,23,58
nl NED,GK,Heerenveen,30,1994,16,16,1365,45,42,49,45
us USA,MO,Bari,27,1996,28,10,1151,62,54,35,33
eng ENG,MF,Luton Town,33,1991,1,0,11,39,34,85,6
pt POR,MO,Farense,21,2003,2,0,35,56,22,68,6
pe PER,MF,Corinthians,34-035,1991,11,9,709,48,72,78,28
