Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
Dylan Nealis,us USA,DF,NY Red Bulls,26-354,1998,8,7,607,55,58,87,56
Dylan Torres,mx MEX,MF,Puebla,20,2004,1,0,9,28,10,7,6
Dylan Vente,nl NED,FW,Zwolle,25,1999,30,29,2518,58,44,37,51
Dániel Gazdag,hu HUN,MO,Philadelphia Union,29-139,1996,21,20,1749,45,75,46,40
Dániel Sallói,hu HUN,MO,Sporting KC,29-000,1996,22,15,1409,67,51,52,32
Dávid Hancko,sk SVK,DF,Feyenoord,26,1997,32,32,2880,73,84,72,42
Dória,br BRA,DF,Atlas,29,1994,30,29,2613,60,38,34,45
EDU,br BRA,DF,Vitória,25-033,2000,7,5,459,37,24,11,66
Earl Edwards Jr.,us USA,GK,SJ Earthquakes,33-176,1992,6,4,475,40,53,62,52
Ebenezer Akinsanmiro,ng NGA,MO,Sampdoria,19,2004,35,14,1530,52,71,60,76
Ebou Adams,gm GAM,MF,Derby County,28,1996,44,42,3789,60,33,36,84
Ebrima Darboe,gm GAM,MF,Frosinone,23,2001,26,21,1715,72,66,48,49
Eddie Segura,co COL,DF,LAFC,28-167,1997,18,15,1361,65,55,47,40
Edenílson,br BRA,MO,Grêmio,35-213,1989,8,6,477,56,67,25,34
Eder,br BRA,DF,Ceará,30-105,1995,1,1,90,23,14,9,13
Eder López,mx MEX,DF,FC Juárez,18,2006,11,0,258,46,47,72,65
Ederson Castillo,ec ECU,MF,ec LDU de Quito,16-221,2008,1,0,4,28,10,7,6
Edgar Elizalde,uy URU,DF,Platense,25-142,2000,1,1,77,63,70,27,75
Edgar Guerra,co COL,MF,León,23,2001,22,10,1070,49,54,86,56
Edgar López,mx MEX,MO,Toluca,25,1999,20,6,612,32,39,33,40
Edgar Zaldívar,mx MEX,DF,Atlas,27,1996,16,13,1003,75,50,57,57
Edgaras Dubickas,lt LTU,MO,Juve Stabia,26,1998,5,0,90,17,41,27,55
Edgaras Utkus,lt LTU,DF,Cercle Brugge,24,2000,18,11,976,44,51,44,83
