Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Line Index,Passes Index
Ognjen Čančarević,am ARM,GK,am FC Noah,34,1989,3,3,270,25,7
Oliver Baumann,de GER,GK,Hoffenheim,34,1990,35,35,3150,49,70
Omri Glazer,il ISR,GK,rs Red Star,28,1996,3,3,270,14,49
Oscar Jansson,se SWE,GK,se Djurgården,33,1990,2,2,180,13,7
Patrick Drewes,de GER,GK,Bochum,31,1993,21,21,1890,39,78
Patrik Carlgren,se SWE,GK,Nantes,32,1992,5,4,417,65,61
Pau López,es ESP,GK,Girona,29,1994,2,1,135,39,67
Paulo Gazzaniga,ar ARG,GK,Girona,32,1992,43,43,3825,53,39
Pepe Reina,es ESP,GK,Como,41,1982,12,12,1034,39,51
Peter Vindahl Jensen,dk DEN,GK,cz Sparta Prague,26,1998,8,8,720,41,62
Philipp Köhn,ch SUI,GK,Monaco,26,1998,21,21,1890,53,33
Pierluigi Gollini,it ITA,GK,Genoa,29,1995,7,7,630,29,60
Pietro Terracciano,it ITA,GK,Fiorentina,34,1990,9,9,810,27,22
Przemysław Tytoń,pl POL,GK,nl Twente,37,1987,2,1,167,52,84
Péter Gulácsi,hu HUN,GK,RB Leipzig,34,1990,36,36,3171,64,47
Radosław Majecki,pl POL,GK,Monaco,24,1999,23,23,2070,63,34
Razvan Sava,ro ROU,GK,Udinese,22,2002,12,12,1080,51,38
Remko Pasveer,nl NED,GK,nl Ajax,40,1983,11,11,953,83,67
Ricardo,br BRA,GK,se Malmö,31,1993,5,4,405,25,20
Ricardo Manuel Silva,pt POR,GK,si NK Celje,25,1999,6,6,570,20,7
Robert Sánchez,es ESP,GK,Chelsea,26,1997,33,33,2970,71,51
Robin Olsen,se SWE,GK,Aston Villa,34,1990,4,1,226,62,64
Robin Zentner,de GER,GK,Mainz 05,29,1994,32,32,2880,74,62
Roei Mashpati,il ISR,GK,il Maccabi Tel Aviv,31,1992,7,7,630,59,65
Rohan Ferguson,sct SCO,GK,nir Larne FC,26,1997,6,6,540,22,7
Rome-Jayden Owusu-Oduro,nl NED,GK,nl AZ Alkmaar,20,2004,11,11,990,43,39
Rui Patrício,pt POR,GK,Atalanta,36,1988,4,4,360,58,62
Rui Silva,pt POR,GK,Betis,30,1994,17,17,1530,67,47
Ruslan Neshcheret,ua UKR,GK,ua Dynamo Kyiv,22,2002,3,3,270,65,43
Rémy Descamps,fr FRA,GK,Lyon,28,1996,2,2,180,39,38
Sam Johnstone,eng ENG,GK,Wolves,31,1993,7,7,630,38,81
Semuel Pizzignacco,it ITA,GK,Monza,22,2001,9,8,736,29,60
Sergio Herrera,es ESP,GK,Osasuna,31,1993,37,37,3330,68,73
Sergio Padt,nl NED,GK,bg Ludogorets,34,1990,4,4,360,65,53
Silviu Șmalenea,md MDA,GK,md Petrocub,21,2002,6,6,540,17,7
Simon Mignolet,be BEL,GK,be Club Brugge,36,1988,12,12,1080,55,67
Simon Sluga,hr CRO,GK,il Maccabi Tel Aviv,31,1993,1,1,90,41,65
Simone Perilli,it ITA,GK,Hellas Verona,29,1995,2,2,180,77,25
Simone Scuffet,it ITA,GK,Napoli,28,1996,14,14,1260,37,61
Stefan Ortega,de GER,GK,Manchester City,31,1992,15,14,1280,49,52
Stefan Târnovanu,ro ROU,GK,ro FCSB,24,2000,11,11,990,62,54
Stefano Turati,it ITA,GK,Monza,22,2001,30,30,2676,46,76
Steve Mandanda,fr FRA,GK,Rennes,39,1985,18,17,1486,40,47
Stole Dimitrievski,mk MKD,GK,Valencia,30,1993,4,4,360,37,50
Sven Ulreich,de GER,GK,Bayern Munich,35,1988,2,1,135,40,41
Sławomir Abramowicz,pl POL,GK,pl Jagiellonia,20,2004,12,12,1080,35,7
Theo Sander,dk DEN,GK,dk FC Copenhagen,19,2005,1,1,90,29,7
Thibaut Courtois,be BEL,GK,Real Madrid,32,1992,42,42,3810,65,41
Thijmen Nijhuis,nl NED,GK,fi HJK,26,1998,6,6,540,28,7
Thomas Dähne,de GER,GK,Holstein Kiel,30,1994,9,9,810,55,76
Théo De Percin,mq MTQ,GK,Auxerre,23,2001,2,2,180,74,34
Tiago Cardoso,lu LUX,GK,Gladbach,18,2006,5,4,380,87,78
Timo Horn,de GER,GK,Bochum,31,1993,13,13,1170,40,71
Timon Weiner,de GER,GK,Holstein Kiel,25,1999,25,25,2250,36,78
Timon Wellenreuther,de GER,GK,nl Feyenoord,28,1995,11,10,955,48,54
Tobias Sippel,de GER,GK,Gladbach,36,1988,1,0,59,6,77
Tom King,wls WAL,GK,Wolves,29,1995,1,0,1,39,44
Tommaso Martinelli,it ITA,GK,it Fiorentina,18,2006,1,1,90,58,7
Unai Marrero,es ESP,GK,Real Sociedad,22,2001,5,5,450,72,33
Unai Simón,es ESP,GK,Athletic Club,27,1997,22,22,1980,73,60
Vanja Milinković-Savić,rs SRB,GK,Torino,27,1997,37,37,3330,78,76
Veljko Ilic,rs SRB,GK,rs TSC,21,2003,8,8,720,14,7
Vicente Guaita,es ESP,GK,Celta Vigo,37,1987,34,34,3060,44,38
Vid Belec,si SVN,GK,cy APOEL,34,1990,8,8,720,34,7
Vitezslav Jaros,cz CZE,GK,Liverpool,23,2001,1,0,12,63,99
Vitus Eicher,de GER,GK,de Heidenheim,33,1990,1,1,90,12,7
Vladan Kovačević,ba BIH,GK,pl Legia Warsaw,26,1998,2,2,180,22,7
Walter Benítez,ar ARG,GK,nl PSV Eindhoven,31,1993,11,11,1020,49,80
Warleson,br BRA,GK,be Cercle Brugge,27,1996,2,2,121,53,7
Wladimiro Falcone,it ITA,GK,Lecce,29,1995,38,38,3420,52,57
Wojciech Szczęsny,pl POL,GK,Barcelona,34,1990,23,23,2100,60,38
Yahia Fofana,ci CIV,GK,Angers,23,2000,33,33,2970,77,56
Yann Sommer,ch SUI,GK,Inter,35,1988,46,46,4170,67,63
Yehvann Diouf,sn SEN,GK,Reims,24,1999,34,34,3060,77,59
Yuri Lodygin,ru RUS,GK,gr Panathinaikos,34,1990,3,3,270,36,7
Zion Suzuki,jp JPN,GK,Parma,21,2002,36,36,3240,57,72
Ádám Varga,hu HUN,GK,hu Ferencváros,25,1999,2,1,148,22,70
Álex Domínguez,es ESP,GK,Toulouse,26,1998,1,0,19,48,88
Álex Remiro,es ESP,GK,Real Sociedad,29,1995,45,45,4050,52,59
Álvaro Fernández,es ESP,GK,Sevilla,26,1998,9,8,747,39,52
Ørjan Nyland,no NOR,GK,Sevilla,33,1990,30,30,2673,51,44
Đorđe Petrović,rs SRB,GK,Strasbourg,24,1999,31,31,2790,81,59
İrfan Can Eğribayat,tr TUR,GK,tr Fenerbahçe,26,1998,6,6,570,90,62
Łukasz Fabiański,pl POL,GK,West Ham,39,1985,14,13,1160,61,69
Łukasz Skorupski,pl POL,GK,Bologna,33,1991,34,34,2994,56,66
