Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
sct SCO,MO,sct Hearts,27,1996,6,6,420,38,24,67,56
uy URU,DF,Genoa,19,2004,13,9,900,44,36,51,35
ec ECU,MO,be Cercle Brugge,21,2003,6,5,317,60,45,51,21
ar ARG,MF,pt Porto,23,2001,9,9,735,36,56,40,66
fr FRA,MO,ch Young Boys,21,2003,7,2,298,34,43,47,29
fr FRA,MO,Gladbach,31,1993,30,24,1902,74,70,53,23
fr FRA,GK,Nantes,25,1999,12,12,1080,51,56,43,82
dk DEN,MO,Southampton,23,2001,20,11,956,57,50,44,54
is ISL,MO,Fiorentina,27,1997,32,21,1733,62,55,48,25
pl POL,GK,no Molde,21,2003,6,6,540,55,45,54,39
be BEL,MF,Sevilla,24,1999,22,16,1471,40,67,44,50
at AUT,DF,ch St. Gallen,29,1995,5,4,425,44,39,46,39
it ITA,FW,Como,28,1996,5,0,87,46,26,46,39
it ITA,DF,Como,25,1998,23,20,1825,38,46,32,54
it ITA,MF,Empoli,29,1995,28,27,2203,45,28,27,51
it ITA,MF,Atalanta,19,2005,1,0,6,46,28,17,21
es ESP,FW,Valencia,23,2001,1,0,7,35,27,46,12
es ESP,MO,Las Palmas,20,2003,35,32,2714,56,59,63,32
es ESP,DF,Como,32,1992,24,21,1727,56,65,66,18
it ITA,GK,Torino,31,1992,1,1,90,42,43,46,42
es ESP,MO,Getafe,18,2005,5,0,69,63,66,72,62
pt POR,DF,Juventus,20,2003,13,7,717,86,63,83,81
ch SUI,DF,ch Lugano,21,2003,7,7,629,70,44,50,47
xk KVX,FW,cz Sparta Prague,23,2000,6,4,325,43,43,33,55
be BEL,DF,nl Twente,25,1998,5,2,231,24,26,20,39
es ESP,MF,Leverkusen,27,1997,38,21,1819,71,85,63,32
es ESP,DF,es Barcelona,20,2003,42,35,3087,61,75,87,24
es ESP,MF,si Olimpija,25,1998,7,5,418,84,35,68,15
es ESP,DF,Girona,21,2002,24,18,1608,47,61,66,60
ar ARG,MO,Manchester Utd,20,2004,51,33,3170,69,56,81,36
es ESP,MF,Milan,19,2005,22,14,1266,53,52,81,46
pt POR,MF,Lyon,16,2008,1,0,20,39,11,25,6
ar ARG,FW,Espanyol,20,2003,27,10,1127,31,25,15,53
si SVN,MF,ba Borac Banja Luka,30,1994,1,0,10,20,11,7,43
mk MKD,MF,kz Astana FK,27,1996,4,4,315,26,18,34,44
rs SRB,MF,rs TSC,25,1999,6,3,247,30,33,54,74
rs SRB,DF,at RB Salzburg,24,1999,6,5,400,40,43,82,42
rs SRB,FW,rs Red Star,33,1991,2,0,26,29,17,27,12
rs SRB,DF,am FC Noah,34,1990,4,3,223,43,54,59,61
de GER,MF,Bayern Munich,20,2004,26,21,1743,60,64,67,52
rs SRB,MO,hu Ferencváros,32,1992,3,0,45,26,10,34,21
rs SRB,DF,Alavés,32,1991,9,7,594,26,22,20,61
rs SRB,MF,rs TSC,17,2006,1,0,11,64,28,48,21
ba BIH,DF,ba Borac Banja Luka,30,1993,1,0,24,22,14,40,56
