Team,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xAG),Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Runs,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Progressive Carries.1,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Age_goal,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
eng Manchester Utd,15,34,32.7,259,89,4,4,465,58,7271,8646,3501,3899,2986,3326,548,947,26,24.6,21.2,205,531,154,26,715,337,709,270,173,115,110,45,126,213,87,181,118,318,18,10410,865,3087,4617,2790,519,10406,270,138,6350,337,225,129,212,128,7198,709,32,1,1,151,185,22,4,3,0,687,233,180,54,19,58,39,3,3,3,0,0,18.6,56,161,437,50,56,163,8,15
eng Tottenham,15,28,24.5,190,70,4,4,335,47,6294,7584,2841,3174,2855,3204,429,814,21,16.3,17.5,140,490,140,27,613,309,608,230,142,111,90,29,108,210,102,174,145,401,11,9483,1015,3032,4326,2239,398,9479,332,144,5898,309,216,103,260,176,6244,608,23,2,1,160,155,21,4,1,1,741,184,159,88,13,59,47,6,1,0,0,1,16.6,38,111,399,67,87,235,20,14
es Athletic Club,14,22,20.3,208,57,1,2,364,39,5655,7033,2316,2631,2700,3119,548,968,18,15.6,13.5,160,533,112,44,647,285,644,236,144,88,121,27,110,217,107,123,121,292,4,8660,571,2110,4297,2334,337,8658,280,129,4677,285,223,70,221,142,5613,644,34,2,1,204,140,11,1,3,0,683,200,213,50,17,45,28,6,3,3,0,0,17.5,55,147,275,40,56,116,7,16
es Atlético Madrid,10,22,14.7,123,48,0,0,222,39,4794,5690,2379,2638,1895,2139,345,589,17,11.9,10.9,100,338,101,26,419,210,419,195,122,104,64,27,105,192,87,103,97,184,9,6707,547,2000,3055,1711,234,6707,154,67,4462,210,173,55,130,73,4762,419,18,1,0,102,96,12,0,5,0,454,74,91,31,14,46,32,2,5,4,0,1,14.7,27,76,172,49,53,108,14,5
es Barcelona,14,40,33.5,221,93,3,3,391,66,7645,8853,3527,3839,3334,3704,576,900,30,24.5,18.4,161,646,137,20,744,290,738,229,147,80,103,46,100,220,120,169,86,249,8,10369,839,2575,5187,2693,392,10366,318,149,5900,290,231,95,169,127,7595,738,14,2,0,125,161,14,3,4,1,592,132,149,91,24,59,36,4,4,4,0,0,23.8,26,108,471,63,56,151,14,55
es Betis,15,23,25.7,249,88,0,0,435,39,6651,7918,3096,3385,2748,3078,585,1010,14,18.7,15.6,185,533,146,33,630,288,619,259,156,112,108,39,138,240,102,153,149,366,4,9687,820,2755,4424,2612,398,9687,296,153,6001,288,241,98,212,140,6597,619,30,2,0,201,190,17,0,1,0,676,188,189,62,16,40,24,5,1,1,0,0,0.0,0,0,0,0,0,0,0,0
es Girona,8,5,9.7,77,28,0,2,147,9,3393,4007,1496,1632,1540,1706,288,477,3,6.9,6.0,65,232,46,17,284,133,280,135,82,68,53,14,73,131,58,86,60,135,4,4784,619,1708,2127,994,129,4782,137,67,2890,133,83,29,108,77,3371,280,25,1,1,116,94,12,1,4,4,296,62,62,61,13,44,33,1,4,2,2,0,13.6,22,73,244,29,45,96,5,2
es Real Madrid,14,29,29.0,209,83,1,3,376,46,7112,8112,3479,3711,2845,3111,550,897,20,20.1,16.8,168,522,122,19,600,317,596,246,163,122,78,46,108,204,96,122,129,233,1,9558,992,2964,4107,2565,383,9555,292,142,6568,317,220,109,159,114,7074,596,34,1,1,162,148,14,3,5,0,545,86,81,57,22,82,59,1,5,3,1,1,25.2,22,118,411,70,53,152,21,4
es Real Sociedad,12,22,21.5,167,59,4,5,297,34,4626,5784,2276,2560,1823,2129,413,765,13,13.2,14.5,119,309,84,24,426,202,423,211,119,105,69,37,103,198,95,115,93,318,7,7114,762,2190,3249,1731,283,7109,177,85,3914,202,150,67,148,98,4564,423,34,2,1,161,117,14,4,4,0,504,171,199,51,17,48,30,3,4,3,1,0,14.4,49,146,337,42,64,148,9,15
fi HJK,6,3,5.9,50,18,0,1,77,5,2148,2739,895,1048,1012,1175,201,396,0,2.7,3.5,36,160,30,6,192,63,191,121,73,52,59,10,55,116,61,89,61,137,5,3467,464,1317,1543,638,84,3466,90,37,1939,63,44,16,109,68,2128,191,14,0,0,80,87,9,0,0,1,254,72,88,26,9,33,25,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0
fr Brest,10,9,11.9,131,38,0,0,226,16,3212,4178,1357,1585,1387,1654,432,790,3,8.3,6.9,94,268,66,24,270,135,266,189,111,81,70,38,95,209,114,109,108,223,10,5312,640,1784,2353,1234,166,5312,172,79,2533,135,83,27,122,88,3182,266,20,0,0,113,116,14,0,3,1,460,144,131,58,21,52,32,2,3,3,0,0,19.4,87,194,261,42,46,119,13,18
fr Lille,10,17,12.0,93,36,2,2,167,30,4130,4982,1733,1964,1934,2137,355,606,12,7.3,7.9,66,254,76,9,346,164,345,145,86,67,49,29,67,130,63,99,84,203,8,6076,675,2047,2709,1395,205,6074,219,115,4197,164,161,49,166,109,4098,345,23,2,2,101,108,16,1,2,0,443,103,95,22,13,45,32,1,2,2,0,0,15.4,44,125,303,34,36,112,5,3
fr Lyon,12,29,22.8,205,79,1,1,368,48,5889,6997,3137,3468,2219,2491,366,667,22,16.3,17.9,153,379,124,15,524,271,518,210,126,109,74,27,110,229,119,127,98,238,7,8384,825,2733,3582,2150,410,8383,269,132,5380,271,207,89,166,109,5835,518,26,1,1,138,150,22,1,2,0,550,129,146,54,16,59,43,3,2,2,0,0,19.2,40,143,376,48,63,151,11,7
fr Monaco,10,16,13.5,118,43,1,1,210,28,3827,4824,1812,2055,1653,1928,324,638,11,9.7,8.9,91,341,56,13,360,170,357,170,108,83,73,14,72,149,77,116,127,213,12,5967,541,1812,2755,1455,202,5966,171,81,2721,170,113,48,165,100,3791,357,23,3,2,118,124,28,1,3,0,464,119,136,50,17,49,32,2,3,3,0,0,18.4,18,87,225,62,69,105,7,3
fr Nice,8,7,10.5,119,32,0,1,217,13,3346,4151,1631,1832,1348,1580,259,481,5,8.1,8.4,92,250,75,22,321,182,318,146,93,57,71,18,73,127,54,99,88,156,13,5160,462,1486,2378,1354,193,5159,194,89,3299,182,142,34,149,99,3308,318,18,2,0,64,97,12,1,1,1,417,115,89,55,16,44,29,0,1,1,0,0,13.9,21,49,226,42,45,85,8,18
fr Paris S-G,17,37,36.2,319,115,1,2,579,61,9866,11284,4543,4909,4289,4648,743,1133,29,27.3,24.5,258,748,169,17,865,492,856,336,203,161,124,51,157,300,143,185,145,376,14,13329,1129,3559,6207,3685,584,13327,429,203,7471,492,376,196,206,181,9795,856,19,1,1,155,172,27,0,0,1,833,166,159,50,15,56,42,7,0,0,0,0,17.2,46,160,401,63,100,178,16,18
gr Olympiacos,10,11,17.6,147,43,0,3,272,17,3367,4598,1455,1749,1437,1776,390,759,10,12.3,11.5,123,378,104,40,445,162,442,224,150,79,101,44,109,213,104,149,132,199,6,5883,407,1250,2929,1778,258,5880,180,73,2971,162,140,33,176,103,3332,442,19,1,0,128,104,37,3,1,1,531,210,187,21,7,34,27,6,1,0,1,0,10.1,56,169,222,45,44,81,11,34
gr PAOK,10,13,14.9,128,50,2,2,227,25,4195,5156,1684,1879,2006,2267,424,755,9,11.2,12.6,98,333,95,18,385,148,379,167,94,82,62,23,78,150,72,126,88,249,5,6346,693,2093,2860,1451,246,6344,175,77,3760,148,137,31,158,82,4141,379,20,1,1,103,126,18,2,0,1,434,122,152,24,14,45,32,3,0,0,0,0,16.8,38,132,349,34,42,135,3,8
gr Panathinaikos,10,16,17.8,144,45,3,4,257,24,4803,5683,2335,2566,1918,2181,358,597,5,11.5,13.1,106,424,99,14,484,183,480,153,97,66,64,23,86,147,61,81,80,232,5,6749,538,1782,3148,1878,281,6745,191,87,4281,183,177,47,116,99,4767,480,24,1,1,112,154,11,4,1,0,399,116,121,60,14,47,33,4,1,1,0,0,0.0,0,0,0,0,0,0,0,0
hr Dinamo Zagreb,8,12,6.9,75,24,0,0,134,23,2289,2967,1007,1170,995,1141,223,479,10,5.1,4.9,59,152,47,12,186,120,183,160,96,98,47,15,87,168,81,98,85,232,4,3921,631,1623,1582,764,122,3921,135,68,1998,120,92,25,127,83,2273,183,19,0,0,84,80,15,0,4,0,323,83,95,63,19,46,27,2,4,4,0,0,19.3,44,130,202,19,67,131,3,3
hu Ferencváros,10,15,11.9,117,41,2,2,201,26,3207,4098,1403,1595,1372,1607,323,616,10,8.0,7.4,88,231,59,23,319,139,315,177,112,101,55,21,87,177,90,130,90,256,5,5261,669,1916,2207,1196,197,5259,172,79,3018,139,87,51,167,93,3177,315,21,0,0,136,108,17,1,3,0,430,133,144,93,18,49,31,3,3,3,0,0,17.0,54,126,258,30,54,127,4,8
ie Shamrock Rov,8,12,9.3,74,32,0,0,131,19,2965,3737,1579,1747,1065,1271,230,497,5,8.4,7.4,62,249,46,10,255,116,253,131,81,62,50,19,70,140,70,86,61,247,12,4692,541,1701,2010,1017,118,4692,123,48,2532,116,86,25,133,82,2945,253,22,1,1,87,84,8,0,0,0,351,93,98,51,10,28,18,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0
il Maccabi Tel Aviv,8,8,10.8,94,30,1,1,163,15,2923,3593,1231,1404,1340,1510,272,488,6,6.9,6.4,72,181,56,13,257,111,254,139,86,60,62,17,65,138,73,84,70,186,8,4475,586,1754,1860,910,149,4474,123,55,2473,111,92,33,127,91,2882,254,19,2,2,83,89,15,1,4,0,361,91,98,62,17,45,26,0,4,2,2,0,19.7,34,98,276,41,36,106,3,4
is KV,8,9,10.0,66,26,1,2,118,14,2573,3382,1111,1319,1120,1332,288,571,4,6.3,4.3,50,179,43,4,247,104,245,147,95,66,61,20,70,131,61,100,74,267,6,4378,635,1733,1808,882,134,4376,129,64,2283,104,74,21,132,49,2555,245,21,1,1,123,75,4,1,1,0,331,128,84,34,11,38,27,2,1,1,0,0,0.0,0,0,0,0,0,0,0,0
it Atalanta,10,22,25.4,171,61,1,3,309,41,4633,5529,2341,2572,1814,2046,321,549,19,19.8,19.9,138,332,136,45,517,278,515,130,77,56,45,29,72,153,81,88,72,147,7,6491,481,1615,2705,2244,321,6488,211,114,4696,278,215,75,132,85,4612,515,19,1,0,103,89,25,3,1,0,469,124,101,60,11,27,16,5,1,1,0,0,8.6,46,124,239,28,61,68,2,15
it Bologna,8,4,8.2,94,27,0,0,162,6,2831,3597,1103,1284,1342,1556,349,569,3,5.7,6.5,64,188,49,17,269,131,266,165,101,78,66,21,78,151,73,97,67,143,3,4516,488,1611,1985,966,163,4516,116,55,2668,131,75,39,121,73,2808,266,28,0,0,115,104,25,0,2,0,359,100,105,57,9,34,24,2,2,1,1,0,12.1,22,72,260,41,27,76,7,10
it Fiorentina,12,28,24.9,193,72,2,2,343,49,5268,6261,2050,2292,2441,2729,604,920,11,17.1,15.2,149,401,115,32,488,269,481,191,118,94,75,22,92,177,85,110,107,218,9,7560,700,2251,3550,1854,339,7558,262,140,5307,269,235,72,163,96,5199,481,34,0,0,167,168,32,2,2,0,503,179,120,85,18,49,31,2,2,2,0,0,0.0,0,0,0,0,0,0,0,0
it Inter,15,25,24.9,175,57,5,7,317,44,6308,7560,2872,3178,2742,3079,532,907,17,15.3,16.1,126,396,113,27,488,227,485,208,134,132,50,26,100,210,110,178,138,402,12,9121,1400,3795,3569,1847,313,9114,190,100,5812,227,196,54,167,101,6265,485,33,0,0,143,168,42,6,1,1,583,182,147,61,16,71,56,8,1,1,0,0,18.2,67,159,608,67,75,233,14,3
it Juventus,10,12,11.7,115,37,1,1,202,19,4501,5299,1969,2168,2024,2233,424,660,8,8.1,7.3,85,337,61,22,401,217,398,176,116,88,67,21,87,162,75,131,75,195,12,6445,712,2236,2888,1392,200,6444,229,110,3934,217,149,59,165,88,4467,398,15,2,1,113,92,25,1,2,0,415,100,116,58,11,48,36,3,2,1,1,0,16.0,39,109,292,58,50,133,8,5
it Lazio,12,23,20.2,175,63,1,1,316,40,5429,6521,2350,2627,2331,2639,573,919,20,15.9,16.3,142,450,123,31,539,274,537,207,122,97,80,30,110,195,85,136,127,286,6,7943,738,2210,3511,2297,364,7942,210,79,5721,274,291,92,167,115,5395,537,28,3,0,154,134,30,1,0,0,537,138,157,52,10,48,38,3,0,0,0,0,15.0,70,174,391,48,49,125,10,13
it Milan,10,15,13.9,149,59,0,0,266,25,4479,5195,1969,2183,2099,2308,337,528,11,10.9,11.4,111,388,86,18,472,244,468,149,92,67,58,24,68,147,79,85,80,179,8,6245,549,1727,2997,1601,268,6244,256,117,4152,244,185,88,113,76,4430,468,28,2,2,107,112,14,0,1,0,389,109,79,48,13,53,40,1,1,1,0,0,12.0,26,73,321,38,47,100,7,17
it Roma,12,17,20.0,183,58,2,2,326,31,5755,6864,2414,2729,2590,2871,579,950,13,14.4,15.3,138,402,116,30,488,210,482,201,123,87,74,40,95,165,70,115,112,256,7,8199,797,2347,3760,2175,329,8197,213,98,6012,210,241,56,169,94,5720,482,27,2,1,120,153,35,2,2,1,508,186,126,24,13,39,27,3,2,2,0,0,13.8,54,140,374,54,80,167,14,13
kz Astana FK,6,4,4.6,51,17,0,0,90,6,1986,2520,836,936,872,994,231,447,3,3.4,2.8,45,108,30,11,135,71,133,101,56,55,37,9,32,90,58,71,49,168,4,3233,521,1376,1370,516,56,3233,93,36,1721,71,62,11,93,46,1967,133,14,1,1,61,55,18,0,1,0,247,53,85,85,8,47,39,1,1,1,0,0,0.0,0,0,0,0,0,0,0,0
lv FK Rīgas FS,8,5,6.6,70,23,0,1,122,6,2290,3044,1012,1178,926,1092,258,559,3,4.2,4.9,54,164,48,19,214,93,211,128,73,75,44,9,59,110,51,118,93,225,5,3989,523,1676,1589,769,119,3988,115,51,2182,93,69,21,139,79,2272,211,10,0,0,98,85,14,1,0,0,377,115,106,28,13,40,27,1,0,0,0,0,11.1,33,110,194,30,41,129,6,4
md Petrocub,6,4,4.8,37,9,2,2,68,6,1886,2441,835,983,795,948,173,350,1,1.9,2.0,24,113,29,11,173,67,171,109,66,64,38,7,60,127,67,76,61,202,2,3182,485,1520,1190,500,70,3180,84,39,1499,67,51,10,114,72,1868,171,11,0,0,73,64,9,0,1,0,277,62,85,21,13,34,21,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0
nir Larne FC,6,2,2.6,32,10,0,0,56,4,1360,1940,556,670,556,688,199,444,2,2.2,2.2,24,102,18,8,118,51,117,121,65,74,36,11,67,117,50,73,46,213,3,2631,466,1187,1033,443,48,2631,69,32,1277,51,25,11,82,38,1342,117,14,3,1,71,79,9,0,1,1,205,77,110,26,12,34,23,1,1,1,0,0,0.0,0,0,0,0,0,0,0,0
nl AZ Alkmaar,12,20,22.6,152,54,2,2,257,33,4340,5542,1982,2245,1933,2252,323,726,8,14.3,13.0,108,355,99,13,445,204,442,217,120,96,96,25,120,245,125,166,114,309,4,6979,750,2206,3045,1815,276,6977,215,98,3720,204,152,83,186,97,4308,442,29,2,2,176,121,26,2,3,0,541,109,164,53,19,51,31,2,3,2,1,0,16.6,49,183,294,43,71,167,17,7
nl Ajax,12,21,20.8,147,64,3,3,257,33,5112,6255,2484,2791,2030,2307,436,813,11,12.4,13.8,108,337,84,16,406,195,402,230,139,108,84,38,112,203,91,137,139,325,8,7720,978,2759,3453,1583,247,7717,214,92,4399,195,153,57,184,101,5065,402,30,2,1,162,160,17,2,1,0,559,174,161,96,16,59,43,4,1,1,0,0,19.5,65,194,455,46,45,192,15,9
nl Feyenoord,12,19,13.3,121,44,2,3,208,34,4056,5027,1606,1833,1898,2123,437,788,12,8.5,7.2,96,305,64,13,377,184,376,190,113,103,64,23,102,206,104,139,106,243,8,6297,914,2345,2695,1318,208,6294,211,88,3610,184,131,56,140,91,3994,376,18,2,0,120,108,20,3,5,4,444,105,125,54,26,71,47,2,5,2,2,1,26.3,48,156,437,45,50,174,11,8
nl PSV Eindhoven,12,22,19.5,206,76,1,1,371,38,5574,6696,2348,2598,2463,2761,594,939,14,13.8,13.5,161,467,116,29,571,225,563,242,154,98,111,33,117,226,109,129,130,235,11,8093,867,2433,3687,2041,335,8092,207,87,4456,225,148,73,152,89,5520,563,24,1,0,127,117,16,1,1,0,560,157,156,58,24,65,41,1,1,1,0,0,22.4,73,163,440,53,66,158,13,11
nl Twente,10,11,12.7,111,36,3,4,191,18,3581,4619,1519,1778,1589,1860,391,741,6,7.3,7.3,75,264,70,24,328,149,326,236,150,114,90,32,119,211,92,117,95,271,3,5874,774,2265,2429,1236,207,5870,177,76,3161,149,108,47,133,96,3547,326,26,2,1,120,101,14,2,2,2,440,116,142,71,15,45,31,2,2,1,1,0,14.5,58,161,308,39,53,135,5,13
no Bodø/Glimt,16,25,24.0,180,68,2,2,321,45,7475,8895,3369,3731,3231,3594,590,1017,22,19.2,21.2,140,401,148,14,638,332,634,326,202,176,111,39,151,292,141,207,141,493,6,10938,1377,3957,4788,2290,432,10936,353,167,7017,332,239,99,236,163,7416,634,27,2,2,145,157,29,1,3,1,739,172,174,29,25,87,62,3,3,2,1,0,29.1,79,224,638,76,86,294,14,23
no Molde,10,13,13.2,120,40,0,0,215,19,5302,6390,2373,2650,2426,2733,390,714,3,9.1,12.6,93,412,122,17,517,170,513,180,108,85,68,27,86,166,80,131,88,237,4,7619,593,2173,3563,1941,298,7619,185,76,4297,170,131,51,160,98,5255,513,23,3,2,128,115,9,0,0,0,517,154,113,48,16,35,19,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0
pl Jagiellonia,12,19,17.6,130,44,1,2,234,31,4094,5222,1826,2113,1764,2078,363,692,9,11.6,9.3,94,266,84,15,393,131,389,208,118,117,74,17,104,215,111,132,107,357,5,6636,803,2477,2935,1278,225,6634,185,85,3493,131,110,35,163,106,4054,389,28,1,0,154,154,34,1,0,1,521,163,174,20,12,46,35,4,0,0,0,0,0.0,0,0,0,0,0,0,0,0
pl Legia Warsaw,10,19,18.7,132,39,2,2,226,34,2959,3890,1336,1585,1263,1490,243,512,12,12.4,10.8,90,210,85,20,328,163,325,191,115,83,69,39,67,135,68,108,94,275,5,5097,642,1798,2033,1322,246,5095,166,71,2748,163,97,50,131,107,2933,325,25,2,2,120,109,20,1,1,0,450,135,97,69,12,55,42,5,1,0,1,0,0.0,0,0,0,0,0,0,0,0
pt Benfica,12,20,23.9,167,64,4,4,300,35,4290,5426,1885,2167,1817,2110,481,839,9,13.7,12.6,123,328,103,26,390,207,387,259,144,138,94,27,129,263,134,148,136,285,7,6869,803,2492,2915,1518,293,6865,188,78,4161,207,140,58,176,116,4250,387,28,1,0,130,103,37,4,2,0,547,175,144,22,19,60,41,4,2,2,0,0,14.0,21,94,271,67,65,173,8,8
pt Braga,8,8,12.7,104,38,1,1,179,9,3398,4255,1390,1599,1559,1814,359,628,4,10.0,7.4,79,252,64,9,317,133,313,168,94,76,67,25,78,150,72,91,81,196,4,5198,523,1794,2369,1092,177,5197,158,77,3109,133,95,38,115,76,3375,313,17,4,2,92,95,7,0,1,0,368,107,114,54,12,39,27,2,1,1,0,0,10.6,26,82,256,29,48,123,6,22
pt Porto,10,15,12.6,130,39,1,1,235,27,4145,5027,1648,1867,1922,2154,482,778,10,8.6,11.7,96,307,104,21,395,189,393,169,107,79,75,15,84,161,77,114,78,219,5,6140,730,2200,2536,1470,283,6139,162,74,3909,189,157,51,151,92,4099,393,26,1,0,119,105,17,1,0,0,400,127,155,24,15,38,23,3,0,0,0,0,12.3,50,128,374,39,51,146,9,13
pt Sporting CP,10,13,12.9,122,41,2,2,222,23,4260,5015,1904,2103,1957,2167,334,552,9,9.1,8.0,96,281,55,9,340,183,337,173,103,86,71,16,90,170,80,97,84,187,10,6063,722,2237,2664,1210,180,6061,207,83,3807,183,125,62,119,100,4227,337,17,0,0,104,147,13,2,3,1,409,73,81,54,15,51,36,3,3,1,1,1,17.5,22,73,265,41,69,116,7,6
pt Vitória,8,15,17.3,151,55,1,1,259,26,3377,4087,1550,1715,1415,1643,312,529,9,12.2,9.1,113,294,87,18,375,162,370,164,117,85,57,22,91,155,64,79,75,175,2,5035,412,1463,2362,1249,209,5034,127,52,2874,162,114,42,122,65,3347,370,23,0,0,97,92,7,1,0,0,394,106,91,29,12,32,20,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
ro FCSB,12,15,11.5,123,44,0,0,205,24,3654,4785,1679,1946,1423,1698,418,789,7,8.6,9.7,91,193,63,13,258,129,255,238,144,126,84,28,120,236,116,150,137,330,7,6268,777,2613,2554,1165,186,6268,221,99,3229,129,102,40,173,124,3623,255,36,2,2,180,141,24,0,0,1,581,180,169,54,17,50,34,5,0,0,0,0,16.0,62,168,271,37,103,184,11,6
rs Red Star,8,13,9.4,93,30,1,1,156,23,2637,3343,1099,1241,1207,1418,280,509,10,7.1,6.9,64,205,51,13,283,144,282,126,70,78,38,10,64,126,62,84,80,166,12,4204,490,1417,1856,973,152,4203,141,77,2256,144,96,33,132,76,2613,282,13,0,0,77,106,19,1,1,0,316,75,115,76,22,47,25,1,1,1,0,0,18.7,43,119,169,27,75,102,4,1
rs TSC,8,12,12.3,129,38,0,1,224,21,3355,4179,1526,1765,1435,1647,301,538,9,8.0,7.6,88,286,62,11,327,124,323,137,87,45,67,25,70,152,82,80,86,164,4,5140,508,1571,2338,1281,195,5139,166,90,2963,124,96,39,138,92,3320,323,25,0,0,124,100,13,1,1,1,371,96,94,21,19,44,26,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0
sct Celtic,10,14,14.6,94,37,1,2,172,25,4645,5454,1960,2177,2369,2635,288,515,10,10.1,9.8,75,328,64,5,337,147,335,201,104,93,71,37,102,174,72,115,97,246,9,6565,803,2458,2856,1307,181,6563,146,67,3893,147,100,39,125,67,4607,335,10,1,0,92,79,18,2,3,1,374,101,97,37,17,54,38,3,3,2,0,1,17.3,24,59,332,43,66,156,2,5
sct Hearts,6,5,7.4,66,21,0,1,118,9,2240,2999,887,1085,1082,1291,216,473,1,4.7,5.5,46,153,47,10,217,87,213,120,80,41,63,16,53,108,55,69,58,106,0,3664,285,1050,1798,848,130,3663,98,48,2010,87,70,15,87,65,2223,213,11,0,0,70,75,6,0,2,0,280,140,134,41,9,23,14,1,2,2,0,0,0.0,0,0,0,0,0,0,0,0
sct Rangers,12,19,18.2,161,65,0,0,271,30,3702,4898,1571,1864,1547,1829,459,913,14,12.0,6.5,114,283,77,14,347,193,345,217,130,113,90,14,96,219,123,187,126,385,5,6465,858,2476,2799,1283,233,6465,248,126,3149,193,131,60,193,94,3671,345,30,1,0,158,113,22,0,2,1,600,169,157,59,15,43,28,3,2,1,1,0,14.7,77,217,315,44,99,215,11,8
se Djurgården,12,19,16.2,166,63,1,1,280,34,4604,5722,2243,2522,1886,2161,326,705,12,12.7,15.1,122,358,88,11,457,187,451,201,119,83,91,27,106,189,83,141,104,348,8,7195,738,2219,3308,1756,258,7194,196,87,4111,187,181,47,181,116,4571,451,28,1,0,170,147,22,0,0,2,543,131,137,94,15,40,27,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0
se Elfsborg,8,9,7.3,52,17,2,2,86,13,1760,2538,722,878,765,934,210,542,7,4.2,4.7,33,140,35,10,176,70,176,146,90,73,57,16,79,178,99,114,106,262,2,3534,689,1623,1330,631,98,3532,135,54,1661,70,61,17,108,70,1745,176,13,1,0,101,57,14,0,1,2,373,83,101,27,14,46,34,3,1,1,0,0,14.0,39,182,212,32,68,174,9,5
se Malmö,8,10,12.0,103,31,1,2,181,16,3195,4030,1762,1952,1083,1310,216,449,6,8.2,8.8,75,234,85,22,306,109,304,125,71,55,44,26,55,108,53,84,45,170,8,4860,482,1557,2022,1318,192,4858,143,64,2821,109,82,34,123,84,3165,304,22,1,1,92,93,12,1,4,0,324,93,105,85,17,37,20,0,4,3,0,1,12.5,13,79,160,30,56,112,6,4
si NK Celje,12,24,21.9,149,54,2,4,277,42,4869,5869,1902,2129,2289,2545,584,915,12,14.6,17.1,112,362,98,24,432,223,425,180,97,89,74,17,79,188,109,111,113,266,3,7118,747,2357,3092,1735,277,7114,188,91,4214,223,169,61,167,93,4815,425,23,0,0,161,154,16,4,2,0,467,134,126,81,24,59,34,2,2,1,1,0,0.0,0,0,0,0,0,0,0,0
si Olimpija,8,7,9.8,91,24,0,1,159,13,2838,3614,1008,1183,1381,1588,373,654,2,6.9,5.2,60,221,54,17,288,130,284,139,89,72,48,19,49,104,55,78,78,260,5,4644,526,1646,2091,961,154,4643,153,68,2601,130,90,24,139,81,2804,284,21,2,0,120,110,10,1,2,0,338,130,120,24,7,34,25,5,2,0,2,0,0.0,0,0,0,0,0,0,0,0
sk Slovan Bratislava,8,7,7.2,61,18,1,1,107,12,2372,3072,1128,1295,904,1069,217,450,5,4.5,2.5,45,168,28,1,197,95,195,132,84,81,40,11,64,141,77,113,98,273,7,4055,711,1851,1616,634,100,4054,157,66,2124,95,52,28,103,60,2359,195,17,1,1,72,102,12,1,2,0,330,68,72,25,27,64,36,0,2,1,1,0,23.6,34,101,157,39,80,163,11,0
tr Başakşehir,6,9,9.8,79,27,1,1,135,12,2306,2923,946,1109,1006,1147,260,460,1,5.3,5.8,59,149,49,15,203,97,196,101,58,47,38,16,39,75,36,73,64,153,2,3667,381,1157,1758,799,142,3666,107,45,2039,97,76,28,97,52,2274,196,18,0,0,68,81,9,0,0,0,273,93,89,46,12,36,24,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
tr Beşiktaş,8,10,13.1,100,35,1,3,186,19,3363,4110,1521,1692,1483,1688,303,553,7,6.4,7.9,75,249,51,5,271,144,270,157,91,82,51,24,76,135,59,105,90,183,5,5033,613,1770,2230,1089,155,5030,147,80,2854,144,121,34,126,85,3343,270,26,0,0,85,79,10,1,1,0,380,89,84,58,15,49,34,1,1,1,0,0,18.0,25,96,211,47,60,109,7,2
tr Fenerbahçe,12,16,16.2,128,43,0,1,233,26,4922,6265,2003,2292,2352,2720,504,961,13,13.5,15.4,103,371,111,38,514,157,511,225,131,121,86,18,114,222,108,140,135,272,13,7634,807,2549,3533,1607,253,7633,187,75,4312,157,107,36,189,83,4884,511,43,2,2,152,190,20,1,1,0,557,182,192,55,16,69,52,3,1,0,1,0,22.5,69,205,390,59,69,169,15,15
tr Galatasaray,10,20,21.7,199,70,1,1,360,33,4651,5728,2222,2493,1903,2234,419,720,12,14.9,15.3,146,355,123,43,513,183,510,196,122,80,87,29,100,177,77,120,102,198,4,6914,585,1820,3318,1837,286,6913,167,83,4239,183,158,49,120,83,4609,510,24,1,1,109,117,24,1,2,0,497,147,89,71,22,54,32,0,2,2,0,0,23.5,39,86,296,40,42,99,7,12
