Team,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xAG),Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Runs,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Progressive Carries.1,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Age_goal,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
Lille,34,52,56.6,424,154,7,10,769,84,16765,19728,7248,8031,7757,8568,1382,2203,29,35.3,40.0,318,1393,345,70,1616,669,1603,626,356,241,273,112,311,554,243,302,271,637,22,23278,1932,6099,11352,5991,854,23268,598,283,13642,669,512,158,513,300,16614,1603,77,2,1,410,376,48,8,4,1,1535,392,350,22,36,126,91,11,4,4,0,0,42.2,112,288,968,144,112,373,21,24
Liverpool,38,85,84.1,639,215,9,9,1151,147,18303,21758,8615,9382,7893,8905,1412,2550,65,62.3,54.4,509,1583,430,83,1924,825,1910,642,391,271,267,104,340,656,316,367,299,724,31,25905,2422,7285,11575,7274,1315,25896,677,301,14931,825,558,322,532,350,18113,1910,67,3,1,430,359,60,6,2,2,1621,406,368,79,41,138,98,14,2,1,1,0,42.1,102,325,1248,179,99,370,17,58
Lyon,34,62,61.3,434,173,8,10,802,114,16061,19063,7944,8738,6605,7372,1102,1978,46,44.6,52.5,350,1215,371,58,1615,709,1600,576,340,257,230,89,310,595,285,346,282,695,25,22636,2155,6644,10377,5810,999,22626,546,238,13430,709,483,201,456,281,15904,1600,60,0,0,407,357,71,6,3,0,1422,305,332,54,46,166,120,10,3,3,0,0,49.2,102,314,912,185,154,422,26,29
Mainz 05,34,53,51.1,417,142,4,4,736,93,12478,16434,5681,6560,5218,6226,1280,2671,37,37.9,45.2,319,1038,309,93,1286,466,1272,564,325,234,247,83,236,448,212,419,352,947,22,20675,2193,6705,9124,5015,782,20671,496,214,10562,466,334,119,593,295,12386,1272,71,5,3,408,329,78,3,5,0,1545,618,697,52,43,150,106,9,5,4,1,0,47.2,188,610,1049,139,191,547,47,66
Mallorca,38,34,39.2,382,107,4,5,684,60,12613,16224,5538,6293,5349,6310,1466,2803,24,26.4,28.3,282,973,239,112,1184,479,1169,584,361,305,211,68,257,500,243,389,326,1161,17,20649,2598,7168,9299,4391,635,20644,583,255,10945,479,409,85,567,377,12481,1169,81,6,1,466,432,78,4,3,1,1523,672,609,51,44,165,122,9,3,3,0,0,47.4,239,614,1035,144,245,638,23,27
Manchester City,38,71,69.8,603,208,3,4,1096,125,21531,24443,11071,11923,8884,9710,1281,2040,51,55.0,53.6,472,1685,440,62,1944,1146,1920,497,299,183,216,98,214,449,235,331,229,619,35,28103,2092,6503,12076,9753,1348,28099,799,377,18077,1146,863,404,476,395,21242,1920,59,2,1,287,382,45,4,4,2,1437,310,334,61,44,128,86,13,4,4,0,0,46.3,112,269,1255,163,126,357,19,61
Manchester Utd,38,42,53.6,524,168,4,4,939,70,16837,20415,8233,9125,6855,7768,1257,2438,29,39.8,35.9,406,1141,335,73,1448,697,1433,817,493,394,305,118,400,723,323,386,358,759,26,24734,2553,8593,10460,5908,967,24730,621,252,15116,697,475,230,521,353,16672,1433,86,3,1,403,371,69,4,4,2,1736,486,488,54,54,149,96,10,4,3,1,0,54.1,131,502,1280,148,173,455,26,30
Marseille,34,70,65.5,481,185,8,10,878,129,20427,23240,10229,10983,8543,9350,1062,1793,49,44.9,42.9,381,1513,325,69,1714,664,1703,552,358,244,229,79,274,472,198,272,280,523,31,26602,1928,6930,13580,6271,850,26592,607,278,16260,664,499,197,471,313,20224,1703,64,6,4,394,371,53,5,6,2,1485,312,249,32,47,135,87,5,6,3,3,0,47.5,92,202,1097,133,105,309,28,59
Milan,38,59,65.1,555,185,4,8,1011,107,16335,19101,6939,7660,7732,8519,1389,2238,43,47.2,39.3,442,1198,342,77,1589,915,1572,552,349,249,222,81,246,480,234,292,234,691,21,22849,2115,7299,10263,5518,966,22841,721,343,14001,915,648,269,513,288,16145,1572,70,6,1,415,428,60,7,2,3,1397,434,391,61,43,142,101,13,2,1,1,0,39.0,123,319,1401,182,208,462,27,71
Monaco,34,63,75.0,493,180,6,7,868,106,14561,17916,6877,7784,6192,7109,1143,2134,49,55.7,54.1,390,1232,391,59,1638,670,1629,670,429,281,287,102,339,624,285,350,357,667,18,21883,1745,5633,10914,5558,969,21876,613,266,12485,670,534,187,601,341,14447,1629,60,4,2,462,444,69,3,3,0,1763,426,421,50,41,128,87,11,3,3,0,0,38.3,77,269,767,146,186,379,30,38
