Team,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xAG),Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Runs,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Progressive Carries.1,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
Philadelphia Union,23,39,38.8,345,116,2,3,610,67,7431,10095,3510,4159,2931,3656,753,1628,31,28.6,28.4,255,748,195,64,857,281,849,417,282,173,184,60,204,401,197,289,247,565,9,12869,1062,3577,5846,3591,548,12866,283,121,6568,281,253,74,365,192,7354,849,62,2,1,327,274,40,1,2,0,1088,458,363,22,66,44,9,2,2,0,0,23.9,124,298,481,73,140,232,10,29
Pisa,38,58,58.0,487,134,4,5,829,93,10903,15159,4268,5272,4980,6275,1375,2751,33,37.0,38.2,338,1029,321,130,1265,487,1244,632,363,325,234,73,282,514,232,387,292,1170,15,19658,1971,6324,8478,5071,884,19653,463,203,9276,487,373,107,587,287,10769,1244,76,3,0,625,424,39,4,2,1,1399,990,781,37,130,94,11,2,2,0,0,39.9,272,647,1054,88,183,528,38,29
Platense,17,12,16.1,174,52,0,1,319,20,3680,5820,1580,2078,1448,2007,526,1335,9,11.6,12.7,130,419,127,58,516,158,510,392,226,178,167,47,191,342,151,205,179,536,2,8126,745,2435,3634,2166,263,8125,294,125,3483,158,119,35,297,150,3642,510,40,2,1,200,184,11,1,2,2,780,373,403,14,63,51,6,2,2,0,0,19.1,86,344,328,24,115,257,10,19
Plymouth Argyle,46,46,41.3,417,138,3,3,708,67,12584,17416,4995,5965,5925,7212,1431,3386,28,27.9,26.2,304,903,212,53,1133,518,1116,850,532,444,325,81,404,726,322,575,376,1615,21,23146,3379,9656,9670,4043,670,23143,630,252,11026,518,340,150,699,364,12439,1116,85,6,2,541,506,83,2,4,2,1693,755,948,88,246,160,3,4,4,0,0,93.0,262,1059,1594,187,392,785,27,42
Portland Timbers,22,29,27.4,246,89,2,3,437,51,9529,11521,4059,4543,4455,5019,888,1514,25,19.5,19.4,184,746,159,29,877,384,870,336,202,178,106,52,151,306,155,231,193,614,12,14047,1486,4704,6444,3036,454,14044,419,195,8246,384,303,113,344,180,9458,870,47,1,0,246,237,34,2,5,1,949,273,234,31,117,84,5,5,2,3,0,31.8,107,262,672,96,147,298,12,24
Porto,34,65,58.5,474,170,9,11,872,115,16032,19080,6695,7394,7527,8396,1524,2521,44,38.0,41.8,363,1264,350,101,1644,578,1631,472,275,174,202,96,238,449,211,300,253,521,13,22533,1710,5984,10789,5951,861,22522,575,234,12975,578,436,146,495,295,15901,1631,92,4,1,483,438,48,8,8,1,1375,436,424,30,93,62,16,8,6,2,0,32.5,136,315,1116,145,153,324,21,53
Portsmouth,46,57,56.4,508,155,5,7,854,96,11670,17391,4850,6034,5104,6681,1467,3745,35,35.2,35.2,335,1055,273,104,1241,504,1216,670,391,262,294,114,314,642,328,532,433,1253,16,22669,2605,7378,9583,5925,815,22662,585,223,10419,504,357,118,684,336,11540,1216,113,1,0,554,538,79,6,4,5,1740,1117,1095,71,211,145,10,4,4,0,0,68.4,359,1183,1444,103,273,631,15,110
Preston,46,47,52.6,494,148,2,2,851,78,14756,19861,6390,7482,6335,7667,1691,3675,35,41.3,38.3,378,1149,287,78,1377,570,1362,801,490,373,326,102,367,690,323,546,371,1307,13,25133,2890,9140,10790,5425,802,25131,576,236,12788,570,394,148,689,358,14650,1362,118,5,3,583,515,89,2,7,1,1860,901,771,59,166,106,13,7,6,1,0,51.6,308,795,1493,249,305,664,40,71
Puebla,34,29,33.3,385,122,5,6,655,44,9361,12613,4024,4701,3904,4717,1193,2486,12,21.2,18.4,285,770,161,47,900,411,888,601,370,300,235,66,300,566,266,371,351,879,5,16619,1992,5646,7420,3757,495,16613,583,267,7979,411,337,100,499,289,9268,888,78,6,3,462,329,56,4,7,1,1356,386,507,56,167,109,6,7,4,3,0,50.6,171,551,648,104,362,609,24,18
QPR,46,49,48.8,526,171,2,3,891,79,14888,19648,6534,7570,6393,7682,1591,3409,34,35.9,34.3,384,928,242,79,1210,560,1184,757,462,380,286,91,349,623,274,514,354,1393,12,25012,3097,10089,9884,5271,849,25009,631,264,12846,560,397,155,703,419,14716,1184,95,3,1,500,548,84,1,3,3,1707,830,805,63,178,118,10,3,3,0,0,61.2,207,664,1403,186,255,688,11,39
Querétaro,34,30,26.8,339,106,1,2,593,50,9447,12528,3817,4424,4160,4908,1214,2487,22,19.2,19.9,248,791,171,71,907,397,894,587,370,306,225,56,268,524,256,324,306,930,15,16328,2083,5908,7144,3446,491,16326,482,211,8181,397,311,92,497,281,9336,894,80,9,5,414,382,69,2,9,0,1308,400,431,55,172,115,7,9,6,2,1,52.6,176,548,614,105,348,604,27,26
RB Bragantino,14,18,15.6,182,59,1,1,328,31,4885,6076,2059,2326,2162,2515,534,915,11,10.6,11.3,138,391,87,18,517,226,510,231,157,117,81,33,111,237,126,172,129,444,2,7793,919,2705,3370,1807,279,7792,301,138,4309,226,157,59,214,110,4841,510,37,2,1,179,188,19,1,0,1,604,177,170,14,58,45,6,0,0,0,0,16.6,40,109,322,72,101,255,10,7
RKC Waalwijk,34,41,42.0,398,132,3,3,696,66,11039,14220,4426,5085,5013,5837,1350,2570,24,31.2,30.9,296,876,225,80,1052,572,1040,625,378,370,196,59,313,544,231,419,334,1041,18,18599,2714,7417,7446,3935,588,18596,574,266,9813,572,375,126,601,343,10917,1040,43,7,3,313,283,44,1,8,2,1515,486,453,74,196,124,4,8,8,0,0,70.4,251,617,1079,123,257,573,21,26
Racing Club,17,25,23.5,232,67,1,1,387,41,5139,7101,1911,2307,2365,2878,769,1527,17,16.4,15.3,155,526,147,36,669,262,666,256,146,119,99,38,113,237,124,159,198,450,9,9121,887,2748,4150,2311,385,9120,265,125,4244,262,152,51,280,129,5091,666,51,2,1,240,176,33,0,2,0,761,297,304,17,72,54,6,2,1,1,0,16.3,77,223,339,60,153,239,6,22
Real Salt Lake,22,22,27.8,300,92,2,2,537,37,9176,11168,4045,4507,3861,4404,999,1668,12,19.6,18.9,215,645,133,32,784,385,779,330,188,143,133,54,136,304,168,224,173,495,12,13520,1369,4617,6130,2900,414,13518,322,153,7916,385,266,96,341,163,9092,779,60,4,2,293,253,42,1,5,0,907,188,239,28,92,62,6,5,3,2,0,31.6,81,219,777,69,165,249,4,35
Reggiana,38,41,41.6,436,145,2,2,750,63,11362,15040,4910,5779,4893,5938,1234,2440,22,26.0,24.8,290,811,232,70,1066,598,1059,652,397,315,250,87,295,559,264,417,303,1166,11,19576,2257,7134,8491,4198,691,19574,560,247,10068,598,409,139,601,287,11265,1059,110,4,0,595,574,86,2,2,4,1381,654,761,52,146,98,8,2,2,0,0,47.5,156,460,695,120,281,656,26,4
Rio Ave,34,39,39.6,371,123,3,4,646,60,11497,14661,4520,5208,5404,6234,1297,2429,20,25.1,21.0,261,819,191,51,1051,493,1041,597,366,318,210,69,325,618,293,359,312,959,27,18711,2368,7215,8036,3671,555,18707,670,293,10059,493,324,102,576,305,11406,1041,79,5,2,458,453,93,3,3,5,1468,384,416,55,169,119,5,3,3,0,0,53.1,135,454,935,164,305,533,22,29
River Plate,17,24,26.6,268,92,1,2,478,40,7330,9255,3120,3615,3172,3720,872,1418,16,19.7,16.2,200,724,151,48,855,295,847,301,193,105,148,48,147,256,109,176,131,404,9,11296,738,2821,5823,2742,376,11294,337,141,6067,295,199,65,292,181,7275,847,49,2,0,224,227,37,2,0,0,796,352,307,10,54,44,9,0,0,0,0,16.4,49,115,293,80,105,173,6,19
Rosario Central,17,22,22.0,154,57,4,4,274,37,5050,6764,1990,2399,2334,2822,629,1164,17,14.7,10.7,114,441,85,16,590,260,584,352,229,164,159,29,152,279,127,169,155,569,6,8914,950,3061,4082,1880,226,8910,312,126,4271,260,154,46,310,164,5009,584,49,0,0,208,200,28,3,0,1,736,268,264,9,51,43,9,0,0,0,0,11.2,90,195,297,73,160,287,8,1
SJ Earthquakes,23,43,44.7,353,124,3,3,626,76,8497,10894,3755,4322,3567,4223,885,1634,33,31.8,27.3,260,691,229,66,932,399,928,380,218,164,160,56,209,386,177,251,248,599,15,13755,1341,4327,6093,3491,571,13752,370,162,7531,399,305,100,376,228,8430,928,55,3,3,288,282,50,3,2,0,1064,325,280,39,119,80,4,2,2,0,0,40.0,90,264,574,108,129,287,14,41
Salernitana,38,36,42.7,479,143,4,6,858,63,13723,17385,6165,6987,5901,6922,1390,2695,17,27.9,32.6,355,1079,313,85,1379,640,1359,596,347,256,259,81,284,530,246,387,267,904,12,21361,2112,6476,9885,5219,772,21355,486,240,10998,640,484,125,566,310,13581,1359,86,5,2,558,571,62,4,4,0,1375,589,669,47,136,89,10,4,4,0,0,48.7,167,516,971,145,258,486,33,30
Sampdoria,38,37,45.9,471,139,2,3,817,57,11392,15282,5153,6061,4890,5954,1141,2438,21,31.8,29.6,326,932,277,88,1231,495,1213,602,363,273,234,95,301,550,249,412,272,1032,18,19605,2311,6313,8535,4962,762,19602,557,254,9533,495,375,118,565,312,11272,1213,107,8,5,619,520,72,2,3,0,1374,669,756,49,168,118,12,3,2,1,0,49.1,174,536,939,146,259,572,52,26
San Diego FC,23,46,38.6,303,107,4,4,556,85,12669,14667,6365,6893,5065,5610,898,1454,37,29.3,30.7,240,933,237,34,1084,426,1078,346,212,149,129,68,170,319,149,210,179,423,21,16936,1546,5229,7862,3981,555,16932,313,141,10021,426,283,109,325,160,12561,1078,47,1,1,290,293,43,3,6,1,1001,185,152,31,96,65,7,6,5,1,0,30.8,28,71,669,106,88,203,14,34
San Lorenzo,17,14,16.5,162,56,4,4,285,23,4738,6606,1950,2362,2083,2610,563,1201,5,9.3,9.9,112,447,91,40,503,207,493,305,185,136,129,40,148,281,133,231,165,499,7,8701,826,2708,4082,2007,260,8697,289,133,4288,207,154,41,310,169,4684,493,55,1,1,196,239,25,2,0,1,707,347,327,11,52,42,9,0,0,0,0,12.1,89,272,296,41,145,244,9,1
San Martín de San Juan,17,5,13.0,182,46,0,0,307,9,3968,5938,1576,2028,1640,2177,577,1273,4,11.1,11.8,135,359,94,46,471,196,467,307,185,139,134,34,150,283,133,190,127,502,4,7998,831,2661,3493,1937,252,7998,243,95,3557,196,157,36,339,151,3927,467,43,3,1,228,206,25,0,1,0,658,313,349,20,64,44,3,1,1,0,0,20.0,130,333,388,31,142,236,21,13
Santa Clara,34,35,43.8,378,124,2,4,631,54,9569,13021,3984,4683,4213,5142,1112,2475,25,29.3,25.3,261,753,191,68,867,401,858,559,326,262,229,68,262,513,251,335,288,966,7,16921,1868,6093,7374,3649,558,16917,519,232,8366,401,302,87,520,229,9475,858,117,5,4,565,426,63,4,6,0,1329,547,516,32,114,81,11,6,4,1,1,29.1,164,518,738,118,283,453,39,27
Santos,47,38,49.7,541,148,4,4,945,65,16222,20360,7144,8060,6908,7965,1813,3343,24,34.7,31.6,381,1202,253,100,1422,625,1401,848,541,451,325,72,428,840,412,546,412,1191,15,25731,3127,9267,11886,4833,727,25727,783,368,14140,625,481,124,671,382,16084,1401,117,8,4,585,676,70,1,6,4,1823,616,571,80,253,176,7,6,5,1,0,70.7,214,578,1082,193,427,747,19,37
Sarmiento,17,12,17.1,181,49,3,4,321,20,4407,6172,1591,1901,2072,2565,679,1376,5,9.9,9.5,125,418,75,28,520,210,515,294,178,144,124,26,149,284,135,184,177,572,2,8302,986,2927,3719,1748,239,8298,275,132,3983,210,147,48,286,135,4370,515,53,2,0,210,194,32,3,2,2,709,242,276,21,87,68,4,2,1,0,1,26.8,92,258,358,39,130,302,14,17
Sassuolo,38,77,54.9,510,200,7,8,922,129,15742,19165,7730,8578,6204,7139,1256,2403,55,38.1,40.4,389,1170,341,72,1471,653,1453,501,320,245,182,74,213,419,206,379,291,986,11,23376,2177,6660,11092,5850,860,23368,550,280,12826,653,512,170,598,336,15655,1453,71,2,0,475,467,53,6,2,1,1481,571,600,38,150,113,15,2,2,0,0,40.7,144,427,818,150,213,573,41,11
Seattle Sounders,22,33,34.2,295,100,3,3,545,61,10292,12236,4665,5143,4416,4948,938,1551,28,25.6,28.0,232,884,215,49,1008,385,995,367,229,151,156,60,186,328,142,233,203,459,17,14614,1292,4165,6633,3927,566,14611,350,162,8743,385,302,130,308,157,10205,995,46,5,2,262,298,48,1,7,2,984,234,229,31,89,60,6,7,7,0,0,28.0,58,200,466,90,140,252,16,11
Sheffield Utd,46,59,63.7,592,184,3,5,1016,97,17024,21569,7522,8535,7355,8550,1764,3434,38,47.3,46.4,431,1318,334,62,1632,634,1613,765,491,379,301,85,353,636,283,493,363,1255,14,26906,2853,8723,11973,6440,1081,26901,738,347,14289,634,451,221,690,402,16894,1613,96,2,1,512,505,69,5,5,1,1744,801,690,36,149,113,22,5,4,1,0,41.2,264,700,1504,198,240,666,63,37
Sheffield Weds,46,56,63.9,587,174,2,4,1012,99,14615,19367,6683,7754,5995,7286,1472,3112,43,47.8,48.0,446,949,374,107,1507,692,1481,762,451,383,292,87,352,644,292,449,410,1211,15,24681,2858,8848,10349,5711,1026,24677,720,293,12534,692,500,189,644,424,14442,1481,87,2,1,558,518,81,4,6,0,1796,872,732,69,170,99,9,6,4,2,0,67.1,227,671,1451,159,244,598,34,40
Sint-Truiden,30,38,41.3,386,125,3,4,673,64,11558,14603,4560,5304,5327,6231,1296,2310,28,28.8,27.2,289,879,240,81,1124,484,1119,556,334,304,190,62,277,580,303,354,295,893,14,18396,2298,6706,8135,3806,577,18392,533,265,12379,484,404,107,480,300,11470,1119,62,5,2,294,260,44,2,11,2,1426,441,434,56,139,84,4,11,10,1,0,54.0,125,365,845,112,182,535,22,36
Sparta R'dam,34,38,43.3,469,158,2,2,821,67,12927,16314,4857,5684,6221,7159,1614,2753,29,32.9,37.1,369,1136,299,103,1350,619,1334,575,353,281,239,55,285,546,261,426,316,1037,8,20581,2449,7182,9038,4552,748,20579,481,206,11051,619,428,171,545,216,12774,1334,50,3,1,326,286,45,2,5,2,1436,657,566,43,150,108,6,5,4,1,0,44.8,243,539,1341,143,154,568,46,24
Spezia,38,56,67.7,596,174,5,8,1049,92,11369,15394,4815,5687,4578,5757,1382,2680,34,44.1,54.4,415,1040,396,164,1449,611,1435,560,357,262,218,80,270,527,257,435,287,920,7,19802,1817,5518,8522,5987,1096,19794,534,245,9266,611,452,126,608,332,11227,1435,99,5,3,645,633,40,4,1,3,1456,900,788,33,129,99,16,1,1,0,0,31.9,236,587,926,147,196,460,34,50
Sport Recife,12,4,9.1,158,47,0,0,266,8,4387,5556,1892,2149,1897,2193,466,837,3,6.1,10.1,109,391,108,26,509,198,504,188,124,87,78,23,96,198,102,117,98,291,8,6942,631,1928,3249,1826,260,6942,207,93,3608,198,138,46,198,128,4356,504,30,0,0,171,140,24,0,4,1,516,173,171,20,52,33,2,4,3,0,1,16.3,36,99,215,48,94,152,9,10
Sporting CP,34,86,74.6,611,210,13,13,1108,145,16353,19150,7362,8109,7404,8226,1275,2052,56,50.5,48.7,482,1531,358,58,1786,797,1767,545,332,205,241,99,277,463,186,318,252,556,17,22870,1522,5409,11230,6468,1102,22857,774,363,14600,797,502,286,515,281,16235,1767,68,6,2,391,470,37,8,4,2,1551,365,322,27,73,48,15,4,4,0,0,24.2,63,170,606,116,155,336,17,36
Sporting KC,22,33,25.2,229,77,5,6,416,60,8397,10418,3773,4260,3395,3864,1017,1764,23,15.9,21.6,167,803,176,35,906,397,896,324,216,148,123,53,154,304,150,192,189,521,10,12733,1198,3466,5559,3811,511,12727,294,121,7107,397,299,112,310,160,8326,896,54,2,2,273,290,29,5,7,2,877,189,238,41,117,78,3,7,6,0,1,39.0,96,367,481,78,186,291,14,17
St. Louis,22,22,31.8,271,90,2,2,475,34,7932,9915,3646,4104,3279,3797,736,1397,14,21.4,20.0,203,512,177,39,702,322,694,339,198,181,124,34,177,315,138,262,174,578,6,12394,1582,4840,5075,2595,448,12392,303,136,6888,322,232,86,313,187,7848,694,46,3,3,246,237,37,2,2,1,895,274,272,35,117,82,5,2,1,1,0,36.0,119,292,623,106,165,290,13,22
Standard Liège,30,22,36.4,311,89,8,9,537,41,8723,11926,3415,4191,3934,4877,1115,2220,8,20.6,23.7,226,695,202,49,938,409,929,531,314,267,217,47,248,477,229,333,344,1027,10,15739,1915,5634,6936,3353,561,15730,452,203,9504,409,337,118,502,288,8628,929,51,2,1,331,318,62,8,1,1,1250,536,551,35,137,102,12,1,0,1,0,42.8,176,561,700,99,214,489,35,43
Stoke City,46,44,51.9,469,150,5,6,803,76,14510,19226,6014,6954,6685,7947,1452,3328,29,35.3,31.1,319,1052,256,60,1299,597,1283,707,442,315,282,110,298,610,312,504,369,1302,21,24562,3159,9411,10407,4983,812,24556,736,283,12793,597,399,197,675,362,14374,1283,107,0,0,540,427,99,6,5,5,1663,689,819,62,209,151,14,5,3,1,1,71.4,196,700,1451,209,242,753,50,102
Sunderland,46,55,59.8,584,180,1,5,1045,91,16603,20874,6465,7485,7940,8976,1721,3228,37,41.3,40.9,441,1475,361,86,1837,888,1814,770,456,382,282,106,360,715,355,491,355,1207,15,26336,2796,8730,11700,6214,1078,26331,928,408,14549,888,547,279,717,440,16442,1814,101,4,1,493,571,79,5,5,5,1872,646,684,44,138,98,17,5,4,1,0,40.9,169,569,1316,212,298,612,27,32
Swansea City,46,48,57.8,495,159,2,3,883,80,19512,24361,8584,9637,8732,9968,1801,3643,35,43.7,45.7,385,1409,316,129,1697,801,1671,753,458,318,332,103,324,640,316,513,353,1111,39,29443,2953,9855,13520,6331,808,29440,727,308,16817,801,569,134,722,388,19239,1671,71,1,0,483,583,97,1,4,3,1920,681,890,56,166,113,14,4,4,0,0,54.5,310,965,1772,188,229,600,40,38
São Paulo,14,12,16.6,161,43,2,4,304,20,5282,6444,2210,2464,2451,2753,507,926,9,11.5,12.5,127,425,94,33,480,189,478,240,147,111,95,34,119,233,114,169,126,420,10,8131,894,2651,3837,1708,221,8127,262,104,4589,189,144,36,216,112,5246,478,44,1,0,203,190,15,4,3,1,578,191,195,18,61,44,3,3,3,0,0,19.4,38,149,248,29,97,240,4,13
Südtirol,38,48,44.2,455,133,6,6,786,83,10195,14309,4247,5149,4267,5457,1387,2861,32,28.9,35.7,314,953,309,108,1227,452,1212,491,314,232,185,74,224,447,223,399,296,1193,11,18542,2096,6062,7663,4980,836,18536,413,184,7828,452,279,109,546,238,10094,1212,93,3,2,655,467,60,3,5,1,1344,879,826,57,160,103,8,5,3,1,1,53.8,270,654,763,146,298,643,31,36
Talleres,17,11,20.0,264,80,0,1,468,21,6387,8012,2608,3025,2905,3346,736,1249,9,14.4,15.2,207,611,134,43,717,280,709,294,199,132,142,20,134,236,102,163,122,463,7,10036,883,3001,4792,2341,326,10035,295,138,5393,280,207,72,321,158,6323,709,39,2,2,204,191,29,1,1,2,705,278,235,17,50,35,6,1,1,0,0,14.6,99,242,472,52,93,236,14,8
Tigre,17,18,21.6,224,69,1,2,378,29,4646,6480,1852,2259,1980,2476,704,1388,12,13.6,13.2,155,475,105,39,558,176,557,320,194,140,151,29,133,257,124,195,166,467,1,8587,818,2696,4006,1979,294,8585,298,152,3872,176,162,45,312,157,4600,557,37,2,1,216,178,20,2,3,0,742,316,309,14,55,41,7,3,2,0,1,17.1,71,192,302,63,113,247,20,6
Tijuana,34,53,45.1,458,160,7,7,822,95,15420,18539,6552,7303,6909,7759,1589,2626,35,31.7,30.8,360,1313,265,63,1397,531,1379,602,396,294,251,57,275,504,229,314,319,732,12,22442,2070,7098,10340,5199,698,22435,590,294,13333,531,422,175,619,381,15238,1379,67,2,0,413,398,45,6,7,2,1452,422,380,60,179,120,4,7,6,1,0,59.7,159,399,1315,139,178,416,20,35
Toluca,34,75,55.0,486,204,2,3,870,125,14929,17933,5821,6513,6977,7781,1802,2876,56,41.0,36.1,382,1162,305,59,1351,615,1331,626,402,296,269,61,308,563,255,319,314,675,8,21538,2192,7046,10021,4690,733,21535,507,248,12987,615,506,161,480,273,14724,1331,67,2,1,382,323,62,2,1,1,1386,325,319,38,139,102,11,1,1,0,0,37.8,153,390,1131,122,230,429,25,38
Toronto FC,22,22,22.9,217,73,2,2,388,38,7687,9719,3311,3709,3357,3919,828,1602,14,16.7,14.0,160,685,116,36,676,370,666,409,235,194,180,35,195,360,165,220,207,625,6,12289,1403,4417,5386,2641,380,12287,370,174,6732,370,234,124,354,157,7616,666,42,0,0,253,258,34,2,4,0,975,244,255,29,104,75,6,4,4,0,0,37.0,78,251,501,86,165,284,12,16
Twente,34,61,55.7,488,172,7,7,879,109,13990,17578,5979,6790,6365,7379,1330,2514,43,40.8,45.9,382,1174,351,93,1511,616,1505,557,352,239,238,80,274,529,255,370,265,877,14,21442,2306,6890,9366,5365,842,21435,441,183,11961,616,413,164,478,238,13866,1505,44,1,0,349,344,58,5,2,0,1475,485,556,49,120,71,11,2,2,0,0,43.6,125,366,992,162,191,437,24,42
UANL,34,46,50.2,506,149,5,6,877,83,14092,17327,6093,6781,6203,7162,1499,2601,33,35.2,31.9,370,1275,294,99,1560,587,1534,625,404,279,271,75,294,540,246,349,338,607,9,21122,1786,5996,9940,5402,786,21116,535,247,11747,587,403,143,583,287,13908,1534,64,6,2,409,421,65,5,5,0,1465,410,397,29,131,102,12,5,4,0,1,34.7,172,371,971,120,239,408,19,47
UNAM,34,43,46.4,443,135,6,8,800,73,12712,15824,5325,5948,5680,6512,1407,2605,28,30.9,27.0,343,1215,227,77,1319,528,1310,618,390,273,273,72,302,561,259,342,289,716,10,19730,1848,5838,9605,4467,630,19722,516,238,10810,528,458,131,615,320,12578,1310,76,1,0,438,351,63,8,3,2,1427,410,378,39,122,85,13,3,3,0,0,33.6,164,446,885,157,255,380,21,61
Union SG,30,46,56.5,427,154,6,7,732,74,10842,14002,4292,5177,4800,5741,1343,2265,32,41.5,37.5,336,997,261,54,1328,551,1313,626,393,298,243,85,311,628,317,385,302,768,7,18041,1609,5182,8454,4625,867,18034,657,273,11568,551,463,205,545,291,10732,1313,71,3,2,389,318,72,6,2,0,1468,480,431,25,99,74,13,2,1,0,1,33.7,194,444,874,99,100,411,19,25
Unión,18,13,22.4,276,80,0,0,497,23,6232,8160,2417,2840,2828,3369,864,1530,8,17.3,17.8,211,602,168,72,775,354,769,270,177,115,121,34,133,273,140,177,169,453,4,10231,859,2880,4711,2759,400,10231,283,137,5409,354,261,62,273,162,6181,769,37,2,0,213,212,25,0,3,0,835,329,299,18,62,43,5,3,2,1,0,18.7,66,194,317,83,126,248,11,6
Utrecht,34,58,50.2,487,157,2,2,854,98,11403,14938,4328,5078,5384,6418,1385,2588,43,38.0,40.3,373,958,291,90,1312,578,1301,650,400,300,267,83,283,549,266,314,330,940,13,19175,2267,6403,8187,4795,846,19173,558,250,10168,578,429,147,556,309,11274,1301,48,1,0,352,367,38,0,4,1,1422,618,558,45,150,106,9,4,4,0,0,45.6,173,475,965,128,216,474,30,32
Vancouver W'caps,22,38,35.8,298,97,2,5,538,67,9329,11052,3956,4332,4198,4656,935,1517,28,24.6,28.2,217,858,217,62,986,359,981,329,202,140,123,66,159,296,137,211,169,509,9,13393,1237,3896,6132,3460,584,13388,308,138,8084,359,256,112,330,184,9263,981,45,1,1,274,262,17,4,4,0,843,241,226,25,73,47,10,4,3,1,0,24.3,70,200,613,81,119,265,15,35
Vasco da Gama,13,14,13.7,159,59,0,0,288,26,5862,6885,2744,2966,2471,2749,484,824,13,11.5,11.6,122,504,89,44,533,199,528,215,135,102,84,29,108,209,101,116,88,378,8,8291,843,2556,3993,1822,228,8291,244,107,4889,199,136,48,147,84,5825,528,27,1,0,174,157,12,0,0,3,495,158,144,18,46,31,2,0,0,0,0,15.0,27,98,293,52,99,218,15,8
Vitória,48,53,59.0,608,198,3,3,1056,92,18628,23239,7956,9001,8321,9569,1946,3553,35,40.4,43.3,435,1574,348,102,1977,730,1964,733,457,359,265,109,385,707,322,455,380,1169,20,28523,2695,8692,13236,6849,909,28520,733,308,15455,730,537,127,738,371,18463,1964,123,3,0,721,637,79,3,7,0,1940,636,679,52,170,118,16,7,5,0,2,50.6,165,477,1201,184,350,634,35,41
Vélez Sarsfield,17,9,13.2,152,40,0,1,274,17,5819,7699,2436,2906,2676,3219,585,1162,5,7.9,9.2,97,474,103,24,702,282,690,353,206,154,163,36,181,322,141,186,177,461,9,9926,872,3122,4760,2161,253,9925,369,179,5068,282,204,50,359,193,5768,690,48,5,3,216,231,42,0,3,1,777,307,331,23,61,39,5,3,2,0,1,18.8,46,151,312,63,138,205,12,6
Watford,46,52,55.9,521,159,7,7,939,91,17157,21736,8309,9256,6878,8173,1488,3163,33,38.8,37.6,384,1192,266,69,1434,816,1417,717,482,380,255,82,356,620,264,460,370,1221,33,27057,2911,9691,11835,5799,906,27049,823,366,14509,816,556,262,769,428,17021,1417,103,6,3,564,487,81,5,1,1,1735,730,720,61,201,140,12,1,0,1,0,68.7,198,642,1256,192,306,678,26,45
West Brom,46,56,59.4,590,166,1,1,1043,102,18953,23412,8293,9238,8577,9811,1692,3302,43,46.3,43.2,449,1373,307,105,1655,858,1641,693,412,358,255,80,327,595,268,435,328,1264,17,28525,2961,9816,12560,6366,1006,28524,778,359,15943,858,501,250,638,364,18772,1641,79,4,1,427,552,76,1,1,3,1735,743,681,47,155,111,14,1,1,0,0,44.9,214,692,1544,217,249,685,42,55
Westerlo,30,50,50.3,471,168,5,6,835,82,9617,12834,3351,4209,4467,5405,1477,2547,33,32.1,29.8,345,973,263,81,1348,568,1334,567,351,260,230,77,250,493,243,339,297,834,10,16685,1966,5255,7246,4443,776,16679,617,299,10403,568,438,158,552,253,9518,1334,82,3,2,301,297,42,6,7,1,1345,519,481,49,141,91,5,7,5,2,0,49.4,168,445,898,132,222,461,22,40
Willem II,34,30,26.9,299,101,3,3,531,50,11366,14589,4744,5420,5065,5877,1319,2569,18,19.1,23.7,241,980,167,56,977,458,965,561,332,303,198,60,277,536,259,418,297,1015,12,18547,2761,7125,7883,3723,466,18544,490,224,9830,458,348,94,533,285,11269,965,61,3,1,345,286,36,3,6,3,1314,543,587,56,181,128,5,6,6,0,0,60.7,239,621,905,128,278,620,36,11
Zwolle,34,42,39.2,374,124,3,3,668,71,13070,16429,5690,6459,5834,6736,1236,2433,28,29.9,32.4,291,1049,246,56,1244,524,1236,631,399,296,248,87,300,586,286,402,315,1080,21,20837,2661,7453,9019,4569,672,20834,604,264,10848,524,398,147,615,345,12966,1236,52,3,2,391,355,39,3,6,1,1502,507,528,51,160,110,6,6,3,0,3,54.7,176,593,1103,181,219,550,45,24
