Team,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xAG),Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Runs,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Progressive Carries.1,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
Chicago Fire,22,42,37.9,292,119,4,4,519,70,8911,10722,4173,4591,3811,4312,726,1308,30,28.0,22.1,218,596,166,17,780,328,776,326,186,171,103,52,152,300,148,254,208,577,20,13291,1750,5350,5258,2808,471,13286,366,147,7296,328,220,102,299,191,8852,776,50,3,1,291,232,37,3,7,2,920,224,220,40,100,61,2,7,5,1,1,36.7,45,148,556,100,117,273,17,18
Cittadella,38,30,31.5,423,114,1,1,727,53,10647,14945,4727,5657,4407,5624,1240,2751,20,22.3,24.5,299,1018,249,101,1302,505,1291,632,408,302,250,80,319,641,322,439,303,1175,14,19548,2169,6498,8160,5090,660,19547,525,227,9258,505,363,91,631,292,10546,1291,111,2,2,692,518,83,0,8,5,1541,780,851,54,171,121,12,8,7,1,0,53.4,138,443,715,148,298,574,29,26
Club Brugge,30,65,67.9,515,194,4,5,940,114,15167,17997,5582,6388,7349,8132,1822,2677,48,51.4,48.5,418,1264,377,91,1601,638,1593,475,292,217,188,70,205,412,207,297,217,638,14,21184,1957,6041,9967,5355,1020,21179,441,217,15716,638,511,198,383,249,15038,1593,40,2,1,280,312,37,5,4,2,1270,400,370,36,106,71,8,4,3,1,0,36.8,147,305,948,116,143,376,19,27
Colorado Rapids,24,30,36.8,269,87,6,9,485,57,7932,10350,3788,4334,3216,3835,685,1573,20,23.8,29.4,201,700,185,31,834,313,823,321,191,129,133,59,150,334,184,304,233,560,8,13018,1386,4080,5615,3455,526,13009,343,159,7002,313,249,80,342,192,7850,823,45,2,0,260,266,38,8,3,3,973,290,315,36,121,87,7,3,2,1,0,39.7,117,413,607,105,166,339,26,40
Columbus Crew,23,35,37.5,302,106,2,2,538,53,12740,14587,7038,7549,4644,5131,663,1130,26,26.9,30.5,238,1138,286,44,1256,433,1245,316,188,122,135,59,154,286,132,223,167,365,13,16850,1244,4376,7754,4851,597,16848,392,177,10615,433,321,125,315,226,12552,1245,34,1,0,224,264,45,0,1,1,985,152,203,32,84,53,4,1,1,0,0,30.2,42,145,693,103,133,190,8,41
Corinthians,14,14,16.4,147,43,1,2,266,27,6717,7885,2495,2781,3358,3682,745,1079,9,11.3,11.1,116,535,81,21,596,199,592,217,144,100,85,32,116,212,96,114,105,261,6,9201,754,2692,4725,1856,205,9199,203,85,5529,199,157,44,185,119,6667,592,43,0,0,192,203,24,1,3,0,542,142,133,17,51,34,5,3,3,0,0,17.5,44,99,272,52,95,150,5,4
Cosenza,38,32,46.4,532,148,3,4,939,53,11313,15166,4833,5700,4972,6016,1276,2724,21,32.7,29.0,363,1056,233,87,1245,546,1228,538,330,280,200,58,245,498,253,425,276,1056,13,19612,2056,6060,8908,4848,703,19608,582,250,9560,546,397,111,590,257,11199,1228,115,10,4,575,532,32,2,4,4,1350,664,699,56,162,110,7,4,3,0,1,48.8,266,690,1221,135,209,561,55,88
Coventry City,46,63,71.0,603,191,2,4,1043,105,17595,22467,8074,9157,7538,8801,1523,3369,45,51.2,52.5,457,1440,358,133,1703,779,1684,695,427,332,265,98,329,600,271,471,355,1178,15,27532,2762,8589,12511,6669,1069,27528,563,239,15145,779,541,214,686,411,17420,1684,75,1,0,504,463,82,3,1,3,1720,811,772,58,170,115,13,1,1,0,0,52.9,195,610,1330,142,258,577,19,69
Cremonese,38,62,61.0,595,188,2,2,1071,111,16226,19798,7021,7814,7201,8212,1595,2725,50,46.2,50.0,446,1302,363,127,1663,751,1647,535,338,243,213,79,214,416,202,335,285,904,22,23920,2148,7548,10251,6324,944,23918,530,234,13562,751,563,155,561,275,16066,1647,102,4,4,651,513,57,1,6,2,1523,681,627,44,116,74,8,6,5,0,1,40.6,160,400,1448,139,137,463,34,42
Cruz Azul,34,65,55.6,533,166,6,8,941,117,15198,18378,6324,6989,6624,7541,1815,2912,47,37.8,38.9,399,1266,376,106,1537,530,1525,665,425,277,314,74,354,658,304,331,262,527,12,22047,1993,6582,10561,5063,789,22039,466,216,12845,530,407,107,581,290,14992,1525,76,3,0,418,351,51,3,4,1,1524,305,321,28,91,63,14,4,3,1,0,25.7,117,288,1286,102,222,378,14,43
