Team,Matchs Played,League,Goals,Assists,Shots Total,Shots on Target,Expected Goals (xG),Non-Penalty Expected Goals (npxG),Penalty Kicks Made,Penalty Kicks Attempted,Shot-Creating Actions (SCA),Goal-Creating Actions (GCA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Crosses,Expected Assists (xA),Expected Assisted Goals (xAG),Passes Completed,Passes Attempted,Progressive Passes,Through Balls,Switches,Passes Blocked,Passes Offside,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Passing Distance (Total),Progressive Passing Distance (Total),Carries,Progressive Carries,Carrying Distance (Total),Progressive Carrying Distance (Total),Carries into Final Third,Carries into Penalty Area,Take-Ons Attempted,Successful Take-Ons,Times Tackled During Take-On,Tackles,Tackles Won,Tackles in Defensive Third,Tackles in Middle Third,Tackles in Attacking Third,Dribblers Tackled,Dribbles Challenged,Challenges Lost,Interceptions,Blocks,Shots Blocked,Clearances,Errors Leading to Shot,Ball Recoveries,Miscontrols,Dispossessed,Ball Losses,Passes Received,Progressive Passes Received,Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Live-Ball Touches,Yellow Cards,Red Cards,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Conceded,Penalty Kicks Won,Own Goals,Aerials Won,Aerials Lost,Total Aerials,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total)
Leganés,760,La Liga,760,540,6900,2200,696.0,586.0,100,140,12040,1460,4800,15360,3740,900,9900,374.0,428.0,212780,272060,20580,960,1800,5040,1560,246140,24360,7100,99300,113220,90240,107880,17560,35680,3613240,1170200,183000,8340,882180,437500,7280,2100,12520,6020,5260,12620,7640,5980,5000,1640,5860,11920,6060,6640,8720,3140,23440,300,29160,11480,6280,17760,214620,20460,359360,26760,113960,174140,75280,9640,359220,1620,100,10040,9220,1680,140,140,40,9180,12280,21460,3500.0,1120.0,2440.0,1178.0,58.0,220,4740.0,17700.0,17480.0,2640.0,117922.0,7140.0,468868.0,14180.0,1120.0,1060.0,18132.0
Legia Warsaw,264,Europa Conference League,548,324,3512,1024,498.4,463.2,44,44,6052,980,2356,5720,2252,480,4440,256.0,316.4,72128,95828,8816,284,208,2608,644,86020,9164,2604,33980,41088,29828,35972,5020,10120,1173592,460992,68276,4420,365196,189948,2596,1328,4656,1908,2492,5068,3132,2064,1892,1112,1748,3668,1920,2484,2552,1076,7224,132,11888,3384,3000,6384,73720,8728,127240,10124,39024,54092,35752,6800,127196,800,104,3296,3124,644,8,8,0,3912,2588,6500,1304.0,260.0,1036.0,358.0,98.0,160,832.0,2248.0,5184.0,932.0,28700.4,1616.0,56039.6,3576.0,236.0,140.0,1989.2
Leicester City,760,Premier League,660,500,6640,2100,628.0,580.0,40,60,11640,1120,5040,18580,4300,1340,12420,406.0,474.0,260240,319480,21600,1040,880,6340,1180,291120,27180,6420,129520,145020,107480,124420,15820,30780,4191460,1322000,225540,11520,1139920,556300,7300,2860,12720,5260,6060,14500,8580,7160,5560,1780,6680,13840,7160,6540,10080,3960,19340,520,29040,9960,6720,16680,258860,21440,402700,34020,129980,195920,80960,12640,402640,1700,0,8400,7800,1260,80,60,60,9880,11560,21440,4180.0,1600.0,2620.0,1490.0,-110.0,60,3620.0,13760.0,26000.0,3560.0,120130.0,4160.0,212748.0,11980.0,720.0,720.0,14060.0
Lens,612,Ligue 1,720,468,8712,2664,945.0,873.0,90,90,15318,1170,6570,19728,6354,1800,12708,689.4,649.8,252342,308124,26100,1062,1332,6228,1476,284148,22500,5814,128502,144288,98136,113850,17118,30042,4017294,1309590,209232,10260,1035648,507708,8622,2196,10458,4464,5346,10872,6552,4716,4194,1962,5346,10368,5022,5742,6966,1818,12456,270,27720,10368,6120,16488,255060,25920,378504,18630,93996,183078,104994,15264,378414,1494,198,8982,6426,1512,162,36,0,8010,7452,15462,2556.0,702.0,1836.0,869.4,167.4,234,2556.0,6120.0,16056.0,2916.0,90289.8,2898.0,103671.0,6858.0,738.0,612.0,11257.2
Leverkusen,932,"Bundesliga, Champions League",1764,1278,14018,5158,1562.6,1445.6,90,144,24956,3006,10822,44678,8674,2186,18778,1287.0,1099.2,488798,567276,44956,2034,3124,8620,1524,531852,33900,8442,260890,282962,186340,209440,31000,50026,7741352,2287516,372344,18844,1746930,918632,13748,5230,15020,6572,7478,11718,7714,4966,4690,2062,5408,11060,5652,6708,8332,2470,17268,606,38058,11972,6878,18850,490618,44632,660986,28532,135474,329760,199144,25364,660842,1730,140,9438,8770,1596,88,90,72,11742,10634,22376,3436.0,1106.0,2402.0,1041.6,-64.4,342,3490.0,8616.0,25222.0,3504.0,101018.2,4160.0,159792.0,9324.0,448.0,1150.0,23217.2
Lille,932,"Champions League, Ligue 1",1508,914,10580,3968,1377.0,1177.2,198,252,19006,2494,7746,32780,8566,1504,12630,849.2,840.8,409646,482798,40106,1186,2210,8748,1366,445086,36346,9820,180154,201328,189596,210406,29712,45858,7004340,2033456,356316,17286,1879672,934054,14152,4468,17528,8674,7928,15778,9112,6360,6478,2940,7556,13840,6284,7562,8584,2064,17240,552,39750,14310,8904,23214,410878,39854,578764,29628,142174,290686,151238,21932,578512,2138,198,10676,9974,1420,124,180,18,10000,9200,19200,3748.0,1056.0,2710.0,1265.8,209.8,234,3320.0,9044.0,26952.0,3696.0,109776.8,3192.0,129433.2,10266.0,518.0,540.0,9075.6
Liverpool,1080,"Champions League, Premier League",2328,1748,17508,6292,2379.2,2150.8,252,288,31072,4032,13604,43076,11948,1928,19716,1419.6,1727.2,485608,573628,53564,2276,3712,9004,1604,529840,42184,10848,234236,256284,205220,232648,34956,58916,8118568,2531352,399440,22912,2076540,1087232,15724,8956,19780,8444,9284,17432,10584,7008,7476,2948,8988,18048,9060,9052,11136,3128,19028,844,44652,14264,9516,23780,485856,53268,687200,38880,167888,326352,199768,36020,686912,1984,116,12032,9852,1644,76,228,40,10024,10120,20144,4004.0,1016.0,2972.0,1204.0,168.0,476,3260.0,9920.0,36296.0,4632.0,129101.2,3244.0,115694.0,10684.0,516.0,1644.0,31164.0
Ludogorets,288,Europa League,144,108,2916,756,277.2,248.4,0,36,4896,288,2196,5220,1584,936,4356,216.0,201.6,88848,112464,6120,216,828,2124,468,100980,11016,4068,38556,44712,39852,46872,7956,14616,1538208,479952,83160,4032,428904,191808,2556,432,5868,2664,2988,4932,2772,3168,1332,432,2340,5508,3168,2736,3312,792,8820,180,11520,4032,2772,6804,89280,6120,147204,14652,58716,62208,28008,4032,147168,720,36,3312,4212,468,0,0,0,4716,4536,9252,1836.0,396.0,1440.0,568.8,172.8,72,1728.0,5400.0,10440.0,1152.0,39744.0,2412.0,110934.0,5364.0,324.0,252.0,3798.0
Lugano,248,Europa Conference League,476,188,3468,1380,471.6,471.6,0,0,6304,740,2940,7436,2684,476,2880,352.0,428.0,103032,122372,10152,428,836,2192,448,112752,9172,3096,46680,51608,46044,51696,8244,13568,1773124,518928,83212,3648,444724,207016,3004,956,3752,1980,1580,4568,2772,2436,1652,480,2220,4288,2068,2472,2604,764,5368,196,10036,3192,2020,5212,103796,10080,149308,8980,48000,70212,32984,5532,149308,708,68,3520,3532,448,52,0,0,2956,3600,6556,1168.0,332.0,836.0,367.2,35.2,108,1608.0,3776.0,11516.0,940.0,27465.2,1360.0,56321.2,3396.0,140.0,36.0,496.8
Lyon,948,"Europa League, Ligue 1",1852,1444,13484,5394,1706.0,1557.4,152,188,24404,3244,10582,32254,10126,1424,16040,1431.0,1274.4,420594,498458,43454,1942,2814,9414,1866,460998,35594,10452,220040,243688,163736,185008,24876,41806,6633496,2101532,360202,20426,1791334,941146,14170,6262,17572,8004,8418,16278,9694,7608,6280,2390,8768,17290,8522,8076,9930,3122,18714,544,40874,12958,8218,21176,421658,43044,600094,33460,158290,284110,163736,29842,599906,1830,16,11264,10386,1974,98,116,0,9094,10228,19322,4628.0,1188.0,3440.0,1377.6,189.6,268,3044.0,10036.0,26448.0,4610.0,143137.2,4648.0,169922.8,11820.0,708.0,746.0,14326.0
