Player,Nation,Position,Squad,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
Fraser Forster,eng ENG,GK,eng Tottenham,36,1988,4,4,360,6,24,18,1,0,0,0,0,7.0,6,22,126,23,30,71,5,6
Tom King,wls WAL,GK,Wolves,29,1995,1,0,1,0,0,0,0,0,0,0,0,0.0,0,0,1,1,0,1,0,0
Sergio Herrera,es ESP,GK,Osasuna,31,1993,37,37,3330,52,182,131,8,7,7,0,0,56.2,277,614,966,139,276,524,32,85
Péter Gulácsi,hu HUN,GK,de RB Leipzig,34,1990,6,6,540,13,32,20,0,0,0,0,0,10.2,10,37,191,31,55,88,5,0
Ivica Ivušić,hr CRO,GK,cy Pafos FC,29,1995,9,9,810,10,24,14,3,3,2,1,0,0,0,0,0,0,0,0,0,0
Hervé Koffi,bf BFA,GK,Lens,27,1996,5,5,450,8,26,18,0,2,2,0,0,11.1,14,42,115,22,19,53,4,2
Alex Meret,it ITA,GK,Napoli,27,1997,34,34,3005,25,84,59,16,4,1,2,1,25.3,88,214,1041,117,181,378,21,47
Kevin Müller,de GER,GK,Heidenheim,33,1991,33,33,2939,64,169,105,7,6,6,0,0,59.3,152,428,1031,153,271,453,21,20
Marius Müller,de GER,GK,Wolfsburg,31,1993,6,5,475,5,23,18,1,0,0,0,0,7.6,37,97,184,29,34,99,9,3
Vanja Milinković-Savić,rs SRB,GK,Torino,27,1997,37,37,3330,42,173,129,10,7,3,4,0,51.4,223,702,1352,191,271,585,37,46
Dinko Horkaš,hr CRO,GK,Las Palmas,25,1999,13,11,1085,19,54,35,1,2,1,1,0,19.4,69,175,475,53,47,148,9,16
Antonín Kinský,cz CZE,GK,Tottenham,21,2003,6,6,540,11,32,23,1,0,0,0,0,10.5,17,58,186,37,30,112,10,9
Jay Gorter,nl NED,GK,nl Ajax,24,2000,1,0,67,2,3,1,0,0,0,0,0,1.0,3,6,27,3,2,6,0,0
Ivan Guteša,rs SRB,GK,rs Red Star,22,2002,3,3,270,3,15,12,1,0,0,0,0,4.8,20,52,62,12,30,38,1,1
Oscar Jansson,se SWE,GK,se Djurgården,33,1990,2,2,180,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philipp Köhn,ch SUI,GK,Monaco,26,1998,19,19,1710,19,63,44,8,1,1,0,0,17.2,50,157,447,70,99,225,16,20
Manuel Neuer,de GER,GK,Bayern Munich,38,1986,22,22,1980,15,45,30,13,2,1,0,1,15.0,92,194,867,81,56,162,6,40
Lorenzo Montipò,it ITA,GK,Hellas Verona,28,1996,36,36,3240,64,161,97,8,4,2,1,1,50.8,210,720,760,91,298,498,30,23
Ingvar Jónsson,is ISL,GK,is KV,34,1989,8,8,720,11,38,27,2,1,1,0,0,0,0,0,0,0,0,0,0,0
Dávid Gróf,hu HUN,GK,hu Ferencváros,35,1989,2,2,180,3,9,6,1,0,0,0,0,2.4,10,32,47,4,7,33,2,1
Alban Lafont,fr FRA,GK,Nantes,25,1999,12,12,1080,19,49,32,2,3,3,0,0,16.8,40,143,309,56,57,200,16,6
Bernd Leno,de GER,GK,Fulham,32,1992,38,38,3420,54,159,106,5,4,3,1,0,48.9,141,367,1231,167,172,507,23,33
Lukáš Hrádecký,fi FIN,GK,de Leverkusen,34,1989,4,4,360,6,21,15,2,0,0,0,0,6.7,10,37,114,15,21,43,1,7
Karl Jakob Hein,ee EST,GK,Valladolid,22,2002,31,31,2790,68,163,96,5,4,4,0,0,58.8,165,452,941,136,224,474,34,34
Juan Musso,ar ARG,GK,Atalanta,30,1994,1,1,90,0,4,4,1,0,0,0,0,0.7,4,20,19,4,14,15,0,1
