Player,Nation,Position,Age,Born,Matches Played,Starts,Minutes Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xAG),Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes,Progressive Runs,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost
Oladapo Afolayan,eng ENG,MO,26,1998,32,17,1639,3,3.1,38,13,0,0,52,6,320,461,148,185,129,165,35,55,1,3.8,3.6,21,23,14,10,32,53,32,108,17,8,4,8,5,7,19,12,17,8,20,0,741,13,84,304,365,62,741,98,48,495,53,43,28,63,45,555,108,3,0,0,21,42,9,1,0,0,72,19,45
Tammy Abraham,eng ENG,FW,26,1997,1,0,1,0,0.0,0,0,0,0,0,0,1,3,0,1,0,1,1,1,0,0.0,0.0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,2,2,1,4,0,0,3,0,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0
Nabil Aberdin,fr FRA,MF,21,2002,7,4,263,0,0.0,2,0,0,0,3,0,36,61,12,20,12,19,8,13,0,0.0,0.1,1,7,2,0,6,2,6,2,6,4,3,3,0,1,1,0,3,0,5,0,87,6,21,56,10,2,87,3,2,34,2,0,0,1,1,36,2,1,0,0,7,6,0,0,0,0,8,10,3
Jalal Abdulai,gh GHA,FW,19,2005,5,2,241,0,0.7,5,1,0,0,3,0,22,40,11,17,6,12,2,4,0,0.1,0.0,2,2,1,0,4,6,4,8,2,2,1,1,0,0,3,3,0,0,1,0,66,2,10,26,33,7,66,10,4,40,6,5,2,6,4,46,8,1,0,0,6,2,2,0,0,0,6,11,10
Karim Adeyemi,de GER,MO,22,2002,10,9,685,5,2.0,24,11,0,0,28,6,143,208,80,106,49,56,8,17,1,1.6,0.4,9,6,6,2,13,34,13,63,16,11,5,7,4,7,11,4,6,8,1,0,310,4,36,100,180,44,310,33,16,205,34,15,15,13,10,212,63,2,0,0,17,6,0,2,0,0,33,8,8
Mohamed Abdelmoneim,eg EGY,DF,25,1999,12,10,855,0,0.0,0,0,0,0,8,0,471,521,195,207,241,259,27,44,0,0.0,0.2,0,41,1,0,52,6,52,5,21,14,12,6,3,13,22,9,11,15,56,1,635,70,260,331,46,3,635,4,1,342,6,4,0,4,3,386,5,2,0,0,9,10,0,0,0,0,50,31,19
Joshua Acheampong,eng ENG,DF,18,2006,7,7,585,0,0.2,4,1,0,0,10,1,580,611,290,302,262,270,18,21,0,0.2,0.3,3,40,2,0,37,14,37,10,13,6,4,4,5,9,15,6,11,5,4,3,670,9,134,424,117,13,670,14,8,478,14,12,4,11,13,530,10,0,0,0,4,11,0,0,0,0,28,6,3
Ali Abdi,tn TUN,MF,30,1993,25,17,1393,5,4.3,29,11,0,0,45,3,502,678,269,314,188,245,33,72,2,1.9,1.7,20,19,21,7,42,35,42,101,43,25,18,14,11,28,43,15,20,20,37,0,886,51,230,349,315,50,886,29,12,391,35,15,9,32,14,481,101,2,0,0,27,14,5,0,0,0,72,22,14
Felix Agu,ng NGA,DF,24,1999,22,21,1751,3,1.4,9,4,0,0,35,1,655,822,336,379,244,298,50,81,0,1.8,2.5,20,36,22,12,43,33,43,105,30,14,12,14,4,12,23,11,27,21,48,0,1045,48,315,465,270,37,1045,35,9,545,33,12,8,33,12,605,105,1,0,0,11,43,4,0,0,1,67,21,30
Simon Adingra,ci CIV,MO,22,2002,29,12,1097,2,2.5,33,8,0,0,47,7,290,382,187,217,81,109,16,29,2,2.5,2.8,16,5,17,6,18,50,18,136,23,14,10,8,5,10,26,16,12,8,6,2,548,10,66,174,315,76,548,50,21,366,50,21,27,39,12,388,136,0,0,0,13,4,4,0,0,0,47,7,4
Tammy Abraham,eng ENG,FW,26,1997,28,12,1183,3,7.1,26,11,1,2,33,9,152,221,94,124,46,74,3,6,4,2.2,1.3,14,13,10,0,26,8,26,69,17,11,2,10,5,6,8,2,13,2,16,0,367,20,46,172,149,57,365,14,4,158,8,6,4,22,13,241,69,1,0,0,23,12,7,1,0,0,12,36,33
Saud Abdulhamid,sa KSA,DF,25,1999,4,2,175,1,0.4,3,1,0,0,12,0,95,113,57,62,32,41,3,5,0,0.6,0.5,5,6,3,1,7,8,7,14,5,1,2,0,3,3,3,0,1,1,4,0,130,5,25,43,62,6,130,4,2,91,8,1,3,2,0,86,14,0,0,0,5,2,0,0,0,0,8,2,0
Abdel Abqar,ma MAR,DF,25,1999,29,29,2463,0,0.9,12,1,0,0,25,3,719,939,180,194,421,460,114,258,1,0.3,0.4,8,67,10,2,79,16,79,4,36,23,24,11,1,20,34,14,28,39,146,1,1251,160,659,545,58,25,1251,4,3,632,16,7,0,18,3,650,4,13,0,0,47,31,2,1,2,0,87,40,35
Elias Achouri,tn TUN,MO,25,1999,6,4,336,0,1.0,10,4,0,0,12,1,97,131,49,58,36,45,5,9,0,0.3,0.5,4,10,4,0,15,9,15,35,4,1,0,3,1,3,6,3,7,3,2,0,173,1,18,67,91,17,173,2,1,114,9,4,5,11,6,131,35,2,0,0,4,4,4,0,0,0,16,2,5
Amine Adli,ma MAR,MO,24,2000,5,2,210,0,0.2,2,2,0,0,5,0,65,84,41,51,19,24,3,4,0,0.2,0.3,3,2,4,1,9,4,9,16,3,2,1,0,2,2,8,6,2,0,3,0,107,3,16,43,48,7,107,3,2,49,4,1,2,6,4,79,16,0,0,0,6,4,3,0,0,0,6,9,7
Emmanuel Agbadou,ci CIV,DF,27,1997,16,16,1410,1,0.8,7,2,0,0,17,3,855,1001,276,299,466,501,107,181,0,0.2,0.3,4,40,1,0,31,6,31,2,30,19,21,9,0,13,20,7,19,12,90,0,1172,190,649,504,28,7,1172,13,10,758,6,4,0,6,4,796,2,3,0,0,7,4,1,0,0,0,83,26,20
Vasilije Adžić,me MNE,FW,18,2006,1,0,23,0,0.0,0,0,0,0,0,0,8,9,4,4,3,3,1,1,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,8,3,1,11,0,0,7,0,0,0,1,0,8,1,0,0,0,1,0,0,0,0,0,0,0,2
Akor Adams,ng NGA,FW,24,2000,4,1,134,0,0.4,2,1,0,0,0,0,20,27,9,12,7,9,3,5,0,0.0,0.0,0,3,1,0,5,0,5,5,0,0,0,0,0,0,0,0,1,0,1,0,34,1,4,18,12,1,34,1,1,5,0,0,0,2,0,20,5,0,0,0,1,0,1,0,0,0,4,6,10
Matthis Abline,fr FRA,FW,21,2003,34,33,2768,9,8.5,73,26,1,1,61,9,351,538,185,256,119,160,20,38,2,3.8,3.4,27,23,15,4,48,75,48,169,11,5,2,4,5,3,9,6,15,4,36,1,878,34,75,382,438,142,877,86,35,587,75,42,42,92,65,689,169,3,0,0,34,53,5,0,0,0,83,64,76
