Player,Nation,Position,Age,Born,Matches Played,Starts,Minutes Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xAG),Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes,Progressive Runs,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost
Jay Robinson,eng ENG,MO,17,2007,4,1,137,0,0.0,1,1,0,0,8,1,23,34,14,17,6,8,1,4,0,0.7,0.5,3,1,1,0,1,3,1,10,4,1,3,0,1,1,1,0,0,0,1,0,54,4,15,18,22,5,54,11,6,33,3,2,1,1,6,29,10,0,0,0,3,1,0,0,0,0,12,0,1
Christopher Trimmel,at AUT,MF,37,1987,26,20,1740,0,0.2,9,3,0,0,57,6,474,783,177,216,206,318,85,201,3,2.1,3.2,35,60,18,10,73,18,73,45,38,25,23,14,1,28,42,14,14,18,92,0,979,91,300,427,256,13,979,8,2,365,18,7,2,10,8,423,45,5,0,0,14,5,1,0,0,0,63,23,13
Dimitri Lavalée,be BEL,DF,27,1997,7,7,626,0,0.0,2,1,0,0,4,0,204,298,95,109,86,118,19,56,0,0.5,0.3,2,14,2,1,21,3,21,6,23,16,19,3,1,12,27,15,14,6,37,2,387,44,207,145,36,2,387,5,5,185,3,3,0,4,1,189,6,3,1,1,11,4,0,0,0,0,26,7,7
Andy Pelmard,fr FRA,DF,24,2000,4,2,205,0,0.0,1,0,0,0,3,0,98,115,50,52,41,46,6,13,0,0.0,0.1,1,9,4,0,13,1,13,5,5,0,3,2,0,4,5,1,3,2,20,0,152,11,50,77,25,0,152,2,1,71,1,1,0,3,0,90,5,1,0,0,2,3,0,0,0,0,4,1,1
Rui Patrício,pt POR,GK,36,1988,3,3,270,0,0.0,0,0,0,0,0,0,85,101,17,17,52,52,16,32,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,107,86,107,0,0,0,107,0,0,68,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,7,1,0
Julien Le Cardinal,fr FRA,DF,26,1997,4,3,256,1,0.6,2,1,0,0,1,0,75,93,22,25,40,48,12,17,0,0.0,0.0,0,3,0,0,3,0,3,3,8,5,5,3,0,4,6,2,9,5,13,0,137,31,75,53,11,3,137,3,1,68,0,1,1,1,2,68,3,4,0,0,6,3,0,0,0,0,12,1,1
Tuta,br BRA,MF,25,1999,30,26,2274,2,1.1,13,5,0,0,26,1,1265,1442,532,568,626,666,87,161,1,0.3,0.7,4,79,11,0,78,11,78,12,44,27,25,17,2,28,40,12,42,40,135,1,1772,215,831,838,108,26,1772,17,13,1007,11,9,2,22,7,1130,12,8,0,0,30,9,0,0,0,1,120,45,44
Đorđe Petrović,rs SRB,GK,24,1999,31,31,2790,0,0.0,0,0,0,0,2,0,1244,1547,330,332,695,707,219,505,0,0.0,0.1,0,22,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,24,1,1647,1040,1631,16,0,0,1647,1,1,1094,1,0,0,0,0,1110,0,2,0,0,0,3,0,0,0,0,58,4,0
Iñaki Peña,es ESP,GK,25,1999,16,15,1396,0,0.0,0,0,0,0,2,2,562,630,97,98,384,387,79,143,0,0.0,0.0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,2,2,0,0,20,1,667,472,651,16,0,0,667,0,0,399,0,0,0,0,0,362,0,1,0,0,0,0,0,0,0,0,65,1,0
Konstantinos Laifis,cy CYP,DF,31,1993,8,8,718,3,0.5,7,4,0,0,8,2,360,427,111,123,211,228,36,65,0,0.0,0.1,2,29,1,0,29,8,29,4,9,6,8,1,0,4,6,2,5,15,36,1,507,45,211,267,31,7,507,3,2,313,8,9,1,2,0,353,4,3,0,0,4,1,0,0,0,0,22,21,11
Gaëtan Laborde,fr FRA,FW,30,1994,5,3,288,0,1.1,8,1,0,0,8,3,58,77,37,44,14,21,0,2,1,0.4,0.3,1,6,3,1,4,6,4,13,1,1,0,1,0,0,0,0,1,0,4,1,114,5,11,47,56,17,114,6,2,51,6,3,2,12,4,76,13,1,0,0,2,2,0,0,0,0,5,9,4
Rodri,es ESP,MF,28,1996,3,1,73,0,0.0,0,0,0,0,2,0,64,68,31,32,25,28,7,7,0,0.0,0.1,1,3,1,0,4,1,4,1,2,1,1,1,0,0,0,0,1,1,1,0,74,1,14,37,24,0,74,1,0,39,1,2,0,0,0,56,1,0,0,0,1,2,0,0,0,0,7,1,0
Tom Pouilly,fr FRA,MF,21,2003,10,2,273,0,0.4,5,2,0,0,8,0,171,218,88,96,75,92,5,20,0,0.4,0.6,3,8,9,4,11,12,11,34,9,6,5,1,3,5,10,5,5,4,11,0,257,6,66,114,79,9,257,3,2,152,12,6,3,7,0,171,34,1,0,0,3,2,0,0,0,0,16,0,4
Robin Le Normand,es ESP,DF,27,1996,5,2,231,0,0.0,1,0,0,0,2,2,114,130,42,50,64,67,6,11,0,0.0,0.0,0,11,0,0,8,1,8,1,2,0,1,0,1,1,2,1,5,1,11,0,151,14,67,77,8,3,151,2,0,105,1,1,0,0,0,101,1,1,0,0,5,2,0,0,0,0,9,5,2
Lukas Ullrich,de GER,DF,20,2004,26,24,1903,1,0.9,8,2,0,0,28,5,647,850,375,420,233,297,31,80,2,1.8,1.9,8,29,9,6,39,31,39,71,25,16,18,6,1,15,42,27,26,23,74,1,1073,82,432,434,218,26,1073,24,8,531,31,19,4,21,12,612,71,4,0,0,22,17,0,0,2,0,73,14,19
Mohamed Lamine Diaby,fr FRA,FW,23,2001,8,2,186,0,0.1,3,0,0,0,5,0,24,33,8,13,11,12,1,2,0,0.1,0.2,2,4,1,0,6,7,6,19,2,1,0,0,2,1,6,5,6,0,6,0,74,6,13,30,32,12,74,11,4,39,7,3,4,7,4,41,19,1,0,0,3,3,0,1,0,0,11,6,12
Rubén Peña,es ESP,MO,33,1991,25,7,775,0,0.7,10,3,0,0,23,1,183,309,94,122,71,122,16,39,0,0.6,0.7,13,20,10,6,27,18,27,57,12,5,4,3,5,5,24,19,11,6,12,0,418,13,64,165,192,18,418,27,10,219,18,11,4,25,12,256,57,1,0,0,12,7,0,1,0,0,33,7,15
Guido Rodríguez,ar ARG,MF,30,1994,23,16,1149,0,0.2,8,1,0,0,12,1,480,569,239,272,195,215,38,59,1,0.2,0.2,4,37,1,0,33,4,33,7,36,19,21,15,0,17,33,16,23,13,35,1,709,54,223,423,64,5,709,6,3,327,4,5,2,4,7,408,7,6,0,0,18,12,2,0,0,0,53,11,7
Alexandre Lacazette,fr FRA,MO,33,1991,10,4,555,4,3.4,21,9,1,1,30,5,130,169,85,104,23,30,7,10,1,1.5,1.1,9,8,0,0,11,5,11,43,8,6,2,3,3,3,7,4,4,2,4,0,232,4,25,92,116,43,231,11,4,141,5,3,3,9,11,168,43,2,0,0,7,9,3,0,0,0,13,2,14
Benjamin Pavard,fr FRA,DF,28,1996,23,18,1584,0,0.5,8,1,0,0,21,1,1050,1150,403,426,537,570,95,123,1,0.8,1.0,8,84,8,2,92,13,92,26,29,16,12,12,5,18,25,7,16,16,52,0,1291,112,479,657,162,35,1291,2,0,855,13,20,1,5,1,996,26,4,0,0,18,9,2,0,0,0,46,40,32
Ádám Lang,hu HUN,DF,31,1993,1,1,90,0,0.0,0,0,0,0,1,0,28,33,6,7,17,18,5,7,0,0.0,0.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,2,6,0,45,16,34,11,0,0,45,0,0,19,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,3,4,1
Adrien Rabiot,fr FRA,MF,29,1995,29,27,2485,9,7.3,48,22,0,0,66,11,1309,1543,776,849,430,500,38,67,4,3.8,3.8,28,147,24,5,168,79,168,174,49,31,17,21,11,19,32,13,21,21,32,0,1822,36,227,967,644,100,1822,50,26,1096,79,52,16,52,31,1445,174,4,0,0,53,33,12,0,1,0,124,34,26
Gustaf Lagerbielke,se SWE,DF,24,2000,8,5,546,1,0.5,3,1,0,0,6,1,281,338,113,124,118,132,45,74,0,0.0,0.1,0,25,1,0,19,2,19,2,11,6,7,4,0,8,11,3,4,4,32,0,399,56,216,169,15,4,399,4,4,237,2,1,0,3,2,276,2,1,0,0,9,2,0,0,1,0,19,20,8
Strahinja Pavlović,rs SRB,DF,23,2001,24,21,1864,2,1.8,17,8,0,0,29,3,1208,1369,494,517,625,679,75,138,1,1.1,0.4,6,98,5,1,94,40,94,10,52,31,32,19,1,29,50,21,17,16,82,0,1589,143,758,747,97,18,1589,12,4,1036,40,29,0,18,4,1147,10,3,1,0,20,18,2,1,0,0,67,45,21
Rafael Leão,pt POR,FW,25,1999,10,9,793,3,2.2,16,11,0,0,30,3,218,294,104,133,87,113,19,28,1,1.5,2.0,10,19,9,1,31,41,31,106,6,3,1,2,3,5,12,7,6,4,3,0,406,5,30,172,218,61,406,71,39,298,41,32,36,25,15,340,106,2,0,0,8,11,3,0,0,0,25,6,14
Mads Roerslev,dk DEN,DF,25,1999,19,11,1101,0,0.2,5,2,0,0,21,2,422,536,205,233,179,224,27,49,2,3.0,2.1,14,37,11,4,51,17,51,54,18,8,14,3,1,11,28,17,12,4,35,0,645,49,234,268,146,20,645,19,7,352,17,13,0,9,6,406,54,2,0,0,6,10,0,0,0,0,39,10,14
Sven Ulreich,de GER,GK,35,1988,1,1,90,0,0.0,0,0,0,0,0,0,25,30,10,10,10,10,5,10,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,18,27,3,0,0,30,0,0,13,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,2,0,0
Nicolas Pépé,ci CIV,MO,29,1995,28,15,1500,3,3.8,38,17,0,0,65,7,499,631,300,329,145,185,29,51,6,4.8,4.1,33,25,27,3,60,76,60,159,22,9,12,6,4,6,17,11,12,5,12,0,842,20,112,266,477,89,842,64,27,518,76,40,30,52,20,622,159,3,0,0,20,25,8,1,0,0,53,16,18
Mayckel Lahdo,se SWE,FW,21,2002,10,7,426,0,0.9,9,2,0,0,12,0,106,131,52,58,47,53,5,8,0,1.1,1.1,6,9,6,1,14,14,14,42,6,3,3,3,0,3,6,3,7,1,1,0,190,2,23,72,99,23,190,20,10,136,14,8,9,12,8,134,42,0,0,0,7,5,4,0,0,0,19,2,11
Deniz Undav,de GER,MO,28,1996,27,20,1726,9,11.7,75,31,0,0,58,8,431,589,254,311,135,182,26,46,3,3.6,3.8,26,38,27,2,70,31,70,141,11,10,2,3,6,1,17,16,15,3,10,0,797,11,61,379,369,118,797,24,10,469,31,18,12,51,28,624,141,4,0,0,25,22,12,0,0,0,48,21,31
Christoph Lang,at AUT,MF,22,2002,1,1,83,0,0.0,1,0,0,0,3,0,19,24,11,11,5,7,2,3,0,0.1,0.1,1,2,2,0,4,0,4,1,2,0,0,0,2,1,2,1,2,0,1,0,38,1,5,17,17,2,38,3,1,20,0,2,0,3,0,21,1,0,0,0,4,1,0,0,0,0,6,0,0
Peque,es ESP,MO,21,2002,26,14,1134,1,2.5,19,4,0,0,32,3,279,349,165,192,86,105,17,26,1,1.2,0.9,12,25,6,1,35,14,35,44,16,5,4,10,2,7,17,10,16,8,5,0,485,3,51,253,186,35,485,26,11,266,14,12,1,23,26,346,44,1,0,0,22,26,2,0,1,0,41,8,26
Gonçalo Ramos,pt POR,FW,23,2001,22,12,1066,10,13.6,52,29,2,3,30,6,193,241,130,155,44,53,3,4,3,2.2,1.4,15,9,9,0,24,11,24,63,11,6,5,5,1,3,6,3,5,0,5,0,353,6,27,108,220,97,350,11,1,155,11,6,4,16,11,282,63,1,0,0,8,11,9,1,0,0,18,20,15
Morgan Rogers,eng ENG,MO,22,2002,37,37,3114,8,6.6,55,20,0,0,105,16,664,907,374,460,203,267,49,65,10,7.8,5.2,51,73,56,3,123,114,123,188,43,22,15,15,13,24,47,23,26,6,20,2,1362,43,200,592,597,142,1362,160,66,794,114,68,33,114,74,956,188,10,0,0,50,51,2,1,0,0,119,13,52
Leonardo Pavoletti,it ITA,MO,35,1988,26,1,445,2,2.7,18,7,0,0,17,1,92,158,58,87,24,42,1,5,0,1.0,0.7,9,9,6,0,17,1,17,26,1,0,0,1,0,0,0,0,4,0,3,0,225,4,15,107,104,28,225,1,0,86,1,2,0,18,2,168,26,5,0,0,25,7,7,0,0,0,9,56,44
Richy Ledezma,us USA,DF,23,2000,11,6,574,0,0.0,1,0,0,0,13,1,386,443,165,179,176,197,30,45,0,0.5,0.4,6,43,11,5,41,13,41,26,9,4,4,3,2,5,11,6,4,7,15,0,495,15,124,262,112,3,495,6,3,256,13,7,0,4,2,324,26,1,0,0,6,4,2,0,0,0,26,3,8
Pierre Lees-Melou,fr FRA,MF,31,1993,5,4,373,1,0.5,11,3,0,0,14,0,187,231,78,92,87,100,19,32,0,0.3,0.2,4,22,1,0,21,3,21,4,13,10,9,2,2,7,17,10,6,7,7,1,282,13,96,152,39,7,282,8,7,130,3,3,1,3,3,184,4,1,0,0,6,7,0,0,1,0,39,2,1
Cristian Romero,ar ARG,DF,26,1998,18,18,1416,1,1.6,16,8,0,0,20,4,1094,1223,370,405,630,665,80,126,0,0.6,0.8,7,109,8,1,71,12,71,3,35,29,26,8,1,21,30,9,18,21,57,2,1377,157,594,720,74,23,1377,4,1,896,12,18,0,10,5,936,3,3,0,0,14,12,2,0,0,0,90,41,27
Martín Payero,ar ARG,MF,25,1998,25,16,1381,1,1.2,31,5,0,0,51,5,353,454,164,180,137,164,39,74,1,1.3,1.1,15,46,8,6,51,33,51,44,24,16,4,14,6,8,16,8,16,13,13,0,649,12,86,351,230,26,649,70,30,368,33,35,6,27,13,390,44,5,0,0,35,39,0,1,2,0,75,21,20
Sam Lammers,nl NED,FW,27,1997,7,5,442,2,1.4,10,4,0,0,11,2,84,127,52,78,27,37,3,6,0,0.6,0.2,4,9,4,0,16,4,16,29,7,6,2,2,3,2,2,0,1,3,4,0,182,9,21,96,67,28,182,9,6,101,4,3,4,16,6,137,29,1,0,0,6,6,2,0,0,0,14,12,12
Ayoze Pérez,es ESP,FW,31,1993,30,22,1970,19,12.7,75,31,0,0,72,5,314,414,143,175,138,166,19,30,2,3.0,1.9,32,37,21,5,73,59,73,124,27,14,5,18,4,6,24,18,17,8,15,0,705,7,66,296,355,136,705,78,34,429,59,31,33,62,34,514,124,4,0,0,22,39,6,0,0,0,56,13,32
Daniel Langhamer,cz CZE,MF,21,2003,3,1,107,0,0.0,1,1,0,0,2,0,39,44,23,24,14,15,2,2,0,0.0,0.0,0,1,0,0,2,0,2,5,1,0,0,1,0,1,4,3,2,0,1,0,58,3,13,32,13,1,58,4,0,27,0,0,0,1,1,40,5,1,0,0,2,1,0,0,0,0,6,1,1
Dayot Upamecano,fr FRA,DF,25,1998,20,20,1759,2,1.2,13,6,0,0,20,0,1805,1923,602,641,1040,1075,147,177,0,0.5,1.2,7,197,3,1,137,17,137,4,36,22,18,16,2,16,29,13,17,34,45,1,2101,96,626,1364,116,17,2101,6,3,1440,17,27,0,6,4,1632,4,6,0,0,20,11,0,0,0,0,115,59,42
Lilian Raolisoa,fr FRA,MF,24,2000,29,14,1318,0,0.7,14,1,0,0,32,4,392,564,187,215,158,215,34,84,3,2.0,1.7,14,31,16,8,47,33,47,62,41,24,24,13,4,17,38,21,11,15,45,0,751,47,228,281,259,19,751,53,23,404,33,31,3,21,16,435,62,1,2,0,16,9,3,0,1,0,76,15,11
Rayan Raveloson,mg MAD,MF,27,1997,13,7,724,1,0.8,16,5,0,0,17,0,271,313,117,124,104,115,44,56,0,0.2,0.3,3,19,6,0,31,5,31,12,6,5,2,4,0,5,15,10,8,5,22,0,401,30,109,230,67,11,401,13,7,216,5,5,1,11,11,240,12,3,0,0,9,12,0,0,0,0,44,8,9
Thomas Lemar,fr FRA,FW,28,1995,1,0,10,0,0.2,1,0,0,0,1,0,7,9,2,3,3,3,0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,3,6,1,10,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Fyodor Lapoukhov,by BLR,GK,21,2003,6,6,540,0,0.0,0,0,0,0,3,1,185,245,21,21,95,96,69,126,0,0.1,0.2,2,12,2,0,3,0,3,0,0,0,0,0,0,0,1,1,0,0,3,0,257,136,232,25,1,1,257,1,1,177,0,0,0,0,0,134,0,0,0,0,0,1,0,0,0,0,16,3,0
Jonas Urbig,de GER,GK,20,2003,8,8,720,0,0.0,0,0,0,0,1,0,232,286,46,46,121,123,65,116,0,0.0,0.1,0,8,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,9,2,310,202,296,14,1,0,310,0,0,201,0,0,0,1,0,194,0,0,0,0,0,0,0,0,0,0,25,2,0
Will Lankshear,eng ENG,FW,19,2005,3,2,135,1,1.5,4,2,0,0,2,0,16,21,12,16,3,4,0,0,0,0.1,0.0,1,0,0,0,1,3,1,13,0,0,0,0,0,0,0,0,2,1,0,0,39,1,2,17,21,7,39,0,0,25,3,2,2,6,3,26,13,2,1,1,8,0,1,0,0,0,4,2,0
Georginio Rutter,fr FRA,MO,22,2002,28,19,1656,5,4.6,50,12,0,0,64,8,237,355,144,187,74,111,10,16,3,2.5,1.7,19,30,16,1,67,42,67,79,39,15,13,18,8,14,36,22,20,10,13,2,641,20,83,246,326,79,641,71,27,361,42,36,16,45,37,411,79,2,0,0,34,45,7,0,1,0,66,25,46
Nicolás Paz,ar ARG,MO,19,2004,35,30,2687,6,9.3,109,37,0,1,144,16,992,1231,602,673,304,367,44,90,8,6.0,3.9,54,116,38,2,163,77,163,171,51,33,18,26,7,24,51,27,49,21,16,0,1683,21,225,821,667,85,1682,135,69,1093,77,62,16,101,45,1265,171,6,0,0,47,33,2,0,1,0,118,31,23
Carles Pérez,es ESP,MO,26,1998,27,15,1431,3,2.4,34,9,0,0,40,1,226,336,130,165,73,103,16,40,0,1.5,1.3,17,17,14,8,20,31,20,77,33,23,11,14,8,21,48,27,19,6,22,0,551,16,74,198,291,44,551,50,21,298,31,33,9,37,20,327,77,2,0,0,44,11,1,0,0,0,50,13,27
Jordan Larsson,se SWE,MO,27,1997,5,1,193,1,1.3,6,2,0,0,3,0,31,46,16,19,11,14,0,3,0,0.0,0.1,1,4,2,0,5,3,5,13,1,1,0,1,0,1,1,0,4,1,0,0,75,1,3,35,37,8,75,8,3,35,3,0,4,5,2,52,13,1,0,0,2,3,0,0,0,0,4,3,5
José Sá,pt POR,GK,31,1993,29,29,2609,0,0.0,0,0,0,0,5,0,592,924,120,121,325,335,143,460,0,0.2,0.0,3,22,1,0,2,0,2,0,2,2,2,0,0,2,2,0,0,0,15,1,985,785,976,10,0,0,985,8,8,630,0,0,0,1,0,485,0,2,0,0,4,9,0,0,4,0,37,11,1
Clément Lenglet,fr FRA,DF,29,1995,7,7,630,0,0.3,2,0,0,0,8,1,347,384,113,117,193,203,40,61,0,0.0,0.1,1,37,1,1,19,1,19,1,6,2,3,0,3,3,4,1,6,5,23,1,432,49,212,196,24,3,432,1,1,310,1,6,0,1,0,342,1,1,0,0,6,3,1,0,2,0,22,7,2
Francisco Perez,es ESP,MO,21,2002,26,4,570,0,0.3,6,1,0,0,16,1,169,230,108,119,43,62,13,24,0,2.6,1.5,7,7,6,2,13,24,13,71,17,12,7,8,2,10,16,6,8,3,6,0,327,5,50,126,154,16,327,22,8,198,24,11,4,17,14,230,71,1,0,0,6,12,0,0,0,0,27,5,7
Can Uzun,tr TUR,MO,18,2005,20,6,675,4,3.0,27,11,0,0,38,3,239,299,116,134,99,113,17,30,1,1.1,1.1,14,25,18,4,42,11,42,45,10,4,1,4,5,5,10,5,9,1,3,0,395,4,33,191,174,31,395,22,11,265,11,13,4,19,14,315,45,1,0,0,8,16,0,0,0,0,31,5,3
Marcus Pedersen,no NOR,DF,24,2000,29,15,1362,0,0.6,8,3,0,0,15,0,376,516,199,231,144,181,24,51,0,0.4,0.4,7,14,8,7,19,44,19,77,13,8,6,6,1,10,16,6,11,13,34,1,655,27,151,263,250,27,655,25,7,365,44,24,9,22,12,391,77,3,0,0,16,5,4,0,1,0,43,6,19
Guillaume Restes,fr FRA,GK,19,2005,29,29,2543,0,0.0,0,0,0,0,3,1,587,811,147,148,301,305,135,352,1,0.1,0.0,1,6,0,0,0,0,0,0,2,1,2,0,0,2,3,1,0,1,16,1,867,650,856,9,2,0,867,1,0,522,0,0,0,2,0,438,0,2,0,0,1,2,0,0,1,0,50,0,1
Hugo Larsson,se SWE,MF,20,2004,11,9,817,3,0.9,9,6,0,0,22,1,484,550,253,280,176,192,30,42,0,0.3,0.5,9,42,6,1,42,6,42,21,26,19,9,13,4,5,14,9,11,15,14,0,645,29,145,373,130,11,645,2,1,441,6,9,1,10,2,441,21,1,0,0,7,0,0,0,0,0,54,9,7
Josha Vagnoman,de GER,MF,23,2000,26,19,1834,1,1.5,15,6,0,0,29,1,725,902,383,435,273,331,49,82,1,2.1,2.2,22,36,18,9,47,24,47,96,26,14,11,13,2,17,34,17,16,14,57,1,1105,61,325,484,302,36,1105,28,8,541,24,19,10,27,19,675,96,4,0,0,18,20,0,0,1,0,92,22,20
Justas Lasickas,lt LTU,DF,26,1997,6,2,193,0,0.0,0,0,0,0,6,2,97,127,46,51,39,49,8,17,0,0.1,0.2,1,11,2,1,11,4,11,2,7,5,2,2,3,3,4,1,2,3,14,0,165,12,64,78,25,3,165,5,4,74,4,3,1,6,5,87,2,1,0,0,3,7,1,0,0,0,14,6,3
Pedro,es ESP,MO,37,1987,30,6,1102,10,5.3,37,16,2,2,50,3,482,604,254,281,173,208,40,77,1,1.7,2.1,22,53,25,5,76,48,76,89,19,14,5,9,5,10,21,11,11,3,3,1,722,4,69,343,319,61,720,32,16,435,48,25,15,20,21,546,89,2,0,0,17,24,1,0,0,0,59,1,6
Johan Larsson,se SWE,FW,34,1990,2,0,14,1,0.3,1,1,0,0,1,1,9,11,4,4,5,6,0,1,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,7,2,1,12,1,1,5,0,0,0,0,0,8,1,0,0,0,0,1,0,0,0,0,2,0,1
Bukayo Saka,eng ENG,MO,22,2001,25,20,1729,6,6.8,66,22,1,1,117,23,552,731,334,371,154,214,45,92,10,7.6,7.8,58,15,38,12,70,96,70,255,29,15,9,11,9,13,24,11,22,3,8,0,979,6,57,216,715,162,978,90,41,628,96,32,51,34,40,711,255,3,0,0,15,39,7,1,0,0,70,10,20
Robert Lewandowski,pl POL,FW,35,1988,13,12,975,11,10.4,30,15,3,3,19,3,154,214,104,127,36,51,5,11,0,1.5,0.8,11,17,4,0,27,10,27,52,5,3,1,3,1,1,4,3,7,2,8,0,318,8,26,140,154,60,315,9,3,164,10,6,7,20,23,234,52,0,0,0,12,22,2,1,0,0,23,19,25
Alexsandro Ribeiro,br BRA,DF,24,1999,30,30,2700,1,1.6,21,4,0,0,40,4,2204,2417,635,678,1353,1420,197,286,1,0.4,1.0,9,191,6,2,178,25,178,8,32,19,18,13,1,20,30,10,23,27,143,3,2712,300,1098,1508,125,38,2712,8,5,1737,25,28,0,22,10,1982,8,10,0,0,28,32,2,0,1,1,175,64,25
Kike Pérez,es ESP,MF,27,1997,19,14,1191,2,2.1,20,4,0,0,36,1,440,564,183,220,191,217,49,92,0,1.0,1.1,17,47,5,0,67,19,67,28,37,26,15,19,3,15,26,11,16,7,18,0,723,19,166,412,159,18,723,22,8,344,19,18,4,25,13,441,28,6,0,0,32,21,1,0,0,0,60,12,15
Tom Lawrence,wls WAL,MF,30,1994,5,3,198,2,1.1,11,3,0,0,6,0,50,62,29,32,19,21,2,7,0,0.4,0.1,3,6,1,0,10,4,10,7,5,4,2,3,0,1,6,5,5,3,3,0,102,4,23,47,37,9,102,5,3,50,4,5,2,4,2,49,7,0,0,0,2,4,0,0,0,0,11,0,2
Pietro Pellegri,it ITA,FW,23,2001,11,5,414,3,0.3,8,4,0,0,15,2,50,72,24,29,21,25,1,2,0,0.6,0.2,7,3,2,0,8,12,8,28,7,2,0,6,1,2,4,2,2,0,3,0,128,4,7,66,58,14,128,14,5,80,12,6,6,16,15,91,28,2,0,0,10,5,1,0,0,0,15,3,20
Siebe Van Der Heyden,be BEL,MF,26,1998,13,11,872,1,1.7,3,2,0,0,8,0,386,487,169,189,176,204,34,66,0,0.0,0.2,2,36,6,3,28,10,28,26,17,10,10,7,0,8,18,10,8,17,43,2,602,54,249,284,72,11,602,5,1,265,10,6,0,3,4,364,26,4,1,1,16,9,0,0,2,0,32,31,17
Marko Lazetić,rs SRB,FW,20,2004,6,2,191,1,0.5,4,1,0,0,4,0,30,34,17,18,10,11,0,0,0,0.3,0.2,3,1,1,0,1,1,1,12,2,2,0,1,1,0,0,0,1,1,0,0,55,0,2,25,30,11,55,1,0,36,1,2,1,7,6,42,12,3,0,0,5,2,2,0,0,0,3,4,3
Jamie Leweling,de GER,MO,23,2001,5,5,409,2,1.8,21,9,0,0,15,3,120,169,71,84,41,53,5,13,1,1.1,1.0,6,5,8,1,17,25,17,48,6,4,2,3,1,3,6,3,9,4,5,0,238,6,28,75,140,27,238,14,6,170,25,16,10,5,5,167,48,0,0,0,5,2,1,0,0,0,20,0,1
Luis Pérez,es ESP,DF,29,1995,30,28,2558,0,0.2,5,2,0,0,53,2,905,1195,408,464,371,486,113,191,0,2.1,2.6,27,57,32,29,89,41,89,117,41,30,25,11,5,24,40,16,26,29,86,0,1444,88,490,630,336,9,1444,21,12,585,41,23,3,28,5,792,117,2,0,0,13,25,3,0,1,0,77,15,34
Alejandro Rodriguez,pt POR,MF,16,2008,1,0,20,0,0.0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,7,4,8,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,3
Mohamed Salah,eg EGY,FW,32,1992,38,38,3371,29,25.2,121,50,9,9,169,27,892,1263,501,601,302,433,59,100,18,14.2,9.1,88,53,93,15,144,154,144,488,21,11,7,5,9,8,17,9,12,9,5,0,1695,11,97,500,1119,356,1686,137,58,1149,154,59,126,116,67,1407,488,1,0,0,25,39,18,0,0,0,101,9,14
Hisham Layous,il ISR,FW,23,2000,4,3,250,0,0.1,3,0,0,0,7,0,55,67,34,39,16,20,2,3,0,0.6,1.0,3,1,3,1,4,15,4,23,5,4,3,1,1,3,8,5,2,0,3,0,90,1,15,25,51,16,90,5,3,62,15,3,9,5,5,67,23,0,0,0,2,1,0,0,0,0,9,0,2
