Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penalties Winner,Efficiency,% Saves,% Long Passes,% Crosses Stopped
Kacper Tobiasz,pl POL,GK,pl Legia Warsaw,21,2002,4,4,390,0.69,4.15,3.23,0.69,0.23,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,-0.69,77.83,,
Kamil Grabara,pl POL,GK,Wolfsburg,25,1999,29,29,2585,1.71,4.77,3.06,0.17,0.1,0.07,0.03,0.0,1.73,6.48,17.79,34.09,3.97,5.36,14.38,0.52,0.66,0.03,0.02,64.15,36.42,3.62
Karl Jakob Hein,ee EST,GK,Valladolid,22,2002,31,31,2790,2.19,5.26,3.1,0.16,0.13,0.13,0.0,0.0,1.9,5.32,14.58,30.35,4.39,7.23,15.29,1.1,1.1,0.0,-0.3,58.94,36.49,7.19
Karl-Johan Johnsson,se SWE,GK,Strasbourg,34,1990,3,3,270,2.0,7.33,5.33,0.0,0.33,0.33,0.0,0.0,2.23,2.0,7.33,40.67,7.0,2.33,16.0,0.67,1.0,0.0,0.23,72.71,27.29,4.19
Kasper Schmeichel,dk DEN,GK,sct Celtic,37,1986,10,10,900,1.7,5.4,3.8,0.3,0.3,0.2,0.0,0.1,1.73,2.4,5.9,33.2,4.3,6.6,15.6,0.2,0.5,0.1,0.03,70.37,40.68,1.28
Kauã Santos,br BRA,GK,Eint Frankfurt,21,2003,14,13,1215,1.41,5.7,4.3,0.22,0.22,0.15,0.07,0.0,1.62,4.52,13.7,30.0,4.3,5.11,15.48,2.07,1.56,0.07,0.21,75.44,32.99,13.37
Kepa Arrizabalaga,es ESP,GK,Bournemouth,29,1994,31,31,2790,1.26,4.32,3.06,0.26,0.13,0.13,0.0,0.0,1.32,4.26,11.77,26.81,3.94,6.19,11.84,0.71,1.74,0.0,0.06,70.83,36.19,6.0
Kevin Müller,de GER,GK,Heidenheim,33,1991,38,38,3389,1.81,5.05,3.24,0.24,0.16,0.16,0.0,0.0,1.57,4.04,11.37,27.38,4.06,7.2,12.03,0.56,0.53,0.0,-0.23,64.16,35.53,4.66
Kevin Trapp,de GER,GK,Eint Frankfurt,34,1990,33,33,2925,1.26,4.22,2.95,0.28,0.06,0.0,0.06,0.0,1.28,3.38,11.51,30.71,4.49,5.48,15.82,0.89,1.05,0.06,0.02,69.91,29.37,5.63
Kjell Scherpen,nl NED,GK,at Sturm Graz,24,2000,6,6,540,1.83,5.83,4.0,0.17,0.0,0.0,0.0,0.0,2.1,4.67,15.5,26.83,3.17,6.67,17.5,1.33,0.67,0.0,0.27,68.61,30.13,7.6
Kjetil Haug,no NOR,GK,Toulouse,26,1998,6,5,498,1.27,2.89,1.63,0.18,0.0,0.0,0.0,0.0,1.19,2.89,10.84,17.17,2.35,6.33,13.01,0.9,0.54,0.0,-0.07,56.4,26.66,6.92
Kostas Tzolakis,gr GRE,GK,gr Olympiacos,21,2002,10,10,897,0.7,3.41,2.71,0.6,0.1,0.0,0.1,0.0,1.01,5.62,16.96,22.27,4.52,4.41,8.13,1.1,3.41,0.1,0.31,79.47,33.14,13.53
Krapyvtsov Vladyslav,ua UKR,GK,Girona,19,2005,2,2,180,3.5,9.0,5.5,0.0,0.5,0.5,0.0,0.0,3.15,5.0,10.5,31.5,6.5,3.5,13.5,0.5,0.5,0.0,-0.35,61.11,47.62,3.7
Lars Unnerstall,de GER,GK,nl Twente,34,1990,9,9,760,1.3,4.26,3.08,0.24,0.24,0.12,0.12,0.0,1.18,4.38,13.62,28.42,3.79,4.86,12.32,0.47,1.3,0.12,-0.12,72.3,32.16,3.81
Lasse Rieß,de GER,GK,Mainz 05,23,2001,2,2,180,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.1,6.5,21.5,36.0,3.5,6.0,11.5,1.0,4.0,0.0,0.1,75.0,30.23,8.7
Lawrence Ati-Zigi,gh GHA,GK,ch St. Gallen,27,1996,6,6,540,3.0,8.33,5.5,0.0,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,66.03,,
Leandro Chichizola,ar ARG,GK,Parma,34,1990,1,1,90,3.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2.5,3.0,16.0,41.0,5.0,8.0,21.0,2.0,2.0,0.0,-0.5,50.0,18.75,9.52
Leo Román,es ESP,GK,Mallorca,24,2000,7,7,630,1.43,7.0,5.57,0.29,0.14,0.14,0.0,0.0,1.93,6.86,19.86,26.86,2.57,7.43,18.14,1.14,0.86,0.0,0.5,79.57,34.54,6.28
Liam Kelly,sct SCO,GK,sct Rangers,28,1996,2,2,180,1.0,3.0,1.5,0.5,1.0,0.5,0.5,0.0,1.55,5.5,21.0,26.5,4.0,9.5,24.5,2.0,2.0,0.5,0.55,50.0,26.19,8.16
Lorenzo Montipò,it ITA,GK,Hellas Verona,28,1996,36,36,3240,1.78,4.47,2.69,0.22,0.11,0.06,0.03,0.03,1.41,5.83,20.0,21.11,2.53,8.28,13.83,0.83,0.64,0.06,-0.37,60.18,29.15,6.0
Lorenzo Torriani,it ITA,GK,it Milan,19,2005,1,0,40,2.25,9.0,6.75,0.0,0.0,0.0,0.0,0.0,3.15,0.0,4.5,27.0,2.25,6.75,9.0,0.0,0.0,0.0,0.9,75.0,0.0,0.0
Lovro Štubljar,si SVN,GK,si NK Celje,19,2004,2,2,180,2.5,6.0,3.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-2.5,50.0,,
Luca Philipp,de GER,GK,Hoffenheim,23,2000,7,7,630,2.57,5.86,3.43,0.0,0.14,0.14,0.0,0.0,1.93,5.29,16.71,26.0,3.57,6.43,15.43,0.57,0.71,0.0,-0.64,58.53,31.66,3.69
Lucas Chevalier,fr FRA,GK,Lille,22,2001,44,44,3960,1.11,3.89,2.8,0.27,0.14,0.14,0.0,0.0,1.31,3.55,9.39,28.89,4.05,3.36,11.02,0.59,0.61,0.0,0.2,71.98,37.81,5.35
Lucas Perri,br BRA,GK,Lyon,26,1997,44,44,3990,1.31,4.69,3.38,0.29,0.11,0.11,0.0,0.0,1.46,3.09,9.9,27.59,5.1,4.76,12.29,0.83,0.77,0.0,0.16,72.07,31.21,6.75
Luiz Lúcio Reis Júnior,br BRA,GK,Villarreal,23,2001,17,16,1458,1.11,4.07,2.96,0.31,0.25,0.25,0.0,0.0,1.12,3.77,10.99,24.2,5.93,6.11,15.8,0.99,1.23,0.0,0.01,72.73,34.3,6.27
Lukas Jungwirth,at AUT,GK,at LASK,20,2004,3,2,262,3.44,6.53,3.44,0.0,0.69,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.44,52.68,,
Lukáš Horníček,cz CZE,GK,pt Braga,22,2002,4,3,291,1.24,4.95,3.71,0.31,0.0,0.0,0.0,0.0,1.55,3.71,12.68,28.14,4.02,4.95,16.39,0.62,2.78,0.0,0.31,74.95,29.26,3.78
Lukáš Hrádecký,fi FIN,GK,Leverkusen,34,1989,33,33,2970,1.33,4.21,2.97,0.24,0.12,0.12,0.0,0.0,1.29,4.03,10.39,26.91,3.79,4.73,10.27,0.39,1.39,0.0,-0.05,70.55,38.79,3.8
Lukáš Zima,cz CZE,GK,ro FCSB,30,1994,1,1,90,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,3.2,2.0,6.0,19.0,5.0,6.0,10.0,0.0,0.0,0.0,-0.8,33.33,33.33,0.0
Léon-Maurice Pöhls,de GER,GK,ie Shamrock Rov,27,1997,6,6,540,1.5,3.83,2.33,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,60.84,,
Maarten Vandevoordt,be BEL,GK,RB Leipzig,22,2002,8,6,609,1.63,4.14,2.51,0.0,0.0,0.0,0.0,0.0,1.3,3.4,9.75,28.37,5.02,6.95,15.07,1.18,2.36,0.0,-0.33,60.63,34.87,7.83
Mads Hermansen,dk DEN,GK,Leicester City,24,2000,27,27,2385,2.19,5.85,3.74,0.04,0.15,0.11,0.04,0.0,2.13,4.3,17.77,34.94,5.02,5.4,15.81,0.98,0.98,0.04,-0.06,63.93,24.2,6.2
Mads Kikkenborg,dk DEN,GK,be Anderlecht,24,1999,1,1,90,4.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,2.5,5.0,9.0,27.0,2.0,5.0,8.0,0.0,1.0,0.0,-1.5,40.0,55.56,0.0
Maduka Okoye,ng NGA,GK,Udinese,24,1999,25,25,2250,1.6,4.4,2.92,0.16,0.2,0.16,0.0,0.04,1.48,4.8,11.68,31.04,3.2,3.96,12.6,0.56,0.92,0.04,-0.12,66.36,41.1,4.44
Malkolm Nilsson,se SWE,GK,se Djurgården,30,1993,2,2,165,0.55,3.82,3.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.55,85.6,,
Manuel Neuer,de GER,GK,Bayern Munich,38,1986,32,32,2802,0.84,2.12,1.28,0.48,0.1,0.06,0.0,0.03,0.76,4.43,9.09,39.64,4.01,2.6,6.75,0.22,2.18,0.03,-0.07,60.38,48.73,3.26
Marc-André ter Stegen,de GER,GK,Barcelona,32,1992,9,9,764,1.3,3.53,2.24,0.12,0.12,0.12,0.0,0.0,1.0,2.24,5.18,32.28,6.13,3.89,11.66,1.06,2.59,0.0,-0.29,63.46,43.24,9.09
Marcin Bułka,pl POL,GK,Nice,24,1999,40,40,3600,1.38,4.92,3.58,0.2,0.1,0.08,0.02,0.0,1.37,3.22,7.85,28.05,5.08,4.85,13.4,1.15,1.25,0.02,-0.01,72.76,41.02,8.58
Marco Bizot,nl NED,GK,Brest,33,1991,41,41,3690,1.66,4.17,2.54,0.29,0.32,0.27,0.02,0.02,1.46,7.27,16.98,27.66,4.07,6.2,13.9,1.07,1.68,0.05,-0.2,60.91,42.82,7.7
Marco Carnesecchi,it ITA,GK,Atalanta,24,2000,43,43,3870,1.0,3.53,2.58,0.42,0.05,0.05,0.0,0.0,1.02,3.74,11.35,25.21,4.63,5.88,8.81,0.53,1.4,0.0,0.02,73.09,32.95,6.02
Marco Silvestri,it ITA,GK,Empoli,33,1991,5,5,450,2.2,5.4,3.4,0.0,0.0,0.0,0.0,0.0,1.6,7.0,17.0,27.0,3.2,2.6,12.4,0.2,0.8,0.0,-0.6,62.96,41.18,1.61
