Player,Nation,Position,Age,Born,Matches Played,Starts,Minutes Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xAG),Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes.1,Progressive Runs,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Progressive Carries.1,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Total Aerial Duels,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels won,Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons
Harbor Miller,us USA,DF,18-028,2007,4,3,244,33.87,82.03,75.09,19.13,49.59,49.51,85.41,23.43,57.62,57.15,90.17,89.1,28.6,27.76,7.09,10.55,34.51,16.74,59.19,77.59,49.88,13.46,25.61,18.92,63.43,18.92,90.78,6.98,12.88,13.17,7.62,23.05,5.2,35.35,12.44,97.82,12.59,29.68,68.75,60.03,25.7,18.14,34.1,95.47,96.89,60.06,91.6,13.43,54.36,63.43,85.26,97.12,14.42,86.8,70.84,90.78,16.83,56.89,52.91,10.73,98.98,2.47,47.97,59.88,54.27,40.84,10.26,59.53,15.12,31.02,82.5,82.65,89.24,7.85,21.22,10.41,49.39,77.03,31.28,8.78,7.99,13.43
Haret Ortega,mx MEX,MF,24,2000,13,7,734,80.13,24.42,17.79,41.29,48.38,47.98,11.03,48.29,33.13,26.31,8.5,6.05,65.43,63.75,66.44,69.1,28.76,25.61,41.69,21.18,12.62,9.96,22.52,8.62,6.82,8.62,9.29,48.29,60.27,86.16,19.19,39.67,55.26,19.16,85.12,51.16,92.85,96.94,2.72,27.75,98.04,96.88,10.67,3.73,43.46,27.81,16.14,9.29,17.6,6.82,7.43,21.73,87.19,81.08,23.32,9.29,7.06,54.37,52.08,37.59,13.72,17.63,46.97,2.72,51.22,7.21,96.33,65.8,88.57,90.07,4.58,11.98,21.64,57.73,99.63,95.35,58.31,81.17,58.99,50.24,95.23,9.29
Harlen Castillo,co COL,GK,31-336,1993,1,1,90,50.0,49.64,48.34,49.53,50.0,50.0,98.82,100.0,46.92,49.64,29.62,28.44,52.73,50.24,61.73,64.1,48.22,45.5,100.0,38.39,82.94,100.0,50.12,41.11,49.76,41.11,49.29,36.37,40.17,36.49,49.64,50.0,37.56,28.44,66.23,43.96,45.85,88.03,77.96,46.45,14.22,48.93,13.03,46.09,48.22,46.45,41.23,42.18,78.67,49.76,48.82,49.41,63.27,52.96,84.12,49.29,73.82,52.01,50.47,59.83,18.36,50.24,50.12,57.23,53.44,84.12,14.45,62.44,13.86,64.69,40.76,99.76,99.76,36.49,50.36,14.45,40.52,68.25,86.14,52.49,36.49,42.18
Harold Osorio,sv SLV,MF,21-333,2003,1,0,1,30.26,11.12,7.37,16.23,48.38,47.98,4.86,18.7,0.7,97.68,1.38,99.33,1.74,1.41,5.01,3.61,28.76,12.04,9.47,8.95,4.28,9.96,22.52,3.67,6.82,3.67,4.61,4.71,6.17,7.4,7.09,15.56,6.78,4.95,92.76,6.63,8.19,5.9,64.55,98.84,5.75,1.86,98.84,99.63,7.95,98.84,6.02,9.29,0.92,6.82,7.43,21.73,94.93,92.45,98.35,4.61,86.58,54.37,52.08,94.77,6.75,66.66,46.97,54.83,51.22,3.36,99.94,0.06,100.0,96.18,2.2,4.86,5.78,5.26,62.84,28.51,0.7,1.38,1.74,5.01,5.26,9.29
Harrison Armstrong,eng ENG,MF,17,2007,15,12,1105,72.31,36.8,42.6,59.41,48.38,47.98,17.11,18.7,6.48,7.55,5.01,4.58,14.3,19.93,48.01,38.72,28.76,29.89,28.64,27.08,33.53,23.07,22.52,30.99,37.29,30.99,26.71,52.75,67.15,52.02,63.75,46.94,49.6,42.88,54.37,29.95,91.93,79.19,64.55,6.11,69.47,36.37,16.01,18.58,41.38,6.11,52.9,62.53,4.95,37.29,36.03,21.73,56.88,61.77,3.15,26.71,43.0,54.37,52.08,72.28,35.73,22.49,46.97,54.83,51.22,47.92,62.9,27.69,66.56,63.57,17.51,16.11,24.51,58.92,94.28,47.22,12.29,8.62,9.72,66.87,79.0,74.02
Harrison Ashby,sct SCO,MF,22,2001,29,17,1583,30.26,66.44,43.18,58.04,48.38,47.98,22.95,38.97,27.11,30.99,30.44,29.77,20.94,25.24,67.42,73.41,64.06,53.27,47.65,32.67,24.97,52.57,79.37,15.01,49.33,15.01,53.61,86.55,85.88,94.44,61.25,59.66,89.55,78.58,50.64,64.85,33.8,90.31,10.09,37.22,83.99,92.39,21.52,25.31,48.66,37.22,69.28,42.3,19.41,49.33,21.0,62.44,22.4,61.77,20.66,53.61,26.89,54.37,52.08,66.41,72.49,12.47,46.97,54.83,51.22,35.88,39.55,59.29,35.12,36.03,33.62,21.79,51.38,88.05,19.22,48.41,23.72,36.12,17.67,45.23,82.15,22.07
Harrison Burrows,eng ENG,DF,22,2002,43,39,3460,92.41,91.13,94.16,90.78,99.42,99.3,93.28,70.0,41.08,55.84,71.83,71.31,19.36,24.24,53.81,83.66,82.94,94.24,96.19,93.43,44.36,77.88,83.84,39.13,78.9,39.13,87.03,67.99,72.18,70.73,66.51,61.92,72.27,72.21,28.6,21.83,29.85,16.98,36.25,51.66,20.87,21.72,39.1,89.94,89.77,51.57,73.92,76.72,45.61,78.9,81.86,93.63,39.45,20.41,48.84,87.03,74.3,56.89,52.91,82.27,86.28,5.44,47.97,18.37,7.3,70.44,23.81,59.01,26.31,32.06,82.01,92.09,89.97,72.94,82.85,25.47,15.9,50.38,13.49,15.99,60.41,62.62
Harrison Jones,eng ENG,MF,19,2004,4,2,132,30.26,61.77,39.76,16.23,48.38,47.98,89.67,18.7,46.73,39.06,32.52,39.58,41.14,31.78,70.57,44.19,28.76,90.8,80.35,96.3,81.63,97.43,92.94,49.11,60.39,49.11,89.98,53.21,87.68,41.53,80.2,15.56,33.13,27.41,65.34,23.26,8.19,5.9,64.55,25.52,16.53,4.58,26.41,86.89,88.2,25.61,27.11,59.6,35.82,60.39,87.01,91.11,22.4,54.61,55.99,89.98,5.53,54.37,52.08,81.6,30.1,66.66,46.97,54.83,51.22,6.85,39.55,13.26,70.14,33.37,85.39,87.1,95.42,70.2,19.22,20.42,67.21,15.4,76.96,95.48,96.42,97.28
Harry Clarke,eng ENG,DF,23,2001,6,6,472,33.87,61.02,41.69,72.85,49.59,49.51,86.48,23.43,35.67,40.7,57.03,54.91,34.13,39.04,21.77,35.2,34.51,73.31,70.78,89.77,52.67,87.79,80.47,69.62,70.35,69.62,64.04,63.05,59.27,62.35,37.76,92.94,43.49,46.57,42.62,80.09,28.58,48.17,68.75,41.51,40.26,18.14,57.44,72.15,67.03,41.51,61.22,76.72,33.2,70.35,86.66,78.87,18.52,53.17,31.28,64.04,6.42,56.89,52.91,12.94,17.85,68.69,47.97,59.88,54.27,6.95,92.88,20.0,91.28,29.51,64.59,83.63,80.32,51.86,21.22,78.37,28.34,57.59,24.39,17.09,38.69,84.77
Harry Cornick,eng ENG,MO,29,1995,3,0,38,99.81,99.48,67.25,98.09,45.47,44.54,2.81,16.28,15.91,54.68,13.17,12.72,42.96,42.66,5.65,70.32,24.33,7.78,7.63,5.35,65.27,94.61,18.71,98.02,3.56,98.02,6.29,4.12,5.84,10.67,8.05,15.08,9.32,97.16,0.97,5.54,11.9,7.11,57.67,41.54,7.49,39.15,62.95,30.43,30.28,41.62,43.38,5.95,4.79,3.56,4.98,9.21,53.48,15.19,13.81,6.29,83.16,53.41,50.97,13.51,3.67,83.42,43.82,52.62,50.45,14.03,86.04,0.52,99.33,32.22,26.76,2.81,44.16,5.13,93.26,15.31,1.27,19.01,42.48,5.65,5.13,5.95
