Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penalties Winner,Efficiency
Kepa Arrizabalaga,es ESP,GK,Bournemouth,29,1994,31,31,2790,39,134,95,8,4,4,0,0,41.0,132,365,831,122,192,367,22,54,0,2.0
Kevin Müller,de GER,GK,Heidenheim,33,1991,38,38,3389,68,190,122,9,6,6,0,0,59.3,152,428,1031,153,271,453,21,20,0,-8.700000000000003
Kevin Trapp,de GER,GK,Eint Frankfurt,34,1990,33,33,2925,41,137,96,9,2,0,2,0,41.5,110,374,998,146,178,514,29,34,2,0.4999999999999982
Kjell Scherpen,nl NED,GK,at Sturm Graz,24,2000,6,6,540,11,35,24,1,0,0,0,0,12.6,28,93,161,19,40,105,8,4,0,1.5999999999999996
Kjetil Haug,no NOR,GK,Toulouse,26,1998,6,5,498,7,16,9,1,0,0,0,0,6.6,16,60,95,13,35,72,5,3,0,-0.40000000000000036
Kostas Tzolakis,gr GRE,GK,gr Olympiacos,21,2002,10,10,897,7,34,27,6,1,0,1,0,10.1,56,169,222,45,44,81,11,34,1,3.0999999999999996
Krapyvtsov Vladyslav,ua UKR,GK,Girona,19,2005,2,2,180,7,18,11,0,1,1,0,0,6.3,10,21,63,13,7,27,1,1,0,-0.7000000000000002
Lars Unnerstall,de GER,GK,nl Twente,34,1990,9,9,760,11,36,26,2,2,1,1,0,10.0,37,115,240,32,41,104,4,11,1,-1.0
Lasse Rieß,de GER,GK,Mainz 05,23,2001,2,2,180,2,8,6,0,0,0,0,0,2.2,13,43,72,7,12,23,2,8,0,0.20000000000000018
Lawrence Ati-Zigi,gh GHA,GK,ch St. Gallen,27,1996,6,6,540,18,50,33,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,-18.0
Leandro Chichizola,ar ARG,GK,Parma,34,1990,1,1,90,3,6,3,0,0,0,0,0,2.5,3,16,41,5,8,21,2,2,0,-0.5
Leo Román,es ESP,GK,Mallorca,24,2000,7,7,630,10,49,39,2,1,1,0,0,13.5,48,139,188,18,52,127,8,6,0,3.5
Liam Kelly,sct SCO,GK,sct Rangers,28,1996,2,2,180,2,6,3,1,2,1,1,0,3.1,11,42,53,8,19,49,4,4,1,1.1
Lorenzo Montipò,it ITA,GK,Hellas Verona,28,1996,36,36,3240,64,161,97,8,4,2,1,1,50.8,210,720,760,91,298,498,30,23,2,-13.200000000000003
Lorenzo Torriani,it ITA,GK,it Milan,19,2005,1,0,40,1,4,3,0,0,0,0,0,1.4,0,2,12,1,3,4,0,0,0,0.3999999999999999
Lovro Štubljar,si SVN,GK,si NK Celje,19,2004,2,2,180,5,12,6,0,1,0,1,0,0.0,0,0,0,0,0,0,0,0,1,-5.0
Luca Philipp,de GER,GK,Hoffenheim,23,2000,7,7,630,18,41,24,0,1,1,0,0,13.5,37,117,182,25,45,108,4,5,0,-4.499999999999999
Lucas Chevalier,fr FRA,GK,Lille,22,2001,44,44,3960,49,171,123,12,6,6,0,0,57.6,156,413,1271,178,148,485,26,27,0,8.600000000000003
Lucas Perri,br BRA,GK,Lyon,26,1997,44,44,3990,58,208,150,13,5,5,0,0,64.9,137,439,1223,226,211,545,37,34,0,6.899999999999999
Luiz Lúcio Reis Júnior,br BRA,GK,Villarreal,23,2001,17,16,1458,18,66,48,5,4,4,0,0,18.1,61,178,392,96,99,256,16,20,0,0.10000000000000142
Lukas Jungwirth,at AUT,GK,at LASK,20,2004,3,2,262,10,19,10,0,2,2,0,0,0.0,0,0,0,0,0,0,0,0,0,-10.0
Lukáš Horníček,cz CZE,GK,pt Braga,22,2002,4,3,291,4,16,12,1,0,0,0,0,5.0,12,41,91,13,16,53,2,9,0,1.0
Lukáš Hrádecký,fi FIN,GK,Leverkusen,34,1989,33,33,2970,44,139,98,8,4,4,0,0,42.5,133,343,888,125,156,339,13,46,0,-1.5000000000000027
Lukáš Zima,cz CZE,GK,ro FCSB,30,1994,1,1,90,4,6,2,0,0,0,0,0,3.2,2,6,19,5,6,10,0,0,0,-0.7999999999999998
Léon-Maurice Pöhls,de GER,GK,ie Shamrock Rov,27,1997,6,6,540,9,23,14,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-9.0
Maarten Vandevoordt,be BEL,GK,RB Leipzig,22,2002,8,6,609,11,28,17,0,0,0,0,0,8.8,23,66,192,34,47,102,8,16,0,-2.2
Mads Hermansen,dk DEN,GK,Leicester City,24,2000,27,27,2385,58,155,99,1,4,3,1,0,56.4,114,471,926,133,143,419,26,26,1,-1.6000000000000014
Mads Kikkenborg,dk DEN,GK,be Anderlecht,24,1999,1,1,90,4,5,2,0,0,0,0,0,2.5,5,9,27,2,5,8,0,1,0,-1.5
Maduka Okoye,ng NGA,GK,Udinese,24,1999,25,25,2250,40,110,73,4,5,4,0,1,37.0,120,292,776,80,99,315,14,23,1,-3.0
Malkolm Nilsson,se SWE,GK,se Djurgården,30,1993,2,2,165,1,7,6,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,-1.0
Manuel Neuer,de GER,GK,Bayern Munich,38,1986,32,32,2802,26,66,40,15,3,2,0,1,23.7,138,283,1234,125,81,210,7,68,1,-2.3000000000000007
Marc-André ter Stegen,de GER,GK,Barcelona,32,1992,9,9,764,11,30,19,1,1,1,0,0,8.5,19,44,274,52,33,99,9,22,0,-2.4999999999999996
Marcin Bułka,pl POL,GK,Nice,24,1999,40,40,3600,55,197,143,8,4,3,1,0,54.7,129,314,1122,203,194,536,46,50,1,-0.3000000000000007
