Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penalties Winner,Efficiency,% Saves,% Long Passes,% Crosses Stopped
Joey Kesting,nl NED,GK,RKC Waalwijk,23,2001,3,3,270,1.67,4.33,2.67,0.0,1.0,1.0,0.0,0.0,1.7,8.33,17.67,28.67,2.33,5.67,17.0,0.0,0.67,0.0,0.03,61.66,47.14,0.0
John,br BRA,GK,Botafogo (RJ),29-156,1996,19,19,1710,0.63,3.26,2.58,0.53,0.05,0.05,0.0,0.0,0.83,4.32,10.32,28.84,3.47,5.42,14.42,0.74,0.84,0.0,0.2,79.14,41.86,5.13
John McCarthy,us USA,GK,LA Galaxy,33-015,1992,11,11,990,2.36,5.09,2.82,0.0,0.36,0.27,0.09,0.0,1.82,2.45,11.18,22.27,4.18,4.91,12.27,0.73,0.82,0.09,-0.55,55.4,21.91,5.95
John Pulskamp,us USA,GK,Sporting KC,24-091,2001,22,22,1980,1.86,5.32,3.55,0.14,0.32,0.27,0.0,0.05,1.77,4.36,16.68,21.86,3.55,8.45,13.23,0.64,0.77,0.05,-0.09,66.73,26.14,4.84
Jonas Wendlinger,at AUT,GK,Almere City,24,2000,1,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,45.0,36.0,0.0,9.0,9.0,9.0,0.0,0.0,0.0,,20.0,100.0
Jonathan Bond,eng ENG,GK,Houston Dynamo,32-061,1993,24,23,2148,1.68,4.48,2.77,0.25,0.08,0.04,0.04,0.0,1.57,3.56,9.59,25.43,4.15,5.24,12.4,0.42,1.55,0.04,-0.1,61.83,37.12,3.39
Jonathan Klinsmann,us USA,GK,Cesena,27,1997,27,27,2430,1.11,3.48,2.37,0.26,0.11,0.04,0.07,0.0,1.12,1.59,9.74,20.48,5.11,6.59,12.78,0.78,0.7,0.07,0.01,68.1,16.32,6.1
Jonathan Sirois,ca CAN,GK,CF Montréal,24-022,2001,20,20,1800,1.7,5.1,3.4,0.2,0.0,0.0,0.0,0.0,1.52,3.7,10.1,35.5,4.25,4.0,9.25,0.7,1.1,0.0,-0.18,66.67,36.63,7.57
Jordan Archer,sct SCO,GK,Portsmouth,31,1993,2,1,150,1.2,6.6,5.4,0.0,0.0,0.0,0.0,0.0,1.74,4.2,15.6,30.0,3.0,4.2,19.2,0.0,1.8,0.0,0.54,81.82,26.92,0.0
Jorge Broun,ar ARG,GK,Rosario Central,39-054,1986,15,15,1350,0.6,3.2,2.67,0.47,0.0,0.0,0.0,0.0,0.65,5.6,11.73,17.93,4.4,9.67,17.13,0.47,0.07,0.0,0.05,83.44,47.74,2.74
Jorge Carranza,ar ARG,GK,Aldosivi,44-073,1981,13,13,1170,1.54,4.31,2.77,0.23,0.23,0.23,0.0,0.0,1.09,5.23,12.08,19.46,4.31,6.31,16.23,0.77,0.62,0.0,-0.45,64.27,43.29,4.74
Jorge Hernández,mx MEX,GK,Querétaro,25,1998,9,9,810,1.44,4.56,3.11,0.22,0.22,0.11,0.0,0.11,1.42,3.44,13.89,15.22,2.33,9.44,21.11,0.44,0.0,0.11,-0.02,68.2,24.77,2.08
Josh Vickers,eng ENG,GK,Derby County,28,1995,6,6,540,1.0,2.83,1.83,0.5,0.0,0.0,0.0,0.0,1.12,6.33,21.17,20.33,2.67,9.17,15.33,1.5,0.5,0.0,0.12,64.66,29.9,9.78
Joshua Griffiths,eng ENG,GK,West Brom,22,2001,6,6,540,1.83,4.33,2.5,0.17,0.0,0.0,0.0,0.0,1.47,3.83,12.33,28.5,4.83,4.33,17.17,0.33,1.0,0.0,-0.37,57.74,31.06,1.92
Josue Reinatti,ar ARG,GK,Newell's OB,22-047,2003,2,2,180,2.0,7.0,5.0,0.0,0.5,0.5,0.0,0.0,2.3,3.5,5.5,27.5,10.0,3.0,16.5,1.5,0.5,0.0,0.3,71.43,63.64,9.09
José Antonio Rodríguez,mx MEX,GK,Tijuana,32,1992,21,21,1880,1.72,5.41,3.78,0.14,0.14,0.14,0.0,0.0,1.62,5.65,14.27,41.65,4.16,5.84,13.16,0.77,1.1,0.0,-0.1,69.87,39.59,5.85
José Contreras Verna,ve VEN,GK,ec Barcelona,30-272,1994,5,5,396,0.91,4.77,3.64,0.45,0.23,0.0,0.23,0.0,1.34,3.64,14.32,17.5,3.41,10.0,14.09,1.59,0.0,0.23,0.43,76.31,25.42,11.28
José Corona,mx MEX,GK,Tijuana,43,1981,11,10,910,1.78,5.24,3.36,0.1,0.3,0.2,0.1,0.0,1.98,2.67,6.92,33.43,4.15,4.35,10.78,0.2,0.79,0.1,0.2,64.12,38.58,1.86
José Eulogio,mx MEX,GK,Pachuca,20,2004,2,2,180,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.25,4.0,8.0,13.5,3.5,8.0,7.5,0.0,0.0,0.0,-0.75,50.0,50.0,0.0
José Rangel Aguilar,mx MEX,GK,Guadalajara,24,2000,32,32,2879,1.0,3.78,2.72,0.34,0.09,0.03,0.06,0.0,1.01,4.6,12.22,28.73,4.69,6.72,11.97,1.0,1.13,0.06,0.01,71.96,37.64,8.35
José Santiago Hernández,mx MEX,GK,Atlas,27,1997,3,3,270,1.0,2.0,1.0,0.33,0.33,0.33,0.0,0.0,0.83,3.33,9.0,22.0,3.0,4.67,8.0,0.33,0.67,0.0,-0.17,50.0,37.0,4.12
João Gonçalves,pt POR,GK,Boavista,23,2000,4,4,360,0.5,2.0,1.5,0.5,0.0,0.0,0.0,0.0,0.82,7.75,22.0,18.5,0.75,9.0,14.75,0.25,0.25,0.0,0.32,75.0,35.23,1.69
João Paulo Santos Costa,pt POR,GK,Estrela,28,1996,14,14,1260,1.21,3.86,2.57,0.29,0.29,0.21,0.07,0.0,1.36,6.71,17.43,22.29,2.64,8.57,12.93,0.14,1.0,0.07,0.14,66.58,38.5,1.08
João Ricardo Riedi,br BRA,GK,Fortaleza,36-316,1988,18,18,1620,1.28,5.11,3.83,0.44,0.11,0.06,0.06,0.0,1.55,4.5,11.67,19.78,4.56,6.83,12.39,0.94,1.06,0.06,0.27,74.95,38.56,7.59
João Valido,pt POR,GK,Arouca,24,2000,5,5,450,1.2,4.0,2.8,0.2,0.2,0.2,0.0,0.0,1.1,3.4,6.4,21.0,4.4,10.0,14.0,1.8,1.6,0.0,-0.1,70.0,53.12,12.86
Juan Cozzani,ar ARG,GK,Platense,26-283,1998,17,17,1530,0.82,3.71,3.0,0.35,0.12,0.12,0.0,0.0,1.12,5.06,20.24,19.29,1.41,6.76,15.12,0.59,1.12,0.0,0.3,80.86,25.0,3.9
Juan Espínola,py PAR,GK,Belgrano,30-259,1994,11,11,990,1.64,3.73,2.09,0.27,0.09,0.09,0.0,0.0,1.09,5.91,18.55,26.27,3.55,6.45,16.55,1.18,0.73,0.0,-0.55,56.03,31.86,7.13
Juan González,uy URU,GK,Atlé Tucumán,32-009,1993,6,6,540,0.83,3.67,3.0,0.33,0.17,0.17,0.0,0.0,0.83,6.5,15.33,22.83,2.83,7.0,14.5,1.5,1.0,0.0,0.0,81.74,42.4,10.34
Juan Zozaya,ar ARG,GK,Cen. Córdoba–SdE,24-038,2001,2,2,180,1.5,4.0,2.5,0.0,0.0,0.0,0.0,0.0,1.95,3.0,7.0,14.0,3.0,6.0,14.5,0.0,0.0,0.0,0.45,62.5,42.86,0.0
Julien Devriendt,be BEL,GK,Dender,25,1998,4,3,315,2.57,7.43,4.86,0.0,0.29,0.29,0.0,0.0,2.06,3.71,12.0,22.0,6.57,4.57,14.0,0.57,2.0,0.0,-0.51,65.41,30.92,4.07
Julio José González,mx MEX,GK,UNAM,33,1991,19,19,1710,1.0,3.89,2.95,0.37,0.16,0.16,0.0,0.0,0.89,4.58,13.11,22.63,4.58,9.58,11.89,0.47,1.84,0.0,-0.11,75.84,34.94,3.95
Justin Bijlow,nl NED,GK,Feyenoord,26,1998,4,4,360,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.5,3.0,7.5,51.25,4.0,5.25,6.5,0.5,1.5,0.0,-0.5,50.0,40.0,7.69
