Player,Nationality,Minutes,Goals Against,Saves,Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Attempted Goal Kicks,Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Pass Length,Goal Kick Length,Distance of Defensive Actions
Maarten Vandevoordt,be BEL,609,14.84,81.9,9.5,71.51,67.95,70.62,83.09,92.28,94.36,94.07,90.21,97.63,87.54,90.5,95.55
Mads Hermansen,dk DEN,2385,31.31,61.13,44.96,26.71,40.95,69.14,62.31,62.61,31.16,54.45,53.56,42.28,44.36,62.02,51.19
Mads Kikkenborg,dk DEN,90,3.12,9.94,2.37,13.2,51.78,16.32,33.98,5.19,25.52,4.6,5.79,47.63,4.45,3.56,16.02
Maduka Okoye,ng NGA,2250,55.19,33.23,37.98,34.72,47.33,30.27,49.55,18.25,12.46,25.07,27.6,40.8,10.68,49.85,45.1
Malkolm Nilsson,se SWE,165,95.25,48.66,81.01,13.2,32.64,56.68,10.39,20.18,79.53,82.05,27.0,5.93,62.76,67.06,5.93
Manolis Saliakas,gr GRE,1,98.07,1.78,52.67,99.55,1.19,0.74,99.41,1.04,0.74,0.74,5.79,5.93,1.04,0.74,5.93
Manuel Neuer,de GER,2802,46.88,17.21,21.81,91.39,92.28,74.48,97.03,88.58,29.97,25.82,19.14,97.92,58.75,83.68,100.0
Marc-André ter Stegen,de GER,764,9.2,98.22,29.08,32.64,68.99,64.09,97.33,99.7,81.9,92.88,99.11,100.0,97.33,92.58,90.8
Marcin Bułka,pl POL,3600,4.75,97.33,20.77,48.81,70.92,50.89,83.98,96.74,86.35,89.61,95.25,95.25,92.88,79.53,92.28
Marco Bizot,nl NED,3690,8.31,87.83,25.82,81.45,99.11,98.52,81.6,85.16,88.13,91.99,94.66,93.47,96.14,98.52,94.07
Marco Carnesecchi,it ITA,3870,40.95,72.85,37.09,93.18,87.24,88.72,78.64,83.68,90.21,58.75,47.48,89.61,91.39,98.81,88.43
Marco Silvestri,it ITA,450,30.42,52.23,9.94,13.2,81.16,63.35,33.98,18.25,4.45,23.15,13.06,36.5,41.25,5.93,17.8
Marco Sportiello,it ITA,126,67.8,30.86,59.2,87.54,25.82,18.1,56.08,70.33,85.01,13.95,36.8,83.09,40.21,12.46,84.12
Marius Müller,de GER,475,91.99,52.52,89.61,41.1,81.9,73.29,61.72,67.66,47.33,73.29,86.8,26.56,56.23,61.42,21.96
Mark Flekken,nl NED,3275,60.09,69.73,41.1,41.1,79.82,71.81,73.15,21.22,37.83,56.68,72.4,41.54,8.61,70.62,23.74
Mark Travers,ie IRL,450,89.02,67.36,97.63,42.88,75.96,46.29,8.61,71.07,67.66,25.07,13.06,47.63,93.18,72.11,24.93
Marko Dmitrović,rs SRB,2880,59.2,47.03,56.08,59.94,73.0,89.91,16.32,24.78,80.12,71.22,82.2,73.59,70.03,83.09,43.47
Marko Ilić,rs SRB,180,1.78,56.08,8.9,13.2,68.99,86.65,4.6,13.95,92.14,41.84,59.64,5.93,77.15,65.88,5.93
Martin Dúbravka,sk SVK,900,81.45,31.75,60.98,78.78,5.04,13.06,35.01,66.02,38.28,27.0,59.64,56.23,45.7,45.7,64.09
Martin Jedlička,cz CZE,1080,73.59,56.08,83.68,51.48,66.77,62.31,20.18,11.13,34.87,43.47,45.7,54.75,37.39,66.17,73.89
Marvin Keller,ch SUI,360,29.08,67.36,20.77,13.2,16.77,39.17,73.59,54.45,5.34,73.89,5.79,22.26,21.07,38.87,27.3
Matej Kovar,cz CZE,990,40.95,58.75,16.32,95.25,82.79,59.35,81.01,78.34,68.25,76.85,71.51,75.37,70.33,86.35,94.96
Mateusz Kochalski,pl POL,540,21.51,76.26,79.67,13.2,27.0,41.69,52.52,24.78,25.52,16.47,24.18,47.63,22.85,47.48,47.33
Matevž Vidovšek,si SVN,720,92.28,42.73,93.32,85.16,39.61,20.62,21.96,45.1,46.74,65.58,68.1,33.83,56.68,20.77,68.69
Matheus,br BRA,517,1.19,98.52,38.87,44.36,49.55,55.49,96.74,87.54,82.2,95.85,47.48,97.33,60.24,67.36,99.41
Mathew Ryan,au AUS,1260,80.71,44.21,70.62,72.85,21.36,18.99,21.07,70.03,20.77,24.63,77.3,32.05,75.07,19.29,45.99
Mathieu Gorgelin,fr FRA,1440,36.94,42.73,60.98,27.15,49.11,28.49,34.72,53.12,44.07,63.8,73.0,22.26,55.79,18.1,39.76
Matjaž Rozman,si SVN,360,40.95,37.39,25.37,13.2,30.56,15.13,21.66,59.79,70.33,31.31,14.84,5.93,67.21,13.95,5.93
Matouš Trmal,cz CZE,540,51.78,80.71,63.5,37.39,19.58,41.69,55.49,68.25,62.31,43.47,69.88,47.63,51.34,59.64,39.02
Mattia Perin,it ITA,660,27.15,99.41,99.7,83.83,62.61,62.61,92.28,99.11,58.46,93.47,78.93,53.41,97.03,92.88,93.47
Matvei Safonov,ru RUS,1059,68.4,83.98,79.67,91.84,71.81,86.65,79.23,80.71,83.23,65.28,81.9,93.18,85.31,89.32,89.61
Matz Sels,be BEL,3420,80.71,43.62,60.98,66.47,73.59,73.0,5.04,6.82,58.9,73.0,24.18,16.02,44.96,68.84,36.94
Maxime Delanghe,be BEL,599,63.35,30.27,57.86,58.61,83.68,90.5,11.87,2.97,47.77,22.4,40.06,40.21,7.27,81.01,75.96
Maxime Dupé,fr FRA,180,89.02,37.39,63.5,13.2,6.97,2.67,26.71,73.74,49.41,9.5,24.18,22.26,55.19,5.34,57.27
Melvin Zinga,fr FRA,90,40.95,9.94,85.91,13.2,6.97,27.6,12.46,36.94,88.72,77.89,59.64,80.56,73.0,6.23,40.65
Mert Günok,tr TUR,450,40.95,72.4,94.66,13.2,26.11,33.23,27.6,66.02,55.64,37.54,30.12,13.65,71.36,22.26,21.36
Michael Zetterer,de GER,3060,50.89,37.39,37.98,56.97,32.94,26.41,63.2,68.84,7.12,34.42,64.69,47.63,44.96,21.96,55.93
Michele Di Gregorio,it ITA,3658,46.59,77.45,68.1,91.84,86.65,84.57,81.9,92.58,81.6,91.1,84.27,67.8,95.85,96.44,93.77
Mike Maignan,fr FRA,4154,24.48,93.18,26.71,73.59,67.06,56.23,94.96,89.32,82.79,83.68,77.89,94.36,69.44,90.8,99.7
Mile Svilar,rs SRB,4500,40.95,84.57,75.82,86.5,85.46,87.24,91.69,91.39,90.8,92.28,89.91,78.04,86.05,95.55,85.46
Moritz Nicolas,de GER,1639,71.51,61.72,74.78,45.85,56.97,27.0,71.81,56.08,7.42,67.95,54.3,35.01,16.02,28.19,68.25
Muhammed Şengezer,tr TUR,360,78.04,74.48,89.32,13.2,72.55,83.68,63.5,13.95,13.35,41.84,80.71,33.83,14.39,54.6,51.78
Mukhammedzhan Seysen,kz KAZ,180,40.95,99.7,98.81,13.2,24.04,75.37,30.42,73.74,92.14,87.83,80.71,70.03,76.85,64.99,54.9
Nathan Trott,eng ENG,450,55.19,22.4,29.67,42.88,10.53,11.57,40.36,8.9,7.86,6.23,13.06,13.65,6.82,7.42,12.17
Nediljko Labrović,hr CRO,1350,34.42,28.49,15.43,32.64,61.57,47.33,29.67,55.19,57.72,41.25,43.62,59.35,62.76,50.45,43.03
Neofytos Michael,cy CYP,90,40.95,37.39,39.91,13.2,3.71,1.63,9.2,59.79,40.36,1.78,5.79,5.93,47.03,2.67,5.93
Neto,br BRA,270,40.95,97.77,92.28,13.2,89.17,93.03,86.8,97.63,80.86,85.91,97.92,98.81,96.44,89.61,84.12
Nick Pope,eng ENG,2520,78.04,41.1,52.67,56.97,11.87,17.51,10.09,79.23,53.71,28.19,76.56,84.27,90.36,40.65,60.24
Nicola Leali,it ITA,2610,86.05,29.67,65.13,66.47,55.49,39.76,23.15,32.2,63.35,32.64,37.54,19.88,50.3,32.05,46.74
Nikita Haikin,ru RUS,1440,58.16,63.8,75.82,41.1,49.11,43.32,71.22,54.45,30.71,72.11,50.0,68.25,25.82,28.93,48.52
Niklas Hedl,at AUT,900,85.16,45.99,67.21,70.47,13.06,14.84,37.39,42.73,22.55,29.67,30.12,77.74,36.2,42.73,74.48
