Player,Team,League,Nationality,Matches,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Attempted Goal Kicks,Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Pass Length,Goal Kick Length,Distance of Defensive Actions
Iñaki Peña,Barcelona,La Liga,es ESP,16,1396,53.0,18.0,35.0,16.6,-1.4,5,23.0,78.0,546.0,80.0,84.0,143.0,3.0,89.0,3.63,30.29,24.96
Jack Butland,Rangers,Europa League,eng ENG,9,810,34.0,12.0,23.0,11.3,-0.7,2,61.0,157.0,236.0,30.0,76.0,154.0,6.0,4.0,4.84,50.06,16.27
Jacob Karlstrom,Molde,Europa Conference League,no NOR,4,360,16.0,5.0,11.0,6.2,1.2,1,11.0,46.0,222.0,20.0,23.0,82.0,6.0,10.0,2.49,34.46,19.5
Jacob Rinne,Djurgården,Europa Conference League,se SWE,9,735,29.0,11.0,20.0,8.8,-2.2,2,29.0,100.0,220.0,28.0,55.0,116.0,8.0,9.0,4.05,41.95,19.21
Jacopo Seghetti,Empoli,Serie A,it ITA,1,90,6.0,3.0,3.0,1.9,-1.1,0,3.0,9.0,16.0,5.0,5.0,4.0,0.0,1.0,10.56,39.0,26.0
Jakub Stolarczyk,Leicester City,Premier League,pl POL,10,900,44.0,16.0,28.0,15.4,-0.6,2,57.0,195.0,328.0,36.0,58.0,169.0,10.0,8.0,3.69,50.17,22.75
Jan Oblak,Atlético Madrid,Champions League,si SVN,10,900,46.0,14.0,32.0,14.8,0.8,2,27.0,76.0,172.0,49.0,53.0,108.0,14.0,5.0,8.95,42.65,16.82
Jan Oblak,Atlético Madrid,La Liga,si SVN,36,3240,114.0,30.0,86.0,25.6,-4.4,15,109.0,277.0,670.0,183.0,277.0,488.0,28.0,28.0,8.07,36.69,20.06
Janis Blaswich,RB Salzburg,Champions League,de GER,5,381,25.0,14.0,11.0,10.0,-4.0,0,14.0,44.0,105.0,13.0,27.0,48.0,1.0,6.0,3.48,38.59,16.7
Jason Steele,Brighton,Premier League,eng ENG,2,180,4.0,1.0,3.0,0.4,-0.6,1,7.0,16.0,110.0,7.0,2.0,22.0,2.0,3.0,1.74,43.0,15.97
