Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penalties Winner,Efficiency
Guillermo de Amores,uy URU,GK,uy Peñarol,30-273,1994,3,3,270,2,10,8,2,0,0,0,0,1.8,11,40,69,19,20,29,1,0,0,-0.19999999999999996
Gustavo,br BRA,GK,Juventude,32-131,1993,7,7,585,14,38,23,1,2,1,1,0,11.6,19,57,158,32,40,90,5,1,1,-2.4000000000000004
Harlen Castillo,co COL,GK,co Nacional,31-336,1993,1,1,90,0,2,2,1,0,0,0,0,0.1,4,13,32,2,0,8,0,0,0,0.1
Hendrik Van Crombrugge,be BEL,GK,Genk,31,1993,19,19,1710,24,71,47,8,1,0,0,1,23.2,103,237,673,63,80,253,6,9,1,-0.8000000000000007
Hernán Galíndez,ec ECU,GK,Huracán,38-111,1987,16,16,1440,12,44,32,8,3,2,1,0,14.9,71,217,345,43,109,226,13,6,1,2.9000000000000004
Hidde Jurjus,nl NED,GK,Groningen,30,1994,2,2,180,3,7,4,0,0,0,0,0,2.2,14,39,73,4,13,18,0,7,0,-0.7999999999999998
Horaţiu Moldovan,ro ROU,GK,Sassuolo,26,1998,27,27,2430,27,106,80,11,1,1,0,0,27.8,97,306,584,102,157,394,29,8,0,0.8000000000000007
Hugo González Durán,mx MEX,GK,Mazatlán,33,1990,34,34,3015,45,148,104,9,8,6,0,2,42.6,187,466,826,155,287,478,27,30,2,-2.3999999999999986
Hugo Lloris,fr FRA,GK,LAFC,38-205,1986,18,18,1620,18,55,38,8,2,2,0,0,16.7,88,200,408,63,94,213,8,21,0,-1.3000000000000007
Hugo Souza,br BRA,GK,Corinthians,26-169,1999,9,9,810,11,32,21,4,2,2,0,0,11.8,31,66,175,33,60,97,2,2,0,0.8000000000000007
Héctor Holguín,mx MEX,GK,Santos,23,2001,1,1,90,1,5,4,0,1,1,0,0,1.6,2,7,36,5,10,22,0,0,0,0.6000000000000001
Ignacio Arce,ar ARG,GK,Deportivo Riestra,33-102,1992,17,17,1530,7,58,53,13,2,2,0,0,14.5,187,475,420,13,154,382,36,26,0,7.5
Ignacio De Arruabarrena,uy URU,GK,ec Barcelona,28-184,1997,2,1,144,3,9,6,0,0,0,0,0,2.1,5,14,23,5,20,19,1,3,0,-0.8999999999999999
Illan Meslier,fr FRA,GK,Leeds United,24,2000,39,39,3510,27,88,63,21,4,3,1,0,23.6,72,304,1201,174,119,348,32,35,1,-3.3999999999999986
Ivan Zlobin,ru RUS,GK,Famalicão,27,1997,15,15,1350,18,63,45,5,1,1,0,0,23.0,48,158,353,61,92,212,16,7,0,5.0
