Team,League,Matches,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Attempted Goal Kicks,Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Goals,Assists,Shots Total,Shots on Target,Expected Goals (xG),Non-Penalty Expected Goals (npxG),Penalty Kicks Made,Penalty Kicks Attempted,Shot-Creating Actions (SCA),Goal-Creating Actions (GCA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Crosses,Expected Assists (xA),Expected Assisted Goals (xAG),Passes Completed,Passes Attempted,Progressive Passes,Through Balls,Switches,Passes Blocked,Passes Offside,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Carries,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Take-Ons Attempted,Successful Take-Ons,Times Tackled During Take-On,Tackles,Tackles Won,Tackles in Defensive Third,Tackles in Middle Third,Tackles in Attacking Third,Dribblers Tackled,Dribbles Challenged,Challenges Lost,Interceptions,Blocks,Shots Blocked,Clearances,Errors Leading to Shot,Ball Recoveries,Miscontrols,Dispossessed,Ball Losses,Passes Received,Progressive Passes Received,Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Live-Ball Touches,Yellow Cards,Red Cards,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Conceded,Penalty Kicks Won,Own Goals,Aerials Won,Aerials Lost,Total Aerials,Pass Length,Goal Kick Length,Distance of Defensive Actions,Passing Distance,Carrying Distance,Progressive Pass Distance %,Progressive Carry Distance %
Nantes,Ligue 1,34,30465.0,0.44,0.15,0.29,0.15,-0.0,0.02,0.45,1.37,2.54,0.41,0.56,1.74,0.1,0.04,0.12,0.08,1.02,0.35,0.12,0.11,0.01,0.01,1.81,0.19,0.75,2.55,0.64,0.25,1.81,0.07,0.08,30.42,38.12,3.11,0.08,0.13,0.82,0.09,34.34,3.7,0.93,13.7,15.59,13.41,15.53,2.56,4.85,26.2,1.48,1.02,0.42,1.55,0.67,0.82,1.9,1.11,0.99,0.66,0.25,0.94,1.66,0.72,0.83,1.18,0.34,2.93,0.02,3.73,1.43,0.84,2.27,30.71,3.08,49.41,3.52,14.72,23.86,11.34,1.9,49.39,0.2,0.01,1.22,1.13,0.09,0.02,0.01,0.01,1.24,1.29,2.53,5.59,49.8,15.43,13.75,5.04,0.34,0.49
Napoli,Serie A,38,34200.0,0.25,0.07,0.18,0.08,0.0,0.05,0.27,0.66,3.05,0.34,0.54,1.15,0.07,0.13,0.15,0.11,1.31,0.39,0.14,0.13,0.01,0.01,2.32,0.26,1.03,3.23,0.84,0.2,1.79,0.08,0.1,41.39,49.13,4.07,0.13,0.23,0.89,0.14,45.11,3.87,1.11,18.78,20.83,18.29,20.54,3.4,5.31,32.63,1.94,1.17,0.54,1.61,0.64,0.75,1.41,0.85,0.62,0.63,0.16,0.68,1.23,0.56,0.71,0.83,0.26,2.09,0.03,3.61,1.24,0.86,2.1,41.81,4.03,59.08,2.96,15.88,29.75,13.93,2.29,59.07,0.12,0.0,1.09,1.16,0.14,0.01,0.01,0.0,1.37,1.21,2.58,3.12,34.51,19.19,14.47,5.29,0.3,0.51
Newcastle Utd,Premier League,38,34137.0,0.42,0.12,0.3,0.13,0.0,0.03,0.24,0.89,2.29,0.65,0.65,1.28,0.13,0.2,0.17,0.13,1.37,0.43,0.17,0.16,0.01,0.02,2.45,0.3,1.05,3.02,1.05,0.18,1.86,0.1,0.12,38.43,46.88,4.2,0.21,0.25,0.93,0.18,43.01,3.69,1.02,19.08,21.37,15.86,18.21,2.63,4.88,32.63,2.0,1.25,0.69,1.73,0.74,0.79,1.59,0.98,0.73,0.62,0.25,0.81,1.59,0.79,0.71,1.08,0.37,2.24,0.08,4.19,1.29,1.15,2.45,39.06,4.17,57.5,3.52,16.54,25.42,16.15,2.85,57.48,0.17,0.0,1.03,1.17,0.19,0.0,0.01,0.01,1.24,1.23,2.47,8.02,44.06,19.46,13.49,5.45,0.33,0.5
Nice,Europa League,8,7172.0,0.55,0.2,0.36,0.17,-0.03,0.0,0.26,0.61,2.84,0.53,0.56,1.07,0.1,0.23,0.09,0.06,1.49,0.4,0.13,0.12,0.0,0.01,2.71,0.16,1.15,3.14,0.94,0.28,2.2,0.09,0.1,39.08,48.69,4.03,0.09,0.31,0.97,0.15,44.67,3.87,1.13,19.85,22.37,15.42,18.31,2.51,4.84,38.93,2.28,1.78,0.43,2.43,1.12,1.09,1.83,1.17,0.72,0.89,0.23,0.92,1.58,0.67,1.1,1.24,0.39,1.88,0.16,4.99,1.87,1.24,3.11,39.64,3.99,61.06,2.89,14.98,29.82,16.99,2.42,61.05,0.21,0.03,0.79,1.2,0.15,0.0,0.01,0.01,1.38,1.12,2.5,4.82,29.07,21.17,12.7,5.73,0.32,0.56
Nice,Ligue 1,34,30567.0,0.47,0.12,0.35,0.13,0.01,0.02,0.33,0.8,2.79,0.51,0.48,1.38,0.11,0.1,0.18,0.13,1.43,0.54,0.19,0.17,0.02,0.02,2.53,0.31,1.04,2.76,0.95,0.19,1.76,0.11,0.13,36.01,44.14,3.88,0.26,0.18,0.88,0.16,40.32,3.66,1.09,18.07,20.28,14.9,17.29,2.29,4.37,30.14,2.06,1.22,0.5,2.02,0.87,1.02,1.86,1.17,0.87,0.71,0.28,0.87,1.57,0.69,1.07,1.23,0.37,2.26,0.08,4.55,1.58,0.93,2.51,36.53,3.86,55.97,3.57,15.61,27.27,13.81,2.48,55.95,0.17,0.02,1.15,1.21,0.16,0.01,0.01,0.0,1.23,1.18,2.42,5.22,32.26,16.18,13.31,5.39,0.34,0.56
Nott'ham Forest,Premier League,38,34179.0,0.43,0.12,0.31,0.13,0.01,0.03,0.64,1.84,1.88,0.22,0.71,1.87,0.05,0.03,0.15,0.11,1.21,0.43,0.12,0.11,0.01,0.01,2.09,0.24,0.87,2.45,0.62,0.17,1.64,0.07,0.08,27.13,35.2,2.96,0.16,0.16,0.74,0.21,31.72,3.27,0.87,13.81,15.84,10.26,12.74,2.02,4.23,21.7,1.66,1.01,0.49,1.53,0.68,0.61,1.84,1.1,1.07,0.59,0.18,0.9,1.76,0.86,0.85,1.12,0.41,3.14,0.06,4.14,1.48,0.85,2.34,27.14,2.94,47.12,4.29,14.21,20.19,13.33,2.07,47.11,0.23,0.01,1.05,1.08,0.24,0.01,0.01,0.0,1.46,1.47,2.93,4.89,54.29,16.31,12.46,5.66,0.35,0.53
Olimpija,Europa Conference League,8,7117.0,0.43,0.09,0.32,0.15,0.06,0.06,0.43,1.01,2.5,0.43,0.64,1.73,0.11,0.08,0.09,0.03,1.15,0.3,0.12,0.11,0.0,0.01,2.0,0.16,0.76,2.76,0.68,0.21,1.85,0.06,0.09,33.46,42.55,3.64,0.13,0.44,0.82,0.13,38.32,4.11,1.25,12.41,14.62,16.33,18.92,3.79,6.65,30.87,1.64,1.14,0.3,1.93,0.86,1.01,1.76,1.13,0.91,0.61,0.24,0.62,1.32,0.7,0.99,0.99,0.44,3.25,0.04,4.2,1.75,1.02,2.77,33.87,3.59,55.26,3.88,17.38,26.42,12.15,1.95,55.25,0.25,0.03,1.52,1.34,0.13,0.03,0.01,0.0,1.59,1.52,3.11,5.62,36.29,21.08,14.76,5.6,0.3,0.5
Olympiacos,Europa League,10,9000.0,0.34,0.07,0.27,0.1,0.03,0.07,0.58,1.71,2.25,0.45,0.44,0.81,0.11,0.34,0.11,0.1,1.47,0.43,0.18,0.15,0.0,0.03,2.71,0.16,1.23,3.67,1.02,0.4,2.54,0.11,0.12,32.24,43.27,4.43,0.16,0.38,1.19,0.32,39.03,3.92,1.0,14.41,17.35,13.78,17.15,3.2,5.69,28.05,1.62,1.4,0.33,1.78,0.72,0.94,2.23,1.5,0.78,1.01,0.44,1.08,2.11,1.03,1.32,1.49,0.29,1.92,0.03,5.08,1.73,1.03,2.76,32.28,4.42,55.86,2.03,9.59,29.23,17.78,2.58,55.83,0.18,0.0,1.27,0.99,0.37,0.01,0.03,0.0,2.07,1.87,3.94,8.52,53.98,21.29,13.23,5.32,0.32,0.5
Osasuna,La Liga,38,34200.0,0.49,0.14,0.36,0.15,0.01,0.02,0.78,1.71,2.63,0.38,0.76,1.42,0.09,0.23,0.12,0.07,1.08,0.32,0.12,0.1,0.02,0.02,1.89,0.22,0.79,2.46,0.7,0.33,2.16,0.08,0.08,29.69,38.78,3.21,0.07,0.34,0.92,0.16,34.72,3.9,0.96,12.96,15.16,13.17,16.0,2.86,5.41,25.56,1.49,1.12,0.35,1.56,0.68,0.73,1.61,0.96,0.77,0.63,0.21,0.81,1.61,0.8,0.7,1.02,0.27,2.33,0.04,3.75,1.39,0.77,2.17,30.3,3.17,49.02,2.94,12.96,23.39,13.18,1.94,49.0,0.22,0.0,1.33,0.99,0.17,0.02,0.02,0.0,1.61,1.35,2.96,5.22,51.06,22.36,13.58,5.17,0.34,0.49
PAOK,Europa League,10,8954.0,0.45,0.14,0.32,0.17,0.03,0.03,0.38,1.33,3.51,0.34,0.42,1.36,0.03,0.08,0.13,0.09,1.29,0.5,0.15,0.14,0.02,0.02,2.24,0.24,0.99,3.26,0.94,0.18,1.55,0.12,0.11,39.24,47.88,3.87,0.27,0.32,0.93,0.17,43.74,3.97,1.21,16.65,18.61,18.26,20.87,3.52,5.86,35.26,1.48,1.38,0.31,1.74,0.76,0.87,1.68,0.94,0.82,0.62,0.23,0.78,1.51,0.72,0.88,1.27,0.32,2.43,0.05,4.19,1.59,0.82,2.41,39.18,3.81,59.59,3.61,16.9,28.7,14.58,2.47,59.57,0.19,0.02,1.04,1.27,0.18,0.0,0.02,0.01,1.18,1.53,2.7,3.23,46.62,20.59,14.53,5.24,0.29,0.48
PSV Eindhoven,Champions League,12,11059.0,0.53,0.2,0.33,0.18,-0.01,0.01,0.59,1.33,3.58,0.43,0.54,1.29,0.11,0.09,0.18,0.11,1.68,0.62,0.16,0.15,0.01,0.01,3.02,0.31,1.31,3.77,0.94,0.24,1.99,0.1,0.11,42.03,50.37,4.65,0.05,0.3,0.91,0.12,46.73,3.52,0.98,18.54,20.57,18.32,20.74,3.8,5.84,33.71,1.83,1.2,0.59,1.68,0.71,0.85,1.97,1.25,0.8,0.9,0.27,0.95,1.83,0.88,1.06,1.05,0.33,1.84,0.05,4.46,1.24,0.72,1.96,42.37,4.58,61.46,3.29,15.42,29.98,16.61,2.73,61.45,0.19,0.01,1.03,0.92,0.13,0.01,0.01,0.0,1.25,1.27,2.51,3.58,43.61,16.32,14.46,5.4,0.31,0.5
Pafos FC,Europa Conference League,10,9000.0,0.29,0.12,0.17,0.12,-0.0,0.03,0.29,0.87,2.46,0.42,0.42,0.92,0.05,0.1,0.14,0.06,1.61,0.56,0.18,0.17,0.0,0.01,2.89,0.27,1.16,3.67,1.2,0.41,2.52,0.13,0.11,38.13,47.19,4.78,0.05,0.23,0.9,0.14,43.0,4.05,1.07,14.99,17.23,17.58,20.37,4.2,6.68,33.13,1.9,1.21,0.43,1.55,0.71,0.78,1.54,0.96,0.66,0.6,0.28,0.79,1.56,0.77,0.62,0.91,0.21,1.63,0.02,4.36,1.53,0.67,2.2,38.19,4.76,57.29,2.57,15.1,26.6,16.26,2.98,57.28,0.27,0.0,1.34,1.14,0.14,0.03,0.01,0.01,1.31,1.26,2.57,5.03,29.06,18.99,14.8,5.01,0.33,0.51
Panathinaikos,Europa Conference League,10,8999.0,0.47,0.14,0.33,0.15,0.01,0.04,0.18,0.69,2.6,0.38,0.4,0.98,0.07,0.14,0.16,0.05,1.44,0.45,0.17,0.14,0.03,0.04,2.56,0.24,1.05,4.22,0.98,0.14,1.92,0.12,0.11,45.64,53.84,4.84,0.2,0.37,0.9,0.11,49.79,3.94,1.37,22.65,24.96,18.01,20.61,3.1,4.92,40.71,1.83,1.77,0.47,1.91,0.87,0.91,1.53,0.97,0.66,0.64,0.23,0.86,1.46,0.6,0.8,0.81,0.16,2.27,0.03,3.82,1.16,0.99,2.15,45.97,4.8,64.29,2.86,14.66,31.43,18.78,2.81,64.25,0.24,0.02,1.12,1.53,0.11,0.01,0.04,0.0,1.13,1.2,2.33,3.79,28.18,17.04,13.65,5.56,0.31,0.48
Paris S-G,Champions League,17,15565.0,0.32,0.09,0.24,0.1,0.01,0.04,0.27,0.93,2.32,0.36,0.58,1.03,0.09,0.1,0.21,0.17,1.84,0.66,0.21,0.2,0.01,0.01,3.34,0.35,1.49,4.31,0.98,0.1,1.46,0.13,0.16,54.86,62.34,5.0,0.27,0.54,0.98,0.15,58.74,3.46,0.94,25.72,27.84,23.68,25.75,3.8,5.35,41.72,2.84,2.17,1.13,2.48,1.17,1.13,1.94,1.17,0.93,0.72,0.29,0.91,1.73,0.83,0.83,1.07,0.29,2.1,0.07,4.63,1.19,1.05,2.24,55.12,4.95,73.93,3.85,17.46,35.87,21.31,3.38,73.92,0.11,0.01,0.9,0.96,0.16,0.0,0.0,0.01,0.91,0.91,1.82,4.44,37.43,15.31,14.62,5.34,0.26,0.57
Paris S-G,Ligue 1,34,30600.0,0.3,0.1,0.2,0.09,-0.01,0.02,0.22,0.55,2.43,0.41,0.41,0.88,0.05,0.1,0.26,0.2,1.85,0.8,0.27,0.25,0.02,0.02,3.38,0.46,1.53,5.41,1.32,0.21,1.65,0.17,0.2,65.66,72.96,6.24,0.29,0.51,0.9,0.16,69.14,3.66,1.07,31.5,33.66,28.28,30.38,4.27,5.76,51.95,2.75,2.06,1.02,2.36,1.07,1.16,1.82,1.13,0.71,0.78,0.33,0.95,1.78,0.83,0.78,1.06,0.3,1.4,0.06,4.7,1.44,0.97,2.4,66.06,6.22,83.72,3.37,16.73,43.27,24.3,3.56,83.7,0.1,0.0,0.9,0.98,0.16,0.01,0.02,0.0,0.76,0.63,1.39,4.32,28.33,19.9,14.74,5.11,0.27,0.53
Parma,Serie A,38,33990.0,0.42,0.15,0.27,0.14,-0.01,0.02,0.55,1.85,3.51,0.5,0.62,1.7,0.18,0.11,0.11,0.08,1.11,0.37,0.11,0.1,0.02,0.02,1.95,0.19,0.84,2.23,0.57,0.16,1.13,0.06,0.08,30.36,37.76,2.8,0.11,0.19,0.65,0.08,34.0,3.68,1.14,13.4,15.4,13.53,15.8,2.54,4.47,27.33,1.53,1.1,0.44,1.55,0.66,0.73,1.38,0.78,0.7,0.53,0.15,0.64,1.28,0.64,0.74,1.15,0.41,2.49,0.05,3.5,1.45,0.79,2.23,30.61,2.78,48.31,3.62,14.71,22.35,11.83,1.73,48.29,0.2,0.02,1.06,1.2,0.08,0.01,0.01,0.01,1.28,1.33,2.61,5.02,51.76,16.04,13.83,5.13,0.32,0.5
Petrocub,Europa Conference League,6,5400.0,0.57,0.22,0.35,0.19,-0.02,0.0,0.33,1.38,2.65,0.55,0.7,1.75,0.17,0.05,0.07,0.02,0.62,0.15,0.07,0.05,0.03,0.03,1.13,0.1,0.4,1.83,0.48,0.18,1.23,0.03,0.03,29.4,37.33,2.88,0.05,0.15,0.77,0.15,34.3,2.88,1.08,13.57,16.03,12.33,14.78,2.17,3.9,23.12,1.12,0.85,0.17,1.4,0.65,0.72,1.82,1.1,1.07,0.63,0.12,1.0,2.12,1.12,1.02,1.27,0.37,3.28,0.03,4.52,1.9,1.2,3.1,29.68,2.85,49.45,4.88,21.8,19.78,8.33,1.17,49.42,0.18,0.0,1.22,1.02,0.15,0.02,0.0,0.0,0.92,1.42,2.33,7.49,39.73,18.53,12.92,5.2,0.34,0.47
Porto,Europa League,10,8960.0,0.38,0.15,0.23,0.12,-0.03,0.03,0.5,1.29,3.76,0.39,0.51,1.47,0.09,0.13,0.15,0.1,1.31,0.39,0.13,0.12,0.01,0.01,2.33,0.26,0.96,3.05,1.03,0.21,1.8,0.1,0.09,38.27,46.21,3.96,0.11,0.2,0.75,0.15,42.5,3.56,1.16,15.92,18.12,17.55,19.87,3.88,5.96,36.05,1.9,1.58,0.51,1.63,0.74,0.76,1.7,1.07,0.79,0.75,0.15,0.84,1.62,0.77,0.78,1.15,0.33,2.16,0.05,3.83,1.52,0.92,2.44,38.55,3.95,57.2,3.84,17.68,25.42,14.77,2.84,57.19,0.26,0.01,1.2,1.04,0.17,0.0,0.01,0.0,1.26,1.56,2.81,3.23,38.74,20.63,14.84,5.13,0.28,0.5
Qarabağ,Europa League,8,7112.0,0.67,0.25,0.42,0.27,0.02,0.0,0.29,1.13,2.81,0.35,0.46,1.06,0.05,0.1,0.06,0.04,1.0,0.25,0.11,0.09,0.01,0.03,1.89,0.09,0.72,3.63,0.97,0.27,1.81,0.1,0.08,40.01,48.91,4.54,0.25,0.32,0.87,0.16,44.65,4.1,1.43,18.4,20.74,18.03,20.98,3.02,5.24,37.48,2.08,1.76,0.62,1.94,0.94,0.84,2.35,1.39,0.95,0.99,0.42,1.08,1.96,0.89,1.09,1.25,0.37,1.66,0.09,4.82,1.58,1.0,2.58,40.08,4.54,60.39,3.21,16.0,28.45,16.7,2.44,60.36,0.24,0.04,1.0,1.54,0.19,0.01,0.03,0.0,0.95,1.38,2.33,4.0,44.44,17.58,14.08,5.06,0.32,0.49
RB Leipzig,Bundesliga,34,30522.0,0.47,0.14,0.32,0.15,0.01,0.05,0.29,0.77,2.49,0.49,0.68,1.51,0.09,0.13,0.15,0.11,1.19,0.42,0.14,0.13,0.01,0.01,2.12,0.25,0.92,3.33,0.9,0.15,1.66,0.1,0.1,40.75,50.51,3.98,0.24,0.15,1.06,0.23,46.62,3.65,1.01,19.58,22.32,17.57,20.63,2.54,4.71,31.88,1.52,1.16,0.4,1.71,0.77,0.77,1.6,0.98,0.73,0.65,0.22,0.75,1.54,0.78,0.79,1.47,0.46,2.86,0.07,4.36,1.5,0.92,2.42,41.6,3.97,62.56,3.85,16.64,32.23,14.32,2.23,62.55,0.2,0.02,1.11,0.98,0.24,0.01,0.01,0.0,1.38,1.29,2.67,5.54,36.11,19.08,13.2,4.81,0.34,0.51
RB Leipzig,Champions League,8,7200.0,0.49,0.19,0.31,0.15,-0.04,0.0,0.18,0.64,3.05,0.48,0.84,1.4,0.08,0.06,0.1,0.05,1.27,0.45,0.15,0.14,0.01,0.01,2.05,0.15,0.9,2.75,0.82,0.21,1.62,0.1,0.11,36.52,45.18,3.09,0.14,0.21,0.95,0.24,41.58,3.36,0.84,18.64,20.96,14.81,17.32,2.3,4.22,33.08,1.2,0.78,0.28,1.48,0.6,0.78,1.79,1.18,0.7,0.7,0.39,0.66,1.65,0.99,0.82,1.24,0.38,2.22,0.06,3.92,1.2,1.04,2.24,37.46,3.06,55.95,4.12,18.79,25.21,12.44,1.91,55.94,0.18,0.0,1.11,0.88,0.24,0.0,0.0,0.01,1.15,0.95,2.1,3.99,25.73,21.56,13.1,4.38,0.35,0.49
RB Salzburg,Champions League,8,7200.0,0.7,0.34,0.36,0.26,-0.08,0.0,0.35,1.16,2.5,0.34,0.61,1.31,0.06,0.21,0.06,0.05,0.92,0.28,0.08,0.07,0.0,0.01,1.61,0.1,0.69,2.98,0.64,0.06,1.34,0.06,0.05,37.34,45.24,3.54,0.1,0.19,1.02,0.16,41.55,3.52,0.99,17.26,19.92,16.06,18.26,2.65,4.2,40.05,2.2,1.84,0.46,2.28,1.11,0.94,2.11,1.25,1.15,0.71,0.25,1.12,2.3,1.18,0.91,1.38,0.3,1.9,0.1,4.29,1.46,0.95,2.41,37.46,3.54,56.75,4.2,17.23,25.72,14.61,1.85,56.74,0.19,0.0,1.14,1.01,0.18,0.01,0.01,0.0,0.69,1.14,1.82,4.3,36.45,19.73,13.75,5.89,0.29,0.5
Rangers,Europa League,11,10122.0,0.36,0.12,0.23,0.13,0.0,0.03,0.64,1.77,2.57,0.34,0.84,1.8,0.09,0.07,0.16,0.12,1.3,0.52,0.15,0.15,0.0,0.0,2.16,0.25,0.93,2.13,0.59,0.12,1.05,0.05,0.1,27.81,36.3,2.69,0.15,0.26,0.83,0.13,33.14,3.02,0.84,12.45,14.88,11.6,13.84,2.77,5.23,24.02,1.57,1.0,0.5,2.01,0.99,0.94,1.7,1.0,0.9,0.71,0.09,0.75,1.77,1.02,1.04,1.54,0.56,3.28,0.03,4.79,1.64,0.78,2.42,28.26,2.68,49.14,3.88,17.25,22.6,10.01,1.88,49.14,0.25,0.01,1.32,0.91,0.15,0.02,0.0,0.0,1.38,1.27,2.65,5.05,51.5,16.56,13.25,5.29,0.34,0.48
Rapid Wien,Europa Conference League,10,9475.0,0.41,0.1,0.3,0.12,0.01,0.04,0.26,0.81,2.63,0.4,0.47,1.23,0.06,0.18,0.13,0.08,1.78,0.54,0.19,0.19,0.0,0.0,3.06,0.23,1.23,3.52,0.99,0.23,2.11,0.12,0.13,40.15,49.55,4.31,0.13,0.21,1.03,0.12,45.57,3.86,0.89,18.93,21.59,16.39,19.18,3.2,5.49,37.52,2.0,1.61,0.56,1.88,0.83,0.98,2.08,1.19,0.97,0.78,0.33,1.09,1.83,0.74,1.01,1.35,0.33,2.18,0.08,4.49,1.64,0.83,2.47,40.5,4.31,62.42,2.77,14.83,29.22,19.05,3.29,62.42,0.18,0.02,1.15,0.95,0.13,0.02,0.0,0.0,1.16,1.16,2.32,4.41,44.39,23.41,13.31,5.03,0.33,0.51
Rayo Vallecano,La Liga,38,34036.0,0.4,0.12,0.28,0.12,0.0,0.03,0.54,1.69,2.96,0.4,0.61,1.41,0.1,0.1,0.1,0.07,1.36,0.43,0.12,0.12,0.0,0.0,2.32,0.16,0.99,2.79,0.64,0.22,2.03,0.08,0.09,34.53,43.64,3.6,0.12,0.29,1.04,0.2,39.35,4.1,0.81,16.73,18.98,14.13,16.64,2.92,5.71,29.63,1.56,1.14,0.38,1.69,0.74,0.8,1.64,1.04,0.86,0.58,0.21,0.81,1.74,0.93,0.88,1.17,0.34,2.53,0.05,4.32,1.66,0.86,2.53,34.73,3.56,55.32,3.59,16.83,24.65,14.42,1.88,55.32,0.24,0.01,1.38,1.02,0.21,0.02,0.0,0.0,1.26,1.43,2.69,5.11,51.24,19.07,13.4,4.85,0.34,0.49
Real Madrid,Champions League,14,12899.0,0.57,0.15,0.41,0.18,0.02,0.01,0.15,0.82,2.87,0.49,0.37,1.06,0.15,0.03,0.2,0.14,1.46,0.58,0.2,0.18,0.01,0.02,2.62,0.31,1.17,3.63,0.85,0.13,1.63,0.11,0.14,47.1,53.36,4.19,0.2,0.58,0.77,0.1,49.66,3.6,1.01,23.75,25.37,18.26,20.11,3.45,5.16,43.36,2.21,1.54,0.76,2.04,0.99,0.9,1.72,1.14,0.85,0.54,0.32,0.75,1.42,0.67,0.9,0.85,0.28,1.59,0.01,3.73,1.11,0.8,1.9,47.31,4.16,63.07,3.7,17.07,28.65,17.9,2.67,63.05,0.24,0.01,1.13,1.03,0.1,0.03,0.02,0.0,0.55,0.57,1.12,4.84,29.28,17.42,14.36,5.09,0.27,0.52
Real Madrid,La Liga,38,34082.0,0.33,0.1,0.24,0.1,-0.0,0.04,0.22,0.68,2.75,0.54,0.52,1.1,0.05,0.07,0.21,0.14,1.64,0.6,0.2,0.17,0.03,0.04,3.05,0.36,1.32,4.67,0.95,0.09,1.53,0.13,0.14,53.65,60.68,5.19,0.24,0.58,0.83,0.22,56.42,4.04,1.35,27.2,29.13,20.99,22.95,4.0,5.8,45.17,2.6,1.84,0.96,2.32,1.09,1.01,1.54,0.95,0.77,0.55,0.22,0.7,1.28,0.59,0.87,0.93,0.28,1.62,0.05,3.91,1.39,0.77,2.16,54.0,5.16,71.12,3.26,16.77,33.77,21.25,3.12,71.08,0.15,0.01,0.88,1.36,0.22,0.01,0.03,0.0,0.86,0.71,1.56,5.55,36.67,18.23,14.43,5.25,0.29,0.54
Real Sociedad,Europa League,12,10711.0,0.4,0.14,0.25,0.12,-0.02,0.03,0.41,1.23,2.83,0.35,0.54,1.24,0.08,0.13,0.18,0.11,1.4,0.5,0.18,0.14,0.03,0.04,2.48,0.29,1.0,2.6,0.71,0.2,1.74,0.11,0.11,36.48,45.23,3.58,0.13,0.26,1.07,0.12,41.45,3.66,0.83,18.69,21.07,14.25,16.79,2.58,4.6,30.84,1.7,1.26,0.56,1.49,0.71,0.71,1.77,1.0,0.88,0.58,0.31,0.87,1.66,0.8,0.78,0.97,0.37,2.6,0.05,4.03,1.24,0.82,2.06,36.74,3.55,56.2,3.45,14.83,27.29,14.54,2.38,56.15,0.29,0.03,1.35,0.97,0.12,0.03,0.03,0.0,1.4,1.67,3.08,4.06,48.55,15.48,13.03,5.03,0.3,0.51
Real Sociedad,La Liga,38,33977.0,0.38,0.12,0.25,0.11,-0.01,0.03,0.5,1.31,2.9,0.32,0.66,1.24,0.08,0.11,0.09,0.06,1.02,0.32,0.11,0.1,0.01,0.01,1.79,0.16,0.75,2.84,0.64,0.17,1.96,0.07,0.08,36.76,46.12,3.55,0.09,0.38,0.97,0.2,41.79,4.12,1.06,17.49,19.79,15.42,18.24,2.92,5.41,31.09,1.71,1.1,0.43,1.75,0.78,0.81,1.72,1.06,0.82,0.65,0.25,0.81,1.53,0.72,0.75,1.13,0.32,2.37,0.05,3.98,1.59,0.79,2.38,37.14,3.51,57.21,2.96,15.34,28.49,13.89,1.98,57.2,0.23,0.01,1.33,1.09,0.22,0.02,0.01,0.0,1.52,1.61,3.12,3.46,48.07,18.67,13.44,5.39,0.3,0.51
Red Star,Champions League,8,7200.0,0.59,0.28,0.31,0.24,-0.04,0.01,0.54,1.49,2.11,0.34,0.94,1.27,0.05,0.01,0.16,0.12,1.16,0.38,0.11,0.1,0.01,0.01,1.94,0.29,0.8,2.51,0.64,0.16,2.12,0.08,0.08,30.92,38.72,3.54,0.21,0.39,0.85,0.22,34.85,3.65,1.19,13.36,15.14,14.25,16.88,2.69,4.55,26.68,1.8,1.2,0.41,1.76,0.96,0.66,1.56,0.86,0.96,0.48,0.12,0.79,1.56,0.78,1.0,1.05,0.32,2.01,0.15,3.89,1.65,0.95,2.6,31.49,3.52,49.22,3.35,14.4,23.19,12.16,1.9,49.21,0.14,0.0,0.96,1.31,0.24,0.01,0.01,0.0,0.92,1.42,2.35,5.94,44.0,14.8,13.93,5.78,0.33,0.48
Reims,Ligue 1,34,30430.0,0.53,0.14,0.39,0.18,0.04,0.02,0.46,1.41,2.94,0.45,0.65,1.64,0.09,0.12,0.09,0.06,1.16,0.33,0.11,0.1,0.0,0.01,2.02,0.17,0.82,2.51,0.66,0.24,1.81,0.07,0.08,31.97,39.58,3.42,0.11,0.27,0.74,0.16,35.97,3.46,0.93,15.32,17.32,13.16,15.38,2.49,4.53,27.46,1.73,1.24,0.41,1.85,0.82,0.92,1.64,1.06,0.92,0.51,0.21,0.84,1.62,0.78,0.85,1.16,0.43,2.77,0.05,4.03,1.7,0.9,2.6,32.44,3.37,51.28,4.07,16.8,22.71,12.46,1.92,51.28,0.19,0.02,1.16,1.09,0.17,0.01,0.0,0.0,1.1,1.27,2.37,5.01,44.96,17.93,13.48,5.99,0.33,0.51
