Player,Nation,Position,Age,Born,Matches Played,Starts,Minutes Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xAG),Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes.1,Progressive Runs,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Progressive Carries.1,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Total Aerial Duels,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels won,Efficiency,% Aerial Duels,% Passes (Total),% Passes (Short),% Passes (Medium),% Passes (Long),% Tackles/Duels,% Take-Ons
Anders Christiansen,dk DEN,MO,34,1990,7,5,425,61.2,80.03,86.99,78.0,45.87,44.57,59.22,69.57,84.62,85.75,87.44,84.95,68.1,67.42,59.39,86.31,79.52,79.36,93.95,51.36,68.5,43.95,57.41,64.99,27.21,64.99,49.66,22.06,6.67,27.43,22.17,71.04,8.82,10.97,73.47,18.04,51.92,59.05,61.09,82.69,37.05,42.82,80.77,82.07,91.23,82.86,24.38,27.66,78.79,27.21,16.01,33.54,56.33,68.21,85.63,49.66,15.1,1.7,0.68,71.32,53.17,82.86,43.16,52.55,50.23,6.84,7.98,91.69,4.98,66.29,49.1,59.9,77.15,5.71,36.26,7.98,60.35,88.91,57.13,16.97,5.71,42.99
Anders Dreyer,dk DEN,MO,26,1998,5,3,315,73.19,75.96,90.33,90.84,45.87,44.57,77.88,83.14,76.92,84.16,68.83,79.13,84.73,90.21,66.91,77.49,97.17,47.12,49.6,73.53,67.31,96.1,19.51,82.64,25.9,82.64,89.59,13.35,17.36,61.99,8.77,14.2,27.26,14.14,81.5,26.3,64.99,72.62,61.09,75.0,83.14,56.67,14.65,94.0,73.98,75.0,9.62,25.23,72.62,25.9,46.38,58.54,93.55,49.6,74.94,89.59,83.37,53.34,51.47,82.58,14.76,15.95,43.16,52.55,50.23,32.92,7.98,89.99,5.6,85.41,86.88,80.32,81.22,16.8,51.87,7.98,31.5,20.25,34.73,30.15,54.36,91.52
Anders Hagelskjær,dk DEN,DF,27,1997,4,3,283,34.15,13.61,38.34,21.27,49.62,49.54,46.76,23.93,98.02,98.02,90.05,89.56,98.55,98.4,94.21,92.99,34.49,16.69,84.68,51.98,98.17,70.01,25.65,99.24,55.41,99.24,58.31,72.87,94.17,83.99,29.88,86.7,74.43,67.23,41.88,57.85,81.33,19.86,73.32,97.94,25.76,87.04,98.63,57.16,72.37,97.94,68.14,79.61,96.88,55.41,84.34,86.28,74.7,5.18,97.03,58.31,86.47,56.55,53.01,14.52,26.6,68.52,47.56,61.36,54.76,97.94,92.64,95.54,64.44,25.15,85.44,42.99,69.66,88.8,64.37,98.21,79.76,74.5,69.25,72.98,96.65,83.38
Anderson,br BRA,FW,26,1997,10,1,252,68.14,82.35,79.89,87.93,40.8,39.0,69.87,20.28,35.47,42.45,43.51,57.88,24.14,13.46,13.79,9.36,95.32,98.19,72.25,95.07,26.52,13.22,31.53,21.92,52.71,21.92,70.94,27.42,13.3,21.18,59.85,18.88,17.49,9.85,87.44,80.79,18.88,71.35,56.16,42.04,48.28,48.6,18.31,63.05,88.83,42.2,27.5,11.74,29.23,52.71,43.68,72.33,47.95,77.5,26.85,70.94,78.65,53.12,51.23,55.5,44.17,5.58,40.15,51.31,50.41,72.74,54.52,38.42,55.91,70.03,61.41,61.74,77.67,11.9,30.87,45.48,26.6,15.6,89.66,13.79,11.9,11.74
Andoni Gorosabel,es ESP,DF,27,1996,29,23,1956,34.15,50.53,34.45,52.36,49.62,49.54,83.84,60.14,58.84,61.05,83.92,84.53,42.53,44.89,15.59,10.59,84.95,87.16,84.68,84.07,72.9,81.9,88.57,59.34,62.16,59.34,79.46,92.0,89.06,93.71,73.51,90.32,90.43,85.9,26.79,40.89,50.69,42.57,39.79,62.58,13.11,18.98,74.47,79.61,54.92,62.58,68.94,73.67,28.16,62.16,77.71,77.32,22.98,15.4,40.4,79.46,20.5,56.55,53.01,24.28,26.6,21.53,47.56,14.86,54.76,43.9,42.07,24.66,55.83,20.66,75.99,81.59,76.79,90.93,20.66,25.3,46.19,57.16,30.26,49.92,62.69,67.68
Andraž Šporar,si SVN,FW,30,1994,3,1,98,18.97,65.02,69.38,61.58,40.8,39.0,41.38,20.28,45.48,58.62,57.31,57.88,22.33,56.4,69.38,44.09,28.57,13.14,64.12,11.17,53.78,13.22,31.53,26.19,38.1,26.19,59.11,9.69,13.3,21.18,15.6,18.88,17.49,61.08,20.77,74.06,18.88,11.99,56.16,36.45,10.92,11.49,27.42,61.82,57.22,36.62,7.22,11.74,9.03,38.1,10.1,13.55,39.82,70.53,53.86,59.11,78.65,53.12,51.23,27.59,8.62,14.78,40.15,51.31,50.41,5.58,77.75,56.4,59.61,56.4,49.43,35.47,31.94,11.9,10.59,91.79,18.56,46.63,12.15,95.24,11.9,11.74
Andre-Frank Zambo Anguissa,cm CMR,MF,28,1995,35,32,2852,86.2,80.3,72.63,71.38,47.85,47.26,61.06,72.67,62.78,57.23,74.08,74.08,52.31,47.93,39.6,25.68,77.56,58.91,56.25,52.93,68.26,52.23,50.9,61.92,33.66,61.92,70.41,22.99,29.63,16.93,55.0,46.44,22.95,20.09,70.29,25.84,64.11,38.27,37.22,52.97,37.49,27.76,65.75,56.76,78.26,52.97,58.17,66.65,45.82,33.66,39.8,67.47,38.19,29.09,67.79,70.41,55.67,54.93,52.5,51.06,57.08,29.05,93.39,11.3,51.13,49.49,90.42,22.32,86.4,33.97,63.76,62.55,68.96,23.3,83.15,78.03,68.41,54.61,59.73,80.92,52.07,72.09
Andrea Belotti,it ITA,FW,30,1993,22,7,652,56.98,62.97,65.02,30.05,40.8,39.0,51.97,20.28,36.21,27.75,46.47,38.67,18.23,18.72,49.67,40.72,28.57,50.9,31.28,71.18,42.94,27.91,31.53,37.52,48.44,37.52,30.95,66.67,76.44,54.84,74.55,80.62,43.35,42.2,48.69,60.51,46.55,78.0,56.16,20.36,68.47,57.88,25.29,23.81,45.81,20.53,22.99,30.46,31.86,48.44,42.28,40.07,75.29,34.56,23.32,30.95,41.54,53.12,51.23,37.52,88.67,8.21,40.15,51.31,50.41,55.83,74.71,23.15,73.73,66.91,29.8,45.16,31.44,67.16,37.44,55.5,65.02,69.29,31.2,70.77,80.3,47.62
Andrea Cambiaso,it ITA,MF,24,2000,40,30,2786,65.91,35.18,37.1,53.32,47.85,47.26,75.02,76.58,91.48,89.44,90.81,90.3,89.84,88.27,85.61,73.22,77.56,62.98,51.06,71.85,51.76,76.74,81.04,61.53,91.79,61.53,77.52,40.97,55.36,65.52,29.44,53.75,64.54,46.21,64.7,31.67,31.24,43.78,13.64,87.33,45.9,85.03,76.15,79.79,60.79,87.33,74.24,79.95,90.54,91.79,91.4,80.81,35.38,48.98,88.23,77.52,61.02,54.93,52.5,63.92,41.71,12.71,46.09,56.33,51.13,54.38,20.64,80.77,13.06,41.99,82.02,75.8,70.68,59.81,91.95,29.71,85.97,84.13,79.52,87.26,84.6,70.72
Andrea Carboni,it ITA,DF,23,2001,26,25,2191,34.15,31.14,39.33,44.4,49.62,49.54,20.66,57.62,40.7,32.81,55.56,51.52,38.49,33.73,39.44,29.08,74.24,37.96,28.32,31.55,30.72,33.77,63.99,22.75,28.81,22.75,58.84,79.69,75.11,84.45,69.63,67.8,82.47,76.6,33.61,57.85,54.57,58.61,13.15,29.65,54.34,53.51,34.95,46.49,42.8,29.65,41.04,47.64,49.09,28.81,45.43,28.28,49.47,53.62,46.04,58.84,40.43,56.55,53.01,33.69,57.16,68.52,47.56,16.96,54.76,17.19,56.4,19.17,67.26,54.92,40.4,22.9,35.06,79.27,20.66,32.32,59.68,71.49,50.0,64.25,56.59,71.53
