Player,Nation,Position,Age,Born,Matches Played,Starts,Minutes Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xAG),Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes.1,Progressive Runs,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Progressive Carries.1,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Total Aerial Duels,Ball Losses,Progressive Actions (Total),Actions created,Actions in the Penalty Area,Total Duels won
Simone Verdi,it ITA,MO,32,1992,9,0,115,0,0.1,2,2,0,0,8,0,31,60,16,24,10,15,5,15,0,0.5,0.6,6,2,3,3,5,3,5,13,2,2,0,1,1,0,2,2,2,0,2,0,75,2,7,37,32,1,75,2,2,44,3,4,1,0,4,51,13,1,0,0,1,1,0,0,0,0,5,0,0,0,4,34,8,8,2
Sinaly Diomande,ci CIV,DF,23,2001,23,22,1945,3,1.1,9,4,0,0,21,5,813,961,301,340,428,461,75,126,2,0.6,0.3,4,52,1,0,72,8,72,8,39,19,20,18,1,28,40,12,37,30,100,2,1223,150,651,521,56,12,1223,14,8,698,8,5,0,12,6,756,8,6,0,0,24,19,0,0,1,1,86,28,22,50,18,96,26,13,47
Sion Bradley,wls WAL,MF,26,1998,4,1,79,0,0.1,1,0,0,0,2,0,7,10,4,4,1,1,2,5,0,0.1,0.2,1,0,0,0,0,1,0,3,3,3,1,1,1,1,6,5,0,1,1,0,23,2,6,4,13,6,23,7,3,10,1,0,1,3,1,6,3,1,0,0,2,1,0,0,0,0,3,0,2,2,4,7,2,7,4
Sirlord Conteh,de GER,MO,28,1996,35,9,1274,2,2.6,16,6,0,0,38,6,235,333,130,178,77,93,15,33,2,3.5,1.9,20,22,8,2,32,41,32,103,17,9,6,10,1,4,10,6,6,4,13,0,444,10,63,176,217,49,444,14,6,267,41,15,19,28,12,308,103,2,0,0,9,13,7,0,0,0,31,20,27,47,40,279,44,78,13
Siyabonga Ngezana,za RSA,DF,27,1997,9,9,704,0,0.7,5,1,0,0,0,0,221,264,64,71,121,133,34,56,0,0.0,0.0,0,6,0,0,7,0,7,0,21,12,17,3,1,13,21,8,9,11,42,0,355,61,247,100,10,5,355,3,3,175,0,0,0,1,2,207,0,2,0,0,7,3,1,0,0,0,22,11,9,20,3,7,0,5,25
Skelly Alvero,fr FRA,MF,22,2002,12,1,236,0,0.0,1,0,0,0,2,0,68,91,34,41,30,38,3,5,0,0.0,0.1,0,3,3,0,8,1,8,0,11,6,5,5,1,4,5,1,4,2,10,0,136,15,49,68,19,2,136,3,2,70,1,1,0,6,4,74,0,1,0,0,7,5,0,0,0,0,13,5,3,8,10,9,2,5,10
Sofiane Boufal,ma MAR,MF,30,1993,5,3,234,0,0.9,11,5,0,0,19,2,81,109,52,64,25,32,3,7,1,1.0,0.7,9,16,6,0,17,14,17,19,7,5,2,4,1,3,5,2,4,0,0,0,158,0,6,84,71,10,158,19,11,110,14,6,5,7,13,113,19,2,0,0,6,5,2,0,0,0,19,4,5,9,20,69,21,21,8
Sofiane Diop,fr FRA,MO,24,2000,35,13,1471,6,6.9,30,13,0,0,69,11,605,799,324,390,217,268,40,89,6,4.1,3.8,36,62,28,4,86,42,86,93,33,24,19,8,6,13,32,19,22,24,11,1,1006,25,136,496,387,46,1006,43,16,584,42,29,7,34,24,714,93,4,1,0,26,28,4,0,0,0,95,7,9,16,58,314,80,85,37
Sofyan Amrabat,ma MAR,MF,27,1996,12,12,1110,0,0.1,2,0,0,0,17,2,683,789,239,260,336,370,96,135,1,0.9,1.0,6,54,5,1,71,4,71,11,18,10,6,10,2,10,23,13,14,12,16,2,866,37,241,560,71,3,866,9,6,553,4,3,0,12,4,616,11,4,0,0,18,11,0,0,0,0,82,4,14,18,16,97,19,9,20
Solly March,eng ENG,MO,30,1994,8,1,168,0,0.1,2,0,0,0,7,2,60,95,35,40,16,28,7,18,0,0.3,0.3,3,2,4,4,2,5,2,20,6,3,2,2,2,5,8,3,3,2,2,1,118,3,12,33,73,7,118,4,1,57,5,2,3,3,1,67,20,2,0,0,2,2,3,0,0,0,7,1,2,3,4,47,9,18,8
Solomon John,ng NGA,MO,22,2001,2,2,169,0,0.0,1,1,0,0,5,2,49,63,26,30,20,27,2,2,1,0.8,0.5,4,1,3,0,5,8,5,6,2,0,1,1,0,2,4,2,6,2,7,0,89,11,29,26,36,3,89,10,6,48,8,9,2,4,0,44,6,0,0,0,3,0,0,0,0,0,11,2,3,5,4,25,7,8,2
