Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penalties Winner,Efficiency,% Saves,% Long Passes,% Crosses Stopped
Manuel Roffo,ar ARG,GK,Instituto,25-106,2000,17,17,1530,57,37,41,70,58,67,38,45,33,64,53,16,18,59,46,73,40,35,41,53,70,76
Manuel Vicentini,ar ARG,GK,Belgrano,35-091,1990,5,5,450,70,30,29,76,75,21,98,45,80,58,87,33,38,78,97,39,97,98,96,39,13,22
Marcelo Lomba,br BRA,GK,br Palmeiras,38-213,1986,1,1,90,97,1,3,97,18,21,38,45,0,3,0,42,98,22,6,96,6,35,51,98,99,99
Marco Bleve,it ITA,GK,Carrarese,28,1995,24,24,2092,64,66,77,89,83,86,84,45,60,82,64,86,32,36,57,84,54,79,89,79,80,80
Marco Festa,it ITA,GK,Mantova,32,1992,38,38,3420,38,63,64,41,41,48,38,45,65,18,14,93,17,19,68,33,54,35,54,49,57,28
Marco Pissardo,it ITA,GK,Bari,26,1998,2,1,109,7,98,98,95,18,21,38,45,93,98,98,17,57,99,93,93,6,35,18,56,71,83
Marco Silvestri,it ITA,GK,Sampdoria,33,1991,7,7,630,22,68,60,28,62,71,38,45,44,21,29,49,37,35,36,63,6,35,8,25,26,71
Marcos Felipe,br BRA,GK,Bahia,29-097,1996,14,13,1242,66,40,53,72,62,71,38,45,30,40,24,73,81,74,72,37,88,35,64,72,78,29
Marcos Ignacio Ledesma,ar ARG,GK,Barracas Central,28-307,1996,17,17,1530,65,39,55,70,18,21,38,45,21,83,76,7,34,50,91,92,22,35,29,79,61,83
Marcão,br BRA,GK,Juventude,33-135,1992,6,5,495,20,97,99,35,71,81,38,45,90,12,30,40,86,12,56,52,42,35,84,84,7,50
Marino Arzamendia,py PAR,GK,py Olimpia,27-181,1998,2,2,180,1,93,36,11,98,98,38,45,97,86,54,23,35,59,12,29,91,35,2,2,95,51
Marius Adamonis,lt LTU,GK,Südtirol,27,1997,15,15,1350,55,52,60,54,18,21,38,45,51,94,90,6,21,77,83,39,28,35,69,61,76,28
Mark Spenkelink,nl NED,GK,RKC Waalwijk,27,1997,4,4,360,3,93,60,11,94,94,38,45,97,73,77,94,12,7,62,14,16,35,8,6,43,13
Mark Travers,ie IRL,GK,Middlesbrough,25,1999,17,17,1530,57,72,83,48,18,21,38,45,56,12,50,45,59,56,42,64,76,35,77,82,4,70
Marko Gudžulić,rs SRB,GK,Estrela,22,2002,2,2,180,35,60,60,87,94,21,99,45,45,92,96,58,35,91,91,96,26,99,18,39,34,92
Marko Ilić,rs SRB,GK,Kortrijk,26,1998,5,5,425,16,90,91,11,18,21,38,45,91,81,57,12,84,32,42,62,48,35,81,57,87,67
Martin Delavallée,be BEL,GK,Charleroi,20,2004,8,8,720,28,91,93,26,18,21,38,45,83,84,64,68,97,35,28,41,76,35,77,67,84,50
Martín Campaña,uy URU,GK,uy Peñarol,36-051,1989,3,3,270,87,54,81,94,18,21,38,45,9,77,77,1,2,69,90,88,6,35,51,93,47,74
Martín Silva,uy URU,GK,py Libertad,42-116,1983,1,1,90,13,44,15,11,18,21,38,45,90,21,9,12,7,97,14,5,91,35,68,6,84,5
Matheus,br BRA,GK,Ajax,32,1992,26,26,2340,64,23,27,79,49,57,38,45,22,24,33,80,77,41,19,73,75,35,29,54,23,85
Matheus Donelli,br BRA,GK,Corinthians,23-063,2002,5,5,450,55,36,40,39,75,84,38,45,36,15,8,15,45,59,14,39,22,35,41,49,71,55
Matheus Teixeira,br BRA,GK,Rio Ave,25,1999,1,0,15,97,0,1,11,18,21,38,45,0,0,84,98,0,97,2,5,6,35,51,0,0,5
Matt Freese,us USA,GK,NYCFC,26-320,1998,19,19,1710,53,53,68,62,41,48,38,45,48,8,7,50,94,17,31,57,72,35,64,78,18,67
Matt Ingram,eng ENG,GK,Oxford United,30,1993,1,1,90,3,76,15,11,18,21,38,45,97,21,67,77,96,85,93,5,6,35,15,1,6,5
Matteo Pisseri,it ITA,GK,Cesena,32,1991,11,11,990,33,44,38,72,51,21,92,45,54,16,22,25,92,64,62,52,72,90,23,26,24,47
Matthieu Epolo,be BEL,GK,Standard Liège,20,2004,19,18,1665,60,78,87,80,41,21,87,45,60,83,86,27,26,70,66,68,53,82,85,82,44,67
Mattijs Branderhorst,nl NED,GK,Fortuna Sittard,30,1993,28,28,2520,42,68,70,72,46,55,38,45,62,69,83,27,70,70,71,95,49,35,59,57,28,94
Matías Borgogno,ar ARG,GK,San Martín de San Juan,26-332,1998,17,17,1530,57,35,40,35,43,52,38,45,39,92,90,35,4,80,51,86,43,35,51,50,69,84
Matías Mansilla,ar ARG,GK,ar Estudiantes–LP,29-154,1996,23,23,2070,62,22,23,75,60,59,84,45,25,54,45,11,58,77,65,60,55,79,40,35,64,54
