Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
Martin Jedlička,CZE,Viktoria Plzeň,UEFA Europa League,GK,Goalkeeper,27,360,31,93,68,46,97,87,60,78,25,50,54,60,80,54,33,4,4,1,95,21,31,98
Martin Trnovský,SVK,Slovan Bratislava,UEFA Europa Conference League,GK,Goalkeeper,25,90,1,98,4,3,86,97,9,21,7,20,9,97,68,99,98,4,4,1,98,6,83,98
Martin Zlomislić,BIH,Rijeka,UEFA Europa Conference League,GK,Goalkeeper,27,450,15,95,31,10,90,92,48,43,53,85,41,26,45,9,76,34,31,1,91,60,92,36
Marvin Keller,SUI,Young Boys,UEFA Europa League,GK,Goalkeeper,23,540,79,17,70,62,11,66,51,54,72,30,59,92,84,22,5,66,66,1,28,47,5,16
Marvin Schwäbe,GER,Köln,German Bundesliga,GK,Goalkeeper,30,1440,64,35,59,69,46,30,98,98,94,14,96,94,97,86,22,40,43,1,35,84,14,55
Marwin Hitz,SUI,Basel,UEFA Europa League,GK,Goalkeeper,38,450,88,50,91,75,88,42,44,24,43,50,36,18,14,24,88,23,25,1,75,87,92,42
Massimo Pessina,ITA,Bologna,Italian Serie A,GK,Goalkeeper,17,83,2,98,5,1,70,99,92,79,71,27,88,2,6,20,99,54,31,1,98,89,99,4
Matej Kovar,CZE,PSV Eindhoven,UEFA Champions League,GK,Goalkeeper,25,540,84,25,84,81,66,14,75,74,89,92,91,43,47,60,62,17,18,1,55,53,59,68
Mateusz Kochalski,POL,Qarabağ,UEFA Champions League,GK,Goalkeeper,25,540,79,13,66,81,25,36,54,72,42,8,49,95,96,64,12,58,63,1,21,21,11,49
Matheus,BRA,Red Star,UEFA Europa League,GK,Goalkeeper,33,540,20,86,35,34,91,87,87,71,61,34,59,76,59,66,85,66,58,1,80,82,78,95
Mathew Ryan,AUS,Levante,Spanish La Liga,GK,Goalkeeper,33,1440,76,38,78,72,69,39,80,65,41,89,48,89,87,84,76,53,51,1,59,79,61,67
Mathias Dyngeland,NOR,Brann,UEFA Europa League,GK,Goalkeeper,30,540,58,64,70,69,92,87,87,89,97,15,98,30,35,94,48,82,75,1,74,46,29,93
Matteo Bignetti,AUT,Sturm Graz,UEFA Europa League,GK,Goalkeeper,21,90,86,17,84,93,96,14,23,76,28,5,35,99,97,92,5,47,24,1,46,3,5,98
Mattia Perin,ITA,Juventus,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,33,360,58,42,59,41,26,14,19,5,2,34,3,37,17,6,14,11,21,1,46,96,24,23
Matvei Safonov,RUS,Paris S-G,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,26,270,11,90,19,7,52,94,23,11,50,82,19,5,10,32,48,85,80,1,76,83,55,22
Matz Sels,BEL,Nott'ham Forest,"English Premier League, UEFA Europa League",GK,Goalkeeper,33,1723,53,35,52,55,27,45,52,59,22,39,36,60,48,52,22,56,59,1,39,32,20,51
Matías Dituro,ARG,Elche,Spanish La Liga,GK,Goalkeeper,38,630,25,76,37,24,66,32,99,94,100,36,99,49,61,46,95,98,96,1,68,94,94,54
Maxime Dupé,FRA,Nice,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,32,180,22,76,35,49,89,14,44,51,86,12,71,16,28,8,33,4,4,1,67,35,54,96
Melker Ellborg,SWE,Malmö,UEFA Europa League,GK,Goalkeeper,22,270,89,32,88,91,97,14,7,74,29,60,37,95,92,99,48,13,21,1,54,1,23,91
Melvin Zinga,FRA,Angers,French Ligue 1,GK,Goalkeeper,23,180,82,17,75,76,26,14,44,40,24,96,23,81,56,98,33,4,4,1,33,57,15,35
Michael Brouwer,NED,Utrecht,UEFA Europa League,GK,Goalkeeper,32,112,96,35,99,84,91,96,93,88,26,26,52,58,63,85,5,34,33,1,90,82,5,33
Michael Zetterer,GER,Eint Frankfurt,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,30,1440,62,29,54,54,17,52,71,67,90,95,89,39,36,51,51,41,36,1,27,58,50,25
Michele Di Gregorio,ITA,Juventus,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,28,1980,17,82,23,17,58,77,18,10,24,59,16,18,15,31,67,22,31,1,62,72,76,55
Mike Maignan,FRA,Milan,Italian Serie A,GK,Goalkeeper,30,1585,21,84,30,30,86,76,17,23,49,76,42,29,32,83,90,25,30,1,65,26,78,85
Mike Penders,BEL,Strasbourg,"French Ligue 1, UEFA Europa Conference League",GK,Goalkeeper,20,1980,33,63,42,39,62,62,26,14,97,10,75,7,14,45,67,47,40,1,57,76,70,66
Mile Svilar,SRB,Roma,"Italian Serie A, UEFA Europa League",GK,Goalkeeper,26,2340,21,91,46,14,80,78,53,50,58,92,55,68,66,9,64,38,37,1,92,56,87,47
Mio Backhaus,GER,Werder Bremen,German Bundesliga,GK,Goalkeeper,21,1170,84,24,84,83,66,47,12,7,63,93,30,22,24,83,95,40,37,1,58,39,88,75
Mirko Salvi,SUI,Basel,UEFA Europa League,GK,Goalkeeper,31,90,72,17,59,74,22,14,2,1,5,50,3,3,3,43,5,85,95,1,23,51,5,38
Miłosz Piekutowski,POL,Jagiellonia,UEFA Europa Conference League,GK,Goalkeeper,19,180,58,76,75,59,93,14,23,17,44,34,14,53,42,82,76,47,32,1,87,58,62,89
Moritz Nicolas,GER,Gladbach,German Bundesliga,GK,Goalkeeper,28,1440,60,42,63,61,55,80,78,49,57,57,46,19,34,70,55,53,50,1,49,94,49,64
Mory Diaw,SEN,Le Havre,French Ligue 1,GK,Goalkeeper,32,1440,33,51,32,28,26,60,68,53,58,82,51,80,57,75,96,64,48,1,35,81,94,23
Nauzet García,ESP,Red Imps,UEFA Europa Conference League,GK,Goalkeeper,31,90,99,0,94,100,3,14,64,57,46,5,64,26,16,85,76,85,73,1,9,61,59,40
Neofytos Michael,CYP,Pafos FC,UEFA Champions League,GK,Goalkeeper,31,540,86,42,90,70,71,87,47,76,55,78,57,96,98,96,33,17,19,1,77,9,17,35
Nick Pope,ENG,Newcastle Utd,"English Premier League, UEFA Champions League",GK,Goalkeeper,33,1786,52,70,70,25,57,81,28,39,11,96,12,83,84,38,94,91,90,1,85,20,96,27
Nicola Leali,ITA,Genoa,Italian Serie A,GK,Goalkeeper,32,1622,51,51,56,49,43,36,55,55,21,17,31,23,30,68,42,36,49,1,55,54,37,57
Nikita Haikin,RUS,Bodø/Glimt,UEFA Champions League,GK,Goalkeeper,30,540,97,13,98,96,96,14,51,59,73,78,78,26,38,86,91,17,23,1,82,33,76,91
Niklas Hedl,AUT,Rapid Wien,UEFA Europa Conference League,GK,Goalkeeper,24,360,78,10,59,80,16,14,64,51,2,7,7,81,89,36,14,93,96,1,17,75,13,39
Nikola Vasilj,BIH,St. Pauli,German Bundesliga,GK,Goalkeeper,30,1350,78,30,73,83,83,31,18,33,77,45,63,2,6,18,67,41,36,1,37,11,84,86
Noah Atubolu,GER,Freiburg,"German Bundesliga, UEFA Europa League",GK,Goalkeeper,23,1980,39,53,38,46,41,62,89,90,93,36,96,44,66,35,39,74,78,1,38,52,42,52
Nordin Jackers,BEL,Club Brugge,UEFA Champions League,GK,Goalkeeper,28,432,91,6,87,83,5,14,84,85,82,55,90,38,51,41,62,25,25,1,29,52,65,17
Obed Nkambadio,FRA,Paris FC,French Ligue 1,GK,Goalkeeper,22,990,37,27,19,57,16,29,16,27,88,64,65,73,30,49,21,55,47,1,12,14,20,24
Odysseas Vlachodimos,GRE,Sevilla,Spanish La Liga,GK,Goalkeeper,31,1350,68,38,73,75,78,42,59,58,57,87,63,59,61,34,16,20,17,1,56,51,14,85
Ognjen Čančarević,ARM,FC Noah,UEFA Europa Conference League,GK,Goalkeeper,36,90,39,17,19,74,22,14,64,76,60,1,68,45,57,78,5,47,47,1,9,28,5,50
Okan Kocuk,TUR,Samsunspor,UEFA Europa Conference League,GK,Goalkeeper,30,540,8,76,6,21,62,87,29,14,15,72,5,84,59,43,76,36,51,1,17,83,77,91
Oliver Baumann,GER,Hoffenheim,German Bundesliga,GK,Goalkeeper,35,1350,45,55,51,43,43,42,61,64,84,26,87,26,29,77,54,94,92,1,51,42,45,51
Oliver Christensen,DEN,Sturm Graz,UEFA Europa League,GK,Goalkeeper,26,450,55,62,67,48,74,42,12,29,29,31,28,36,24,77,5,34,41,1,71,5,5,61
Oliwier Zych,POL,Raków,UEFA Europa Conference League,GK,Goalkeeper,21,360,50,95,84,11,95,95,49,78,49,42,61,75,87,25,76,11,12,1,96,9,85,15
Pablo Cuñat,ESP,Levante,Spanish La Liga,GK,Goalkeeper,23,180,93,8,94,90,31,14,73,84,14,96,42,99,98,99,76,17,12,1,67,30,40,82
Pape Mamadou Sy,SEN,Metz,French Ligue 1,GK,Goalkeeper,28,76,98,0,91,97,1,14,90,96,26,9,57,94,98,31,87,60,55,1,12,43,90,17
Patrik Carlgren,SWE,Nantes,French Ligue 1,GK,Goalkeeper,33,92,66,21,55,7,1,14,8,85,43,98,80,92,88,100,70,4,4,1,23,1,18,2
Pau López,ESP,Betis,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,30,720,36,68,41,28,52,52,35,25,25,50,20,72,68,52,33,30,45,1,50,63,32,28
Paul Argney,FRA,Le Havre,French Ligue 1,GK,Goalkeeper,19,90,15,76,19,19,52,14,44,21,42,20,20,45,25,92,98,4,4,1,46,91,93,64
Paul Gartler,AUT,Rapid Wien,UEFA Europa Conference League,GK,Goalkeeper,28,180,90,8,84,87,17,14,73,93,21,5,60,93,94,32,33,96,96,1,26,12,37,37
Paulo Gazzaniga,ARG,Girona,Spanish La Liga,GK,Goalkeeper,34,1572,69,36,72,71,62,36,42,61,72,71,71,50,71,79,43,57,53,1,51,17,35,70
Pavlo Isenko,UKR,CS U Craiova,UEFA Europa Conference League,GK,Goalkeeper,22,539,42,53,44,53,66,66,38,26,16,45,13,88,60,93,19,36,42,1,44,68,12,76
Peter Vindahl Jensen,DEN,Sparta Prague,UEFA Europa Conference League,GK,Goalkeeper,27,450,7,95,12,5,57,92,33,19,92,63,66,4,8,3,5,74,82,1,93,77,5,10
Philipp Köhn,SUI,Monaco,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,27,1261,67,23,64,75,33,58,14,6,20,71,8,42,22,34,65,81,78,1,34,76,71,70
Pietro Terracciano,ITA,Milan,Italian Serie A,GK,Goalkeeper,35,125,14,98,54,2,74,99,66,6,10,37,8,34,34,54,54,4,4,1,98,100,51,1
Péter Gulácsi,HUN,RB Leipzig,German Bundesliga,GK,Goalkeeper,35,1350,30,58,33,40,46,82,12,12,49,54,27,50,40,56,58,67,66,1,44,40,57,62
Radosław Majecki,POL,Brest,French Ligue 1,GK,Goalkeeper,25,864,51,38,47,31,10,60,91,65,47,61,62,71,79,72,68,20,16,1,32,95,64,14
Razvan Sava,ROU,Udinese,Italian Serie A,GK,Goalkeeper,23,620,32,14,10,55,7,33,20,16,17,33,8,55,48,33,17,39,50,1,5,49,17,13
Remko Pasveer,NED,Ajax,UEFA Champions League,GK,Goalkeeper,41,180,98,1,94,99,31,14,64,91,95,93,97,75,62,82,33,4,4,1,15,8,25,81
Robert Sánchez,ESP,Chelsea,"English Premier League, UEFA Champions League",GK,Goalkeeper,28,2164,24,66,31,37,62,78,67,71,87,64,87,35,50,20,92,42,45,1,52,41,96,79
Robin Olsen,SWE,Malmö,UEFA Europa League,GK,Goalkeeper,35,270,97,9,98,92,80,14,51,45,15,50,28,84,54,70,5,28,26,1,69,62,5,64
Robin Risser,FRA,Lens,French Ligue 1,GK,Goalkeeper,21,1530,25,88,47,22,85,71,27,19,33,47,25,39,31,46,45,22,28,1,80,55,47,67
Robin Roefs,NED,Sunderland,English Premier League,GK,Goalkeeper,22,1890,56,71,72,36,75,66,59,84,84,57,89,52,81,91,96,57,55,1,84,10,91,43
Robin Zentner,GER,Mainz 05,"German Bundesliga, UEFA Europa Conference League",GK,Goalkeeper,31,1079,25,76,44,14,33,36,91,98,63,7,93,67,78,23,62,68,65,1,75,43,75,18
Roei Mashpati,ISR,Maccabi Tel Aviv,UEFA Europa League,GK,Goalkeeper,33,540,86,4,59,95,19,36,44,19,78,25,52,5,3,60,62,17,15,1,9,93,59,67
Rome-Jayden Owusu-Oduro,NED,AZ Alkmaar,UEFA Europa Conference League,GK,Goalkeeper,21,540,28,64,28,42,71,94,23,37,30,25,26,26,50,22,91,58,57,1,32,18,95,61
Rui Silva,POR,Sporting CP,UEFA Champions League,GK,Goalkeeper,31,450,72,50,78,51,46,42,23,13,45,63,16,48,26,22,58,23,26,1,69,79,72,31
Ruslan Neshcheret,UKR,Dynamo Kyiv,UEFA Europa Conference League,GK,Goalkeeper,23,540,72,42,75,66,66,66,67,45,92,82,80,53,50,36,33,47,35,1,61,89,36,59
Rémy Descamps,FRA,Lyon,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,29,540,10,90,19,15,80,94,5,5,56,40,24,12,9,29,19,36,38,1,91,15,22,97
Sam Johnstone,ENG,Wolves,English Premier League,GK,Goalkeeper,32,1080,67,17,68,65,13,14,97,99,67,67,92,90,93,89,55,73,68,1,43,65,38,45
Senne Lammens,BEL,Manchester Utd,English Premier League,GK,Goalkeeper,23,1350,23,50,25,57,60,31,74,84,40,7,68,51,74,78,65,39,48,1,27,30,53,90
Sergio Herrera,ESP,Osasuna,Spanish La Liga,GK,Goalkeeper,32,1710,66,66,80,55,82,55,77,55,27,69,24,92,86,55,43,92,95,1,85,88,44,63
Sergio Padt,NED,Ludogorets,UEFA Europa League,GK,Goalkeeper,35,270,63,17,59,62,11,14,44,57,64,15,70,14,12,70,76,47,39,1,36,25,67,46
Sherhan Kalmurza,KAZ,Qaırat Almaty,UEFA Champions League,GK,Goalkeeper,18,180,99,1,94,99,9,14,54,57,5,82,12,96,96,32,76,47,40,1,9,45,81,30
Simon Mignolet,BEL,Club Brugge,UEFA Champions League,GK,Goalkeeper,37,18,72,98,1,98,52,14,100,99,0,82,0,0,0,14,5,4,4,1,0,98,5,0
Simone Scuffet,ITA,Pisa,Italian Serie A,GK,Goalkeeper,29,270,8,32,2,39,14,14,98,68,66,50,74,26,25,36,48,13,11,1,1,99,53,8
Stefan Târnovanu,ROU,FCSB,UEFA Europa League,GK,Goalkeeper,25,371,94,31,96,85,77,48,85,71,21,84,33,89,91,88,89,15,13,1,82,77,69,62
Stefano Turati,ITA,Sassuolo,Italian Serie A,GK,Goalkeeper,23,90,39,17,19,34,4,14,1,70,16,50,41,10,40,8,76,47,24,1,9,0,93,8
Stole Dimitrievski,MKD,Valencia,Spanish La Liga,GK,Goalkeeper,32,90,1,76,1,4,7,14,80,45,7,5,24,0,0,22,76,4,4,1,0,97,86,0
Sławomir Abramowicz,POL,Jagiellonia,UEFA Europa Conference League,GK,Goalkeeper,21,360,4,93,8,6,71,95,5,15,3,12,5,49,38,58,33,4,4,1,77,3,30,76
Temirlan Anarbekov,KAZ,Qaırat Almaty,UEFA Champions League,GK,Goalkeeper,22,360,95,42,98,94,99,52,23,33,19,85,28,32,27,96,33,64,76,1,91,22,18,96
Thibaut Courtois,BEL,Real Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,33,2160,34,83,56,18,68,78,23,23,52,72,37,32,29,16,48,82,83,1,87,45,67,28
Thomas Strakosha,ALB,AEK Athens,UEFA Europa Conference League,GK,Goalkeeper,30,540,34,64,53,43,73,66,40,26,14,30,15,68,43,30,76,36,38,1,74,80,81,89
Théo De Percin,MTQ,Auxerre,French Ligue 1,GK,Goalkeeper,24,226,54,37,50,28,10,14,85,91,47,10,87,42,65,81,87,74,72,1,33,34,73,11
Timon Wellenreuther,GER,Feyenoord,UEFA Europa League,GK,Goalkeeper,30,540,39,13,13,78,18,14,73,51,69,55,72,3,5,12,48,85,86,1,5,86,69,44
Timothy Fayulu,NAN,FC Noah,UEFA Europa Conference League,GK,Goalkeeper,26,450,9,76,7,15,35,42,23,22,75,20,60,73,41,24,41,85,72,1,19,48,52,56
Tommaso Martinelli,ITA,Fiorentina,UEFA Europa Conference League,GK,Goalkeeper,19,180,58,42,59,64,62,14,5,3,62,99,14,16,2,51,33,47,33,1,46,31,32,74
Unai Simón,ESP,Athletic Club,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,28,2250,43,53,49,40,35,57,57,70,45,57,58,47,70,16,76,92,94,1,50,27,90,44
Uğurcan Çakır,TUR,Galatasaray,UEFA Champions League,GK,Goalkeeper,29,517,28,61,40,34,22,71,87,80,87,44,95,31,33,37,21,62,67,1,66,70,22,78
Vanja Milinković-Savić,SRB,Napoli,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,28,1890,20,67,23,26,41,66,66,63,80,33,85,70,75,18,59,71,70,1,37,53,75,50
Vasilios Barkas,GRE,Utrecht,UEFA Europa League,GK,Goalkeeper,31,425,85,45,89,59,46,14,75,64,40,14,39,86,85,19,24,53,46,1,79,72,34,20
Vitezslav Jaros,CZE,Ajax,UEFA Champions League,GK,Goalkeeper,24,360,72,8,35,67,2,14,14,18,93,67,69,32,26,3,14,47,62,1,9,25,28,10
Walter Benítez,ARG,Crystal Palace,UEFA Europa Conference League,GK,Goalkeeper,32,180,3,76,2,19,52,87,9,7,9,67,6,16,7,1,33,17,14,1,2,35,86,64
Wessel Speel,NED,Shelbourne FC,UEFA Europa Conference League,GK,Goalkeeper,24,630,75,67,88,26,42,58,96,97,8,10,43,98,99,59,53,4,4,1,94,74,49,16
Wladimiro Falcone,ITA,Lecce,Italian Serie A,GK,Goalkeeper,30,1710,46,47,45,55,52,62,85,93,38,16,86,40,52,66,43,47,43,1,37,29,39,59
Wojciech Szczęsny,POL,Barcelona,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,35,810,63,22,44,82,57,14,9,8,61,88,22,45,18,6,13,97,98,1,18,28,19,78
Yann Sommer,SUI,Inter,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,37,2070,16,84,24,12,40,82,36,15,66,32,32,34,22,14,38,52,63,1,66,86,50,25
Yehvann Diouf,SEN,Nice,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,26,1890,80,21,75,70,18,29,33,22,65,90,35,19,20,79,82,29,33,1,36,67,68,26
Yvon Mvogo,SUI,Lorient,French Ligue 1,GK,Goalkeeper,31,1260,19,42,14,34,22,32,41,30,69,26,56,13,23,87,89,14,14,1,20,68,70,53
Zion Suzuki,JPN,Parma,Italian Serie A,GK,Goalkeeper,23,990,60,58,67,32,37,57,96,97,66,47,92,89,95,71,76,75,84,1,60,80,67,19
Zlatan Alomerović,GER,AÉK Lárnaka,UEFA Europa Conference League,GK,Goalkeeper,34,540,6,96,19,3,76,96,35,38,12,55,18,53,55,64,85,58,70,1,96,37,80,6
Álex Remiro,ESP,Real Sociedad,Spanish La Liga,GK,Goalkeeper,30,1710,19,47,15,27,20,28,82,56,56,38,50,73,73,28,64,68,77,1,20,90,72,30
Álvaro Vallés,ESP,Betis,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,28,1530,31,63,43,20,30,77,16,28,51,38,47,41,33,62,53,81,80,1,63,12,47,26
Ørjan Nyland,NOR,Sevilla,Spanish La Liga,GK,Goalkeeper,35,360,39,29,26,67,28,52,31,45,44,27,53,26,47,40,5,64,64,1,16,19,5,64
Đorđe Petrović,SRB,Bournemouth,English Premier League,GK,Goalkeeper,26,1890,61,22,47,67,19,48,39,45,12,77,15,74,75,45,83,77,69,1,21,40,83,40
Łukasz Skorupski,POL,Bologna,"Italian Serie A, UEFA Europa League",GK,Goalkeeper,34,1177,17,84,25,15,62,60,40,43,91,40,85,43,39,13,42,24,23,1,64,47,64,33
Žan Leban,SVN,NK Celje,UEFA Europa Conference League,GK,Goalkeeper,23,540,89,64,96,59,84,66,9,8,47,92,21,78,44,66,85,89,87,1,92,27,78,21
