Player,Nationality,Team,League,Position,General Position,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total),Matches,% Saves,% Long Passes,% Crosses Stopped,PSxG/Save
Jan Koutny,CZE,Sigma Olomouc,UEFA Europa Conference League,GK,Goalkeeper,21,540,34,42,28,53,35,14,51,59,4,8,21,71,80,14,19,77,73,1,25,33,27,66
Jan Oblak,SVN,Atlético Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,32,2070,21,61,24,36,48,55,83,52,33,50,29,85,85,48,62,40,46,1,35,94,64,72
Jari De Busser,BEL,Go Ahead Eag,UEFA Europa League,GK,Goalkeeper,26,540,94,25,97,89,92,14,40,59,83,30,83,61,77,86,48,17,27,1,78,18,34,75
Jaylan Hankins,GIB,Red Imps,UEFA Europa Conference League,GK,Goalkeeper,25,450,91,17,91,67,14,14,88,95,34,50,79,96,95,96,58,14,12,1,59,38,33,12
Jean Butez,FRA,Como,Italian Serie A,GK,Goalkeeper,30,1710,22,90,47,17,81,82,56,32,89,79,78,10,10,13,69,95,94,1,89,89,89,48
Jeffrey De Lange,NED,Marseille,French Ligue 1,GK,Goalkeeper,27,270,28,76,44,24,66,66,3,3,38,8,5,5,7,22,5,28,29,1,72,16,5,49
Jindřich Staněk,CZE,Slavia Prague,UEFA Champions League,GK,Goalkeeper,29,360,93,17,94,93,96,52,84,78,70,75,84,65,74,30,76,17,16,1,67,63,82,94
Jiří Pavlenka,CZE,PAOK,UEFA Europa League,GK,Goalkeeper,33,360,64,29,48,85,84,52,14,15,35,20,40,14,13,26,14,93,94,1,19,32,14,87
Joan García,ESP,Barcelona,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,24,1440,24,83,48,31,85,80,7,3,56,95,21,7,7,10,51,99,99,1,87,72,73,89
Johannes Kreidl,AUT,KuPS,UEFA Europa Conference League,GK,Goalkeeper,29,540,47,86,70,50,94,66,96,95,98,40,99,53,54,89,76,58,59,1,89,85,57,92
John,BRA,Nott'ham Forest,"English Premier League, UEFA Europa League",GK,Goalkeeper,29,707,11,66,7,13,23,74,51,41,10,1,18,31,36,5,11,65,67,1,14,69,12,19
Jonas Urbig,GER,Bayern Munich,German Bundesliga,GK,Goalkeeper,22,270,1,98,2,1,66,97,69,32,91,88,70,20,21,4,76,97,97,1,98,96,97,4
Jonathan Fischer,DEN,Metz,French Ligue 1,GK,Goalkeeper,24,1454,84,14,77,86,42,39,34,22,85,58,51,47,43,50,25,42,54,1,30,69,25,73
Jordan Pickford,ENG,Everton,English Premier League,GK,Goalkeeper,31,1890,36,63,44,48,74,74,94,96,77,41,94,55,71,67,25,88,88,1,54,64,23,79
Josep Martinez,ESP,Inter,Italian Serie A,GK,Goalkeeper,27,180,10,93,19,7,77,87,23,31,55,34,26,37,45,17,5,85,89,1,91,25,5,69
José Luis García Vayá,ESP,Valencia,Spanish La Liga,GK,Goalkeeper,27,1,0,98,1,0,52,100,1,0,0,0,0,0,0,0,5,4,4,1,0,0,0,0
José Sá,POR,Wolves,English Premier League,GK,Goalkeeper,32,810,32,22,14,47,9,30,86,82,32,36,53,82,91,74,91,28,28,1,9,60,83,14
João Virgínia,POR,Sporting CP,UEFA Champions League,GK,Goalkeeper,25,90,39,76,59,11,27,14,2,5,11,96,10,45,35,3,76,47,44,1,77,2,97,8
Juan Musso,ARG,Atlético Madrid,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,31,180,22,93,59,5,52,87,9,9,16,67,3,87,83,92,76,4,4,1,95,25,54,5
Julen Agirrezabala,ESP,Valencia,Spanish La Liga,GK,Goalkeeper,25,1619,58,32,53,50,23,46,38,38,31,53,27,53,56,34,85,90,91,1,31,50,89,27
Kacper Tobiasz,POL,Legia Warsaw,UEFA Europa Conference League,GK,Goalkeeper,23,450,17,50,12,10,7,14,77,73,50,31,73,65,61,47,12,67,68,1,16,59,12,5
Kacper Trelowski,POL,Raków,UEFA Europa Conference League,GK,Goalkeeper,22,180,0,93,1,0,13,87,64,31,42,5,22,53,65,8,33,85,87,1,0,95,54,0
