Team,Average Age,Possession,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
Arouca,25.3,52.3,34,34,40.7,390,119,6,9,699,60,12604,15955,5252,5970,5806,6734,1305,2467,262,860,219,71,1184,418,1175,552,350,275,207,70,282,550,268,376,297,852,23,19785,2316,7206,8723,4000,532,19776,456,201,10623,335,97,557,278,12520,89,5,2,497,434,64,9,9,2,1413,416,436,49,140,93,8,9,9,0,0,46.1,132,316,809,149,294,515,31,50
AVS Futebol,27.4,44.0,34,25,31.7,341,87,4,5,594,44,10320,13626,4264,4955,4580,5497,1220,2416,242,735,146,65,877,388,863,565,365,295,210,60,309,560,251,390,303,929,23,17581,2194,6615,7674,3492,472,17576,543,229,8462,277,80,550,254,10226,106,5,4,480,419,47,5,4,1,1382,564,469,60,175,115,8,4,3,1,0,60.5,188,447,770,135,312,528,16,24
Benfica,25.8,58.0,34,81,78.8,559,213,11,12,989,140,15407,18762,6675,7496,6738,7661,1660,2650,425,1440,419,79,1874,684,1861,625,377,238,276,111,332,587,255,316,311,493,25,22577,1602,5661,10425,6680,1027,22565,721,303,13384,480,165,528,270,15289,64,0,0,400,389,86,8,4,0,1646,485,390,28,106,76,15,4,2,2,0,34.5,75,202,681,148,216,300,24,19
Boavista,27.5,40.3,34,23,32.1,345,102,7,7,587,33,8734,12251,3732,4452,3616,4529,1152,2558,229,700,173,63,886,264,880,565,329,281,217,67,299,601,302,336,313,843,32,15990,1833,5413,7350,3370,505,15983,394,163,7632,234,47,508,213,8671,92,10,3,433,473,87,4,6,3,1332,486,503,59,173,117,7,6,6,0,0,57.1,194,546,579,128,321,507,30,25
Braga,25.7,56.8,34,54,51.3,459,155,5,6,808,96,15256,18810,6168,6915,7282,8210,1532,2840,346,1236,268,56,1510,602,1496,571,323,231,254,86,292,557,265,333,280,795,14,22526,1793,6304,10970,5462,781,22520,561,278,12870,390,184,475,250,15168,69,4,2,483,400,68,5,3,1,1507,467,499,30,123,94,15,3,3,0,0,31.0,104,376,1013,163,201,385,25,59
Casa Pia,26.8,46.7,34,36,33.3,314,98,4,4,557,63,10412,13791,4308,5061,4663,5555,1214,2503,221,770,150,49,960,397,951,497,303,245,184,68,258,465,207,364,297,907,29,17574,2383,6847,7578,3354,494,17570,516,246,9433,237,99,549,213,10298,92,5,2,504,391,41,4,8,1,1398,499,506,44,163,120,7,8,7,0,1,45.4,120,454,889,164,282,502,38,27
Estoril,25.2,48.9,34,47,41.3,328,112,6,8,578,76,11841,15103,5338,6092,5060,5885,1146,2343,244,852,198,47,1053,403,1039,530,327,224,228,78,279,511,232,331,324,901,18,19080,1865,6705,8674,3878,523,19072,664,257,9857,314,85,570,306,11746,83,2,0,540,459,41,5,8,0,1495,482,534,53,151,97,7,8,7,1,0,56.1,173,576,751,128,257,467,22,56
Estrela,26.9,44.8,34,23,29.4,327,89,2,4,539,41,9212,12566,3506,4205,4248,5117,1255,2591,227,771,176,61,875,354,863,613,373,306,251,56,312,575,263,388,306,969,28,16764,2030,6194,7434,3326,462,16760,633,285,7546,240,64,650,284,9128,102,3,2,521,534,69,3,7,2,1354,514,555,50,149,99,7,7,5,2,0,49.1,179,544,801,138,282,481,15,30
Famalicão,24.3,50.4,34,43,39.1,381,124,5,6,685,74,11775,15101,4784,5521,5220,6108,1398,2582,271,968,222,77,1250,437,1230,560,353,278,210,72,272,528,256,323,296,800,18,18939,2151,6917,7961,4237,580,18933,633,253,10454,332,104,523,301,11666,76,2,0,476,530,41,5,5,1,1428,527,478,39,138,99,13,5,4,1,0,47.0,130,365,753,139,257,476,25,27
Farense,27.3,41.3,34,25,30.5,384,114,2,3,641,43,8156,11632,2747,3411,3781,4651,1443,2882,264,738,174,71,877,354,866,589,365,287,245,57,282,560,278,390,327,992,14,15786,2180,6142,6378,3450,522,15783,543,237,7060,237,64,555,262,8069,91,4,2,517,445,66,3,8,2,1300,598,629,46,147,102,7,8,6,1,1,47.2,186,567,794,142,319,568,36,25
