Team,Average Age,Possession,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
Ajax,25.9,57.6,34,66,64.7,472,161,6,9,848,119,17383,20552,8076,8827,7590,8482,1297,2287,348,1346,415,63,1687,683,1678,469,254,196,189,84,238,420,182,344,276,714,25,24237,2455,7179,11271,5973,1054,24228,579,254,14664,485,180,512,283,17214,53,1,0,347,394,53,7,0,1,1408,546,409,32,114,83,16,0,0,0,0,35.0,187,447,1291,166,207,387,42,38
Almere City,25.4,42.9,34,21,34.1,416,110,0,0,729,34,9862,13528,4118,4898,4183,5141,1317,2744,313,953,268,98,1120,499,1106,525,333,258,193,74,248,484,236,332,334,935,11,17731,2197,5986,7348,4588,698,17731,613,268,9009,372,115,569,339,9745,53,3,0,360,287,31,0,0,4,1466,601,697,64,178,118,7,0,0,0,0,55.0,258,843,978,128,277,546,45,67
AZ Alkmaar,23.2,52.7,34,57,54.6,495,184,2,2,885,98,14381,17749,6105,6957,6568,7442,1362,2479,393,1272,355,68,1481,665,1468,618,359,226,287,105,300,576,276,366,302,775,17,21765,2041,6172,10017,5774,961,21763,601,270,12471,509,218,518,262,14233,56,4,1,354,348,44,1,3,2,1537,431,500,37,97,61,12,3,1,1,1,30.4,157,475,855,99,204,382,30,18
Feyenoord,24.5,57.3,34,71,61.4,551,198,6,6,981,121,15171,18307,5939,6682,7599,8517,1400,2412,426,1402,318,63,1603,785,1581,512,328,194,232,86,237,414,177,321,264,643,30,22144,2042,6572,10024,5766,1005,22138,710,293,12840,537,264,501,318,14957,46,2,1,284,405,39,3,3,0,1442,435,423,38,119,80,10,3,2,1,0,39.4,146,362,1281,148,207,318,20,89
Fortuna Sittard,26.4,44.4,34,36,41.3,353,101,4,6,627,65,10186,13653,4238,4915,4454,5393,1224,2638,250,784,204,89,945,488,930,557,344,288,194,75,298,569,271,363,327,968,12,17746,2122,6317,7670,3933,633,17740,549,256,8991,349,105,570,281,10070,69,3,2,397,355,41,6,4,0,1379,520,585,54,166,111,10,4,3,1,0,53.4,197,640,727,141,278,542,59,24
Go Ahead Eag,25.2,51.4,34,57,54.4,480,149,2,2,859,105,13562,16936,5772,6538,6126,7024,1384,2619,363,1088,346,64,1271,508,1260,452,274,224,170,58,206,401,195,349,187,1020,16,20701,2880,7701,8375,4794,840,20699,435,196,11670,381,139,444,272,13402,45,2,1,304,335,48,2,4,1,1371,452,469,55,169,115,9,4,4,0,0,46.5,123,433,1172,154,304,623,27,32
Groningen,24.4,46.9,34,39,37.6,361,137,5,6,634,66,11685,15369,4762,5645,5369,6347,1250,2586,270,1010,222,51,1160,395,1151,603,385,281,247,75,316,531,215,357,294,912,19,19550,2169,6228,9161,4330,581,19544,563,245,9997,357,88,574,316,11567,58,6,2,334,340,33,4,6,2,1467,594,649,53,147,95,7,6,5,1,0,52.6,254,756,1097,107,258,466,41,48
Heerenveen,24.2,53.2,34,41,43.3,446,138,5,6,784,72,14138,17581,6400,7220,6150,7116,1263,2377,330,1126,295,74,1404,566,1391,617,380,294,253,70,316,614,298,371,310,838,21,21790,2395,7390,9503,5119,765,21784,654,272,12073,403,145,579,309,14000,45,2,0,400,334,47,6,4,2,1582,462,544,57,171,116,6,4,4,0,0,61.4,147,482,1229,136,254,406,24,54
Heracles Almelo,24.4,45.4,34,42,41.8,378,122,5,5,657,70,10636,13958,4081,4762,4886,5717,1439,2735,278,949,197,66,1040,531,1029,608,373,313,233,62,269,535,266,439,303,1054,7,18279,2435,6720,7573,4186,639,18274,615,271,9382,343,150,516,292,10504,58,2,1,429,347,47,4,6,4,1439,561,499,63,185,126,6,6,6,0,0,58.1,264,710,1005,83,295,508,12,23
NAC Breda,25.2,45.0,34,34,38.8,389,124,3,3,667,55,11082,14526,4466,5222,4964,5873,1376,2628,286,859,197,70,1044,504,1035,604,365,309,233,62,298,559,261,411,300,1049,12,18696,2423,6815,7917,4152,637,18693,476,202,9605,414,107,493,277,10957,63,5,1,354,326,29,1,7,1,1422,624,568,58,172,115,5,7,7,0,0,57.4,202,451,916,150,307,541,25,29
NEC Nijmegen,25.2,48.6,34,51,44.7,434,144,3,3,746,89,12361,15869,4850,5605,5948,6871,1366,2692,304,1013,214,88,1101,514,1090,589,352,301,213,75,314,587,273,359,284,920,18,19903,2539,7171,8707,4234,685,19899,494,212,10797,378,117,525,273,12217,51,3,1,368,352,33,2,2,4,1271,513,570,46,166,124,10,2,2,0,0,52.2,173,598,1077,154,279,516,54,48
PSV Eindhoven,26.2,67.5,34,99,83.0,672,263,2,4,1250,185,19487,22971,8501,9371,8644,9677,1878,2856,551,1847,568,139,2237,952,2216,540,350,208,226,106,276,505,229,325,243,602,12,26739,1937,6464,12312,8189,1409,26735,635,306,15550,615,315,491,286,19273,34,1,0,283,264,43,2,2,0,1692,506,380,39,102,63,9,2,2,0,0,36.4,141,298,1145,127,179,309,20,49
RKC Waalwijk,25.6,43.9,34,41,41.3,398,132,3,3,696,66,11039,14220,4426,5085,5013,5837,1350,2570,296,876,225,80,1052,572,1040,625,378,370,196,59,313,544,231,419,334,1041,18,18599,2714,7417,7446,3935,588,18596,574,266,9813,375,126,601,343,10917,43,7,3,313,283,44,1,8,2,1515,486,453,74,196,124,4,8,8,0,0,70.5,251,617,1012,123,324,573,21,26
Sparta R'dam,25.0,48.9,34,38,42.8,469,158,2,2,821,67,12927,16314,4857,5684,6221,7159,1614,2753,369,1136,299,103,1350,619,1334,575,353,281,239,55,285,546,261,426,316,1037,8,20581,2449,7182,9038,4552,748,20579,481,206,11051,428,171,545,216,12774,50,3,1,326,286,45,2,5,2,1436,657,566,43,150,108,6,5,4,1,0,44.8,243,539,1232,143,263,568,46,24
Twente,25.7,53.3,34,61,54.9,488,172,7,7,879,109,13990,17578,5979,6790,6365,7379,1330,2514,382,1174,351,93,1511,616,1505,557,352,239,238,80,274,529,255,370,265,877,14,21442,2306,6890,9366,5365,842,21435,441,183,11961,413,164,478,238,13866,44,1,0,349,344,58,5,2,0,1475,485,556,49,120,71,11,2,2,0,0,43.5,125,366,929,162,254,437,24,42
Utrecht,26.0,46.6,34,58,49.3,487,157,2,2,854,98,11403,14938,4328,5078,5384,6418,1385,2588,373,958,291,90,1312,578,1301,650,400,300,267,83,283,549,266,314,330,940,13,19175,2267,6403,8187,4795,846,19173,558,250,10168,429,147,556,309,11274,48,1,0,352,367,38,0,4,1,1422,618,558,45,150,106,9,4,4,0,0,45.5,173,475,918,128,263,474,30,32
Willem II,25.8,44.0,34,30,26.5,299,101,3,3,531,50,11366,14589,4744,5420,5065,5877,1319,2569,241,980,167,56,977,458,965,561,332,303,198,60,277,536,259,418,297,1015,12,18547,2761,7125,7883,3723,466,18544,490,224,9830,348,94,533,285,11269,61,3,1,345,286,36,3,6,3,1314,543,587,56,181,128,5,6,6,0,0,60.7,239,621,833,128,350,620,36,11
Zwolle,24.3,50.2,34,42,39.0,374,124,3,3,668,71,13070,16429,5690,6459,5834,6736,1236,2433,291,1049,246,56,1244,524,1236,631,399,296,248,87,300,586,286,402,315,1080,21,20837,2661,7453,9019,4569,672,20834,604,264,10848,398,147,615,345,12966,52,3,2,391,355,39,3,6,1,1502,507,528,51,160,110,6,6,3,0,3,54.7,176,593,1042,181,280,550,45,24
América,26.8,56.6,34,60,57.2,495,183,2,2,875,102,15174,17976,6593,7258,6438,7197,1636,2554,395,1195,299,54,1424,714,1404,553,369,263,235,55,261,472,211,311,297,624,7,21678,1983,6553,10100,5221,796,21676,599,282,13053,485,179,575,323,14990,49,3,0,333,409,66,2,2,0,1429,399,391,31,114,83,13,2,2,0,0,27.2,128,326,853,98,279,346,14,29
Atlas,28.1,46.2,34,41,37.1,428,107,4,5,700,67,10667,13963,4704,5417,4525,5449,1194,2418,295,818,196,70,1000,361,993,557,347,243,232,82,263,519,256,349,357,761,8,17800,2049,6057,7959,3939,590,17795,456,165,9028,286,87,531,318,10563,74,4,1,437,426,42,5,5,1,1274,483,473,55,157,102,8,5,4,1,0,44.8,136,431,883,146,312,453,12,34
Atlético,26.5,52.8,34,46,37.2,389,137,5,6,684,77,14759,17927,6051,6770,6714,7538,1643,2799,295,1172,233,83,1285,522,1278,530,328,256,214,60,261,484,223,362,293,689,13,21521,2328,7278,9919,4500,568,21515,519,232,11776,377,130,537,299,14595,50,1,0,359,400,41,4,2,0,1448,318,353,52,154,101,5,2,1,1,0,45.8,109,336,1014,156,319,459,24,63
Cruz Azul,27.1,57.1,34,65,54.9,533,166,6,8,941,117,15198,18378,6324,6989,6624,7541,1815,2912,399,1266,376,106,1537,530,1525,665,425,277,314,74,354,658,304,331,262,527,12,22047,1993,6582,10561,5063,789,22039,466,216,12845,407,107,581,290,14992,76,3,0,418,351,51,3,4,1,1524,305,321,28,91,63,14,4,3,1,0,25.7,117,288,1251,102,257,378,14,43
FC Juárez,26.1,46.9,34,38,34.1,398,126,2,3,675,65,11325,14444,4322,4967,5204,6111,1534,2683,296,903,165,66,1132,511,1109,526,345,291,191,44,258,502,244,335,367,775,19,18222,2119,6447,8178,3818,519,18219,598,247,9760,423,116,571,320,11135,85,3,1,388,362,39,3,7,1,1414,419,397,57,161,105,8,7,7,0,0,51.2,127,431,859,127,320,453,21,32
Guadalajara,25.5,51.7,34,40,41.4,421,132,3,4,749,71,12893,16148,5265,5975,5829,6740,1550,2721,329,1144,234,79,1284,581,1273,716,468,334,317,65,337,579,242,348,291,618,10,19905,1880,6196,9298,4626,623,19901,605,280,11550,444,117,550,330,12742,75,6,4,416,348,80,3,4,1,1448,359,390,36,131,94,12,4,2,2,0,35.4,157,415,907,157,295,422,34,37
León,28.5,49.2,34,45,39.6,407,141,3,6,721,82,12024,15155,4658,5309,5398,6220,1705,2912,313,1053,215,75,1111,479,1099,618,375,326,242,50,320,609,289,336,281,697,14,18804,2143,6376,8636,3988,562,18798,475,221,10128,366,113,535,288,11886,77,8,3,416,345,75,5,4,2,1322,396,361,44,170,128,8,4,3,0,1,45.9,171,430,859,165,342,460,19,25
Mazatlán,27.4,47.4,34,25,36.4,379,109,2,3,657,45,11719,14989,4785,5480,5270,6157,1389,2538,280,1001,204,52,1201,562,1190,559,367,282,220,57,257,530,273,330,281,756,6,18678,1915,5971,8580,4328,569,18675,491,221,10079,430,104,514,321,11580,96,3,1,431,366,62,2,8,1,1426,415,419,45,153,109,9,8,6,0,2,43.3,189,471,819,156,309,482,27,30
Monterrey,28.7,55.6,34,58,53.2,490,162,8,9,894,101,15056,18155,6525,7268,6607,7453,1612,2633,378,1427,330,98,1645,571,1630,609,400,251,291,67,296,528,232,332,305,602,7,21887,1895,5706,10683,5659,726,21878,634,307,12888,495,135,567,288,14893,65,6,0,360,403,57,7,5,0,1347,368,351,42,139,97,9,5,5,0,0,39.7,155,371,1017,202,261,420,35,42
Necaxa,26.0,43.9,34,56,45.1,522,184,4,4,882,92,10016,13200,4438,5067,4071,4910,1253,2496,395,940,250,80,1139,490,1121,623,430,311,260,52,282,544,262,374,323,837,11,17421,1975,5808,7471,4362,617,17417,692,318,8339,384,116,598,359,9894,61,2,0,425,333,50,3,5,0,1491,413,415,55,165,110,9,5,5,0,0,52.0,203,551,806,115,340,531,33,29
Pachuca,25.6,50.8,34,46,44.0,494,168,1,2,880,80,12821,15939,5418,6147,5475,6329,1641,2683,393,1140,266,50,1449,721,1430,647,413,280,301,66,287,557,270,361,363,707,11,20170,1636,5628,9639,5117,746,20168,802,368,11368,531,194,664,393,12701,83,11,3,431,444,75,2,5,0,1557,403,358,52,150,97,6,5,4,1,0,40.9,188,389,669,184,296,420,27,42
Puebla,27.7,39.2,34,29,32.9,385,122,5,6,655,44,9361,12613,4024,4701,3904,4717,1193,2486,285,770,161,47,900,411,888,601,370,300,235,66,300,566,266,371,351,879,5,16619,1992,5646,7420,3757,495,16613,583,267,7979,337,100,499,289,9268,78,6,3,462,329,56,4,7,1,1356,386,507,56,167,109,6,7,4,3,0,50.6,171,551,629,104,381,609,24,18
Querétaro,29.1,39.7,34,30,26.7,339,106,1,2,593,50,9447,12528,3817,4424,4160,4908,1214,2487,248,791,171,71,907,397,894,587,370,306,225,56,268,524,256,324,306,930,15,16328,2083,5908,7144,3446,491,16326,482,211,8181,311,92,497,281,9336,80,9,5,414,382,69,2,9,0,1308,400,431,55,172,115,7,9,6,2,1,52.6,176,548,603,105,359,604,27,26
Santos,25.4,47.9,34,27,35.2,386,114,3,3,665,46,11995,15047,5193,5860,5122,5886,1414,2570,270,858,171,68,1000,441,985,603,378,325,230,48,304,601,297,407,305,831,12,18922,2358,6923,8815,3372,498,18919,536,253,10490,352,76,503,278,11890,81,6,2,396,495,47,1,4,4,1311,432,422,66,192,129,3,4,3,1,0,56.9,166,436,791,156,387,544,16,28
Tijuana,26.6,58.2,34,53,44.7,458,160,7,7,822,95,15420,18539,6552,7303,6909,7759,1589,2626,360,1313,265,63,1397,531,1379,602,396,294,251,57,275,504,229,314,319,732,12,22442,2070,7098,10340,5199,698,22435,590,294,13333,422,175,619,381,15238,67,2,0,413,398,45,6,7,2,1452,422,380,60,179,120,4,7,6,1,0,59.7,159,399,1206,139,287,416,20,35
Toluca,27.3,53.7,34,75,53.7,486,204,2,3,870,125,14929,17933,5821,6513,6977,7781,1802,2876,382,1162,305,59,1351,615,1331,626,402,296,269,61,308,563,255,319,314,675,8,21538,2192,7046,10021,4690,733,21535,507,248,12987,506,161,480,273,14724,67,2,1,382,323,62,2,1,1,1386,325,319,38,139,102,11,1,1,0,0,37.8,153,390,1051,122,310,429,25,38
UANL,29.4,53.6,34,46,48.9,506,149,5,6,877,83,14092,17327,6093,6781,6203,7162,1499,2601,370,1275,294,99,1560,587,1534,625,404,279,271,75,294,540,246,349,338,607,9,21122,1786,5996,9940,5402,786,21116,535,247,11747,403,143,583,287,13908,64,6,2,409,421,65,5,5,0,1465,410,397,29,131,102,12,5,4,0,1,34.6,172,371,925,120,285,408,19,47
UNAM,25.9,49.6,34,43,45.7,443,135,6,8,800,73,12712,15824,5325,5948,5680,6512,1407,2605,343,1215,227,77,1319,528,1310,618,390,273,273,72,302,561,259,342,289,716,10,19730,1848,5838,9605,4467,630,19722,516,238,10810,458,131,615,320,12578,76,1,0,438,351,63,8,3,2,1427,410,378,39,122,85,13,3,3,0,0,33.6,164,446,850,157,290,380,21,61
Ath Paranaense,26.2,46.9,38,39,47.0,587,184,1,2,1027,73,12940,16585,5137,5898,5987,7043,1579,2893,448,1200,307,99,1496,582,1471,664,414,275,299,90,273,598,325,449,368,841,9,20786,2103,5935,9754,5315,784,20784,625,298,11137,430,125,476,321,12800,92,6,2,496,383,50,1,3,0,1587,674,607,46,173,124,9,3,0,3,0,48.4,191,449,632,128,296,536,20,17
Atl Goianiense,26.5,47.4,38,28,40.6,531,163,3,5,946,44,12615,16234,5086,5892,5597,6602,1610,2876,405,1259,266,96,1432,598,1416,583,367,265,242,76,240,555,315,419,344,802,10,20353,2145,6253,8869,5459,737,20348,632,270,10822,488,116,560,295,12489,109,11,4,477,426,48,5,9,2,1646,569,608,58,176,117,7,9,6,3,0,55.0,189,484,786,135,300,520,43,32
Atlético Mineiro,28.1,57.2,38,47,46.0,505,149,11,13,931,76,16634,20059,7250,8034,7360,8327,1730,2918,357,1343,296,98,1545,605,1533,691,418,330,273,88,333,621,288,372,312,781,5,24139,2350,7445,11460,5426,644,24126,621,277,13607,512,107,592,337,16495,113,12,9,495,466,60,11,7,1,1618,549,505,54,165,110,9,7,5,2,0,56.8,137,326,891,155,268,486,22,36
Bahia,27.7,55.8,38,49,51.3,512,172,2,2,946,91,18086,21267,8166,8958,8006,8932,1447,2352,414,1403,346,98,1746,736,1738,587,375,283,233,71,279,611,332,330,334,698,16,25054,2328,7731,11732,5812,752,25052,646,288,15248,563,136,508,316,17957,83,1,0,436,478,67,1,3,0,1535,473,414,49,164,114,10,3,2,1,0,46.4,145,335,1181,218,250,534,52,82
Botafogo (RJ),27.9,53.8,38,58,57.3,570,200,4,6,1040,101,15519,18939,6455,7261,7082,8011,1672,2768,444,1415,352,105,1703,629,1687,624,400,308,241,75,292,582,290,366,318,781,11,22951,2102,6428,10989,5730,837,22945,601,295,13050,452,155,521,388,15368,96,4,1,577,409,68,5,6,0,1589,558,549,29,132,102,18,6,5,1,0,38.2,143,376,938,132,280,517,26,49
Corinthians,26.3,50.8,38,54,49.1,553,192,5,6,986,97,13954,17320,5843,6624,6211,7099,1538,2649,424,1163,303,88,1436,620,1426,661,387,293,284,84,334,708,374,427,359,812,11,21612,2235,6886,9954,4995,753,21606,671,317,12114,457,140,549,368,13837,111,7,3,492,530,61,5,7,2,1536,480,474,45,179,135,10,7,6,1,0,49.4,134,361,791,176,282,547,23,22
Criciúma,30.0,42.9,38,42,37.4,504,166,0,0,868,69,11892,15395,4912,5689,5083,6015,1575,2836,366,1054,264,91,1310,485,1296,645,405,347,225,73,329,705,376,478,335,978,13,19804,2402,6914,8459,4669,647,19804,649,310,10114,397,101,583,384,11798,99,6,3,503,391,70,0,6,1,1646,568,521,61,199,137,6,6,4,2,0,63.5,184,470,690,145,356,654,28,14
Cruzeiro,26.9,53.1,38,43,40.0,492,152,4,5,896,74,15498,18977,7141,7987,6402,7332,1501,2590,366,1229,289,73,1452,642,1437,600,389,250,266,84,289,582,293,393,301,753,18,22879,2239,7005,10624,5448,687,22874,667,306,13097,532,113,513,285,15364,97,6,2,486,416,54,0,2,1,1583,441,479,41,173,133,12,2,2,0,0,49.9,80,220,766,179,280,553,21,22
Cuiabá,27.8,42.6,38,28,31.9,379,111,4,5,676,49,12134,15383,5191,5908,5125,5977,1470,2598,276,990,211,71,1123,486,1106,597,374,323,224,50,285,557,272,404,302,883,12,19387,2350,6790,8703,4112,529,19382,645,316,10182,348,91,514,326,12023,107,1,0,446,415,55,4,7,0,1436,519,493,49,181,131,10,7,6,1,0,53.9,213,474,759,150,343,685,30,11
Flamengo,27.3,55.8,38,60,56.4,559,199,9,11,1028,111,16485,19837,7595,8421,6761,7686,1644,2621,435,1539,368,78,1774,729,1758,645,421,287,244,114,276,572,296,380,293,655,10,23844,2111,6435,11133,6472,942,23833,777,354,13960,578,187,526,338,16297,75,4,2,434,500,55,8,5,1,1578,513,443,42,130,87,10,5,2,2,1,43.8,155,375,1070,157,242,470,51,23
Fluminense,30.4,55.5,38,31,37.6,449,154,1,4,807,53,17063,20314,8626,9410,6501,7345,1281,2353,345,1294,210,77,1390,629,1373,652,393,283,273,96,315,611,296,362,299,762,16,24572,2436,7701,11541,5518,628,24568,869,378,14189,456,146,595,442,16933,115,5,2,462,542,38,3,4,0,1578,439,506,39,173,134,13,4,4,0,0,53.1,88,305,653,159,301,545,28,29
Fortaleza,29.8,42.7,38,51,43.6,451,141,3,5,807,93,11534,15022,4883,5594,4947,5920,1502,2850,330,1049,189,59,1169,544,1156,654,404,316,280,58,297,633,336,464,329,906,19,19190,2161,6039,9370,4003,600,19185,610,303,10140,401,148,528,320,11425,99,10,3,495,464,59,3,5,0,1550,502,548,39,195,156,13,5,5,0,0,52.5,194,511,680,150,301,645,44,13
Grêmio,28.5,46.0,38,42,43.4,446,156,3,3,804,70,12956,16402,5935,6758,5446,6411,1219,2361,341,1007,285,54,1354,596,1336,653,389,309,266,78,291,570,279,419,322,807,6,20644,2212,6302,9335,5259,774,20641,826,416,11091,465,176,607,432,12829,88,7,0,408,486,37,3,10,2,1547,517,506,50,183,133,8,10,8,2,0,52.1,185,555,777,139,324,600,33,18
Internacional,27.5,52.7,38,52,58.4,542,186,4,8,966,92,14964,18667,6522,7399,6706,7789,1331,2478,406,1286,337,85,1568,647,1555,693,448,268,319,106,323,669,346,395,340,761,14,22974,1867,6103,11016,6092,910,22966,722,351,12823,466,153,612,350,14820,99,1,0,575,436,60,7,5,0,1687,577,630,36,139,102,12,5,4,1,0,36.8,153,453,783,137,227,501,37,47
Juventude,28.1,47.1,38,48,42.9,491,171,0,1,852,83,12567,16155,4913,5705,5829,6823,1564,2755,372,950,230,88,1230,488,1216,689,409,308,304,77,318,649,331,419,349,761,13,20277,2543,7500,8829,4163,624,20276,553,259,10745,348,79,504,312,12452,113,13,9,468,505,51,1,11,1,1594,555,563,59,189,129,6,11,9,2,0,61.7,146,415,978,157,287,577,46,41
Palmeiras,26.6,53.7,38,58,67.0,664,212,8,9,1166,94,13980,17787,5769,6621,6223,7264,1667,3029,474,1349,327,105,1707,698,1688,676,410,281,315,80,316,684,368,380,328,677,8,22044,1887,5985,10458,5851,872,22035,722,326,11921,508,162,546,317,13817,90,5,1,524,482,78,7,2,1,1626,573,569,33,152,120,16,2,1,0,1,41.4,153,482,909,181,248,450,41,27
RB Bragantino,24.8,47.3,38,44,39.4,494,159,3,3,857,79,11963,15812,4950,5792,5130,6204,1521,2868,359,1061,233,65,1272,563,1250,666,440,328,256,82,314,598,284,399,336,938,12,20203,2296,6434,8873,5109,678,20200,670,333,10462,470,159,572,333,11819,101,4,0,496,451,38,2,3,1,1586,581,728,48,183,134,6,3,1,2,0,56.5,152,490,899,177,299,653,34,62
São Paulo,28.5,57.5,38,51,40.3,468,153,3,4,842,86,17823,20943,7219,7916,8280,9153,1931,2926,362,1369,273,82,1546,622,1532,590,361,283,254,53,275,567,292,353,272,664,18,24639,2327,7748,12033,5080,719,24635,677,327,14760,530,132,540,319,17672,95,3,2,459,488,58,4,3,3,1557,501,448,43,148,108,12,3,3,0,0,34.6,157,370,913,160,279,472,30,17
Vasco da Gama,27.5,48.9,38,42,36.8,437,136,1,3,785,75,13749,17265,6044,6838,5733,6669,1626,2786,330,1168,255,98,1330,549,1325,731,485,371,289,71,347,677,330,415,351,891,14,21416,2245,6913,10080,4645,586,21413,578,286,11503,442,95,525,344,13630,94,7,2,470,433,60,3,0,0,1569,569,524,56,203,147,8,0,0,0,0,61.2,178,448,728,165,320,602,30,15
Vitória,27.0,42.4,38,44,42.5,456,146,7,7,816,73,11780,15070,4826,5501,5416,6349,1253,2387,328,886,206,101,1167,530,1153,656,406,341,259,56,322,619,297,419,360,912,10,19320,2325,6597,8907,4019,589,19313,666,306,10735,397,97,571,375,11669,103,6,1,446,471,54,5,4,2,1587,581,629,52,164,114,9,4,3,0,1,44.8,137,453,850,120,288,666,31,15
Blackburn,27.1,49.1,46,52,51.7,468,153,3,3,823,96,15923,20764,6857,7928,6853,8146,1766,3519,345,1040,304,84,1396,612,1377,833,520,408,334,91,405,713,308,513,382,1470,18,26426,3101,10048,11084,5535,850,26423,711,311,13308,440,161,752,441,15817,101,4,3,586,507,95,3,4,0,1835,913,912,48,174,125,15,4,3,1,0,52.9,192,702,1093,146,365,695,26,20
Bristol City,25.6,51.0,46,59,59.4,593,183,3,3,1059,105,17083,22337,7291,8424,7841,9334,1573,3490,460,1542,383,103,1776,727,1760,755,487,303,357,95,355,678,323,471,354,1160,18,27456,2424,7629,12745,7310,1058,27453,604,252,14748,488,229,652,385,16970,77,3,1,470,497,77,3,2,0,1870,847,763,55,172,117,10,2,2,0,0,54.6,236,770,1123,218,313,555,37,79
Burnley,24.9,56.6,46,66,57.5,557,170,4,4,981,113,20211,24704,8619,9586,9360,10607,1824,3463,416,1420,347,91,1739,794,1727,699,420,297,310,92,335,607,272,444,337,1058,17,29585,2927,9619,13316,6870,1020,29581,756,326,16732,524,237,676,410,20024,84,3,1,530,531,65,3,2,0,1777,578,681,16,107,89,30,2,0,2,0,27.9,150,582,1467,198,309,540,32,50
Cardiff City,26.7,46.8,46,46,47.2,561,185,1,2,959,78,14573,19561,6390,7474,6254,7723,1608,3332,404,1235,273,94,1494,650,1479,813,513,382,317,114,383,672,289,471,371,1196,17,24779,2682,8267,10821,5947,848,24777,727,355,12690,447,181,672,394,14459,79,4,0,542,485,94,2,4,4,1766,853,802,73,193,123,8,4,3,1,0,65.1,203,708,1072,136,348,568,22,58
Coventry City,25.4,54.3,46,63,67.9,603,191,2,4,1043,105,17595,22467,8074,9157,7538,8801,1523,3369,457,1440,358,133,1703,779,1684,695,427,332,265,98,329,600,271,471,355,1178,15,27532,2762,8589,12511,6669,1069,27528,563,239,15145,541,214,686,411,17420,75,1,0,504,463,82,3,1,3,1720,811,772,58,170,115,13,1,1,0,0,53.0,195,610,1277,142,311,577,19,69
Derby County,27.5,43.8,46,43,46.5,461,140,2,2,768,73,11757,17017,4576,5573,5283,6732,1632,3657,311,931,247,110,1225,557,1212,845,532,386,356,103,366,667,301,555,440,1313,15,22549,2653,8115,9414,5243,866,22547,626,278,9977,321,111,717,384,11647,90,0,0,555,418,81,2,3,1,1876,962,945,56,167,110,12,3,1,2,0,56.7,258,901,1080,188,337,642,53,33
Hull City,25.2,50.0,46,40,52.0,522,156,4,5,931,70,17093,21724,7529,8537,7658,8916,1438,3059,385,1196,349,112,1434,782,1415,710,458,341,284,85,317,634,317,479,314,1367,24,27052,3543,10296,10802,6214,882,27047,738,346,14936,495,192,698,419,16920,77,3,2,543,471,91,5,6,2,1849,753,824,54,172,119,7,6,4,1,1,53.4,131,470,1731,194,356,717,38,65
Leeds United,25.4,61.3,46,91,89.1,755,249,3,4,1329,154,22829,27268,10764,11890,10067,11346,1456,2704,562,1839,486,81,2236,967,2213,685,411,263,290,132,332,637,305,379,345,909,11,32230,2150,8777,15504,8198,1328,32226,765,345,19039,658,271,633,460,22644,70,0,0,472,557,104,4,4,4,1802,666,687,30,99,72,25,4,3,1,0,26.1,97,379,1329,201,221,414,39,41
Luton Town,26.5,45.2,46,43,50.1,526,152,2,2,907,64,12033,17305,5075,6142,4936,6253,1602,3778,375,1061,337,94,1311,577,1293,753,454,349,293,111,358,692,334,527,353,1326,15,22964,2548,7753,9140,6327,1045,22962,790,335,10865,379,162,737,444,11926,90,7,4,577,525,91,1,3,1,1825,1065,982,69,198,129,11,3,2,1,0,62.3,386,1066,1252,126,375,631,29,76
Middlesbrough,25.3,55.4,46,62,67.3,660,206,5,7,1172,108,21092,25398,9913,10882,9058,10213,1660,3156,525,1644,441,63,2109,929,2100,756,478,357,301,98,372,661,289,471,334,1099,28,30650,2850,9495,13697,7707,1220,30643,821,343,16743,611,308,661,425,20935,69,2,2,432,540,99,7,0,3,1842,547,599,56,168,115,13,0,0,0,0,52.8,99,467,1163,219,322,617,45,60
