Player,Nationality,Team,League,Position,General Position,Age,Minutes,Matches,Line Index,Passes Index
Kevin Trapp,GER,Paris FC,French Ligue 1,GK,Goalkeeper,35,540,1,59,39
Kiril Fesiun,UKR,Shakhtar,UEFA Europa Conference League,GK,Goalkeeper,23,360,1,56,60
Kjell Scherpen,NED,Union SG,UEFA Champions League,GK,Goalkeeper,25,540,1,29,18
Kostas Tzolakis,GRE,Olympiacos,UEFA Champions League,GK,Goalkeeper,23,450,1,14,36
Krapyvtsov Vladyslav,UKR,Girona,Spanish La Liga,GK,Goalkeeper,20,136,1,4,42
Lasse Rieß,GER,Mainz 05,"German Bundesliga, UEFA Europa Conference League",GK,Goalkeeper,24,359,1,21,25
Laurit Behluli,KVX,KF Drita,UEFA Europa Conference League,GK,Goalkeeper,25,90,1,3,8
Leo Román,ESP,Mallorca,Spanish La Liga,GK,Goalkeeper,25,1170,1,62,59
Lorenzo Montipò,ITA,Hellas Verona,Italian Serie A,GK,Goalkeeper,29,1530,1,23,46
Lucas Bergström,FIN,Mallorca,Spanish La Liga,GK,Goalkeeper,23,450,1,43,77
Lucas Chevalier,FRA,Paris S-G,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,24,1800,1,41,28
Lucas Perri,BRA,Leeds United,English Premier League,GK,Goalkeeper,28,1350,1,38,48
Luiz Lúcio Reis Júnior,BRA,Villarreal,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,24,1710,1,68,24
Lukáš Horníček,CZE,Braga,UEFA Europa League,GK,Goalkeeper,23,540,1,56,39
Lukáš Hrádecký,FIN,Monaco,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,36,809,1,72,28
Lukáš Zima,CZE,FCSB,UEFA Europa League,GK,Goalkeeper,31,165,1,79,36
Mads Hermansen,DEN,West Ham,English Premier League,GK,Goalkeeper,25,360,1,29,50
Maduka Okoye,NGA,Udinese,Italian Serie A,GK,Goalkeeper,26,816,1,41,70
Manuel Neuer,GER,Bayern Munich,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,39,1620,1,41,67
Marco Bizot,NED,Aston Villa,"English Premier League, UEFA Europa League",GK,Goalkeeper,34,630,1,56,59
Marco Carnesecchi,ITA,Atalanta,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,25,2160,1,49,75
Marco Silvestri,ITA,Cremonese,Italian Serie A,GK,Goalkeeper,34,360,1,63,46
Marin Ljubić,CRO,Zrinjski Mostar,UEFA Europa Conference League,GK,Goalkeeper,28,180,1,10,8
Mark Flekken,NED,Leverkusen,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,32,1890,1,47,44
Marko Dmitrović,SRB,Espanyol,Spanish La Liga,GK,Goalkeeper,33,1620,1,50,49
Martin Dúbravka,SVK,Burnley,English Premier League,GK,Goalkeeper,36,1800,1,55,61
Martin Jedlička,CZE,Viktoria Plzeň,UEFA Europa League,GK,Goalkeeper,27,360,1,89,40
Martin Trnovský,SVK,Slovan Bratislava,UEFA Europa Conference League,GK,Goalkeeper,25,90,1,86,10
Martin Zlomislić,BIH,Rijeka,UEFA Europa Conference League,GK,Goalkeeper,27,450,1,62,60
Marvin Keller,SUI,Young Boys,UEFA Europa League,GK,Goalkeeper,23,540,1,20,50
Marvin Schwäbe,GER,Köln,German Bundesliga,GK,Goalkeeper,30,1350,1,46,78
Marwin Hitz,SUI,Basel,UEFA Europa League,GK,Goalkeeper,38,450,1,64,59
Massimo Pessina,ITA,Bologna,Italian Serie A,GK,Goalkeeper,17,83,1,43,77
Matej Kovar,CZE,PSV Eindhoven,UEFA Champions League,GK,Goalkeeper,25,540,1,61,74
Mateusz Kochalski,POL,Qarabağ,UEFA Champions League,GK,Goalkeeper,25,540,1,37,34
Matheus,BRA,Red Star,UEFA Europa League,GK,Goalkeeper,33,540,1,87,72
Mathew Ryan,AUS,Levante,Spanish La Liga,GK,Goalkeeper,33,1350,1,66,68
Mathias Dyngeland,NOR,Brann,UEFA Europa League,GK,Goalkeeper,30,540,1,86,63
Matteo Bignetti,AUT,Sturm Graz,UEFA Europa League,GK,Goalkeeper,21,90,1,81,14
Mattia Perin,ITA,Juventus,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,33,360,1,27,44
