Player,Game Week,Position,Team,League,Minutes,Rate
Pierluigi Gollini,J1,GK,Genoa,Serie A,90,6.68
Yann Sommer,J1,GK,Inter,Serie A,90,5.33
Michele Di Gregorio,J1,GK,Juventus,Serie A,90,7.24
Pepe Reina,J1,GK,Como,Serie A,90,4.45
Federico Ravaglia,J11,GK,Bologna,Serie A,90,6.95
Wladimiro Falcone,J11,GK,Lecce,Serie A,90,6.54
Robert Sánchez,J1,GK,Chelsea,Premier League,90,4.73
Ederson,J1,GK,Manchester City,Premier League,90,8.33
Mads Hermansen,J1,GK,Leicester City,Premier League,90,6.76
Guglielmo Vicario,J1,GK,Tottenham,Premier League,90,6.43
Jason Steele,J2,GK,Brighton,Premier League,90,5.99
André Onana,J2,GK,Manchester Utd,Premier League,90,6.1
Ederson,J2,GK,Manchester City,Premier League,90,5.0
Arijanet Muric,J2,GK,Ipswich Town,Premier League,90,4.35
Alex McCarthy,J2,GK,Southampton,Premier League,90,6.73
Matz Sels,J2,GK,Nott'ham Forest,Premier League,90,7.53
Guglielmo Vicario,J2,GK,Tottenham,Premier League,90,7.11
Jordan Pickford,J2,GK,Everton,Premier League,90,4.41
Bernd Leno,J2,GK,Fulham,Premier League,90,7.42
Mads Hermansen,J2,GK,Leicester City,Premier League,90,5.47
Dean Henderson,J2,GK,Crystal Palace,Premier League,90,4.35
Alphonse Areola,J2,GK,West Ham,Premier League,90,8.2
Emiliano Martínez,J2,GK,Aston Villa,Premier League,90,4.92
David Raya,J2,GK,Arsenal,Premier League,90,8.12
José Sá,J2,GK,Wolves,Premier League,90,4.02
Robert Sánchez,J2,GK,Chelsea,Premier League,90,5.06
Maduka Okoye,J11,GK,Udinese,Serie A,90,6.56
Michele Di Gregorio,J11,GK,Juventus,Serie A,90,8.04
Neto,J2,GK,Bournemouth,Premier League,90,7.78
Nick Pope,J2,GK,Newcastle Utd,Premier League,90,6.72
Alisson,J2,GK,Liverpool,Premier League,90,8.03
Mark Flekken,J2,GK,Brentford,Premier League,90,6.5
David Raya,J3,GK,Arsenal,Premier League,90,6.26
Bart Verbruggen,J3,GK,Brighton,Premier League,90,7.21
Arijanet Muric,J3,GK,Ipswich Town,Premier League,90,6.34
Bernd Leno,J3,GK,Fulham,Premier League,90,5.63
Matz Sels,J3,GK,Nott'ham Forest,Premier League,90,5.42
Sam Johnstone,J3,GK,Wolves,Premier League,90,7.25
Mark Flekken,J3,GK,Brentford,Premier League,90,5.89
Aaron Ramsdale,J3,GK,Southampton,Premier League,90,5.46
Mads Hermansen,J3,GK,Leicester City,Premier League,90,5.7
Emiliano Martínez,J3,GK,Aston Villa,Premier League,90,6.14
Jordan Pickford,J3,GK,Everton,Premier League,90,5.03
Kepa Arrizabalaga,J3,GK,Bournemouth,Premier League,90,4.91
Alphonse Areola,J3,GK,West Ham,Premier League,45,5.05
Łukasz Fabiański,J3,GK,West Ham,Premier League,45,5.7
Ederson,J3,GK,Manchester City,Premier League,90,5.34
Nick Pope,J3,GK,Newcastle Utd,Premier League,90,7.14
Guglielmo Vicario,J3,GK,Tottenham,Premier League,90,5.4
Stefano Turati,J11,GK,Monza,Serie A,90,7.07
Mike Maignan,J11,GK,Milan,Serie A,90,7.78
Robert Sánchez,J3,GK,Chelsea,Premier League,90,6.48
Dean Henderson,J3,GK,Crystal Palace,Premier League,90,7.62
André Onana,J3,GK,Manchester Utd,Premier League,90,4.42
Alisson,J3,GK,Liverpool,Premier League,90,8.15
Aaron Ramsdale,J4,GK,Southampton,Premier League,90,6.15
André Onana,J4,GK,Manchester Utd,Premier League,90,7.8
Ederson,J4,GK,Manchester City,Premier League,90,7.25
Mark Flekken,J4,GK,Brentford,Premier League,90,6.3
Alisson,J4,GK,Liverpool,Premier League,90,5.35
Matz Sels,J4,GK,Nott'ham Forest,Premier League,90,8.65
Dean Henderson,J4,GK,Crystal Palace,Premier League,90,5.55
Mads Hermansen,J4,GK,Leicester City,Premier League,90,5.55
Bernd Leno,J4,GK,Fulham,Premier League,90,5.73
Alphonse Areola,J4,GK,West Ham,Premier League,90,5.6
Bart Verbruggen,J4,GK,Brighton,Premier League,90,7.3
Arijanet Muric,J4,GK,Ipswich Town,Premier League,90,9.05
Emiliano Martínez,J4,GK,Aston Villa,Premier League,90,5.07
Jordan Pickford,J4,GK,Everton,Premier League,90,4.93
Mark Travers,J4,GK,Bournemouth,Premier League,90,6.39
Robert Sánchez,J4,GK,Chelsea,Premier League,90,8.87
Alex Meret,J11,GK,Napoli,Serie A,90,3.85
Marco Carnesecchi,J11,GK,Atalanta,Serie A,90,8.21
Guglielmo Vicario,J4,GK,Tottenham,Premier League,90,6.21
David Raya,J4,GK,Arsenal,Premier League,90,8.56
Sam Johnstone,J4,GK,Wolves,Premier League,90,5.73
Nick Pope,J4,GK,Newcastle Utd,Premier League,90,6.59
Alphonse Areola,J5,GK,West Ham,Premier League,90,4.63
Robert Sánchez,J5,GK,Chelsea,Premier League,90,8.92
Guglielmo Vicario,J5,GK,Tottenham,Premier League,90,7.07
Mark Flekken,J5,GK,Brentford,Premier League,90,5.0
Emiliano Martínez,J5,GK,Aston Villa,Premier League,90,5.95
Sam Johnstone,J5,GK,Wolves,Premier League,90,4.18
Bernd Leno,J5,GK,Fulham,Premier League,90,6.42
Nick Pope,J5,GK,Newcastle Utd,Premier League,90,4.88
Aaron Ramsdale,J5,GK,Southampton,Premier League,90,7.44
Arijanet Muric,J5,GK,Ipswich Town,Premier League,90,6.24
Mads Hermansen,J5,GK,Leicester City,Premier League,90,7.02
Jordan Pickford,J5,GK,Everton,Premier League,90,6.63
Caoimhín Kelleher,J5,GK,Liverpool,Premier League,90,8.54
Kepa Arrizabalaga,J5,GK,Bournemouth,Premier League,90,6.11
Dean Henderson,J5,GK,Crystal Palace,Premier League,90,9.15
André Onana,J5,GK,Manchester Utd,Premier League,90,7.66
Vanja Milinković-Savić,J11,GK,Torino,Serie A,90,5.75
David de Gea,J11,GK,Fiorentina,Serie A,90,7.75
Bart Verbruggen,J5,GK,Brighton,Premier League,90,5.26
Matz Sels,J5,GK,Nott'ham Forest,Premier League,90,4.69
Ederson,J5,GK,Manchester City,Premier League,90,4.82
David Raya,J5,GK,Arsenal,Premier League,90,6.45
Nick Pope,J6,GK,Newcastle Utd,Premier League,90,6.64
Ederson,J6,GK,Manchester City,Premier League,90,6.22
Mark Flekken,J6,GK,Brentford,Premier League,90,6.78
Alphonse Areola,J6,GK,West Ham,Premier League,90,6.67
Jordan Pickford,J6,GK,Everton,Premier League,90,6.54
Dean Henderson,J6,GK,Crystal Palace,Premier League,90,4.22
David Raya,J6,GK,Arsenal,Premier League,90,4.3
Mads Hermansen,J6,GK,Leicester City,Premier League,90,6.59
Robert Sánchez,J6,GK,Chelsea,Premier League,90,5.06
Bart Verbruggen,J6,GK,Brighton,Premier League,90,4.31
Matz Sels,J6,GK,Nott'ham Forest,Premier League,90,5.35
Bernd Leno,J6,GK,Fulham,Premier League,90,7.28
Sam Johnstone,J6,GK,Wolves,Premier League,90,5.59
Alisson,J6,GK,Liverpool,Premier League,90,6.22
Arijanet Muric,J6,GK,Ipswich Town,Premier League,90,4.66
Emiliano Martínez,J6,GK,Aston Villa,Premier League,90,6.26
Lorenzo Montipò,J11,GK,Hellas Verona,Serie A,90,4.97
Mile Svilar,J11,GK,Roma,Serie A,90,4.35
André Onana,J6,GK,Manchester Utd,Premier League,90,5.88
Guglielmo Vicario,J6,GK,Tottenham,Premier League,90,7.74
Kepa Arrizabalaga,J6,GK,Bournemouth,Premier League,90,6.84
Aaron Ramsdale,J6,GK,Southampton,Premier League,90,4.76
Dean Henderson,J7,GK,Crystal Palace,Premier League,90,5.41
Alisson,J7,GK,Liverpool,Premier League,78,6.57
Mark Flekken,J7,GK,Brentford,Premier League,90,4.71
Sam Johnstone,J7,GK,Wolves,Premier League,90,4.86
Mads Hermansen,J7,GK,Leicester City,Premier League,90,8.77
Kepa Arrizabalaga,J7,GK,Bournemouth,Premier League,90,6.04
Ederson,J7,GK,Manchester City,Premier League,90,5.73
Bernd Leno,J7,GK,Fulham,Premier League,90,4.27
Alphonse Areola,J7,GK,West Ham,Premier League,90,5.95
Arijanet Muric,J7,GK,Ipswich Town,Premier League,90,4.99
David Raya,J7,GK,Arsenal,Premier League,90,5.49
Aaron Ramsdale,J7,GK,Southampton,Premier League,90,4.82
Jordan Pickford,J7,GK,Everton,Premier League,90,8.37
Nick Pope,J7,GK,Newcastle Utd,Premier League,90,7.78
Emiliano Martínez,J7,GK,Aston Villa,Premier League,90,8.54
André Onana,J7,GK,Manchester Utd,Premier League,90,7.88
Yann Sommer,J11,GK,Inter,Serie A,90,8.18
Filip Stankovic,J11,GK,Venezia,Serie A,90,7.18
Robert Sánchez,J7,GK,Chelsea,Premier League,90,6.89
Matz Sels,J7,GK,Nott'ham Forest,Premier League,90,7.09
Bart Verbruggen,J7,GK,Brighton,Premier League,90,4.72
Guglielmo Vicario,J7,GK,Tottenham,Premier League,90,4.44
Guglielmo Vicario,J8,GK,Tottenham,Premier League,90,5.9
Alphonse Areola,J8,GK,West Ham,Premier League,90,4.82
Bernd Leno,J8,GK,Fulham,Premier League,90,4.52
Emiliano Martínez,J8,GK,Aston Villa,Premier League,90,6.8
Arijanet Muric,J8,GK,Ipswich Town,Premier League,90,5.56
Jordan Pickford,J8,GK,Everton,Premier League,90,7.69
Aaron Ramsdale,J8,GK,Southampton,Premier League,90,4.44
Mads Hermansen,J8,GK,Leicester City,Premier League,90,6.52
André Onana,J8,GK,Manchester Utd,Premier League,90,6.55
Mark Flekken,J8,GK,Brentford,Premier League,90,5.5
Nick Pope,J8,GK,Newcastle Utd,Premier League,90,6.61
Bart Verbruggen,J8,GK,Brighton,Premier League,90,8.87
Kepa Arrizabalaga,J8,GK,Bournemouth,Premier League,90,8.19
David Raya,J8,GK,Arsenal,Premier League,90,5.74
José Sá,J8,GK,Wolves,Premier League,90,5.83
Ederson,J8,GK,Manchester City,Premier League,90,5.94
Devis Vásquez,J11,GK,Empoli,Serie A,90,8.29
Pepe Reina,J11,GK,Como,Serie A,90,5.6
Caoimhín Kelleher,J8,GK,Liverpool,Premier League,90,5.71
Robert Sánchez,J8,GK,Chelsea,Premier League,90,5.49
Matz Sels,J8,GK,Nott'ham Forest,Premier League,90,8.3
Dean Henderson,J8,GK,Crystal Palace,Premier League,90,6.87
Mads Hermansen,J9,GK,Leicester City,Premier League,90,4.21
Matz Sels,J9,GK,Nott'ham Forest,Premier League,90,6.25
Bart Verbruggen,J9,GK,Brighton,Premier League,90,5.35
José Sá,J9,GK,Wolves,Premier League,90,5.29
Ederson,J9,GK,Manchester City,Premier League,90,7.15
Aaron Ramsdale,J9,GK,Southampton,Premier League,90,6.03
Mark Flekken,J9,GK,Brentford,Premier League,90,4.49
Arijanet Muric,J9,GK,Ipswich Town,Premier League,90,5.03
Emiliano Martínez,J9,GK,Aston Villa,Premier League,90,6.75
Mark Travers,J9,GK,Bournemouth,Premier League,90,7.41
Jordan Pickford,J9,GK,Everton,Premier League,90,6.53
Bernd Leno,J9,GK,Fulham,Premier League,90,6.89
Łukasz Fabiański,J9,GK,West Ham,Premier League,90,7.62
André Onana,J9,GK,Manchester Utd,Premier League,90,5.35
Robert Sánchez,J9,GK,Chelsea,Premier League,90,6.42
Nick Pope,J9,GK,Newcastle Utd,Premier League,90,5.71
Zion Suzuki,J11,GK,Parma,Serie A,90,6.66
Nicola Leali,J11,GK,Genoa,Serie A,90,7.54
Dean Henderson,J9,GK,Crystal Palace,Premier League,90,8.53
Guglielmo Vicario,J9,GK,Tottenham,Premier League,90,6.92
David Raya,J9,GK,Arsenal,Premier League,90,5.6
Caoimhín Kelleher,J9,GK,Liverpool,Premier League,90,5.16
Nick Pope,J10,GK,Newcastle Utd,Premier League,90,7.21
David Raya,J10,GK,Arsenal,Premier League,90,6.93
Caoimhín Kelleher,J10,GK,Liverpool,Premier League,90,5.43
Bart Verbruggen,J10,GK,Brighton,Premier League,90,5.3
Aaron Ramsdale,J10,GK,Southampton,Premier League,90,8.75
Jordan Pickford,J10,GK,Everton,Premier League,90,5.57
Matz Sels,J10,GK,Nott'ham Forest,Premier League,90,7.14
Łukasz Fabiański,J10,GK,West Ham,Premier League,90,5.1
Arijanet Muric,J10,GK,Ipswich Town,Premier League,90,6.42
Mads Hermansen,J10,GK,Leicester City,Premier League,90,5.47
Mark Travers,J10,GK,Bournemouth,Premier League,90,7.07
Ederson,J10,GK,Manchester City,Premier League,90,6.29
José Sá,J10,GK,Wolves,Premier League,90,6.52
Dean Henderson,J10,GK,Crystal Palace,Premier League,90,5.28
Guglielmo Vicario,J10,GK,Tottenham,Premier League,90,6.11
Emiliano Martínez,J10,GK,Aston Villa,Premier League,90,4.63
Ivan Provedel,J11,GK,Lazio,Serie A,90,5.55
Simone Scuffet,J11,GK,Cagliari,Serie A,90,5.51
André Onana,J10,GK,Manchester Utd,Premier League,90,5.85
Robert Sánchez,J10,GK,Chelsea,Premier League,90,5.84
Bernd Leno,J10,GK,Fulham,Premier League,90,5.34
Mark Flekken,J10,GK,Brentford,Premier League,90,6.41
Łukasz Fabiański,J11,GK,West Ham,Premier League,90,8.48
Jordan Pickford,J11,GK,Everton,Premier League,90,8.76
Dean Henderson,J11,GK,Crystal Palace,Premier League,90,5.04
Bernd Leno,J11,GK,Fulham,Premier League,90,8.28
José Sá,J11,GK,Wolves,Premier League,90,7.05
Aaron Ramsdale,J11,GK,Southampton,Premier League,90,4.85
Mark Flekken,J11,GK,Brentford,Premier League,90,5.48
Kepa Arrizabalaga,J11,GK,Bournemouth,Premier League,90,4.57
Bart Verbruggen,J11,GK,Brighton,Premier League,90,7.46
Ederson,J11,GK,Manchester City,Premier League,90,5.67
Caoimhín Kelleher,J11,GK,Liverpool,Premier League,90,8.03
Emiliano Martínez,J11,GK,Aston Villa,Premier League,90,4.8
Guglielmo Vicario,J11,GK,Tottenham,Premier League,90,5.78
Arijanet Muric,J11,GK,Ipswich Town,Premier League,90,7.35
Matz Sels,J11,GK,Nott'ham Forest,Premier League,90,4.9
Nick Pope,J11,GK,Newcastle Utd,Premier League,90,6.31
Maduka Okoye,J2,GK,Udinese,Serie A,90,7.07
Ivan Provedel,J2,GK,Lazio,Serie A,90,4.98
Nicola Leali,J12,GK,Genoa,Serie A,90,7.37
Pepe Reina,J12,GK,Como,Serie A,90,6.58
André Onana,J11,GK,Manchester Utd,Premier League,90,8.3
Mads Hermansen,J11,GK,Leicester City,Premier League,90,4.09
Robert Sánchez,J11,GK,Chelsea,Premier League,90,5.96
David Raya,J11,GK,Arsenal,Premier League,90,6.02
Mads Hermansen,J12,GK,Leicester City,Premier League,90,5.89
Robert Sánchez,J12,GK,Chelsea,Premier League,90,5.41
Emiliano Martínez,J12,GK,Aston Villa,Premier League,90,5.12
Dean Henderson,J12,GK,Crystal Palace,Premier League,90,5.92
Bernd Leno,J12,GK,Fulham,Premier League,90,3.67
José Sá,J12,GK,Wolves,Premier League,90,5.96
Kepa Arrizabalaga,J12,GK,Bournemouth,Premier League,90,5.14
Bart Verbruggen,J12,GK,Brighton,Premier League,90,7.33
David Raya,J12,GK,Arsenal,Premier League,90,7.12
Matz Sels,J12,GK,Nott'ham Forest,Premier League,90,4.34
Jordan Pickford,J12,GK,Everton,Premier League,90,7.44
Mark Flekken,J12,GK,Brentford,Premier League,90,8.75
Ederson,J12,GK,Manchester City,Premier League,90,4.22
Guglielmo Vicario,J12,GK,Tottenham,Premier League,90,8.51
Alex McCarthy,J12,GK,Southampton,Premier League,90,6.02
Caoimhín Kelleher,J12,GK,Liverpool,Premier League,90,5.01
Wladimiro Falcone,J12,GK,Lecce,Serie A,90,5.38
Devis Vásquez,J12,GK,Empoli,Serie A,90,6.26
Arijanet Muric,J12,GK,Ipswich Town,Premier League,90,6.76
André Onana,J12,GK,Manchester Utd,Premier League,90,6.71
Nick Pope,J12,GK,Newcastle Utd,Premier League,90,4.97
Łukasz Fabiański,J12,GK,West Ham,Premier League,90,8.12
Bart Verbruggen,J13,GK,Brighton,Premier League,90,5.46
Joe Lumley,J13,GK,Southampton,Premier League,90,5.74
José Sá,J13,GK,Wolves,Premier League,90,4.53
Kepa Arrizabalaga,J13,GK,Bournemouth,Premier League,90,4.94
Matz Sels,J13,GK,Nott'ham Forest,Premier League,90,7.82
Arijanet Muric,J13,GK,Ipswich Town,Premier League,90,7.01
Mark Flekken,J13,GK,Brentford,Premier League,90,6.18
Mads Hermansen,J13,GK,Leicester City,Premier League,90,4.77
Dean Henderson,J13,GK,Crystal Palace,Premier League,90,5.11
Nick Pope,J13,GK,Newcastle Utd,Premier League,90,6.28
Łukasz Fabiański,J13,GK,West Ham,Premier League,90,4.27
David Raya,J13,GK,Arsenal,Premier League,90,5.83
André Onana,J13,GK,Manchester Utd,Premier League,90,7.12
Jordan Pickford,J13,GK,Everton,Premier League,90,4.06
Fraser Forster,J13,GK,Tottenham,Premier League,90,6.71
Bernd Leno,J13,GK,Fulham,Premier League,90,6.6
Filip Stankovic,J12,GK,Venezia,Serie A,90,4.55
Zion Suzuki,J12,GK,Parma,Serie A,90,7.41
Robert Sánchez,J13,GK,Chelsea,Premier League,90,8.39
Emiliano Martínez,J13,GK,Aston Villa,Premier League,45,4.81
Robin Olsen,J13,GK,Aston Villa,Premier League,45,5.54
Caoimhín Kelleher,J13,GK,Liverpool,Premier League,90,7.91
Stefan Ortega,J13,GK,Manchester City,Premier League,90,5.76
Arijanet Muric,J14,GK,Ipswich Town,Premier League,90,6.54
Dean Henderson,J14,GK,Crystal Palace,Premier League,90,8.43
Mads Hermansen,J14,GK,Leicester City,Premier League,90,7.71
Łukasz Fabiański,J14,GK,West Ham,Premier League,90,4.84
Nick Pope,J14,GK,Newcastle Utd,Premier League,90,5.85
Caoimhín Kelleher,J14,GK,Liverpool,Premier League,90,4.89
Jordan Pickford,J14,GK,Everton,Premier League,90,8.1
José Sá,J14,GK,Wolves,Premier League,90,3.86
Stefan Ortega,J14,GK,Manchester City,Premier League,90,7.78
Matz Sels,J14,GK,Nott'ham Forest,Premier League,90,5.4
Joe Lumley,J14,GK,Southampton,Premier League,90,5.6
Filip Jørgensen,J14,GK,Chelsea,Premier League,90,6.72
David Raya,J14,GK,Arsenal,Premier League,90,7.86
André Onana,J14,GK,Manchester Utd,Premier League,90,6.38
Emiliano Martínez,J14,GK,Aston Villa,Premier League,90,5.94
Mark Flekken,J14,GK,Brentford,Premier League,90,6.09
Alen Sherri,J12,GK,Cagliari,Serie A,90,4.89
Mike Maignan,J12,GK,Milan,Serie A,90,4.38
Bernd Leno,J14,GK,Fulham,Premier League,90,5.75
Bart Verbruggen,J14,GK,Brighton,Premier League,90,3.8
Kepa Arrizabalaga,J14,GK,Bournemouth,Premier League,90,8.34
Fraser Forster,J14,GK,Tottenham,Premier League,90,6.41
Emiliano Martínez,J15,GK,Aston Villa,Premier League,90,6.68
Joe Lumley,J15,GK,Southampton,Premier League,90,7.18
Dean Henderson,J15,GK,Crystal Palace,Premier League,90,6.06
Stefan Ortega,J15,GK,Manchester City,Premier League,90,4.86
Mark Flekken,J15,GK,Brentford,Premier League,90,5.21
Nick Pope,J15,GK,Newcastle Utd,Premier League,90,4.29
André Onana,J15,GK,Manchester Utd,Premier League,90,3.98
Matz Sels,J15,GK,Nott'ham Forest,Premier League,90,5.59
Mads Hermansen,J15,GK,Leicester City,Premier League,90,6.71
Bart Verbruggen,J15,GK,Brighton,Premier League,90,4.9
Arijanet Muric,J15,GK,Ipswich Town,Premier League,90,6.03
Kepa Arrizabalaga,J15,GK,Bournemouth,Premier League,90,6.53
Bernd Leno,J15,GK,Fulham,Premier League,90,7.05
David Raya,J15,GK,Arsenal,Premier League,90,5.56
Fraser Forster,J15,GK,Tottenham,Premier League,90,5.08
Robert Sánchez,J15,GK,Chelsea,Premier League,90,4.25
Mattia Perin,J12,GK,Juventus,Serie A,90,7.53
Vanja Milinković-Savić,J12,GK,Torino,Serie A,90,5.55
Łukasz Fabiański,J15,GK,West Ham,Premier League,90,6.75
Sam Johnstone,J15,GK,Wolves,Premier League,90,5.11
Alisson,J16,GK,Liverpool,Premier League,90,5.41
Bernd Leno,J16,GK,Fulham,Premier League,90,5.3
Sam Johnstone,J16,GK,Wolves,Premier League,90,5.29
Arijanet Muric,J16,GK,Ipswich Town,Premier League,90,7.27
Martin Dúbravka,J16,GK,Newcastle Utd,Premier League,90,7.45
Mads Hermansen,J16,GK,Leicester City,Premier League,45,6.39
Danny Ward,J16,GK,Leicester City,Premier League,45,4.39
David Raya,J16,GK,Arsenal,Premier League,90,7.03
Jordan Pickford,J16,GK,Everton,Premier League,90,9.05
Matz Sels,J16,GK,Nott'ham Forest,Premier League,90,5.63
Emiliano Martínez,J16,GK,Aston Villa,Premier League,90,5.51
Bart Verbruggen,J16,GK,Brighton,Premier League,90,4.46
Dean Henderson,J16,GK,Crystal Palace,Premier League,90,6.79
Ederson,J16,GK,Manchester City,Premier League,90,5.52
André Onana,J16,GK,Manchester Utd,Premier League,90,5.73
Alex McCarthy,J16,GK,Southampton,Premier League,90,4.14
Fraser Forster,J16,GK,Tottenham,Premier League,90,7.86
Robert Sánchez,J16,GK,Chelsea,Premier League,90,7.52
Mark Flekken,J16,GK,Brentford,Premier League,90,5.46
Marco Carnesecchi,J12,GK,Atalanta,Serie A,90,7.18
Maduka Okoye,J12,GK,Udinese,Serie A,90,5.31
Kepa Arrizabalaga,J16,GK,Bournemouth,Premier League,90,7.16
Łukasz Fabiański,J16,GK,West Ham,Premier League,90,7.28
Emiliano Martínez,J17,GK,Aston Villa,Premier League,90,6.66
Stefan Ortega,J17,GK,Manchester City,Premier League,90,5.51
Arijanet Muric,J17,GK,Ipswich Town,Premier League,90,4.35
Martin Dúbravka,J17,GK,Newcastle Utd,Premier League,90,7.03
Mark Flekken,J17,GK,Brentford,Premier League,90,4.81
Matz Sels,J17,GK,Nott'ham Forest,Premier League,90,8.72
Łukasz Fabiański,J17,GK,West Ham,Premier League,90,7.35
Bart Verbruggen,J17,GK,Brighton,Premier League,90,6.69
Dean Henderson,J17,GK,Crystal Palace,Premier League,90,3.55
David Raya,J17,GK,Arsenal,Premier League,90,7.48
André Onana,J17,GK,Manchester Utd,Premier League,90,4.94
Kepa Arrizabalaga,J17,GK,Bournemouth,Premier League,90,8.5
Danny Ward,J17,GK,Leicester City,Premier League,90,4.21
José Sá,J17,GK,Wolves,Premier League,90,8.55
Jordan Pickford,J17,GK,Everton,Premier League,90,8.06
Robert Sánchez,J17,GK,Chelsea,Premier League,90,8.24
Bernd Leno,J17,GK,Fulham,Premier League,90,7.23
Aaron Ramsdale,J17,GK,Southampton,Premier League,90,8.58
David de Gea,J12,GK,Fiorentina,Serie A,90,5.62
Lorenzo Montipò,J12,GK,Hellas Verona,Serie A,90,4.57
Fraser Forster,J17,GK,Tottenham,Premier League,90,4.31
Alisson,J17,GK,Liverpool,Premier League,90,4.27
Stefan Ortega,J18,GK,Manchester City,Premier League,90,5.55
Jordan Pickford,J18,GK,Everton,Premier League,90,7.56
Aaron Ramsdale,J18,GK,Southampton,Premier League,90,5.92
Łukasz Fabiański,J18,GK,West Ham,Premier League,35,6.87
Alphonse Areola,J18,GK,West Ham,Premier League,55,7.93
Martin Dúbravka,J18,GK,Newcastle Utd,Premier League,90,7.42
Emiliano Martínez,J18,GK,Aston Villa,Premier League,90,5.96
Matz Sels,J18,GK,Nott'ham Forest,Premier League,90,8.69
Fraser Forster,J18,GK,Tottenham,Premier League,90,6.15
Kepa Arrizabalaga,J18,GK,Bournemouth,Premier League,90,7.97
Dean Henderson,J18,GK,Crystal Palace,Premier League,90,7.92
Robert Sánchez,J18,GK,Chelsea,Premier League,90,6.48
Bernd Leno,J18,GK,Fulham,Premier League,90,7.16
José Sá,J18,GK,Wolves,Premier League,90,8.47
André Onana,J18,GK,Manchester Utd,Premier League,90,4.91
Alisson,J18,GK,Liverpool,Premier League,90,5.35
Jakub Stolarczyk,J18,GK,Leicester City,Premier League,90,5.19
Bart Verbruggen,J18,GK,Brighton,Premier League,90,8.56
Mark Flekken,J18,GK,Brentford,Premier League,35,7.59
Hákon Rafn Valdimarsson,J18,GK,Brentford,Premier League,55,8.15
Mile Svilar,J12,GK,Roma,Serie A,90,4.41
Łukasz Skorupski,J12,GK,Bologna,Serie A,90,5.16
David Raya,J18,GK,Arsenal,Premier League,90,7.4
Arijanet Muric,J18,GK,Ipswich Town,Premier League,90,6.83
Jakub Stolarczyk,J19,GK,Leicester City,Premier League,90,4.79
Stefan Ortega,J19,GK,Manchester City,Premier League,90,7.89
Jordan Pickford,J19,GK,Everton,Premier League,90,5.66
Matz Sels,J19,GK,Nott'ham Forest,Premier League,90,8.24
Fraser Forster,J19,GK,Tottenham,Premier League,90,5.52
José Sá,J19,GK,Wolves,Premier League,90,5.17
Bernd Leno,J19,GK,Fulham,Premier League,90,6.0
Kepa Arrizabalaga,J19,GK,Bournemouth,Premier League,90,6.29
Dean Henderson,J19,GK,Crystal Palace,Premier League,90,6.61
Aaron Ramsdale,J19,GK,Southampton,Premier League,90,6.0
Alphonse Areola,J19,GK,West Ham,Premier League,90,4.55
Alisson,J19,GK,Liverpool,Premier League,90,6.67
Emiliano Martínez,J19,GK,Aston Villa,Premier League,90,5.14
Bart Verbruggen,J19,GK,Brighton,Premier League,90,5.24
Christian Walton,J19,GK,Ipswich Town,Premier League,90,9.13
Filip Jørgensen,J19,GK,Chelsea,Premier League,90,5.55
André Onana,J19,GK,Manchester Utd,Premier League,90,5.12
Martin Dúbravka,J19,GK,Newcastle Utd,Premier League,90,7.32
Stefano Turati,J12,GK,Monza,Serie A,90,7.37
Ivan Provedel,J12,GK,Lazio,Serie A,90,7.8
Mark Flekken,J19,GK,Brentford,Premier League,90,5.17
David Raya,J19,GK,Arsenal,Premier League,90,5.81
Brandon Austin,J20,GK,Tottenham,Premier League,90,6.1
Martin Dúbravka,J20,GK,Newcastle Utd,Premier League,90,6.61
Emiliano Martínez,J20,GK,Aston Villa,Premier League,90,5.8
Jakub Stolarczyk,J20,GK,Leicester City,Premier League,90,5.43
Mark Travers,J20,GK,Bournemouth,Premier League,90,7.38
Jordan Pickford,J20,GK,Everton,Premier League,90,7.48
Dean Henderson,J20,GK,Crystal Palace,Premier League,90,5.9
Robert Sánchez,J20,GK,Chelsea,Premier League,90,6.3
Aaron Ramsdale,J20,GK,Southampton,Premier League,90,5.11
Mark Flekken,J20,GK,Brentford,Premier League,90,8.16
Stefan Ortega,J20,GK,Manchester City,Premier League,90,6.18
Alphonse Areola,J20,GK,West Ham,Premier League,90,4.43
Bart Verbruggen,J20,GK,Brighton,Premier League,90,5.59
David Raya,J20,GK,Arsenal,Premier League,90,6.69
Bernd Leno,J20,GK,Fulham,Premier League,90,4.62
Christian Walton,J20,GK,Ipswich Town,Premier League,90,6.05
Alisson,J20,GK,Liverpool,Premier League,90,4.67
André Onana,J20,GK,Manchester Utd,Premier League,90,5.51
Yann Sommer,J12,GK,Inter,Serie A,90,6.35
Alex Meret,J12,GK,Napoli,Serie A,90,5.77
José Sá,J20,GK,Wolves,Premier League,90,4.47
Matz Sels,J20,GK,Nott'ham Forest,Premier League,90,8.47
Łukasz Fabiański,J21,GK,West Ham,Premier League,90,4.85
Bernd Leno,J21,GK,Fulham,Premier League,90,4.12
Robert Sánchez,J21,GK,Chelsea,Premier League,90,5.13
Mark Travers,J21,GK,Bournemouth,Premier League,90,6.17
Mark Flekken,J21,GK,Brentford,Premier League,90,5.88
Stefan Ortega,J21,GK,Manchester City,Premier League,90,5.49
Matz Sels,J21,GK,Nott'ham Forest,Premier League,90,7.44
Alisson,J21,GK,Liverpool,Premier League,90,5.65
