Player,Game Week,Position,Team,League,Minutes,Rate
Diant Ramaj,J10,GK,FC Copenhagen,Europa Conference League,90,7.06
Matevž Vidovšek,J10,GK,Olimpija,Europa Conference League,90,8.6
Filip Manojlović,J10,GK,Borac Banja Luka,Europa Conference League,90,8.22
Fran Vieites,J10,GK,Betis,Europa Conference League,90,5.37
Davy Roef,J10,GK,Gent,Europa Conference League,90,8.15
Ivica Ivušić,J10,GK,Pafos FC,Europa Conference League,90,6.82
Fabiano,J10,GK,AC Omonia,Europa Conference League,90,6.69
Ed McGinty,J10,GK,Shamrock Rov,Europa Conference League,90,5.82
Jacob Karlstrom,J10,GK,Molde,Europa Conference League,90,8.04
David de Gea,J23,GK,Fiorentina,Serie A,90,6.68
Nicola Leali,J23,GK,Genoa,Serie A,90,4.85
Sławomir Abramowicz,J10,GK,Jagiellonia,Europa Conference League,90,5.78
Veljko Ilic,J10,GK,TSC Bačka Top,Europa Conference League,90,4.84
Bartłomiej Drągowski,J10,GK,Panathinaikos,Europa Conference League,90,6.99
Ingvar Jónsson,J10,GK,KV,Europa Conference League,90,6.47
Vid Belec,J10,GK,APOEL,Europa Conference League,90,5.93
Ricardo Manuel Silva,J10,GK,NK Celje,Europa Conference League,90,8.42
Jacob Karlstrom,J11,GK,Molde,Europa Conference League,90,6.82
Vladen Kovačević,J11,GK,Legia Warsaw,Europa Conference League,90,5.06
Diant Ramaj,J11,GK,FC Copenhagen,Europa Conference League,90,4.5
Robert Sánchez,J11,GK,Chelsea,Europa Conference League,90,5.29
Fran Vieites,J11,GK,Betis,Europa Conference League,90,4.66
Bruno Varela,J11,GK,Vitória,Europa Conference League,90,5.62
Bartłomiej Drągowski,J11,GK,Panathinaikos,Europa Conference League,90,6.21
Pietro Terracciano,J11,GK,Fiorentina,Europa Conference League,90,4.75
Ricardo Manuel Silva,J11,GK,NK Celje,Europa Conference League,90,9.1
Amir Saipi,J11,GK,Lugano,Europa Conference League,90,5.88
Sławomir Abramowicz,J11,GK,Jagiellonia,Europa Conference League,90,8.4
Maxime Delanghe,J11,GK,Cercle Brugge,Europa Conference League,90,4.88
Filip Manojlović,J11,GK,Borac Banja Luka,Europa Conference League,90,6.25
Niklas Hedl,J11,GK,Rapid Wien,Europa Conference League,90,6.11
Mike Maignan,J23,GK,Milan,Serie A,90,6.95
Yann Sommer,J23,GK,Inter,Serie A,90,5.65
Ivica Ivušić,J11,GK,Pafos FC,Europa Conference League,90,8.0
Malkolm Nilsson,J11,GK,Djurgården,Europa Conference League,90,7.22
Warleson,J12,GK,Cercle Brugge,Europa Conference League,90,7.5
Sławomir Abramowicz,J12,GK,Jagiellonia,Europa Conference League,90,6.64
Malkolm Nilsson,J12,GK,Djurgården,Europa Conference League,75,5.92
Ivica Ivušić,J12,GK,Pafos FC,Europa Conference League,90,4.69
Amir Saipi,J12,GK,Lugano,Europa Conference League,90,5.05
Ricardo Manuel Silva,J12,GK,NK Celje,Europa Conference League,90,3.85
Niklas Hedl,J12,GK,Rapid Wien,Europa Conference League,90,5.56
Filip Manojlović,J12,GK,Borac Banja Luka,Europa Conference League,90,7.15
Filip Jørgensen,J12,GK,Chelsea,Europa Conference League,90,7.76
Diant Ramaj,J12,GK,FC Copenhagen,Europa Conference League,90,6.59
Bruno Varela,J12,GK,Vitória,Europa Conference League,90,3.78
Fran Vieites,J12,GK,Betis,Europa Conference League,90,6.84
David de Gea,J12,GK,Fiorentina,Europa Conference League,90,6.27
Bartłomiej Drągowski,J12,GK,Panathinaikos,Europa Conference League,90,5.41
Kacper Tobiasz,J12,GK,Legia Warsaw,Europa Conference League,90,8.46
Jacob Karlstrom,J12,GK,Molde,Europa Conference League,90,5.25
Kacper Tobiasz,J13,GK,Legia Warsaw,Europa Conference League,90,5.52
Filip Jørgensen,J13,GK,Chelsea,Europa Conference League,90,7.73
Mile Svilar,J23,GK,Roma,Serie A,90,5.23
Alex Meret,J23,GK,Napoli,Serie A,90,5.77
Fran Vieites,J13,GK,Betis,Europa Conference League,90,7.0
Sławomir Abramowicz,J13,GK,Jagiellonia,Europa Conference League,90,5.65
Jacob Rinne,J13,GK,Djurgården,Europa Conference League,90,6.48
Niklas Hedl,J13,GK,Rapid Wien,Europa Conference League,90,8.64
Ricardo Manuel Silva,J13,GK,NK Celje,Europa Conference League,90,4.76
David de Gea,J13,GK,Fiorentina,Europa Conference League,90,6.61
David de Gea,J14,GK,Fiorentina,Europa Conference League,90,5.23
Ricardo Manuel Silva,J14,GK,NK Celje,Europa Conference League,90,5.48
Sławomir Abramowicz,J14,GK,Jagiellonia,Europa Conference League,90,6.82
Fran Vieites,J14,GK,Betis,Europa Conference League,90,6.07
Filip Jørgensen,J14,GK,Chelsea,Europa Conference League,90,5.1
Vladen Kovačević,J14,GK,Legia Warsaw,Europa Conference League,90,7.13
Niklas Hedl,J14,GK,Rapid Wien,Europa Conference League,90,4.55
Jacob Rinne,J14,GK,Djurgården,Europa Conference League,90,6.48
Jacob Rinne,J15,GK,Djurgården,Europa Conference League,90,4.4
Filip Jørgensen,J15,GK,Chelsea,Europa Conference League,90,6.85
Fran Vieites,J15,GK,Betis,Europa Conference League,90,5.23
David de Gea,J15,GK,Fiorentina,Europa Conference League,90,5.87
Filip Jørgensen,J16,GK,Chelsea,Europa Conference League,90,7.81
Jacob Rinne,J16,GK,Djurgården,Europa Conference League,90,6.57
Elia Caprile,J23,GK,Cagliari,Serie A,90,6.09
Ivan Provedel,J23,GK,Lazio,Serie A,90,6.57
