Player,Team,League,Position,General Position,Nationality,Age,Rating,Minutes,Matches,Average Rating
Ange-Yoan Bonny,Inter,"Italian Serie A, UEFA Champions League",AM,Forward,FRA,22,78.4,614,18,4.36
Angel Gomes,Marseille,"French Ligue 1, UEFA Champions League",AM,Forward,ENG,25,70.1,947,17,4.12
Angeliño,Roma,"Italian Serie A, UEFA Europa League",WB,Midfielder,ESP,28,31.0,394,6,5.17
Angelo Stiller,Stuttgart,"German Bundesliga, UEFA Europa League",DM,Midfielder,GER,24,115.2,1670,21,5.49
Angelos Neophytou,AC Omonia,UEFA Europa Conference League,AM,Forward,CYP,20,19.3,273,5,3.86
Anis Hadj Moussa,Feyenoord,UEFA Europa League,RW,Forward,ALG,23,38.6,460,6,6.43
Anouar Ait El Hadj,Union SG,UEFA Champions League,AM,Forward,BEL,23,25.9,367,5,5.18
Ansgar Knauff,Eint Frankfurt,"German Bundesliga, UEFA Champions League",AM,Forward,GER,23,91.9,1176,20,4.6
Ansu Fati,Monaco,"French Ligue 1, UEFA Champions League",AM,Forward,ESP,23,68.3,599,14,4.88
Ante Budimir,Osasuna,Spanish La Liga,AM,Forward,CRO,34,56.4,1299,17,3.32
Ante Jurič,Rijeka,UEFA Europa Conference League,AM,Forward,CRO,23,8.8,101,3,2.93
Ante Majstorović,Rijeka,UEFA Europa Conference League,CB,Defender,CRO,32,14.4,270,3,4.8
Ante Orec,Rijeka,UEFA Europa Conference League,RB,Defender,CRO,24,23.3,390,5,4.66
Ante Palaversa,Aberdeen,UEFA Europa Conference League,CM,Midfielder,CRO,25,9.2,113,3,3.07
Ante Sušak,Zrinjski Mostar,UEFA Europa Conference League,LB,Defender,CRO,19,2.5,5,1,2.5
Ante Ćorić,Ħamrun Spartans FC,UEFA Europa Conference League,CM,Midfielder,CRO,28,18.8,379,6,3.13
Anthony Bermont,Lens,French Ligue 1,WB,Midfielder,FRA,20,18.7,49,5,3.74
Anthony Caci,Mainz 05,German Bundesliga,WB,Midfielder,FRA,28,23.8,310,4,5.95
Anthony Elanga,Newcastle Utd,"English Premier League, UEFA Champions League",RW,Forward,SWE,23,89.0,879,22,4.05
Anthony Gordon,Newcastle Utd,"English Premier League, UEFA Champions League",LW,Forward,ENG,24,120.6,1382,21,5.74
Anthony Jung,Freiburg,"German Bundesliga, UEFA Europa League",CB,Defender,GER,34,32.2,401,8,4.03
Anthony Musaba,Samsunspor,UEFA Europa Conference League,LM,Midfielder,NED,25,30.3,433,6,5.05
Anthony Ralston,Celtic,UEFA Europa League,CB,Defender,SCO,27,14.2,126,3,4.73
Anthony Rouault,Rennes,French Ligue 1,CB,Defender,FRA,24,50.0,855,11,4.55
Antoine Bernede,Hellas Verona,Italian Serie A,CM,Midfielder,FRA,26,79.2,1257,17,4.66
Antoine Griezmann,Atlético Madrid,"Spanish La Liga, UEFA Champions League",AM,Forward,FRA,34,119.0,968,25,4.76
Antoine Makoumbou,Samsunspor,UEFA Europa Conference League,DM,Midfielder,CGO,27,23.4,457,6,3.9
Antoine Mendy,Nice,"French Ligue 1, UEFA Europa League",CB,Defender,SEN,21,101.0,1568,20,5.05
Antoine Semenyo,Bournemouth,English Premier League,LW,Forward,GHA,25,108.2,1709,19,5.69
Anton Gaaei,Ajax,UEFA Champions League,RB,Defender,DEN,23,24.7,313,5,4.94
Anton Hlushchenko,Shakhtar,UEFA Europa Conference League,CM,Midfielder,UKR,21,11.0,55,2,5.5
Anton Kade,Augsburg,German Bundesliga,WB,Midfielder,GER,21,51.2,669,10,5.12
Anton Logi Lúðvíksson,Breiðablik,UEFA Europa Conference League,LM,Midfielder,ISL,22,12.9,211,3,4.3
Anton Nedyalkov,Ludogorets,UEFA Europa League,LB,Defender,BUL,32,22.5,422,5,4.5
Anton Stach,Leeds United,English Premier League,CM,Midfielder,GER,27,91.7,1451,18,5.09
