Player,Team,League,Position,General Position,Nationality,Age,Rating,Minutes,Matches,Average Rating
Oscar Dorley,Slavia Prague,UEFA Champions League,CM,Midfielder,LBR,27,12.8,270,3,4.27
Oscar Fraulo,Gladbach,German Bundesliga,CM,Midfielder,DEN,21,10.2,43,4,2.55
Oscar Gloukh,Ajax,UEFA Champions League,AM,Forward,ISR,21,32.7,324,6,5.45
Oscar Højlund,Eint Frankfurt,"German Bundesliga, UEFA Champions League",DM,Midfielder,DEN,20,32.8,302,11,2.98
Oscar Lewicki,Malmö,UEFA Europa League,CM,Midfielder,SWE,33,11.1,130,4,2.78
Oscar Pettersson,Go Ahead Eag,UEFA Europa League,AM,Forward,SWE,25,4.5,23,1,4.5
Osher Davida,Maccabi Tel Aviv,UEFA Europa League,RW,Forward,ISR,24,22.7,346,6,3.78
Oskar Pietuszewski,Jagiellonia,UEFA Europa Conference League,LW,Forward,POL,17,24.1,502,6,4.02
Oskar Repka,Raków,UEFA Europa Conference League,CM,Midfielder,POL,26,26.8,516,6,4.47
Oskar Siira Sivertsen,Go Ahead Eag,UEFA Europa League,LW,Forward,NOR,21,10.7,49,2,5.35
Otar Kiteishvili,Sturm Graz,UEFA Europa League,AM,Forward,GEO,29,31.1,368,5,6.22
Otavio Ataide,Paris FC,French Ligue 1,CB,Defender,BRA,23,72.6,1208,14,5.19
Otto Rosengren,Malmö,UEFA Europa League,CM,Midfielder,SWE,22,18.2,345,4,4.55
Otto Ruoppi,KuPS,UEFA Europa Conference League,AM,Forward,FIN,19,33.1,540,6,5.52
Otto Stange,Hamburger SV,German Bundesliga,DM,Midfielder,GER,18,1.2,16,1,1.2
Oumar Solet,Udinese,Italian Serie A,CB,Defender,FRA,25,92.6,1515,18,5.14
Ousmane Camara,Angers,French Ligue 1,CB,Defender,FRA,22,66.4,1325,16,4.15
Ousmane Dembélé,Paris S-G,"French Ligue 1, UEFA Champions League",AM,Forward,FRA,28,85.5,469,12,7.12
Ousmane Diao,Midtjylland,UEFA Europa League,CB,Defender,SEN,21,24.7,456,6,4.12
Ousmane Diomande,Sporting CP,UEFA Champions League,CB,Defender,CIV,22,18.2,281,4,4.55
Ousmane Toure,Lille,French Ligue 1,RB,Defender,FRA,20,7.2,51,1,7.2
Oussama El Azzouzi,Auxerre,French Ligue 1,CM,Midfielder,MAR,24,37.5,546,8,4.69
Oussama Targhalline,Feyenoord,UEFA Europa League,CM,Midfielder,MAR,23,25.9,360,5,5.18
Ousseynou Niang,Union SG,UEFA Champions League,WB,Midfielder,SEN,24,26.5,522,6,4.42
Ovie Ejaria,Oviedo,Spanish La Liga,AM,Midfielder,ENG,28,25.0,180,7,3.57
Owen Wijndal,Ajax,UEFA Champions League,LB,Defender,NED,25,20.3,248,4,5.08
Ozan Kabak,Hoffenheim,German Bundesliga,CB,Defender,TUR,25,20.0,189,7,2.86
Oğuz Aydın,Fenerbahçe,UEFA Europa League,LW,Forward,TUR,25,16.9,208,6,2.82
Pa Konate,KuPS,UEFA Europa Conference League,LB,Defender,GUI,31,6.5,20,2,3.25
Pablo Agudín,Oviedo,Spanish La Liga,LM,Forward,ESP,18,8.4,70,4,2.1
Pablo Barrios,Atlético Madrid,"Spanish La Liga, UEFA Champions League",CM,Midfielder,ESP,22,133.1,1871,24,5.55
Pablo Durán,Celta Vigo,"Spanish La Liga, UEFA Europa League",AM,Forward,ESP,24,67.5,948,19,3.55
Pablo Fornals,Betis,"Spanish La Liga, UEFA Europa League",DM,Midfielder,ESP,29,137.1,1691,23,5.96
Pablo Garcia,Betis,"Spanish La Liga, UEFA Europa League",RW,Forward,ESP,19,48.9,369,15,3.26
Pablo Ibáñez,Alavés,Spanish La Liga,CM,Midfielder,ESP,27,83.0,1047,18,4.61
Pablo Maffeo,Mallorca,Spanish La Liga,RB,Defender,ESP,28,75.0,1198,14,5.36
Pablo Martínez,Levante,Spanish La Liga,CM,Midfielder,ESP,27,46.5,670,11,4.23
Pablo Marí,Fiorentina,"Italian Serie A, UEFA Europa Conference League",CB,Defender,ESP,32,63.4,1145,14,4.53
Pablo Marín,Real Sociedad,Spanish La Liga,CM,Midfielder,ESP,22,48.3,686,16,3.02
Pablo Pagis,Lorient,French Ligue 1,AM,Forward,FRA,23,72.9,826,14,5.21
Pablo Rodríguez,Lech Poznań,UEFA Europa Conference League,AM,Forward,ESP,24,21.6,368,5,4.32
Pablo Rosario,"Nice, Porto","French Ligue 1, UEFA Europa League",CM,Midfielder,DOM,28,31.7,568,7,4.53
Pablo Torre,Mallorca,Spanish La Liga,AM,Forward,ESP,22,57.3,651,16,3.58
Paddy Barrett,Shelbourne FC,UEFA Europa Conference League,CB,Defender,IRL,32,23.6,630,7,3.37
Panagiotis Retsos,Olympiacos,UEFA Champions League,CB,Defender,GRE,27,20.0,445,5,4.0
Panayiotis Andreou,AC Omonia,UEFA Europa Conference League,CM,Midfielder,CYP,19,5.8,168,2,2.9
Panos Katseris,Lorient,French Ligue 1,RM,Midfielder,GRE,24,12.0,130,3,4.0
Pantelis Hatzidiakos,FC Copenhagen,UEFA Champions League,CB,Defender,GRE,28,17.3,412,5,3.46
Papa Daniel,NK Celje,UEFA Europa Conference League,CM,Midfielder,NGA,23,18.6,154,4,4.65
Pape Cabral,Monaco,"French Ligue 1, UEFA Champions League",CM,Midfielder,FRA,18,19.0,112,6,3.17
Pape Gueye,Villarreal,"Spanish La Liga, UEFA Champions League",CM,Midfielder,SEN,26,93.2,1293,19,4.91
Pape Matar Sarr,Tottenham,"English Premier League, UEFA Champions League",DM,Midfielder,SEN,23,72.1,1081,20,3.6
Paris Brunner,Monaco,French Ligue 1,AM,Forward,GER,19,12.4,98,4,3.1
Pascal Groß,"Brighton, Dortmund","English Premier League, German Bundesliga, UEFA Champions League",CM,Midfielder,GER,34,68.0,671,15,4.53
Pascal Stenzel,Stuttgart,German Bundesliga,WB,Midfielder,GER,29,7.1,106,2,3.55
Pascal Struijk,Leeds United,English Premier League,CB,Defender,NED,26,81.4,1539,18,4.52
Pasquale Mazzocchi,Napoli,Italian Serie A,AM,Midfielder,ITA,30,6.8,41,3,2.27
Pathé Ciss,Rayo Vallecano,"Spanish La Liga, UEFA Europa Conference League",CM,Midfielder,SEN,31,91.1,1291,19,4.79
Pathé Mboup,Brest,French Ligue 1,LW,Forward,SEN,22,54.0,745,14,3.86
Patric,Lazio,Italian Serie A,CB,Defender,ESP,32,13.4,90,4,3.35
Patrice Čović,Werder Bremen,German Bundesliga,DM,Midfielder,CRO,18,36.2,222,9,4.02
Patrick Berg,Bodø/Glimt,UEFA Champions League,CM,Midfielder,NOR,28,32.5,540,6,5.42
Patrick Cutrone,Parma,Italian Serie A,AM,Forward,ITA,27,41.0,816,13,3.15
Patrick Dorgu,Manchester Utd,English Premier League,WB,Midfielder,DEN,21,82.0,1076,19,4.32
Patrick Mainka,Heidenheim,German Bundesliga,CB,Defender,GER,31,68.4,1350,15,4.56
Patrick Osterhage,Freiburg,"German Bundesliga, UEFA Europa League",DM,Midfielder,GER,25,49.6,906,14,3.54
Patrick Roberts,Sunderland,English Premier League,RM,Midfielder,ENG,28,4.4,28,1,4.4
Patrick Wimmer,Wolfsburg,German Bundesliga,LW,Forward,AUT,24,51.5,785,12,4.29
Patrik Hrošovský,Genk,UEFA Europa League,DM,Midfielder,SVK,33,24.6,487,6,4.1
Patrik Schick,Leverkusen,"German Bundesliga, UEFA Champions League",AM,Forward,CZE,29,58.0,1110,16,3.62
Patrik Vydra,Sparta Prague,UEFA Europa Conference League,CB,Midfielder,CZE,22,18.0,328,5,3.6
Patrizio Masini,Genoa,Italian Serie A,DM,Midfielder,ITA,24,61.5,969,16,3.84
Patryk Makuch,Raków,UEFA Europa Conference League,AM,Forward,POL,26,21.6,315,6,3.6
Pau Cubarsí,Barcelona,"Spanish La Liga, UEFA Champions League",CB,Defender,ESP,18,104.6,1726,21,4.98
Pau Navarro,Villarreal,"Spanish La Liga, UEFA Champions League",RB,Defender,ESP,20,45.1,695,9,5.01
Pau Torres,Aston Villa,"English Premier League, UEFA Europa League",CB,Defender,ESP,28,79.2,1345,17,4.66
Pau Victor,Braga,UEFA Europa League,AM,Forward,ESP,24,23.3,214,5,4.66
Paul Nebel,Mainz 05,"German Bundesliga, UEFA Europa Conference League",AM,Forward,GER,23,79.4,1282,17,4.67
Paul Pogba,Monaco,French Ligue 1,DM,Midfielder,FRA,32,11.7,33,3,3.9
Paul Wanner,PSV Eindhoven,UEFA Champions League,AM,Midfielder,GER,19,13.9,102,4,3.47
Paulinho,Midtjylland,UEFA Europa League,LM,Midfielder,BRA,30,7.1,24,1,7.1
Paulius Golubickas,KuPS,UEFA Europa Conference League,LW,Forward,LTU,26,13.3,106,3,4.43
Paulo Bernardo,Celtic,UEFA Europa League,AM,Midfielder,POR,23,10.7,136,4,2.68
Paulo Dybala,Roma,"Italian Serie A, UEFA Europa League",AM,Forward,ARG,32,96.4,931,16,6.02
Paulo Ricardo,KuPS,UEFA Europa Conference League,CB,Defender,BRA,31,15.8,131,4,3.95
Pavel Kadeřábek,Sparta Prague,UEFA Europa Conference League,RM,Midfielder,CZE,33,18.5,344,4,4.62
Pavel Šulc,Lyon,"French Ligue 1, UEFA Europa League",AM,Forward,CZE,25,94.0,1250,22,4.27
Paweł Wszołek,Legia Warsaw,UEFA Europa Conference League,RB,Defender,POL,33,14.7,360,4,3.68
Pedri,Barcelona,"Spanish La Liga, UEFA Champions League",DM,Midfielder,ESP,23,133.4,1462,19,7.02
Pedrinho,"Ludogorets, Shakhtar","UEFA Europa Conference League, UEFA Europa League",CM,Midfielder,BRA,27,42.0,553,7,6.0
Pedro,Lazio,Italian Serie A,RW,Forward,ESP,38,55.6,434,15,3.71
Pedro Bicalho,Qarabağ,UEFA Champions League,DM,Midfielder,BRA,24,23.2,501,6,3.87
Pedro Bigas,Elche,Spanish La Liga,CB,Defender,ESP,35,68.6,1158,14,4.9
Pedro Bravo,Midtjylland,UEFA Europa League,CM,Midfielder,COL,21,20.8,319,6,3.47
Pedro Chirivella,Panathinaikos,UEFA Europa League,DM,Midfielder,ESP,28,21.0,310,5,4.2
Pedro Díaz,Rayo Vallecano,"Spanish La Liga, UEFA Europa Conference League",AM,Midfielder,ESP,27,74.3,994,19,3.91
Pedro Fernandez,Barcelona,"Spanish La Liga, UEFA Champions League",LW,Forward,ESP,17,13.7,150,5,2.74
Pedro Gonçalves,Sporting CP,UEFA Champions League,LW,Forward,POR,27,22.5,276,4,5.62
Pedro Henrique,Shakhtar,UEFA Europa Conference League,LB,Defender,BRA,23,14.9,197,3,4.97
Pedro Neto,Chelsea,"English Premier League, UEFA Champions League",RW,Forward,POR,25,134.9,1846,24,5.62
Pedro Porro,Tottenham,"English Premier League, UEFA Champions League",RB,Defender,ESP,26,147.1,2114,26,5.66
Pedro Rodrigues,Pafos FC,UEFA Champions League,CM,Midfielder,POR,28,26.2,515,6,4.37
Peer Koopmeiners,AZ Alkmaar,UEFA Europa Conference League,DM,Midfielder,NED,25,35.0,526,6,5.83
Pelayo Fernandez,Rayo Vallecano,Spanish La Liga,CB,Defender,ESP,22,4.0,45,1,4.0
Pep Chavarría,Rayo Vallecano,"Spanish La Liga, UEFA Europa Conference League",LB,Defender,ESP,27,106.6,1642,19,5.61
Pepê,Porto,UEFA Europa League,RW,Forward,BRA,28,34.7,377,6,5.78
Peque,Sevilla,Spanish La Liga,AM,Forward,ESP,23,59.5,573,13,4.58
Pere Milla,Espanyol,Spanish La Liga,AM,Forward,ESP,33,86.8,1142,16,5.43
Pere Pons,AÉK Lárnaka,UEFA Europa Conference League,DM,Midfielder,ESP,32,21.0,413,5,4.2
Pervis Estupiñán,Milan,Italian Serie A,WB,Midfielder,ECU,27,31.4,522,9,3.49
Petar Mamić,Zrinjski Mostar,UEFA Europa Conference League,LB,Defender,CRO,29,24.3,445,5,4.86
Petar Ratkov,RB Salzburg,UEFA Europa League,AM,Forward,SRB,22,21.4,288,6,3.57
Petar Stanic,Ludogorets,UEFA Europa League,AM,Forward,SRB,24,33.7,512,6,5.62
Petar Stojanović,Legia Warsaw,UEFA Europa Conference League,LW,Defender,SVN,30,18.0,304,5,3.6
Petar Sucic,Inter,"Italian Serie A, UEFA Champions League",CM,Midfielder,CRO,22,89.7,964,21,4.27
Peter Olayinka,Red Star,UEFA Europa League,LW,Forward,NGA,29,3.4,11,2,1.7
Peter Pokorny,Slovan Bratislava,UEFA Europa Conference League,CM,Midfielder,SVK,24,10.8,148,3,3.6
Petros Ioannou,AÉK Lárnaka,UEFA Europa Conference League,CB,Defender,CYP,26,2.3,1,1,2.3
Petros Mantalos,AEK Athens,UEFA Europa Conference League,CM,Midfielder,GRE,34,37.4,368,6,6.23
Petter Nosa Dahl,Rapid Wien,UEFA Europa Conference League,LW,Forward,NOR,22,2.6,10,1,2.6
Petteri Pennanen,KuPS,UEFA Europa Conference League,AM,Forward,FIN,35,27.6,403,6,4.6
Pharell Hensel,Wolfsburg,German Bundesliga,CM,Midfielder,GER,18,2.5,3,3,0.83
Phil Foden,Manchester City,"English Premier League, UEFA Champions League",CM,Midfielder,ENG,25,121.5,1879,23,5.28
Philip Billing,Midtjylland,UEFA Europa League,CM,Midfielder,DEN,29,29.2,514,6,4.87
Philip Otele,Basel,UEFA Europa League,LW,Forward,NGA,26,35.9,363,6,5.98
Philipp Lienhart,Freiburg,"German Bundesliga, UEFA Europa League",CB,Defender,AUT,29,78.9,1288,16,4.93
Philipp Sander,Gladbach,German Bundesliga,CB,Midfielder,GER,27,59.5,830,11,5.41
Philipp Treu,Freiburg,"German Bundesliga, UEFA Europa League",RB,Defender,GER,25,64.1,1139,17,3.77
Philippe Koffi,Ħamrun Spartans FC,UEFA Europa Conference League,AM,Forward,CIV,23,30.7,460,6,5.12
Phillip Tietz,Augsburg,German Bundesliga,AM,Forward,GER,28,29.6,197,10,2.96
Phillipp Mwene,Mainz 05,"German Bundesliga, UEFA Europa Conference League",WB,Midfielder,AUT,31,58.7,1184,16,3.67
Pico,"Shamrock Rov, Shamrock Rovers",UEFA Europa Conference League,CB,Defender,CPV,33,23.7,540,6,3.95
Piero Hincapié,"Arsenal, Leverkusen","English Premier League, German Bundesliga, UEFA Champions League",CB,Defender,ECU,23,68.7,1060,15,4.58
Pierre Højbjerg,Marseille,"French Ligue 1, UEFA Champions League",DM,Midfielder,DEN,30,104.0,1691,21,4.95
Pierre Kalulu,Juventus,"Italian Serie A, UEFA Champions League",CB,Defender,FRA,25,106.9,2160,24,4.45
Pierre Lees-Melou,"Brest, Paris FC",French Ligue 1,CM,Midfielder,FRA,32,71.5,1066,13,5.5
Pierre-Emerick Aubameyang,Marseille,"French Ligue 1, UEFA Champions League",AM,Forward,GAB,36,117.6,1531,21,5.6
Pierre-Yves Hamel,Paris FC,French Ligue 1,AM,Forward,FRA,31,0.8,78,2,0.4
Pierrick Capelle,Angers,French Ligue 1,AM,Midfielder,FRA,38,12.6,62,3,4.2
Pietro Comuzzo,Fiorentina,"Italian Serie A, UEFA Europa Conference League",CB,Defender,ITA,20,75.6,1122,17,4.45
Piotr Parzyszek,KuPS,UEFA Europa Conference League,AM,Forward,POL,32,22.8,455,6,3.8
Piotr Zieliński,Inter,"Italian Serie A, UEFA Champions League",CM,Midfielder,POL,31,75.5,1000,20,3.78
Pol Lirola,Marseille,French Ligue 1,RM,Midfielder,ESP,28,7.5,34,3,2.5
Pol Lozano,Espanyol,Spanish La Liga,CM,Midfielder,ESP,26,60.1,1255,18,3.34
Polat Yaldır,Samsunspor,UEFA Europa Conference League,LM,Midfielder,TUR,22,5.3,36,2,2.65
Pontus Almqvist,Parma,Italian Serie A,WB,Forward,SWE,26,32.2,371,8,4.03
Pontus Dahbo,Häcken,UEFA Europa Conference League,CM,Forward,SWE,20,11.8,212,4,2.95
Pontus Jansson,Malmö,UEFA Europa League,CB,Defender,SWE,34,26.2,465,6,4.37
Portu,Girona,Spanish La Liga,AM,Forward,ESP,33,28.2,475,10,2.82
Prince Adu Kwabena,Viktoria Plzeň,UEFA Europa League,AM,Forward,GHA,22,26.6,326,6,4.43
Promise David,Union SG,UEFA Champions League,AM,Forward,CAN,24,23.7,286,6,3.95
Prosper Peter,Angers,French Ligue 1,AM,Forward,NGA,18,46.4,652,15,3.09
Przemysław Frankowski,Rennes,French Ligue 1,WB,Midfielder,POL,30,62.1,903,13,4.78
Péter Baráth,Raków,UEFA Europa Conference League,CM,Midfielder,HUN,23,23.3,238,6,3.88
Quentin Merlin,Rennes,French Ligue 1,WB,Midfielder,FRA,23,80.8,1085,16,5.05
Quentin Ndjantou Mbitcha,Paris S-G,"French Ligue 1, UEFA Champions League",LM,Midfielder,FRA,18,56.9,463,13,4.38
Quilindschy Hartman,Burnley,English Premier League,LB,Defender,NED,24,74.2,1338,15,4.95
Quinten Timber,Feyenoord,UEFA Europa League,DM,Midfielder,NED,24,19.5,240,4,4.88
Rabby Nzingoula,Strasbourg,"French Ligue 1, UEFA Europa Conference League",AM,Forward,FRA,20,26.2,210,7,3.74
Rachid Ghezzal,Lyon,"French Ligue 1, UEFA Europa League",RW,Forward,ALG,33,20.0,168,8,2.5
Raddy Ovouka,KF Drita,UEFA Europa Conference League,LB,Defender,CGO,26,31.2,530,6,5.2
Rade Krunić,Red Star,UEFA Europa League,DM,Midfielder,BIH,32,20.5,350,4,5.12
Radim Breite,Sigma Olomouc,UEFA Europa Conference League,DM,Midfielder,CZE,36,22.3,356,5,4.46
Radovan Pankov,Legia Warsaw,UEFA Europa Conference League,CB,Defender,SRB,30,9.4,180,2,4.7
Radu Drăgușin,Tottenham,English Premier League,CB,Defender,ROU,23,5.0,6,1,5.0
Rafa Marín,Villarreal,"Spanish La Liga, UEFA Champions League",CB,Defender,ESP,23,70.1,1365,16,4.38
Rafa Mir,Elche,Spanish La Liga,AM,Forward,ESP,28,76.3,1309,18,4.24
Rafael Compri,Ħamrun Spartans FC,UEFA Europa Conference League,RB,Defender,BRA,30,27.9,520,6,4.65
Rafael Gonçalves,Strasbourg,"French Ligue 1, UEFA Europa Conference League",CM,Midfielder,POR,20,38.9,508,10,3.89
Rafael Leão,Milan,Italian Serie A,AM,Forward,POR,26,59.2,725,11,5.38
Rafael Muñoz,Red Imps,UEFA Europa Conference League,RB,Defender,ESP,31,11.3,160,3,3.77
Rafał Augustyniak,Legia Warsaw,UEFA Europa Conference League,CM,Midfielder,POL,31,21.4,374,5,4.28
Rafik Belghali,Hellas Verona,Italian Serie A,WB,Midfielder,ALG,23,67.8,1105,15,4.52
Rafik Messali,Toulouse,French Ligue 1,AM,Forward,FRA,22,12.7,196,7,1.81
Rafiu Durosinmi,Viktoria Plzeň,UEFA Europa League,AM,Forward,NGA,22,29.1,491,6,4.85
Ragnar Ache,Köln,German Bundesliga,AM,Forward,GER,27,51.5,539,14,3.68
Rahim Bonkano,Oviedo,Spanish La Liga,LB,Defender,NIG,24,91.4,1234,17,5.38
Rahim Ibrahim,Slovan Bratislava,UEFA Europa Conference League,CM,Midfielder,GHA,24,21.2,292,5,4.24
Ramon Hendriks,Stuttgart,"German Bundesliga, UEFA Europa League",CB,Defender,NED,24,73.5,1064,18,4.08
Ramy Bensebaini,Dortmund,"German Bundesliga, UEFA Champions League",CB,Defender,ALG,30,76.8,1276,16,4.8
Ramón Martínez,Sevilla,Spanish La Liga,CB,Defender,ESP,22,6.8,101,2,3.4
Ramón Terrats,Espanyol,Spanish La Liga,AM,Forward,ESP,25,23.9,264,11,2.17
Randal Kolo Muani,Tottenham,"English Premier League, UEFA Champions League",AM,Forward,FRA,27,73.3,982,18,4.07
Randy Nteka,Rayo Vallecano,Spanish La Liga,AM,Forward,ANG,28,9.1,41,4,2.28
Rani Khedira,Union Berlin,German Bundesliga,CM,Midfielder,GER,31,49.2,1242,14,3.51
Ransford Königsdörffer,Hamburger SV,German Bundesliga,AM,Forward,GHA,24,62.8,1019,15,4.19
Raoul Bellanova,Atalanta,"Italian Serie A, UEFA Champions League",WB,Midfielder,ITA,25,73.1,1273,18,4.06
Raphael Le Guen,Brest,French Ligue 1,CB,Defender,FRA,18,1.1,5,1,1.1
Raphael Onyedika,Club Brugge,UEFA Champions League,DM,Midfielder,NGA,24,18.7,326,4,4.68
Raphaël Guerreiro,Bayern Munich,"German Bundesliga, UEFA Champions League",AM,Forward,POR,31,55.4,570,13,4.26
Raphinha,Barcelona,"Spanish La Liga, UEFA Champions League",AM,Forward,BRA,29,96.5,947,15,6.43
Rasmus Højlund,Napoli,"Italian Serie A, UEFA Champions League",AM,Forward,DEN,22,78.2,1428,18,4.34
Rasmus Kristensen,Eint Frankfurt,"German Bundesliga, UEFA Champions League",RB,Defender,DEN,28,84.2,1113,15,5.61
Rasmus Nicolaisen,Toulouse,French Ligue 1,CB,Defender,DEN,28,63.1,1252,17,3.71
Rassoul Ndiaye,Le Havre,French Ligue 1,CM,Midfielder,SEN,24,79.0,1173,17,4.65
Raul Florucz,Union SG,UEFA Champions League,AM,Forward,AUT,24,13.7,163,3,4.57
Rav van den Berg,Köln,German Bundesliga,CB,Defender,NED,21,26.0,500,6,4.33
Rayan Aït-Nouri,Manchester City,"English Premier League, UEFA Champions League",LB,Defender,ALG,24,29.6,254,7,4.23
Rayan Cherki,Manchester City,"English Premier League, UEFA Champions League",AM,Forward,FRA,22,115.2,935,19,6.06
Rayan Fofana,Lens,French Ligue 1,AM,Forward,FRA,19,49.3,506,14,3.52
Rayan Philippe,Hamburger SV,German Bundesliga,RW,Forward,FRA,25,69.9,920,15,4.66
Rayan Raveloson,Young Boys,UEFA Europa League,CM,Midfielder,MAD,28,22.3,426,6,3.72
Rayane Bounida,Ajax,UEFA Champions League,LW,Forward,BEL,19,12.9,93,2,6.45
Raz Shlomo,Maccabi Tel Aviv,UEFA Europa League,CB,Defender,ISR,26,21.3,388,5,4.26
Raúl,Osasuna,Spanish La Liga,AM,Forward,ESP,25,62.8,605,17,3.69
Raúl Albiol,Pisa,Italian Serie A,CB,Defender,ESP,40,28.6,365,6,4.77
Raúl Asencio,Real Madrid,"Spanish La Liga, UEFA Champions League",CB,Defender,ESP,22,76.0,1199,18,4.22
Raúl Jiménez,Fulham,English Premier League,AM,Forward,MEX,34,66.2,1222,19,3.48
Raúl Moro,Ajax,UEFA Champions League,LW,Forward,ESP,23,18.2,195,5,3.64
Reda Belahyane,Lazio,Italian Serie A,LM,Midfielder,MAR,21,27.4,292,7,3.91
Reda Khadra,Le Havre,French Ligue 1,AM,Forward,GER,24,25.3,204,6,4.22
Reece James,Chelsea,"English Premier League, UEFA Champions League",DM,Defender,ENG,26,117.3,1677,24,4.89
Reggie Walsh,Chelsea,UEFA Champions League,DM,Midfielder,ENG,17,5.4,25,1,5.4
Reinildo Mandava,Sunderland,English Premier League,LB,Defender,MOZ,31,60.8,1022,12,5.07
Reiss Nelson,Brentford,English Premier League,LW,Forward,ENG,26,14.9,46,5,2.98
Remo Freuler,Bologna,"Italian Serie A, UEFA Europa League",DM,Midfielder,SUI,33,54.9,966,13,4.22
Renato Sanches,Panathinaikos,UEFA Europa League,DM,Midfielder,POR,28,5.7,76,1,5.7
Renato Veiga,Villarreal,"Spanish La Liga, UEFA Champions League",CB,Defender,POR,22,76.6,1553,20,3.83
Reo Hatate,Celtic,UEFA Europa League,AM,Forward,JPN,28,32.4,361,6,5.4
Reshat Ramadani,Shkëndija 79,UEFA Europa Conference League,DM,Midfielder,MKD,22,30.9,530,7,4.41
Rhodri Smith,Young Boys,UEFA Europa League,LW,Forward,SUI,19,0.3,15,1,0.3
Riad Bajić,AÉK Lárnaka,UEFA Europa Conference League,AM,Forward,BIH,31,20.8,435,6,3.47
Ricardinho,Qaırat Almaty,UEFA Champions League,AM,Forward,BRA,24,10.6,100,6,1.77
Ricardo Horta,Braga,UEFA Europa League,AM,Forward,POR,31,37.8,484,6,6.3
Ricardo Mangas,Sporting CP,UEFA Champions League,LM,Midfielder,POR,27,2.2,25,1,2.2
Ricardo Pepi,PSV Eindhoven,UEFA Champions League,AM,Forward,USA,22,25.2,152,5,5.04
Ricardo Rodríguez,Betis,"Spanish La Liga, UEFA Europa League",LB,Defender,SUI,33,64.2,1026,16,4.01
Riccardo Calafiori,Arsenal,"English Premier League, UEFA Champions League",LB,Defender,ITA,23,100.2,1396,19,5.27
Riccardo Orsolini,Bologna,"Italian Serie A, UEFA Europa League",RW,Forward,ITA,28,120.6,1431,23,5.24
Riccardo Sottil,Lecce,Italian Serie A,LW,Forward,ITA,26,48.7,543,11,4.43
Richard Ríos,Benfica,UEFA Champions League,DM,Midfielder,COL,25,27.0,514,6,4.5
Richarlison,Tottenham,"English Premier League, UEFA Champions League",AM,Forward,BRA,28,93.7,1670,26,3.6
Richonell Margaret,Go Ahead Eag,UEFA Europa League,LM,Forward,SUR,25,17.6,265,4,4.4
Rick van Drongelen,Samsunspor,UEFA Europa Conference League,CB,Defender,NED,26,32.4,540,6,5.4
Ricky Jade-Jones,St. Pauli,German Bundesliga,AM,Forward,ENG,24,7.0,70,3,2.33
Rico Henry,Brentford,English Premier League,LB,Defender,ENG,28,57.4,630,16,3.59
Rico Lewis,Manchester City,"English Premier League, UEFA Champions League",RB,Defender,ENG,21,39.7,336,11,3.61
Ridle Baku,RB Leipzig,German Bundesliga,RB,Defender,GER,27,84.7,1084,13,6.52
Rio Cardines,Crystal Palace,UEFA Europa Conference League,RM,Midfielder,TRI,19,2.0,3,1,2.0
Rio Ngumoha,Liverpool,"English Premier League, UEFA Champions League",LW,Forward,ENG,17,22.7,69,7,3.24
Risto Radunović,FCSB,UEFA Europa League,LB,Defender,MNE,33,25.6,405,5,5.12
Ritsu Doan,Eint Frankfurt,"German Bundesliga, UEFA Champions League",RW,Forward,JPN,27,114.3,1613,20,5.72
Riyad Idrissi,Cagliari,Italian Serie A,LB,Defender,ITA,20,53.6,517,14,3.83
Ro-Zangelo Daal,AZ Alkmaar,UEFA Europa Conference League,LW,Forward,NED,21,18.5,90,4,4.62
Rob Schoofs,Union SG,UEFA Champions League,AM,Midfielder,BEL,31,13.8,152,5,2.76
Robbin Weijenberg,Go Ahead Eag,UEFA Europa League,CB,Defender,NED,20,7.1,9,2,3.55
Robert,FC Copenhagen,UEFA Champions League,LM,Midfielder,BRA,20,18.6,195,5,3.72
Robert Andrich,Leverkusen,"German Bundesliga, UEFA Champions League",CB,Defender,GER,31,69.4,1255,17,4.08
Robert Glatzel,Hamburger SV,German Bundesliga,AM,Forward,GER,31,23.4,119,9,2.6
Robert Gumny,Lech Poznań,UEFA Europa Conference League,RB,Defender,POL,27,17.7,89,4,4.42
Robert Lewandowski,Barcelona,"Spanish La Liga, UEFA Champions League",AM,Forward,POL,37,78.5,945,19,4.13
Robert Ljubicic,AEK Athens,UEFA Europa Conference League,DM,Midfielder,AUT,26,5.0,23,1,5.0
Robert Skov,Union Berlin,German Bundesliga,LB,Defender,DEN,29,16.2,220,3,5.4
Roberto Férnandez,Espanyol,Spanish La Liga,AM,Forward,ESP,23,66.0,1287,18,3.67
Roberto Gagliardini,Hellas Verona,Italian Serie A,CM,Midfielder,ITA,31,54.3,842,12,4.52
Roberto Navarro,Athletic Club,"Spanish La Liga, UEFA Champions League",LW,Forward,ESP,23,90.1,905,20,4.5
Roberto Pereyra,AEK Athens,UEFA Europa Conference League,LM,Midfielder,ARG,34,15.0,220,4,3.75
Roberto Piccoli,Fiorentina,"Italian Serie A, UEFA Europa Conference League",AM,Forward,ITA,24,69.2,1005,19,3.64
Robin Fellhauer,Augsburg,German Bundesliga,WB,Midfielder,GER,27,61.2,1208,15,4.08
Robin Gosens,Fiorentina,"Italian Serie A, UEFA Europa Conference League",WB,Midfielder,GER,31,44.2,822,12,3.68
