Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
Adalberto Carrasquilla,pa PAN,MO,Houston Dynamo,25,1998,28,26,2294,59,79,51,40
Adam Armstrong,eng ENG,MO,Southampton,26,1997,46,44,3745,67,60,52,34
Adam Bareiro,py PAR,FW,San Lorenzo,27,1996,24,12,1218,30,51,45,56
Adam Beaudry,us USA,GK,Colorado Rapids,17,2006,1,1,90,39,35,43,52
Adam Forshaw,eng ENG,MO,Norwich City,31,1991,19,10,834,20,59,14,70
Adam Idah,ie IRL,FW,Norwich City,22,2001,28,12,1279,51,44,47,45
Adam Mayor,eng ENG,MO,Millwall,18,2005,4,0,52,46,65,74,53
Adam Randell,eng ENG,MF,Plymouth Argyle,22,2000,45,30,2760,69,54,45,52
Adam Reach,eng ENG,MF,West Brom,30,1993,17,5,639,32,54,61,63
Adam Wharton,eng ENG,MF,Blackburn,19,2004,26,22,1957,72,83,56,61
Adama Traoré,ml MLI,MO,Hull City,28,1995,24,14,1071,43,56,43,53
Adem Zorgane,dz ALG,MF,Charleroi,23,2000,23,20,1841,81,93,85,59
Ademir Santos,br BRA,MO,Bahia,28,1995,31,10,1131,66,61,86,67
Aderlan Santos,br BRA,DF,Rio Ave,34,1989,32,32,2847,63,31,20,75
Adi Nalic,ba BIH,MO,Almere City,25,1997,7,2,213,80,30,58,29
Adil Aouchiche,fr FRA,MO,Sunderland,21,2002,28,10,1102,61,83,68,64
Adilson Malanda,fr FRA,DF,Charlotte,22,2001,32,32,2880,41,37,32,41
Adonis Frías,ar ARG,MF,León,25,1998,31,30,2721,29,44,43,61
Adonis Preciado,ec ECU,MO,ec Barcelona,26,1997,5,3,272,36,40,48,80
Adrian Benedyczak,pl POL,FW,Parma,22,2000,31,23,1828,54,66,56,72
Adrian Bernabe,es ESP,MF,Parma,22,2001,35,28,2588,91,87,79,38
Adrian Blake,eng ENG,MO,Utrecht,18,2005,5,0,30,95,96,88,6
Adrian Jusino,bo BOL,DF,bo The Strongest,31,1992,8,8,720,28,30,37,32
Adrian Mazilu,ro ROU,FW,Vitesse,17,2005,3,0,24,56,30,53,11
Adrian Šemper,hr CRO,GK,Como,25,1998,38,38,3398,54,56,43,45
Adriano Bertaccini,be BEL,MO,Sint-Truiden,22,2000,3,0,39,49,12,96,23
Adriano Martins,br BRA,DF,Atl Goianiense,26,1997,34,34,2990,32,41,43,52
Adriel,br BRA,GK,Bahia,23,2001,4,3,334,39,51,73,53
Adrien Silva,pt POR,MF,Rio Ave,34,1989,10,3,338,36,64,43,53
Adrien Trebel,fr FRA,MF,Charleroi,32,1991,5,0,105,43,70,47,72
Adrián Aldrete,mx MEX,DF,UNAM,35,1988,29,19,1741,50,81,45,56
Adrián Arregui,ar ARG,MF,pe Alianza Lima,31,1992,4,2,202,74,36,15,52
Adrián Balboa,uy URU,FW,Unión,30,1994,26,25,2104,42,48,45,72
Adrián Butzke,es ESP,FW,Vitória,24,1999,17,3,369,17,36,39,69
Adrián Fernández,ar ARG,FW,uy Peñarol,22,2001,1,0,15,36,56,83,79
Adrián Guillermo Sánchez,ar ARG,MF,Atlé Tucumán,24,1999,26,26,2238,32,54,48,75
Adrián Martínez,ar ARG,FW,Racing Club,31,1992,20,17,1430,52,42,23,51
Adrián Marín,es ESP,DF,Braga,26,1997,8,3,322,43,72,86,56
Adrián Mora,mx MEX,DF,Toluca,25,1997,6,2,214,31,27,13,25
Adrián Sporle,ar ARG,DF,Independiente,28,1995,15,12,1093,54,72,88,61
Adryelson,br BRA,DF,Botafogo (RJ),25,1998,10,8,821,70,30,16,41
Adson,br BRA,FW,Vasco da Gama,23,2000,20,14,1224,62,85,76,75
Afonso Bastardo,pt POR,MF,Sporting CP,18,2005,5,0,67,67,66,88,69
Afonso Freitas,pt POR,MF,Vitória,23,2000,13,11,726,31,36,46,56
Afonso Rodrigues,pt POR,MO,Famalicão,20,2002,8,1,236,62,13,35,47
Agustin Ojeda,ar ARG,FW,NYCFC,19,2004,22,11,925,57,71,85,71
Agustin Quiroga,ar ARG,DF,Platense,21,2002,4,3,252,54,67,72,46
Agustín Almendra,ar ARG,MF,Racing Club,23,2000,19,16,1219,77,74,52,68
Agustín Baldi,ar ARG,DF,Belgrano,21,2002,9,7,522,33,47,49,34
Agustín Bolívar,ar ARG,MF,Gimnasia–LP,28,1996,7,2,211,31,33,17,68
Agustín Bouzat,ar ARG,MF,Vélez Sarsfield,29,1994,25,25,2139,27,41,42,70
Agustín Canobbio,uy URU,MO,Ath Paranaense,25,1998,20,14,1215,68,64,74,65
Agustín Cardozo,ar ARG,MF,Tigre,26,1997,24,24,2148,39,50,47,48
Agustín Cayetano,uy URU,DF,uy Liverpool,24,1999,6,6,518,47,59,53,66
Agustín Fontana,ar ARG,FW,Sarmiento,27,1996,3,3,223,46,23,18,57
Agustín García Basso,ar ARG,DF,Racing Club,31,1992,11,10,835,73,57,46,30
Agustín Giay,ar ARG,DF,Palmeiras,20,2004,20,18,1542,70,62,76,48
Agustín González Pereira,uy URU,MF,uy Liverpool,27,1997,5,1,123,88,62,60,58
Agustín Irazoque,ar ARG,DF,Barracas Central,24,1999,1,0,6,28,10,8,17
Agustín Juárez,ar ARG,MO,Newell's OB,18,2005,4,0,51,60,7,17,28
Agustín Lagos,ar ARG,DF,Atlé Tucumán,22,2001,12,6,554,89,69,74,81
Agustín Marchesín,ar ARG,GK,Grêmio,35,1988,36,36,3225,44,45,64,55
Agustín Martegani,ar ARG,MF,Boca Juniors,23,2000,8,4,342,46,43,68,78
Agustín Morales,ar ARG,MO,Cen. Córdoba–SdE,24,1999,6,0,81,25,29,89,6
Agustín Mulet,ar ARG,MF,Ind. Rivadavia,23,2000,11,3,315,32,27,8,84
Agustín Módica,ar ARG,FW,Rosario Central,21,2003,14,10,832,62,37,37,59
Agustín Obando,ar ARG,MO,Banfield,23,2000,6,2,257,33,57,37,88
Agustín Oliveros,uy URU,DF,Necaxa,24,1998,23,21,1866,36,52,33,37
Agustín Palavecino,ar ARG,MF,River Plate,27,1996,3,0,34,53,86,73,56
Agustín Rodríguez,ar ARG,MO,Lanús,19,2004,7,3,193,55,45,45,66
Agustín Rogel,uy URU,DF,Internacional,26,1997,15,13,1055,32,39,21,35
Agustín Rossi,ar ARG,GK,Flamengo,28,1995,45,45,4050,61,62,68,69
Agustín Ruberto,ar ARG,MO,River Plate,18,2006,9,0,178,27,12,20,49
Agustín Sant'Anna,uy URU,DF,River Plate,26,1997,7,6,524,59,93,92,72
Agustín Sández,py PAR,DF,Rosario Central,23,2001,23,22,1932,69,55,68,72
Agustín Toledo,ar ARG,MF,Huracán,23,2000,6,2,184,33,20,14,73
Agustín Urzi,ar ARG,MO,FC Juárez,23,2000,24,9,953,53,55,60,55
Agustín Villalobos,ar ARG,MF,Godoy Cruz,20,2003,2,0,26,32,30,30,42
Agustín Álvarez,uy URU,MO,Sampdoria,22,2001,14,9,772,35,32,26,34
Ahmad Benali,ly LBY,MF,Bari,31,1992,31,24,2185,52,53,42,73
Ahmed Abdullahi,ng NGA,FW,Gent,19,2004,1,0,29,38,57,38,15
Ahmetcan Kaplan,tr TUR,DF,Ajax,20,2003,11,10,944,34,68,53,66
Aidan Dausch,eng ENG,MO,Coventry City,17,2006,2,0,6,11,11,34,6
Aidan Morris,us USA,MF,Columbus Crew,22,2001,16,15,1274,71,71,69,74
Aidan O'Connor,us USA,DF,NY Red Bulls,22,2001,2,0,19,42,10,29,45
Aiden O'Neill,au AUS,MF,Standard Liège,25,1998,23,16,1503,55,42,58,68
Aidomo Emakhu,ie IRL,MO,Millwall,19,2003,21,6,663,51,25,58,64
Aimar Govea,ec ECU,MO,Swansea City,17,2006,5,0,73,30,42,93,9
Aimé Mabika,zm ZAM,DF,Toronto FC,25,1998,12,3,464,29,29,33,45
Aitor García,es ESP,MO,FC Juárez,29,1994,32,30,2353,65,39,72,43
Ajani Fortune,tt TRI,MO,Atlanta Utd,21,2002,27,13,1307,37,56,27,72
Ajay Matthews,eng ENG,FW,Middlesbrough,17,2006,2,0,13,23,16,7,15
Ajdin Hrustic,au AUS,MO,Heracles Almelo,27,1996,14,14,1165,37,62,26,43
Ajibola Alese,eng ENG,DF,Sunderland,22,2001,8,5,462,59,60,66,67
Akil Watts,us USA,MF,St. Louis,23,2000,17,9,966,33,44,59,75
Akim Djibril,it ITA,MF,Cittadella,17,2006,1,0,18,49,12,18,22
Akin Famewo,eng ENG,DF,Sheffield Weds,24,1998,35,30,2630,27,36,56,69
Akpa Chukwu Hemsley,be BEL,MO,Bari,18,2005,2,0,31,55,6,8,22
Alan,br BRA,MF,Moreirense,23,2000,33,29,2454,68,76,73,29
Alan Aguerre,ar ARG,GK,Lanús,33,1990,10,10,900,46,52,59,51
Alan Barrionuevo,ar ARG,DF,Deportivo Riestra,27,1997,25,24,2156,71,40,31,52
Alan Benítez,py PAR,DF,py Cerro Porteño,30,1994,5,5,449,54,70,55,52
Alan Browne,ie IRL,MF,Preston,28,1995,41,36,3165,72,66,57,67
Alan Cantero,ar ARG,MF,Barracas Central,25,1998,16,10,850,57,34,54,29
Alan Cervantes,mx MEX,MF,Santos,25,1998,34,32,2655,29,47,44,34
Alan Empereur,br BRA,DF,Cuiabá,29,1994,30,30,2548,36,57,44,29
Alan Franco,ec ECU,MF,Atlético Mineiro,25,1998,69,62,5512,25,42,27,40
Alan Kardec,br BRA,FW,Atlético Mineiro,35,1989,20,3,450,29,50,22,72
Alan Lescano,ar ARG,MO,Arg Juniors,22,2001,25,22,1880,56,70,36,56
Alan Medina,mx MEX,MO,Mazatlán,25,1997,38,23,1994,47,64,64,65
Alan Minda,ec ECU,MO,Cercle Brugge,20,2003,28,18,1509,76,52,57,31
Alan Mozo,mx MEX,DF,Guadalajara,26,1997,31,29,2663,51,75,86,54
Alan Patrick,br BRA,MO,Internacional,32,1991,23,20,1777,77,89,55,40
Alan Pulido,mx MEX,MO,Sporting KC,32,1991,31,22,1953,64,47,28,24
Alan Rodríguez,py PAR,MF,Rosario Central,23,2000,26,23,2005,60,49,62,52
Alan Ruschel,br BRA,DF,Juventude,34,1989,28,25,2243,71,74,70,59
Alan Saldivia,uy URU,DF,cl Colo-Colo,21,2002,8,8,675,30,52,59,38
Alan Sosa,ar ARG,GK,Tigre,27,1996,3,2,236,39,44,43,46
Alan Soñora,us USA,MO,Huracán,25,1998,7,4,313,67,71,42,41
Alan Torres,mx MEX,MF,Guadalajara,23,2000,8,1,228,49,62,36,36
Alan Varela,ar ARG,MF,Porto,22,2001,30,28,2225,65,79,47,39
Alan Velasco,ar ARG,MO,FC Dallas,21,2002,8,5,370,65,39,52,49
Alan Zubiri,mx MEX,DF,Cruz Azul,22,2001,1,1,90,28,16,18,64
Albert Adomah,gh GHA,MF,QPR,35,1987,16,2,370,32,42,57,63
Albert Eames,eng ENG,DF,Watford,17,2005,1,0,1,28,15,8,56
Albert Rusnák,sk SVK,MF,Seattle Sounders,29,1994,32,28,2530,90,86,65,18
Alberto Cerri,it ITA,FW,Como,27,1996,5,2,176,77,66,46,63
Alberto García Jr.,mx MEX,MO,Querétaro,29,1993,6,0,20,54,65,89,29
Alberto Herrera,mx MEX,MF,Puebla,22,2001,10,9,741,78,54,42,65
Alberto Ocejo,mx MEX,FW,Santos,25,1998,12,4,456,23,54,40,62
Alberto Soro,es ESP,MO,Vizela,24,1999,21,9,903,62,56,45,61
Alberto costa,pt POR,DF,Vitória,19,2003,1,0,15,28,15,70,3
Albin Ekdal,se SWE,MF,Spezia,34,1989,9,3,332,35,57,50,60
Aldahir Perez,mx MEX,DF,Querétaro,18,2004,1,0,2,28,27,60,3
Aldair Fuentes,pe PER,MF,pe Alianza Lima,26,1998,3,0,6,58,9,7,38
Aldo Corzo,pe PER,DF,pe Universitario,34,1989,6,6,495,56,29,27,53
Aldo Cruz,mx MEX,DF,FC Juárez,25,1997,21,16,1349,77,61,64,22
Aldo Florenzi,it ITA,MO,Cosenza,21,2002,28,11,1070,27,42,33,63
Aldo López,mx MEX,MF,Santos,23,2000,28,15,1456,44,42,34,52
Aldo Rocha,mx MEX,MF,Atlas,30,1992,29,27,2357,64,57,37,29
Alec Kann,us USA,GK,FC Cincinnati,33,1990,3,3,270,39,38,43,36
Alec Smir,us USA,GK,Minnesota Utd,24,1999,3,3,270,39,40,43,37
Alec Van Hoorenbeeck,be BEL,DF,Twente,24,1998,19,3,566,37,45,39,40
Alejandro Andrade,mx MEX,MF,Necaxa,21,2001,20,9,830,62,23,35,71
Alejandro Araque,ve VEN,GK,ve Dep Táchira,28,1995,2,2,180,39,46,55,32
Alejandro Bedoya,us USA,MF,Philadelphia Union,36,1987,30,13,1455,79,68,54,56
Alejandro Blanco,es ESP,MF,Reggiana,24,1998,9,1,299,49,32,77,22
Alejandro Bran,cr CRC,MF,Minnesota Utd,22,2001,11,6,430,59,40,37,39
Alejandro Gómez,mx MEX,DF,Tijuana,21,2002,8,7,595,47,67,53,66
Alejandro Maciel,ar ARG,DF,Banfield,26,1997,17,15,1371,61,27,26,70
Alejandro Marqués,ve VEN,FW,Estoril,22,2000,31,13,1361,58,36,20,51
Alejandro Martínez,ar ARG,MO,Tijuana,26,1997,36,25,2184,60,52,70,46
Alejandro Mayorga,mx MEX,DF,Necaxa,26,1997,15,10,822,50,55,80,60
Alejandro Rébola,ar ARG,DF,Belgrano,35,1988,18,17,1453,31,45,28,49
Alejandro Santander,cl CHI,GK,cl Cobresal,21,2002,1,1,90,39,55,62,32
Alejandro Silva González,uy URU,MF,py Libertad,34,1989,1,1,90,60,36,74,27
Alejandro Zendejas,us USA,MO,América,25,1998,30,20,1768,79,78,70,70
Alejo Cruz,uy URU,MO,Atl Goianiense,23,2000,36,22,2156,48,76,60,67
Alejo Sarco,ar ARG,MO,Vélez Sarsfield,18,2006,4,0,85,14,10,7,6
Alek Álvarez,mx MEX,DF,Necaxa,20,2003,1,0,7,66,57,69,61
Aleksandar Busnić,rs SRB,MO,Vizela,25,1997,19,8,767,15,34,12,82
Aleksandar Radovanović,rs SRB,DF,Kortrijk,29,1993,11,11,985,24,26,22,85
Aleksei Miranchuk,ru RUS,MO,Atlanta Utd,28,1995,9,8,748,70,83,58,25
Alemão,br BRA,DF,Portimonense,20,2002,27,27,2367,65,27,27,64
Alen Halilović,hr CRO,MO,Fortuna Sittard,27,1996,31,25,2096,53,70,36,37
Alenis Vargas,hn HON,FW,Sporting KC,20,2003,20,8,633,68,62,79,59
Alerrandro,br BRA,FW,Vitória,24,2000,34,32,2387,68,61,27,62
Alessandro Arena,it ITA,MO,Pisa,22,2000,25,18,1534,57,62,63,44
Alessandro Arioli,it ITA,FW,Cosenza,20,2003,4,2,175,57,24,42,63
Alessandro Bellemo,it ITA,MF,Como,27,1995,36,33,2785,51,42,28,39
Alessandro Bianco,it ITA,MF,Reggiana,20,2002,35,35,3011,69,69,66,40
Alessandro Bianconi,it ITA,DF,Calcio Lecco 1912,24,1999,23,22,1917,51,21,31,31
Alessandro Biello,ca CAN,MF,CF Montréal,17,2006,2,0,16,50,28,7,71
Alessandro Caporale,it ITA,DF,Calcio Lecco 1912,27,1995,30,30,2624,64,74,69,34
Alessandro Celli,it ITA,DF,Ternana,29,1994,16,9,829,75,58,66,40
Alessandro Circati,au AUS,DF,Parma,19,2003,29,28,2527,48,21,28,35
Alessandro De Vitis,it ITA,MF,Pisa,31,1992,4,1,100,35,46,13,34
Alessandro Fontanarosa,it ITA,DF,Cosenza,20,2003,21,11,1074,35,50,51,70
Alessandro Gabrielloni,it ITA,MO,Como,29,1994,37,23,1949,70,51,28,39
Alessandro Mallamo,it ITA,MF,Südtirol,24,1999,10,3,383,45,36,62,58
Alessandro Marcandalli,it ITA,DF,Reggiana,20,2002,35,35,2913,54,41,35,52
Alessandro Micai,it ITA,GK,Cosenza,30,1993,37,37,3296,54,59,72,46
Alessandro Pietrelli,it ITA,MO,FeralpiSalò,20,2003,15,0,157,81,36,87,94
Alessandro Pilati,it ITA,DF,FeralpiSalò,23,2000,21,16,1494,29,36,32,60
Alessandro Riccio,it ITA,DF,Modena,21,2002,24,17,1597,30,33,53,49
Alessandro Salvi,it ITA,DF,Cittadella,35,1988,29,28,2419,66,68,58,60
Alessandro Schöpf,at AUT,MF,Vancouver W'caps,29,1994,30,23,1938,60,66,73,32
Alessandro Sersanti,it ITA,MF,Calcio Lecco 1912,21,2002,33,25,2256,53,35,30,82
Alessandro Tuia,it ITA,DF,Cremonese,33,1990,4,1,152,44,63,44,89
Alessio Buttaro,it ITA,MF,Palermo,20,2002,10,4,476,55,45,67,37
Alessio Castro-Montes,be BEL,DF,Gent,26,1997,25,23,1940,91,85,90,71
Alessio Iovine,it ITA,DF,Como,32,1991,26,18,1542,56,78,70,54
Alessio Rizza,it ITA,DF,Cittadella,20,2003,9,7,499,45,62,81,36
Alessio Vita,it ITA,MF,Cittadella,30,1993,35,33,2963,81,69,63,33
Alessio da Cruz,cv CPV,MO,Fortuna Sittard,26,1997,16,3,415,55,46,37,41
Alex Arce,py PAR,FW,ec LDU de Quito,28,1995,6,6,510,56,50,35,64
Alex Bangura,sl SLE,DF,Middlesbrough,24,1999,14,6,585,91,55,95,26
Alex Bono,us USA,GK,D.C. United,29,1994,29,29,2610,54,67,60,59
Alex Ferrari,it ITA,DF,Sampdoria,29,1994,3,3,239,34,33,21,44
Alex Freeman,us USA,MF,Orlando City,19,2004,2,0,10,58,43,45,22
Alex Juárez,ar ARG,MO,Barracas Central,19,2004,8,2,248,30,48,44,56
Alex Luna,ar ARG,MO,Independiente,19,2004,16,8,648,47,43,50,64
Alex Matos,eng ENG,MF,Huddersfield,18,2004,19,15,1278,58,25,33,72
Alex McCarthy,eng ENG,GK,Southampton,33,1989,5,5,450,39,41,43,43
Alex Mendez,us USA,MO,Vizela,22,2000,12,3,373,37,86,41,57
Alex Mighten,eng ENG,MF,Kortrijk,21,2002,10,2,244,47,43,80,21
Alex Moreno,co COL,DF,co Millonarios,22,2002,2,2,180,28,39,37,67
Alex Mowatt,eng ENG,MF,West Brom,28,1995,43,35,3247,58,80,53,45
Alex Muyl,us USA,MO,Nashville SC,28,1995,34,27,2302,47,45,28,66
Alex Palmer,eng ENG,GK,West Brom,26,1996,46,46,4140,58,58,63,46
Alex Pritchard,eng ENG,MO,Sunderland,30,1993,32,12,1461,48,87,54,47
Alex Rangel,ec ECU,DF,ec Barcelona,21,2002,3,3,269,35,26,29,67
Alex Roldan,sv SLV,DF,Seattle Sounders,27,1996,29,27,2284,65,72,82,50
Alex Sandro,br BRA,DF,Flamengo,33,1991,10,7,645,59,95,92,46
Alex Santana,br BRA,MO,Ath Paranaense,28,1995,16,6,670,18,37,25,70
Alex Teixeira,br BRA,MO,Vasco da Gama,34,1990,7,2,238,56,53,50,55
Alex Telles,br BRA,MF,Botafogo (RJ),31,1992,16,13,1031,61,62,63,48
Alex Vigo,ar ARG,DF,Talleres,24,1999,8,5,461,50,66,67,67
Alexander Alvarado,ec ECU,MF,ec LDU de Quito,24,1999,3,0,33,65,86,99,24
Alexander Aravena,cl CHI,MO,Grêmio,21,2002,16,11,770,53,46,58,38
Alexander Bah,dk DEN,DF,Benfica,25,1997,19,18,1517,85,84,82,77
Alexander Barboza,ar ARG,DF,Botafogo (RJ),28,1995,37,32,2875,53,59,42,56
Alexander Bolaños,ec ECU,MO,ec Independiente,24,1999,3,0,88,20,20,82,9
Alexander Domínguez,ec ECU,GK,ec LDU de Quito,36,1987,6,6,540,50,43,43,33
Alexander Díaz,ar ARG,MO,Deportivo Riestra,24,2000,15,3,510,61,29,65,80
Alexander Gilbert,ie IRL,MO,Middlesbrough,21,2001,12,2,233,73,88,64,82
Alexander Jallow,se SWE,DF,Brescia,25,1998,24,22,1817,79,56,73,35
Alexander Ring,fi FIN,MF,Austin,32,1991,34,29,2596,58,68,48,37
Alexandre Miguel Barros Soares,pt POR,MF,Estoril,32,1991,6,2,249,45,27,40,52
Alexandre Penetra,pt POR,DF,AZ Alkmaar,21,2001,25,19,1756,32,61,32,30
Alexandre Pinto,pt POR,DF,Gil Vicente FC,25,1998,14,13,1064,41,55,70,67
Alexandro Bernabei,ar ARG,DF,Internacional,23,2000,23,23,2063,94,90,86,66
Alexandros Katranis,gr GRE,DF,Real Salt Lake,25,1998,29,23,1994,90,75,78,44
Alexandru Mățan,ro ROU,MF,Columbus Crew,24,1999,28,17,1441,83,78,87,32
Alexei Dominguez,mx MEX,MO,Pachuca,18,2005,20,7,800,46,77,84,71
Alexis Canelo,ar ARG,FW,Tijuana,31,1992,16,5,531,49,74,64,74
Alexis Castro,ar ARG,MF,uy Nacional,29,1994,7,7,507,75,53,54,66
Alexis Cuello,ar ARG,FW,San Lorenzo,23,2000,31,27,2216,64,33,65,76
Alexis De Sart,be BEL,MF,RWDM,26,1996,7,5,484,45,61,50,64
Alexis Dominguez,ar ARG,MO,Barracas Central,27,1996,14,7,746,34,30,12,39
Alexis Ferrante,it ITA,FW,Ternana,28,1995,1,1,45,41,52,17,28
Alexis Flips,fr FRA,MO,Anderlecht,23,2000,12,5,381,43,66,66,67
Alexis Francisco Peña,mx MEX,DF,Necaxa,27,1996,34,34,3060,56,27,28,51
Alexis Gutiérrez,mx MEX,MO,Cruz Azul,23,2000,26,11,1063,18,57,47,37
Alexis Maldonado,ar ARG,DF,Banfield,26,1997,11,11,958,22,18,17,49
Alexis Manyoma,co COL,MO,Estudiantes–LP,21,2003,20,13,1088,62,70,78,52
Alexis Segovia,ar ARG,MO,Cen. Córdoba–SdE,19,2004,11,6,553,19,41,61,24
Alexis Soto,ar ARG,DF,Defensa y Just,30,1993,21,16,1496,55,85,82,57
Alexis Vega,mx MEX,MO,Toluca,25,1997,21,15,1361,74,73,58,46
Alexsander,br BRA,MF,Fluminense,20,2003,19,10,1033,44,53,63,56
Aleš Matějů,cz CZE,DF,Spezia,27,1996,34,33,2846,63,60,63,51
Alfie Devine,eng ENG,MO,Plymouth Argyle,18,2004,15,9,850,23,53,40,48
Alfie Jones,eng ENG,DF,Hull City,25,1997,45,45,4050,52,60,36,31
Alfio Oviedo,py PAR,FW,py Cerro Porteño,28,1995,4,2,222,27,53,46,26
Alfons Sampsted,is ISL,DF,Twente,25,1998,24,18,1541,46,70,65,57
Alfonso Alvarado,mx MEX,MO,León,23,2000,26,16,1489,52,35,22,49
Alfonso Blanco Antúnez,mx MEX,GK,León,36,1987,2,2,180,59,39,43,32
Alfonso González,mx MEX,MO,Monterrey,28,1994,20,11,880,75,79,47,77
Alfonso Trezza,uy URU,MO,Arouca,24,1999,24,8,840,24,41,43,66
Alfredo Donnarumma,it ITA,FW,Catanzaro,32,1990,20,5,580,55,62,57,50
Alfredo Gutierrez,mx MEX,DF,Necaxa,20,2003,1,1,82,52,29,9,68
Alfredo Morales,us USA,MF,SJ Earthquakes,33,1990,23,4,649,34,50,40,42
Alfredo Talavera,mx MEX,GK,FC Juárez,40,1982,17,17,1469,59,45,53,38
Alfreð Finnbogason,is ISL,FW,Eupen,34,1989,27,11,1123,38,70,47,36
Alhassan Yusuf,ng NGA,MF,NE Revolution,23,2000,27,16,1541,40,74,70,72
Ali Ahmed,ca CAN,MF,Vancouver W'caps,23,2000,22,15,1350,72,61,93,46
Ali Al Hamadi,iq IRQ,FW,Ipswich Town,21,2002,14,1,293,79,47,82,62
Ali Alipour,ir IRN,FW,Gil Vicente FC,27,1995,19,9,804,33,41,40,47
Ali Dembélé,fr FRA,MF,Venezia,19,2004,14,0,171,85,39,94,68
Ali Ávila,mx MEX,MO,UNAM,19,2003,11,3,375,64,22,20,33
Alieu Fadera,gm GAM,MO,Genk,21,2001,16,12,965,82,65,72,64
Alioune Ndour,sn SEN,MO,Estrela,22,2001,9,0,169,50,50,74,64
Alireza Jahanbakhsh,ir IRN,MO,Feyenoord,29,1993,16,3,459,53,89,86,91
Alisson,br BRA,GK,Criciúma,28,1995,58,38,3682,85,99,99,93
Alistair McCann,nir NIR,MF,Preston,23,1999,31,24,2069,26,33,24,85
Alix Vinicius,br BRA,DF,Atl Goianiense,24,1999,25,24,2042,37,53,44,62
Aliyu Ibrahim,ng NGA,FW,Houston Dynamo,22,2002,34,33,2650,52,60,81,68
Aljaž Ivačič,si SVN,GK,NE Revolution,30,1993,25,25,2250,50,45,43,69
Aljosa Vasic,rs SRB,MO,Palermo,21,2002,19,5,696,25,35,32,69
Allahyar Sayyadmanesh,ir IRN,FW,Hull City,22,2001,13,4,449,36,60,83,81
Allan,br BRA,MF,Flamengo,26,1997,43,21,2074,29,52,35,52
