Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Line Index,Passes Index
Danilo Fernandes,br BRA,GK,Bahia,35,1988,1,1,90,67,22
Dante Campisi,ar ARG,GK,Unión,27,1996,1,1,90,51,45
David Cornell,wls WAL,GK,Preston,32,1991,2,2,180,47,56
Davide Barosi,it ITA,GK,Ascoli,23,2000,3,2,205,48,50
Davy Roef,be BEL,GK,Gent,29,1994,12,12,1080,81,69
Dayne St. Clair,ca CAN,GK,Minnesota Utd,26,1997,26,26,2340,53,38
Devis Vásquez,co COL,GK,Sheffield Weds,25,1998,19,18,1637,54,67
Diant Ramaj,de GER,GK,Ajax,21,2001,22,20,1824,56,81
Dida,br BRA,GK,Estrela,25,1998,5,5,427,56,56
Diego Matías Rodríguez,ar ARG,GK,Arg Juniors,34,1989,27,27,2430,42,48
Diego Urtiaga,mx MEX,GK,Atlético,24,1998,10,10,900,51,34
Dillon Phillips,eng ENG,GK,Rotherham Utd,28,1995,2,2,179,25,76
Diogo Costa,pt POR,GK,Porto,23,1999,33,33,2944,58,52
Diogo Pinto,pt POR,GK,Sporting CP,19,2004,2,2,171,64,39
Drake Callender,us USA,GK,Inter Miami,26,1997,32,32,2880,60,38
Earl Edwards Jr.,us USA,GK,NE Revolution,32,1992,1,1,90,40,63
Edoardo Corvi,it ITA,GK,Parma,22,2001,2,2,168,80,43
Elhan Kastrati,al ALB,GK,Cittadella,26,1997,35,35,3150,44,59
Elliot Panicco,us USA,GK,Nashville SC,27,1996,6,5,432,58,58
Eloy Room,cw CUW,GK,Vitesse,34,1989,34,34,3060,39,72
Emiliano Viviano,it ITA,GK,Ascoli,37,1985,27,27,2384,54,64
Enrique Bologna,ar ARG,GK,Defensa y Just,41,1982,17,17,1530,63,68
Esteban Andrada,ar ARG,GK,Monterrey,32,1991,32,32,2880,74,86
Ethan Horvath,us USA,GK,Cardiff City,28,1995,16,16,1440,31,52
Etienne Vaessen,sr SUR,GK,RKC Waalwijk,28,1995,30,30,2644,63,79
Eugenio Lamanna,it ITA,GK,Calcio Lecco 1912,33,1989,3,3,270,72,70
Evan Bush,us USA,GK,Columbus Crew,37,1986,2,2,124,63,38
Evan Louro,us USA,GK,FC Cincinnati,28,1996,1,1,90,19,15
Ezequiel Centurión,ar ARG,GK,River Plate,26,1997,23,23,2070,47,30
Ezequiel Unsain,ar ARG,GK,Necaxa,28,1995,25,24,2205,43,45
Fabijan Buntić,hr CRO,GK,Vizela,26,1997,28,27,2496,28,48
Fabricio Iacovich,ar ARG,GK,Estudiantes–LP,22,2002,1,1,90,29,35
Fabrício,br BRA,GK,RB Bragantino,23,2000,9,9,810,61,21
Facundo Altamirano,ar ARG,GK,ar San Lorenzo,27,1996,15,15,1291,46,17
Facundo Cambeses,ar ARG,GK,Racing Club,26,1997,7,6,585,31,16
Facundo Sanguinetti,ar ARG,GK,Banfield,22,2001,26,25,2312,39,36
Felipe Zenobio,ar ARG,GK,Tigre,23,2000,25,25,2194,61,39
Fernando Tapia,mx MEX,GK,Querétaro,22,2001,15,14,1276,64,43
Filip Stankovic,rs SRB,GK,Sampdoria,21,2002,37,37,3330,49,40
Filippo Vandelli,it ITA,GK,Modena,22,2000,1,0,6,82,16
Francesco Bardi,it ITA,GK,Reggiana,31,1992,30,30,2624,52,38
Francesco Ruberto,ch SUI,GK,Vizela,30,1993,7,7,564,75,62
Francisco Silva,pt POR,GK,Sporting CP,17,2005,1,0,9,43,1
Franco Armani,ar ARG,GK,ar River Plate,37,1986,34,34,3060,64,40
Franco Israel,uy URU,GK,Sporting CP,23,2000,10,10,900,42,27
Franco Petroli,ar ARG,GK,Godoy Cruz,25,1998,26,26,2340,70,80
Franco Saravia,pe PER,GK,pe Alianza Lima,24,1999,2,1,95,10,15
Frankarlos Benítez,ve VEN,GK,ve Caracas,19,2004,2,1,168,18,28
Freddie Woodman,eng ENG,GK,Preston,26,1997,44,44,3960,48,55
Fábio,br BRA,GK,br Fluminense,43,1980,47,47,4260,75,17
Gabriel,br BRA,GK,Juventude,31,1992,34,34,3014,66,47
Gabriel Arias,cl CHI,GK,Racing Club,36,1987,21,21,1845,45,50
Gabriel Delfim,br BRA,GK,Atlético Mineiro,21,2002,1,1,90,56,27
Gaga Slonina,us USA,GK,Eupen,19,2004,28,28,2520,37,45
Gastón Guruceaga,uy URU,GK,uy Liverpool,28,1995,3,3,270,43,27
Gastón Gómez,ar ARG,GK,ar San Lorenzo,27,1996,19,18,1679,46,41
Gatito Fernández,py PAR,GK,br Botafogo (RJ),35,1988,7,7,630,54,48
Gavin Bazunu,ie IRL,GK,Southampton,21,2002,41,41,3690,31,70
Gavin Beavers,us USA,GK,Real Salt Lake,18,2005,11,11,990,49,40
Gaëtan Coucke,be BEL,GK,Mechelen,24,1998,30,30,2700,74,67
George Long,eng ENG,GK,Norwich City,29,1993,7,6,600,28,21
Gerónimo Rulli,ar ARG,GK,Ajax,31,1992,7,7,571,42,93
Giacomo Drago,it ITA,GK,Südtirol,22,2001,1,1,90,47,48
Giacomo Poluzzi,it ITA,GK,Südtirol,35,1988,37,37,3330,46,72
Giacomo Satalino,it ITA,GK,Reggiana,24,1999,9,8,796,55,56
Gianluca Saro,it ITA,GK,Cremonese,23,2000,8,8,720,62,50
Gibran Lajud,mx MEX,GK,Santos,29,1993,9,9,810,25,24
Gonzalo Marinelli,ar ARG,GK,Ind. Rivadavia,34,1989,5,5,450,67,37
Gonçalo Pinto,pt POR,GK,Chaves,23,2000,1,1,90,20,55
Guido Herrera,ar ARG,GK,ar Talleres,31,1992,34,34,3060,45,63
Guido Villar,ar ARG,GK,ec Independiente,25,1998,1,1,90,11,14
Guillaume Hubert,be BEL,GK,RWDM,29,1994,1,0,17,18,79
Guillermo Allison,mx MEX,GK,Querétaro,32,1990,20,20,1784,69,59
Guillermo Vizcarra,bo BOL,GK,bo The Strongest,30,1993,8,8,720,65,45
Guillermo de Amores,uy URU,GK,uy Peñarol,29,1994,5,4,405,58,27
Gustavo,br BRA,GK,Criciúma,30,1993,34,34,2997,55,48
Heinz Lindner,at AUT,GK,Union SG,33,1990,1,1,90,33,35
Henrich Ravas,sk SVK,GK,NE Revolution,26,1997,8,8,720,42,25
Hernán Galíndez,ec ECU,GK,Huracán,36,1987,24,24,2160,69,41
Hervé Koffi,bf BFA,GK,Charleroi,26,1996,26,26,2339,69,71
Hobie Verhulst,nl NED,GK,AZ Alkmaar,30,1993,1,1,90,17,80
Hugo González Durán,mx MEX,GK,Mazatlán,32,1990,29,29,2548,56,77
Hugo Lloris,fr FRA,GK,LAFC,37,1986,33,33,2970,54,57
Hugo Souza,br BRA,GK,Corinthians,25,1999,48,48,4320,54,55
Héctor Holguín,mx MEX,GK,Santos,22,2001,4,2,245,45,52
Ignacio Arce,ar ARG,GK,Deportivo Riestra,31,1992,25,25,2250,83,61
Ignacio Chicco,ar ARG,GK,Belgrano,27,1996,8,7,656,46,51
Ignacio De Arruabarrena,uy URU,GK,Arouca,26,1997,31,31,2790,64,51
Illan Meslier,fr FRA,GK,Leeds United,23,2000,44,44,3922,43,35
Isaac Boehmer,us USA,GK,Vancouver W'caps,22,2001,1,1,90,25,39
Ivan Zlobin,ru RUS,GK,Famalicão,26,1997,1,1,90,20,38
Ivor Pandur,hr CRO,GK,Fortuna Sittard,23,2000,16,16,1440,46,60
Jack Bonham,ie IRL,GK,Stoke City,29,1993,14,14,1260,64,68
Jacob Chapman,au AUS,GK,Huddersfield,22,2000,2,1,139,32,31
Jacob Jackson,us USA,GK,SJ Earthquakes,23,2000,3,3,270,17,37
Jak Alnwick,eng ENG,GK,Cardiff City,30,1993,24,24,2160,40,64
Jakub Stolarczyk,pl POL,GK,Leicester City,22,2000,2,2,180,73,34
James Beadle,eng ENG,GK,Sheffield Weds,19,2004,19,19,1710,51,53
James Pantemis,ca CAN,GK,Portland Timbers,26,1997,15,14,1301,63,56
Jandrei,br BRA,GK,São Paulo,30,1993,13,13,1170,41,72
Jasper Cillessen,nl NED,GK,NEC Nijmegen,34,1989,30,30,2640,52,64
Jasper Schendelaar,nl NED,GK,Zwolle,22,2000,32,32,2880,45,86
Javier Burrai,ec ECU,GK,ec Barcelona,33,1990,6,6,540,16,49
Javier Otero,ve VEN,GK,Orlando City,21,2002,1,0,62,21,62
Jay Gorter,nl NED,GK,Ajax,23,2000,8,7,665,29,65
Jean,br BRA,GK,py Cerro Porteño,28,1995,6,6,540,67,54
Jean Butez,fr FRA,GK,Antwerp,28,1995,30,30,2700,65,76
Jeffrey De Lange,nl NED,GK,Go Ahead Eag,25,1998,34,34,3060,54,66
Jeremías Ledesma,ar ARG,GK,River Plate,30,1993,4,4,360,68,53
Jeroen Houwen,nl NED,GK,RKC Waalwijk,27,1996,4,3,322,52,74
Jeroen Zoet,nl NED,GK,Spezia,32,1991,25,25,2250,54,48
Jerónimo Pourtau,ar ARG,GK,Sarmiento,24,2000,3,3,270,20,12
Jesse Joronen,fi FIN,GK,Venezia,30,1993,29,29,2610,40,48
Jesús Camargo,ve VEN,GK,ve Dep Táchira,26,1997,4,4,360,76,74
Jesús Rodríguez,mx MEX,GK,Puebla,30,1993,34,34,3060,35,71
Jhonatan,br BRA,GK,Rio Ave,32,1991,26,26,2340,76,52
Jimmy Maurer,us USA,GK,FC Dallas,35,1988,4,4,360,74,75
Jo Coppens,be BEL,GK,Sint-Truiden,32,1990,4,4,360,21,38
Joachim Imbrechts,se SWE,GK,Union SG,21,2001,1,0,21,66,26
Joe Walsh,eng ENG,GK,QPR,21,2002,1,1,90,78,53
Joe Willis,us USA,GK,Nashville SC,35,1988,30,29,2626,43,63
Joel Drommel,nl NED,GK,PSV Eindhoven,26,1996,1,1,90,67,70
John,br BRA,GK,br Botafogo (RJ),27,1996,44,44,3990,69,37
John McCarthy,us USA,GK,LA Galaxy,31,1992,32,32,2880,59,28
John Pulskamp,us USA,GK,Sporting KC,22,2001,6,6,540,12,16
John Ruddy,eng ENG,GK,Birmingham City,36,1986,44,44,3960,53,77
Jonathan Sirois,ca CAN,GK,CF Montréal,22,2001,33,33,2970,48,41
Jorge Broun,ar ARG,GK,ar Rosario Central,37,1986,30,30,2700,43,45
Josh Cohen,us USA,GK,Atlanta Utd,31,1992,3,2,209,12,88
Josue Reinatti,ar ARG,GK,Newell's OB,20,2003,3,3,270,45,36
José Antonio Rodríguez,mx MEX,GK,Tijuana,31,1992,28,28,2475,49,57
José Corona,mx MEX,GK,Tijuana,42,1981,7,6,585,38,62
José Eulogio,mx MEX,GK,Pachuca,19,2004,2,2,180,17,21
José Rangel Aguilar,mx MEX,GK,Guadalajara,23,2000,19,19,1635,66,42
João Gonçalves,pt POR,GK,Boavista,22,2000,34,34,3060,38,38
João Ricardo Riedi,br BRA,GK,Fortaleza,35,1988,38,38,3420,78,49
João Valido,pt POR,GK,Arouca,23,2000,1,1,90,60,64
Juan Cozzani,ar ARG,GK,Platense,25,1998,26,26,2339,72,50
Juan Espínola,py PAR,GK,Belgrano,29,1994,15,15,1324,69,46
Julio José González,mx MEX,GK,UNAM,32,1991,34,34,3060,60,67
Justin Bijlow,nl NED,GK,Feyenoord,25,1998,17,17,1462,58,54
Karl Darlow,wls WAL,GK,Leeds United,32,1990,2,1,126,7,59
Kasper Schmeichel,dk DEN,GK,Anderlecht,36,1986,23,23,2070,72,70
Kayne van Oevelen,nl NED,GK,Volendam,19,2003,1,1,89,73,75
Kevin Mier,co COL,GK,Cruz Azul,23,2000,17,17,1530,55,51
Kewin,br BRA,GK,Moreirense,27,1995,30,30,2686,55,72
Kosuke Nakamura,jp JPN,GK,Portimonense,28,1995,20,20,1800,49,45
Kristijan Kahlina,hr CRO,GK,Charlotte,31,1992,34,34,3060,80,52
Kristoffer Klaesson,no NOR,GK,Leeds United,22,2000,1,1,90,48,26
Lars Unnerstall,de GER,GK,Twente,33,1990,32,32,2880,68,50
Laurent Henkinet,be BEL,GK,Standard Liège,30,1992,1,1,90,14,35
Lautaro Bursich,ar ARG,GK,Cen. Córdoba–SdE,21,2002,1,1,90,8,47
Lautaro Garzón,ar ARG,GK,Vélez Sarsfield,20,2003,1,0,39,22,14
Lautaro Morales,ar ARG,GK,Talleres,24,1999,1,1,90,14,12
Leandro Brey,ar ARG,GK,Boca Juniors,21,2002,12,11,999,82,24
Leandro Chichizola,ar ARG,GK,Parma,33,1990,37,36,3252,65,74
Leandro Requena,ar ARG,GK,cl Cobresal,36,1987,5,5,450,58,63
Lee Nicholls,eng ENG,GK,Huddersfield,30,1992,37,37,3305,33,64
Leonardo Linck,br BRA,GK,Ath Paranaense,22,2001,14,14,1223,35,51
Leonardo Loria,it ITA,GK,Pisa,24,1999,7,7,630,34,43
Leonardo Marson,it ITA,GK,Cosenza,25,1998,2,1,124,79,30
Leopold Wahlstedt,se SWE,GK,Blackburn,24,1999,21,20,1829,40,38
Lorenzo Andrenacci,it ITA,GK,Brescia,28,1995,9,9,765,35,47
Luca Lezzerini,it ITA,GK,Brescia,28,1995,25,25,2250,51,52
Luca Maniero,it ITA,GK,Cittadella,28,1995,3,3,270,65,55
Lucas Acosta,ar ARG,GK,Sarmiento,28,1995,23,23,2070,69,40
Lucas Arcanjo,br BRA,GK,Vitória,25,1998,37,37,3330,38,28
Lucas Hoyos,ar ARG,GK,Newell's OB,34,1989,11,11,976,72,56
Lucas Paes,br BRA,GK,Casa Pia,25,1997,4,3,273,35,58
Lucas Pirard,be BEL,GK,Kortrijk,28,1995,9,9,810,78,70
Lucão,br BRA,GK,RB Bragantino,22,2001,8,6,631,41,21
Luis Barraza,us USA,GK,NYCFC,27,1996,1,0,79,17,51
Luis Cárdenas,mx MEX,GK,Monterrey,29,1993,2,2,180,79,74
Luis Ingolotti,ar ARG,GK,Cen. Córdoba–SdE,24,2000,26,26,2340,50,35
Luis Mejía,pa PAN,GK,uy Nacional,32,1991,8,8,720,45,26
Luis Ángel Malagón,mx MEX,GK,América,26,1997,29,29,2565,67,37
Luiz Lúcio Reis Júnior,br BRA,GK,Famalicão,22,2001,33,33,2970,78,73
Luka Gavran,ca CAN,GK,Toronto FC,23,2000,9,9,810,37,50
Luuk Koopmans,nl NED,GK,Fortuna Sittard,29,1993,5,5,450,73,44
Léo Jardim,br BRA,GK,Vasco da Gama,28,1995,38,38,3420,61,51
Maarten Paes,id IDN,GK,FC Dallas,25,1998,30,30,2700,44,49
Maarten Vandevoordt,be BEL,GK,Genk,21,2002,30,30,2700,69,61
Mads Hermansen,dk DEN,GK,Leicester City,23,2000,44,44,3960,65,46
Magrão,br BRA,GK,Rio Ave,23,2000,7,7,630,38,43
Manaf Nurudeen,gh GHA,GK,Eupen,24,1999,2,2,180,71,57
Manuel Roffo,ar ARG,GK,Instituto,23,2000,27,27,2430,50,50
Marcelo Barovero,ar ARG,GK,Banfield,39,1984,2,2,118,34,33
Marcelo Carné,br BRA,GK,Estoril,33,1990,22,22,1979,68,37
Marcelo Lomba,br BRA,GK,br Palmeiras,37,1986,2,2,180,26,25
Marcelo Miño,ar ARG,GK,Barracas Central,26,1997,10,10,900,63,74
Marco Pissardo,it ITA,GK,Bari,25,1998,6,5,481,31,37
Marcos Felipe,br BRA,GK,Bahia,27,1996,34,34,2996,61,69
Marcos Ignacio Ledesma,ar ARG,GK,Gimnasia–LP,27,1996,18,18,1620,74,57
Mark Spenkelink,nl NED,GK,RKC Waalwijk,26,1997,1,1,90,74,76
Mark Travers,ie IRL,GK,Stoke City,24,1999,13,13,1170,53,73
Martin Delavallée,be BEL,GK,Charleroi,19,2004,1,0,1,34,80
Martín Parra,cl CHI,GK,cl Huachipato,23,2000,6,6,540,46,47
Mason Stajduhar,us USA,GK,Orlando City,26,1997,5,5,388,72,38
Mateo Clemente,ar ARG,GK,San Lorenzo,21,2002,1,1,90,18,2
Mateus Claus,br BRA,GK,Juventude,29,1994,5,4,406,30,41
Mateus Pasinato,br BRA,GK,Cuiabá,31,1992,2,2,180,36,48
Matheus,br BRA,GK,Braga,31,1992,34,34,3060,40,59
Matheus Cunha,br BRA,GK,Flamengo,22,2001,3,3,270,44,66
Matheus Donelli,br BRA,GK,Corinthians,21,2002,7,7,630,29,28
Matheus Mendes,br BRA,GK,Atlético Mineiro,24,1999,13,12,1087,65,39
Mathew Ryan,au AUS,GK,AZ Alkmaar,31,1992,29,29,2610,71,84
Matija Šarkić,me MNE,GK,Millwall,26,1997,32,32,2880,63,44
Matt Freese,us USA,GK,NYCFC,25,1998,34,34,2981,67,42
Matt Ingram,eng ENG,GK,Hull City,29,1993,10,9,819,26,38
Mattijs Branderhorst,nl NED,GK,Utrecht,29,1993,5,5,450,62,57
Matías Mansilla,ar ARG,GK,ar Estudiantes–LP,27,1996,32,32,2880,47,34
Mauro Vigorito,it ITA,GK,Como,33,1990,1,0,22,89,23
Max O'Leary,ie IRL,GK,Bristol City,26,1996,46,46,4140,55,64
Maxence Prevot,fr FRA,GK,OH Leuven,26,1997,11,11,990,39,75
Maxime Crépeau,ca CAN,GK,Portland Timbers,29,1994,20,20,1757,38,81
Maxime Dupé,fr FRA,GK,Anderlecht,30,1993,7,7,630,54,37
Michael Brouwer,nl NED,GK,Heracles Almelo,30,1993,34,34,3060,37,66
Michael Cooper,eng ENG,GK,Plymouth Argyle,23,1999,19,19,1710,67,60
Michael Verrips,nl NED,GK,Fortuna Sittard,26,1996,12,12,1080,26,45
Michele Avella,it ITA,GK,Brescia,23,2000,5,4,405,80,42
Mickey van der Hart,nl NED,GK,Heerenveen,29,1994,12,12,1080,22,60
Miguel Carvalho,pt POR,GK,Farense,27,1996,2,2,180,30,52
Miguel Jiménez Ponce,mx MEX,GK,Guadalajara,33,1990,16,15,1425,55,32
Mika,pt POR,GK,Moreirense,32,1991,1,0,14,48,98
Mike Hauptmeijer,nl NED,GK,Zwolle,26,1997,2,2,180,75,57
Mio Backhaus,de GER,GK,Volendam,19,2004,33,32,2881,50,76
Mirko Pigliacelli,it ITA,GK,Palermo,30,1993,36,36,3240,40,60
Moisés Ramírez,ec ECU,GK,ec Independiente,23,2000,5,5,450,22,37
Mosquito,br BRA,GK,Arouca,27,1996,2,2,180,15,67
Mouhamadou Sarr,sn SEN,GK,Cremonese,26,1997,12,12,1080,58,43
Muriel Becker,br BRA,GK,Vitória,36,1987,1,1,90,75,64
Mycael,br BRA,GK,Ath Paranaense,19,2004,19,17,1565,60,42
Nahuel Guzmán,ar ARG,GK,UANL,37,1986,24,24,2160,59,74
Nahuel Losada,ar ARG,GK,Belgrano,30,1993,22,22,1980,71,56
Nahuel Manganelli,ar ARG,GK,Deportivo Riestra,22,2001,2,2,180,65,40
Nathan Bishop,eng ENG,GK,Sunderland,23,1999,1,1,90,7,18
Neil Etheridge,ph PHI,GK,Birmingham City,33,1990,2,2,180,31,37
Nelson Insfrán,ar ARG,GK,Gimnasia–LP,28,1995,9,9,809,40,70
Nicholas Hagen,gt GUA,GK,Columbus Crew,27,1996,4,3,326,66,27
Nick Gillekens,be BEL,GK,Westerlo,28,1995,4,4,360,28,89
Nick Olij,nl NED,GK,Sparta R'dam,27,1995,34,34,3060,61,79
Nicola Ravaglia,it ITA,GK,Sampdoria,34,1988,1,1,90,60,66
Nicolás Sumavil,ar ARG,GK,Platense,24,1999,1,1,90,74,30
Nordin Bakker,nl NED,GK,Almere City,25,1997,29,29,2596,63,62
Nordin Jackers,be BEL,GK,Club Brugge,25,1997,3,2,261,66,73
Novak Mićović,rs SRB,GK,LA Galaxy,22,2001,2,2,180,29,43
Nícolas Andrade,br BRA,GK,Pisa,35,1988,31,31,2790,51,46
Odysseas Vlachodimos,gr GRE,GK,Benfica,29,1994,1,1,90,24,30
Oliver Semmle,de GER,GK,Philadelphia Union,25,1998,17,14,1408,45,45
Orlando Gil,py PAR,GK,San Lorenzo,23,2000,1,1,90,52,21
Oscar Jiménez,mx MEX,GK,América,34,1988,6,5,495,74,35
Patrick Schulte,us USA,GK,Columbus Crew,22,2001,27,27,2430,60,45
Paul Nardi,fr FRA,GK,Gent,29,1994,10,10,900,50,45
Pedro Gallese,pe PER,GK,Orlando City,33,1990,29,29,2610,46,33
Pedro Rangel,br BRA,GK,Atl Goianiense,23,2000,6,6,540,47,50
Pierre Patron,fr FRA,GK,Charleroi,25,1997,4,4,360,41,79
Przemysław Tytoń,pl POL,GK,Twente,36,1987,2,2,180,43,28
Rafael Cabral,br BRA,GK,Grêmio,33,1990,6,5,457,53,46
