Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
fr FRA,GK,Nantes,24,1999,28,28,2496,52,52,57,48
dk DEN,MF,no Bodø/Glimt,22,2001,8,8,668,79,62,77,27
is ISL,MO,Genoa,26,1997,35,34,3016,66,69,47,25
be BEL,MF,Luton Town,23,1999,17,16,1303,51,61,52,62
it ITA,GK,gr Panathinaikos,31,1991,5,5,450,52,57,46,43
it ITA,FW,Empoli,27,1996,12,10,545,33,31,25,72
es ESP,MF,Real Sociedad,21,2002,1,0,28,47,27,13,49
it ITA,DF,Cagliari,24,1998,35,33,2977,59,52,29,71
it ITA,MF,Empoli,28,1995,27,22,1807,31,46,27,55
es ESP,FW,Valencia,22,2001,16,2,276,61,71,37,64
es ESP,MO,Las Palmas,19,2003,28,21,1803,53,65,81,26
es ESP,DF,Villarreal,31,1992,31,20,1764,87,77,70,41
es ESP,MO,Granada,32,1990,2,0,2,55,56,46,8
es ESP,MF,Getafe,17,2005,4,1,137,61,59,66,23
es ESP,MF,Granada,24,1999,1,0,8,39,35,12,7
ch SUI,DF,ch Lugano,20,2003,4,4,328,54,69,58,72
xk KVX,FW,xk KF Ballkani Therandë,22,2001,6,5,400,24,30,33,45
ba BIH,MO,ba Zrinjski Mostar,25,1998,6,3,236,42,9,10,76
es ESP,MF,Girona,26,1997,37,36,3199,64,84,59,45
co COL,DF,md Sheriff Tiraspol,25,1997,6,6,496,24,19,55,65
es ESP,DF,es Barcelona,19,2003,24,18,1709,54,67,85,29
ar ARG,MO,eng Manchester Utd,19,2004,42,33,2866,75,48,77,46
es ESP,DF,Milan,18,2005,3,0,68,46,57,57,41
es ESP,MF,Almería,24,1999,21,9,976,47,51,59,53
ar ARG,FW,Tottenham,19,2003,14,0,85,70,18,26,44
mk MKD,DF,kz Astana FK,26,1996,4,4,360,37,48,47,43
rs SRB,FW,rs Čukarički,23,2000,2,0,58,27,19,56,22
rs SRB,DF,at RB Salzburg,23,1999,2,2,180,57,53,65,27
at AUT,DF,at Sturm Graz,24,1999,1,1,71,21,20,10,42
at AUT,DF,rs Red Star,32,1991,6,6,540,42,43,25,41
rs SRB,MO,rs Red Star,32,1991,5,0,79,78,48,64,65
rs SRB,FW,Fulham,28,1994,1,0,33,64,39,29,27
de GER,MF,de Bayern Munich,19,2004,22,16,1434,64,74,56,51
rs SRB,FW,hu Ferencváros,31,1992,7,3,334,63,36,33,42
rs SRB,DF,Almería,29,1993,9,8,569,24,24,13,74
rs SRB,DF,Alavés,31,1991,11,11,946,54,34,33,54
rs SRB,MO,rs TSC,21,2001,5,2,223,62,25,39,45
rs SRB,FW,sk Slovan Bratislava,29,1994,6,5,468,82,72,55,48
ru RUS,MO,Monaco,27,1996,25,25,2147,65,86,64,70
ru RUS,MO,cy Aris Limassol FC,32,1991,5,3,288,63,68,41,39
kz KAZ,DF,kz Astana FK,33,1990,5,5,450,30,28,17,74
az AZE,MF,az Qarabağ,27,1995,2,0,6,21,36,32,7
ru RUS,MO,Atalanta,27,1995,37,16,1588,69,89,69,33
fi FIN,MF,fi HJK,30,1993,2,0,26,57,38,56,50
it ITA,DF,it Inter,24,1999,35,34,2768,72,85,76,51
it ITA,DF,Torino,24,1999,29,29,2527,64,29,29,69
it ITA,MF,Cagliari,27,1995,27,19,1608,51,31,25,49
it ITA,DF,Torino,19,2004,1,0,15,40,39,18,43
it ITA,MF,Cagliari,24,1999,15,2,359,36,41,41,45
it ITA,DF,it Milan,32,1991,39,23,2114,76,90,62,41
it ITA,GK,Monza,21,2002,7,5,548,50,43,54,33
it ITA,DF,Genoa,24,1998,20,14,1169,53,68,48,67
it ITA,DF,it Napoli,22,2000,22,10,977,55,67,70,42
be BEL,DF,be Union SG,26,1997,10,10,825,57,61,70,68
it ITA,GK,Sassuolo,29,1994,3,3,270,41,45,42,52
it ITA,DF,it Lazio,28,1995,35,32,2951,35,51,23,50
it ITA,MF,Monza,24,1999,20,8,834,59,63,74,39
es ESP,MO,Villarreal,22,2001,42,38,2991,66,87,60,48
ng NGA,MF,Everton,27,1996,32,27,2332,84,75,86,28
cz CZE,MF,de Union Berlin,25,1998,30,15,1621,51,37,40,50
eng ENG,MF,Chelsea,18,2004,1,0,1,21,11,16,7
it ITA,GK,it Napoli,26,1997,39,39,3493,49,52,54,52
ga GAB,DF,cy Aris Limassol FC,22,2000,6,4,366,54,19,27,66
ie IRL,MF,Newcastle Utd,19,2004,2,0,13,21,40,22,73
eng ENG,MF,tr Beşiktaş,29,1993,6,5,386,47,56,53,46
br BRA,DF,Juventus,32,1991,16,8,721,74,69,57,54
eng ENG,MF,Bournemouth,19,2003,23,11,1014,75,64,63,59
es ESP,MO,Alavés,24,1999,31,14,1292,44,61,64,75
dk DEN,DF,pt Benfica,25,1997,9,8,696,51,56,78,82
de GER,GK,Darmstadt 98,28,1995,3,3,270,57,48,48,40
gh GHA,DF,tr Fenerbahçe,28,1994,7,6,585,24,36,45,85
se SWE,FW,eng Newcastle Utd,23,1999,35,31,2567,78,62,60,34
de GER,GK,de Dortmund,32,1991,9,8,785,58,58,70,71
de GER,GK,Stuttgart,26,1996,30,30,2700,57,57,53,71
at AUT,MF,at Sturm Graz,22,2001,9,8,723,68,43,65,51
at AUT,GK,at RB Salzburg,27,1996,6,6,540,50,46,49,52
de GER,GK,Union Berlin,31,1992,1,1,90,41,42,40,42
is ISL,MF,is Breiðablik,27,1996,4,3,235,44,73,59,48
no NOR,FW,Villarreal,27,1995,39,34,2855,78,63,53,46
fr FRA,FW,Lyon,32,1991,29,27,2293,72,57,48,57
dz ALG,GK,Metz,35,1988,34,34,2987,48,50,71,84
pt POR,DF,nl AZ Alkmaar,21,2001,5,4,363,32,26,22,49
gr GRE,GK,gr Olympiacos,34,1989,9,9,810,63,49,41,36
ch SUI,MO,ch Servette FC,23,2000,9,5,475,29,29,47,78
fr FRA,MF,Lecce,26,1996,31,16,1642,34,45,24,50
fr FRA,MF,Nice,25,1998,18,4,504,56,53,80,34
ar ARG,MF,Liverpool,24,1998,39,35,3008,77,85,57,70
be BEL,MO,Bologna,24,1999,30,21,1887,58,69,69,61
cl CHI,FW,it Inter,34,1988,31,10,1098,62,91,62,62
br BRA,DF,fr Lille,23,1999,38,28,2695,45,53,49,60
cz CZE,GK,cz Slavia Prague,31,1992,6,6,540,50,44,47,65
eng ENG,DF,Luton Town,23,1999,37,34,2925,82,75,76,50
eng ENG,DF,Chelsea,19,2003,11,2,207,81,31,51,36
uy URU,DF,Rayo Vallecano,31,1992,31,29,2507,55,69,65,51
es ESP,DF,Villarreal,27,1996,23,15,1287,81,71,80,32
gh GHA,MF,it Fiorentina,30,1993,36,28,2230,66,80,54,40
ng NGA,MF,be Antwerp,23,2000,6,4,380,66,59,56,54
ne NIG,MF,il Maccabi Haifa,27,1995,9,7,485,32,57,48,42
tn TUN,FW,se Häcken,22,2000,3,1,93,38,25,33,13
gh GHA,DF,Rennes,23,2000,27,20,1782,34,54,66,74
gm GAM,FW,be Genk,21,2001,4,3,142,51,46,71,74
gn GUI,MO,Nice,20,2002,7,0,69,55,14,82,69
ir IRN,MO,nl Feyenoord,29,1993,5,0,75,89,77,76,62
br BRA,GK,Liverpool,30,1992,30,30,2700,55,63,58,43
ca CAN,DF,sct Celtic,24,1998,6,6,540,35,54,66,54
si SVN,MF,si Olimpija,29,1994,3,1,130,37,47,71,29
de GER,MF,de Union Berlin,18,2004,3,0,37,31,25,38,24
ch SUI,MF,ch Lugano,24,1998,6,5,427,36,52,62,45
xk KVX,FW,xk KF Ballkani Therandë,24,1998,4,3,267,72,66,84,61
ly LBY,MF,pt Braga,27,1996,5,3,309,46,57,44,66
fr FRA,MO,Le Havre,26,1996,2,0,7,15,14,13,52
it ITA,FW,Hellas Verona,16,2006,1,0,8,17,21,8,13
fr FRA,GK,West Ham,30,1993,32,32,2789,47,47,64,76
ca CAN,DF,de Bayern Munich,22,2000,39,31,2771,82,85,91,46
ci CIV,MO,Manchester Utd,21,2002,9,3,390,66,63,65,48
ml MLI,DF,at Sturm Graz,22,2000,4,3,275,32,33,49,76
eng ENG,MF,Newcastle Utd,20,2003,1,0,1,21,19,7,7
ml MLI,MF,de RB Leipzig,25,1998,26,22,1792,68,70,39,76
ml MLI,MF,Reims,18,2005,16,4,475,28,39,37,77
be BEL,MF,Everton,21,2001,30,23,2091,59,49,44,65
ml MLI,MO,at Sturm Graz,18,2005,4,0,87,85,55,72,16
no NOR,MO,no Bodø/Glimt,33,1990,6,6,514,75,66,54,31
gh GHA,MO,at RB Salzburg,20,2002,4,0,68,25,57,51,58
ba BIH,DF,at RB Salzburg,20,2002,6,6,540,53,40,82,42
jm JAM,DF,Luton Town,29,1994,21,21,1720,38,48,54,69
sn SEN,MO,Mallorca,27,1996,15,3,394,54,33,63,67
be BEL,DF,Burnley,21,2002,13,12,1056,59,39,48,28
se SWE,MO,Lyon,22,2001,17,3,484,27,30,30,49
ma MAR,MO,Leverkusen,23,2000,36,19,1877,73,77,74,65
dz ALG,MO,Rennes,23,2000,38,27,2394,76,57,72,46
ma MAR,MO,Marseille,26,1997,42,34,2983,49,83,72,51
fr FRA,FW,fr Lille,18,2004,1,1,64,22,16,27,13
fr FRA,FW,Reims,23,2000,11,2,313,28,50,75,33
ma MAR,MF,md Sheriff Tiraspol,27,1996,6,6,539,34,39,24,71
ba BIH,MF,tr Beşiktaş,26,1997,6,5,477,39,73,52,64
ma MAR,MF,Reims,21,2002,28,14,1352,66,58,57,69
xk KVX,DF,it Napoli,29,1994,37,37,3152,71,53,50,49
xk KVX,GK,ch Lugano,23,2000,6,6,540,66,50,48,41
tn TUN,FW,se Häcken,30,1992,5,5,421,36,57,74,69
de GER,DF,Werder Bremen,25,1998,7,7,590,48,52,30,83
nl NED,FW,nl Ajax,18,2004,1,0,7,17,16,50,13
il ISR,FW,il Maccabi Haifa,18,2004,9,6,545,56,51,63,68
nl NED,FW,nl Ajax,21,2002,1,0,1,17,21,17,13
ma MAR,MO,Burnley,22,2000,6,1,152,23,30,38,18
gr GRE,FW,Celta Vigo,23,1999,32,7,905,68,46,40,65
ua UKR,GK,pt Benfica,21,2001,12,12,1110,41,45,43,43
es ESP,MO,es Real Sociedad,21,2001,36,25,1824,62,45,81,62
es ESP,MF,Alavés,26,1997,37,33,2932,50,47,49,46
es ESP,MF,Athletic Club,33,1989,23,10,1030,47,84,52,77
dk DEN,DF,no Molde,26,1997,8,8,720,33,21,44,55
ng NGA,MF,hu Ferencváros,29,1994,2,1,91,24,18,15,72
ch SUI,MO,be Genk,24,1999,5,3,280,49,16,15,36
es ESP,DF,Alavés,26,1996,36,33,2854,71,54,67,45
si SVN,MO,gr Panathinaikos,29,1994,6,1,137,66,21,23,21
eng ENG,MF,Sheffield Utd,19,2003,20,12,938,33,24,45,59
cm CMR,MF,it Napoli,27,1995,41,39,3413,61,69,65,49
it ITA,FW,it Fiorentina,29,1993,42,26,2376,64,47,46,61
it ITA,MF,Juventus,23,2000,34,28,2372,72,61,75,46
it ITA,DF,Monza,22,2001,21,16,1487,66,48,53,61
it ITA,MO,Monza,24,1999,38,36,2657,61,68,56,42
it ITA,GK,Sassuolo,36,1987,35,35,3150,58,54,51,59
it ITA,MF,Monza,20,2003,1,0,10,39,41,18,52
it ITA,FW,Cagliari,28,1995,18,13,995,38,58,42,46
it ITA,FW,Sassuolo,24,1999,38,37,3076,49,41,28,46
it ITA,MF,Empoli,18,2004,1,0,5,21,11,38,7
dk DEN,MF,es Barcelona,27,1996,37,32,2418,49,52,40,56
dk DEN,MO,dk FC Copenhagen,30,1993,3,0,82,29,33,11,52
no NOR,DF,Mainz 05,26,1997,15,12,992,51,22,13,58
dk DEN,GK,dk Nordsjælland,27,1995,5,5,450,41,46,46,37
de GER,GK,Bochum,36,1987,1,1,90,57,46,48,41
de GER,MF,Darmstadt 98,23,2000,11,2,349,28,27,26,71
gr GRE,DF,gr Olympiacos,20,2003,5,5,459,26,26,40,47
br BRA,MF,Fulham,27,1996,37,34,2613,76,77,64,18
no NOR,FW,dk Nordsjælland,19,2004,6,4,366,53,83,79,63
dk DEN,MO,be Club Brugge,23,1999,7,6,459,90,87,86,41
at AUT,DF,at RB Salzburg,37,1985,3,3,218,55,53,41,60
ro ROU,MF,Rayo Vallecano,25,1998,12,6,630,42,42,71,32
rs SRB,FW,Lille,23,2000,2,0,9,17,21,7,13
hr CRO,MO,Hoffenheim,32,1991,30,25,2199,83,81,64,31
me MNE,DF,sk Spartak Trnava,19,2003,4,3,260,23,19,12,41
ro ROU,MF,cz Slavia Prague,22,2001,5,4,330,48,41,46,39
ro ROU,MF,Salernitana,18,2004,2,0,23,51,50,48,50
dk DEN,MF,be Gent,28,1995,4,1,130,62,83,72,86
ie IRL,DF,Nott'ham Forest,21,2002,11,8,783,27,25,12,37
sct SCO,DF,Liverpool,29,1994,27,21,1996,89,89,79,47
ru RUS,GK,az Qarabağ,31,1991,10,10,924,66,63,54,72
br BRA,MF,Strasbourg,19,2004,12,9,839,56,52,46,72
is ISL,DF,is Breiðablik,31,1992,5,4,277,46,59,39,45
hr CRO,MF,ba Zrinjski Mostar,25,1997,2,1,53,32,12,7,57
rs SRB,FW,gr PAOK,27,1996,9,7,652,57,67,68,84
ua UKR,GK,es Real Madrid,24,1999,29,29,2640,49,53,43,51
eng ENG,MO,Luton Town,32,1991,27,14,1210,37,57,52,53
hu HUN,MF,Union Berlin,24,1999,20,14,1214,69,59,73,66
gh GHA,FW,Le Havre,33,1989,19,12,1104,54,44,49,73
pt POR,MF,pt Braga,35,1988,1,0,5,48,18,16,20
pt POR,GK,Granada,27,1996,15,14,1340,49,45,42,49
pt POR,MO,pt Porto,25,1998,4,3,236,41,70,26,66
pt POR,MO,Everton,30,1993,12,3,508,46,49,37,48
pt POR,MF,gr Olympiacos,26,1996,12,3,403,61,76,90,48
cm CMR,GK,eng Manchester Utd,27,1996,44,44,3960,62,70,75,64
br BRA,DF,nl PSV Eindhoven,31,1992,6,5,423,36,29,21,65
pt POR,FW,es Real Sociedad,27,1995,21,10,821,43,37,38,46
pa PAN,DF,at LASK,24,1998,6,5,465,30,32,31,69
mx MEX,MF,Betis,36,1986,17,7,721,41,66,51,61
fr FRA,MF,fr Lens,20,2003,29,17,1433,68,61,82,46
fr FRA,DF,Clermont Foot,23,2000,34,33,2989,26,43,53,57
ba BIH,DF,Sheffield Utd,24,1999,31,29,2649,60,28,41,64
eng ENG,MO,fr Lille,22,2000,40,33,3054,39,84,47,49
es ESP,DF,tr Galatasaray,26,1997,26,20,1698,54,73,63,47
fr FRA,MF,fr Lens,26,1996,37,19,1725,81,72,79,48
it ITA,DF,West Ham,35,1988,14,9,861,24,24,31,42
de GER,MF,Hoffenheim,22,2001,32,31,2778,58,85,63,53
eng ENG,DF,sct Aberdeen,30,1992,2,2,180,49,18,9,56
tn TUN,MF,Sheffield Utd,22,2001,15,4,419,55,26,48,56
be BEL,MO,be Genk,21,2002,3,0,17,56,60,13,51
de GER,MO,de Eint Frankfurt,21,2002,38,27,2449,59,43,59,72
es ESP,MO,Brighton,20,2002,28,7,936,76,61,64,39
hu HUN,DF,Girona,19,2004,1,0,61,42,50,15,76
hr CRO,FW,Osasuna,32,1991,33,29,2435,68,44,25,66
hr CRO,FW,pl Raków,19,2003,6,3,291,39,53,43,63
hr CRO,MO,tr Beşiktaş,29,1993,3,1,102,54,62,71,18
gp GLP,MF,ch Servette FC,30,1992,7,1,142,50,69,79,50
fr FRA,DF,Mainz 05,26,1997,31,29,2486,78,80,68,42
se SWE,MO,Nott'ham Forest,21,2002,36,25,2433,55,53,58,50
eng ENG,FW,eng Newcastle Utd,22,2001,41,39,3327,69,80,71,64
de GER,DF,Werder Bremen,31,1991,31,30,2579,48,48,52,46
pt POR,GK,Lyon,32,1990,31,31,2790,57,70,61,46
fr FRA,MF,Bochum,37,1986,31,31,2576,49,40,27,62
hn HON,MO,Getafe,30,1993,19,10,864,52,25,17,52
fr FRA,MO,eng Manchester Utd,27,1995,17,5,498,47,49,40,34
lu LUX,GK,be Union SG,33,1990,8,8,720,55,49,45,48
fi FIN,MO,fi HJK,22,2000,3,0,35,67,69,42,46
ga GAB,DF,Frosinone,22,2001,16,14,1198,48,59,69,62
ch SUI,GK,ch Young Boys,24,1998,5,5,450,55,47,47,45
fr FRA,DF,Stuttgart,22,2001,22,11,1010,41,84,49,48
ec ECU,MO,be Antwerp,20,2003,3,0,38,17,20,43,8
ch SUI,MF,ch Lugano,26,1996,3,3,239,37,58,22,44
fr FRA,MO,es Atlético Madrid,32,1991,43,41,3462,76,76,49,53
fr FRA,MO,Le Havre,20,2003,23,6,779,45,51,75,74
cg CGO,MF,Cagliari,25,1998,32,32,2702,43,42,47,32
sn SEN,DF,Nice,19,2004,10,4,418,47,50,55,51
gh GHA,FW,Bournemouth,23,2000,33,25,2105,70,64,75,71
is ISL,GK,is Breiðablik,28,1994,6,6,540,56,49,59,54
ua UKR,DF,ua Zorya Luhansk,20,2003,4,3,286,43,59,36,60
dk DEN,DF,nl Ajax,20,2002,8,4,447,38,37,76,34
is ISL,MF,is Breiðablik,20,2003,6,6,524,25,39,43,32
bg BUL,DF,bg Ludogorets,30,1993,3,3,270,59,79,66,66
de GER,MF,Hoffenheim,24,1998,33,28,2491,63,63,58,79
ua UKR,GK,ua Zorya Luhansk,20,2003,1,0,1,41,36,40,33
us USA,DF,Fulham,25,1997,37,37,3265,56,74,78,69
nl NED,MF,nl Feyenoord,18,2005,3,0,50,52,69,76,19
fr FRA,DF,Monaco,19,2004,1,0,8,21,12,49,13
it ITA,DF,Lecce,23,2000,35,30,2490,57,78,72,46
es ESP,GK,pt Sporting CP,36,1987,6,6,540,41,47,59,36
es ESP,MF,Alavés,23,2000,33,29,2426,33,51,37,55
it ITA,MO,Salernitana,36,1987,34,32,2750,56,73,46,32
hr CRO,MF,ba Zrinjski Mostar,28,1995,6,6,483,31,36,29,45
hr CRO,MO,hr Dinamo Zagreb,22,2001,3,0,32,95,82,72,64
it ITA,GK,Milan,40,1983,2,2,177,41,41,41,51
no NOR,MO,be Club Brugge,18,2005,7,2,223,79,52,91,28
es ESP,MO,Granada,31,1992,27,6,730,49,52,52,63
es ESP,DF,Mallorca,31,1991,26,25,2195,71,54,39,71
de GER,DF,es Real Madrid,30,1993,45,41,3749,51,56,34,38
py PAR,MO,Torino,27,1996,35,23,2133,42,30,23,50
es ESP,GK,Alavés,26,1996,34,34,3060,66,60,41,45
es ESP,MF,Mallorca,26,1997,29,21,1452,72,50,64,33
hr CRO,DF,Udinese,19,2004,1,0,1,21,12,9,3
de GER,DF,Dortmund,23,1999,2,1,117,33,16,16,89
br BRA,FW,eng Manchester Utd,23,2000,33,18,1556,54,74,76,77
cz CZE,MF,it Fiorentina,28,1994,31,12,1256,87,71,66,27
eng ENG,FW,Sheffield Utd,19,2004,2,0,13,17,21,20,13
pt POR,DF,pt Benfica,19,2003,10,10,847,38,43,55,57
nl NED,MF,Mainz 05,28,1995,3,0,54,60,57,78,7
gr GRE,DF,gr Olympiacos,20,2002,1,0,14,21,12,60,38
nl NED,MO,nl Ajax,19,2003,2,0,59,37,78,9,50
xk KVX,MO,xk KF Ballkani Therandë,25,1998,3,0,33,37,9,7,22
al ALB,FW,be Antwerp,24,1998,5,4,357,50,40,77,46
al ALB,FW,hr Dinamo Zagreb,24,1998,4,4,271,60,65,76,58
xk KVX,DF,xk KF Ballkani Therandë,29,1994,3,1,142,39,52,42,44
eng ENG,MF,be Gent,21,2002,6,5,475,56,64,81,42
tr TUR,MO,Real Madrid,18,2005,10,4,377,87,47,68,55
al ALB,DF,Empoli,26,1996,26,23,2045,30,32,23,56
es ESP,DF,Rayo Vallecano,34,1989,19,19,1690,25,26,15,38
xk KVX,GK,Burnley,24,1998,10,10,900,68,80,58,79
de GER,MO,Frosinone,17,2005,16,5,474,55,66,59,52
es ESP,DF,es Real Sociedad,29,1994,20,9,984,49,56,50,55
pl POL,FW,Juventus,29,1994,32,7,919,65,63,43,64
fr FRA,FW,Sassuolo,24,1998,37,35,2908,53,70,76,57
al ALB,FW,Chelsea,21,2001,21,6,542,50,53,63,34
it ITA,DF,Monza,31,1992,23,20,1650,42,54,36,49
nl NED,DF,nl PSV Eindhoven,24,1999,2,1,91,49,41,39,32
de GER,DF,nl PSV Eindhoven,21,2001,2,1,84,37,24,15,56
ci CIV,DF,md Sheriff Tiraspol,22,2001,5,4,414,36,36,56,58
xk KVX,MF,xk KF Ballkani Therandë,30,1992,6,5,451,38,58,61,49
es ESP,DF,Girona,20,2003,21,14,1241,43,83,60,43
es ESP,MO,Almería,22,2001,11,3,255,18,40,30,44
es ESP,GK,Paris S-G,22,2001,6,5,529,55,80,48,33
fr FRA,FW,Rennes,21,2002,36,29,2442,64,58,48,44
fr FRA,MO,Montpellier,25,1998,20,15,1246,77,66,83,40
nl NED,MO,Everton,26,1997,14,5,595,56,23,56,40
