Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Line Index,Passes Index
ca CAN,GK,sk Slovan Bratislava,35,1987,7,7,593,46,59
rs SRB,GK,it Roma,23,1999,29,29,2640,72,41
de GER,GK,Gladbach,25,1997,27,27,2430,53,53
sn SEN,GK,Clermont Foot,30,1993,30,30,2700,70,69
ua UKR,GK,ua Zorya Luhansk,21,2002,5,5,450,38,34
rs SRB,GK,rs Čukarički,36,1987,3,2,241,45,67
rs SRB,GK,rs Čukarički,36,1987,3,3,209,61,64
br BRA,GK,Bournemouth,34,1989,32,32,2880,60,58
eng ENG,GK,Newcastle Utd,31,1992,20,20,1795,63,36
it ITA,GK,Bologna,19,2004,1,0,5,56,70
it ITA,GK,Genoa,30,1993,3,2,176,57,64
fi FIN,GK,fi HJK,38,1985,4,4,282,49,34
it ITA,GK,Napoli,27,1996,1,0,17,37,14
ru RUS,GK,no Bodø/Glimt,28,1995,4,4,360,50,52
de GER,GK,de Leverkusen,30,1993,1,1,90,28,26
rs SRB,GK,rs TSC,26,1996,1,1,90,43,53
se SWE,GK,fo KÍ,32,1991,6,6,540,61,67
de GER,GK,Freiburg,21,2002,44,44,3990,53,66
be BEL,GK,be Club Brugge,25,1997,4,4,360,45,72
gr GRE,GK,Nott'ham Forest,29,1994,5,5,450,30,62
ua UKR,GK,ua Zorya Luhansk,19,2003,1,1,89,45,59
de GER,GK,Hoffenheim,33,1990,34,34,3060,64,71
dk DEN,GK,it Fiorentina,24,1999,8,8,720,36,57
no NOR,GK,no Molde,21,2001,9,8,770,42,36
il ISR,GK,rs Red Star,27,1996,6,6,540,51,48
pa PAN,GK,il Maccabi Tel Aviv,28,1994,4,4,360,65,64
es ESP,GK,Marseille,28,1994,46,46,4139,45,36
fr FRA,GK,be Gent,29,1994,2,2,159,36,33
ar ARG,GK,Girona,31,1992,38,38,3420,67,51
at AUT,GK,Wolfsburg,35,1987,9,9,810,27,47
es ESP,GK,Villarreal,40,1982,9,9,810,49,38
se SWE,GK,se Häcken,35,1988,6,6,540,31,43
dk DEN,GK,cz Sparta Prague,25,1998,10,10,900,46,65
ch SUI,GK,Monaco,25,1998,22,22,1980,60,36
it ITA,GK,Napoli,28,1995,7,7,630,42,50
it ITA,GK,it Fiorentina,33,1990,42,42,3840,54,51
rs SRB,GK,Mallorca,27,1995,36,36,3240,55,70
