Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
Sébastien Haller,ci CIV,MO,de Dortmund,29,1994,18,5,460,46,49,44,38
Sérgio Oliveira,pt POR,MF,tr Galatasaray,31,1992,6,0,158,50,89,82,51
Tadeo Allende,ar ARG,MO,Celta Vigo,24,1999,10,2,336,43,24,39,53
Tahith Chong,nl NED,MO,Luton Town,23,1999,33,20,1982,48,35,44,57
Taison,br BRA,FW,gr PAOK,35,1988,10,9,770,56,95,81,57
Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,25,1997,20,12,1042,65,49,30,58
Tajon Buchanan,ca CAN,MF,be Club Brugge,24,1999,13,2,375,87,51,85,32
Takefusa Kubo,jp JPN,MO,es Real Sociedad,22,2001,38,31,2709,78,73,86,43
Takehiro Tomiyasu,jp JPN,DF,eng Arsenal,24,1998,28,15,1537,77,81,68,41
Takuma Asano,jp JPN,MO,Bochum,28,1994,29,26,1986,54,27,49,28
Takumi Minamino,jp JPN,MF,Monaco,28,1995,30,25,2117,90,70,77,26
Takuro Kaneko,jp JPN,FW,hr Dinamo Zagreb,26,1997,8,5,443,82,70,90,71
Takuya Ogiwara,jp JPN,DF,hr Dinamo Zagreb,23,1999,2,0,21,52,22,56,27
Tammy Abraham,eng ENG,FW,Roma,25,1997,12,2,325,38,29,40,53
Tanguy Coulibaly,fr FRA,MO,Montpellier,22,2001,16,7,623,53,36,75,72
Tanguy Ndombele,fr FRA,MF,tr Galatasaray,26,1996,5,1,93,23,27,50,66
Tanguy Nianzou,fr FRA,DF,es Sevilla,21,2002,10,3,351,38,35,45,74
Taras Stepanenko,ua UKR,MF,ua Shakhtar,33,1989,8,8,647,27,37,18,71
Tarik Tissoudali,ma MAR,FW,be Gent,30,1993,8,6,584,72,86,85,47
Tariq Lamptey,gh GHA,MF,Brighton,22,2000,23,13,1190,40,51,76,53
Tawanda Chirewa,zw ZIM,MO,Wolves,19,2003,8,1,145,27,44,28,69
Tayfur Bingöl,tr TUR,MF,tr Beşiktaş,30,1993,3,2,205,86,63,90,58
Teddy Teuma,mt MLT,MF,Reims,29,1993,28,25,2113,84,82,71,56
Teden Mengi,eng ENG,DF,Luton Town,21,2002,30,28,2469,56,33,32,55
Terem Moffi,ng NGA,FW,Nice,24,1999,30,23,1949,58,46,46,41
Tetê,br BRA,FW,tr Galatasaray,23,2000,7,3,252,65,60,69,78
Teun Koopmeiners,nl NED,MF,Atalanta,25,1998,46,39,3546,87,80,80,39
Theo Corbeanu,ca CAN,MO,Granada,21,2002,9,2,182,62,36,44,73
Theo Hernández,fr FRA,DF,it Milan,25,1997,44,43,3871,81,86,89,26
Theocharis Tsingaras,gr GRE,MF,gr PAOK,22,2000,4,3,206,29,35,50,30
Therence Koudou,fr FRA,DF,Reims,18,2004,9,3,314,53,66,82,23
Thiago,br BRA,FW,be Club Brugge,22,2001,10,10,754,59,39,53,72
Thiago Alcántara,es ESP,MF,Liverpool,32,1991,1,0,6,28,10,7,7
Thiago Silva,br BRA,DF,Chelsea,38,1984,31,28,2527,70,59,29,40
Thibault De Smet,be BEL,DF,Reims,25,1998,27,22,1831,39,62,65,64
Thibaut Courtois,be BEL,GK,es Real Madrid,31,1992,5,5,422,53,55,43,47
Thierry Correia,pt POR,DF,Valencia,24,1999,31,25,2154,53,70,70,61
Thijs Dallinga,nl NED,FW,Toulouse,22,2000,41,36,3163,60,45,42,64
Thilo Kehrer,de GER,DF,Monaco,26,1996,24,18,1610,70,65,63,70
Thomas Beelen,nl NED,DF,nl Feyenoord,22,2001,3,3,288,33,23,36,37
Thomas Cannon,ie IRL,FW,Everton,20,2002,1,0,1,24,13,7,13
Thomas Delaine,fr FRA,MF,Strasbourg,31,1992,27,24,2044,52,51,76,41
Thomas Foket,be BEL,DF,Reims,28,1994,27,22,1833,42,60,66,42
Thomas Goiginger,at AUT,FW,at LASK,30,1993,2,0,57,25,13,28,56
Thomas Henry,fr FRA,FW,Hellas Verona,28,1994,18,2,334,52,26,28,32
Thomas Isherwood,se SWE,DF,Darmstadt 98,25,1998,12,8,636,33,30,35,44
Thomas Kaminski,be BEL,GK,Luton Town,30,1992,38,38,3405,54,67,66,70
Thomas Keller,de GER,MO,Heidenheim,23,1999,2,0,2,23,38,33,8
Thomas Kristensen,dk DEN,DF,Udinese,21,2002,26,23,2096,32,31,41,63
Thomas Lemar,fr FRA,MF,Atlético Madrid,27,1995,3,3,164,31,53,72,14
Thomas Meunier,be BEL,DF,Dortmund,31,1991,8,7,586,46,68,79,21
Thomas Murg,at AUT,MF,gr PAOK,28,1994,7,4,301,81,32,65,15
Thomas Müller,de GER,MF,de Bayern Munich,33,1989,40,24,2080,82,79,78,38
Thomas Partey,gh GHA,MF,eng Arsenal,30,1993,15,9,793,45,64,66,54
Thomas Strakosha,al ALB,GK,Brentford,28,1995,2,1,135,40,47,43,34
Thomas van den Belt,nl NED,MF,nl Feyenoord,22,2001,1,0,36,28,23,71,20
Thorgan Hazard,be BEL,DF,Dortmund,30,1993,1,0,7,29,27,47,4
Théo Le Bris,fr FRA,MF,Lorient,20,2002,26,15,1516,36,49,82,54
Théo Magnin,ch SUI,MF,ch Servette FC,19,2003,6,5,428,25,36,43,63
Théo Sainte-Luce,fr FRA,DF,Montpellier,24,1998,6,3,346,34,42,70,65
Tiago Dantas,pt POR,MF,nl AZ Alkmaar,22,2000,4,2,196,46,68,62,13
Tiago Djaló,pt POR,DF,Juventus,23,2000,1,0,17,66,30,89,13
Tiago Ferreira,pt POR,FW,pt Sporting CP,21,2002,1,0,21,50,74,74,60
Tiago Fonseca Morais,pt POR,FW,Lille,19,2003,3,0,46,29,47,52,69
Tiago Gouveia,pt POR,FW,pt Benfica,22,2001,5,0,39,37,35,66,56
Tiago Santos,pt POR,DF,fr Lille,21,2002,38,35,3142,81,74,91,49
Tiago Tomás,pt POR,MO,Wolfsburg,21,2002,26,11,1032,43,30,58,35
Tibe De Vlieger,be BEL,DF,be Gent,17,2005,1,0,35,56,72,61,4
Tibor Halilović,hr CRO,MF,hr Dinamo Zagreb,28,1995,6,0,71,76,59,74,33
Tiemoko Ouattara,ch SUI,DF,ch Servette FC,18,2005,1,0,1,29,11,47,4
Tiemoué Bakayoko,fr FRA,MF,Lorient,28,1994,20,15,1314,54,40,35,61
Tigran Barseghyan,am ARM,FW,sk Slovan Bratislava,29,1993,8,7,583,43,77,66,47
Tijjani Noslin,nl NED,MO,Hellas Verona,24,1999,17,17,1339,73,48,38,48
Tijjani Reijnders,nl NED,MF,it Milan,25,1998,48,42,3710,77,77,79,29
Tim Breithaupt,de GER,MF,Augsburg,21,2002,16,6,629,25,34,16,77
Tim Drexler,de GER,DF,Hoffenheim,18,2005,8,6,573,43,26,27,58
Tim Iroegbunam,eng ENG,MF,eng Aston Villa,20,2003,14,2,295,29,18,28,74
Tim Kleindienst,de GER,FW,Heidenheim,27,1995,33,33,2869,50,54,45,65
Tim Oermann,de GER,DF,Bochum,19,2003,16,8,714,39,52,56,54
Tim Ream,us USA,DF,Fulham,35,1987,18,17,1503,48,42,45,40
Tim Siersleben,de GER,DF,Heidenheim,23,2000,14,10,910,28,52,37,57
Tim Skarke,de GER,MO,Darmstadt 98,26,1996,30,29,2404,62,44,50,39
Timi Elšnik,si SVN,MF,si Olimpija,25,1998,5,5,431,30,50,57,46
Timo Hübers,de GER,DF,Köln,27,1996,31,31,2778,35,46,38,86
Timo Werner,de GER,MO,de RB Leipzig,27,1996,25,12,1066,67,66,88,35
Timon Wellenreuther,de GER,GK,nl Feyenoord,27,1995,4,4,390,40,48,43,34
Timothy Castagne,be BEL,DF,Fulham,27,1995,34,29,2634,62,60,69,45
Timothy Chandler,us USA,MF,de Eint Frankfurt,33,1990,8,0,40,59,95,72,25
Timothy Weah,us USA,MF,Juventus,23,2000,30,12,1258,40,53,68,54
Timothé Cognat,fr FRA,MF,ch Servette FC,25,1998,10,5,591,77,70,82,52
Tin Jedvaj,hr CRO,DF,gr Panathinaikos,27,1995,4,4,360,38,69,52,38
Tino Kadewere,zw ZIM,MO,Lyon,27,1996,25,10,1077,37,47,40,58
Tjaronn Chery,sr SUR,MO,il Maccabi Haifa,35,1988,4,3,264,56,53,20,24
Tobias Gulliksen,no NOR,MO,no Bodø/Glimt,20,2003,7,1,190,57,65,85,45
Tobias Kempe,de GER,MF,Darmstadt 98,34,1989,24,15,1350,71,60,43,36
Tobias Lawal,at AUT,GK,at LASK,23,2000,6,6,540,52,39,43,36
Toby Alderweireld,be BEL,DF,be Antwerp,34,1989,5,5,450,47,63,36,56
Todd Cantwell,eng ENG,MO,sct Rangers,25,1998,4,3,184,68,38,60,36
Tolu Arokodare,ng NGA,FW,be Genk,22,2000,5,2,167,25,27,33,34
Tom Bischof,de GER,MO,Hoffenheim,18,2005,13,1,178,39,94,63,74
Tom Cairney,sct SCO,MF,Fulham,32,1991,34,14,1488,72,86,85,46
Tom Davies,eng ENG,MF,Sheffield Utd,25,1998,9,2,221,43,35,41,74
Tom Krauß,de GER,MF,Mainz 05,22,2001,29,13,1346,56,47,38,78
Tom Lawrence,wls WAL,MF,sct Rangers,29,1994,5,3,248,74,56,63,42
Tom Lockyer,wls WAL,DF,Luton Town,28,1994,14,14,1169,58,46,39,76
Tom Louchet,fr FRA,MF,Nice,20,2003,13,3,409,74,66,61,54
Toma Bašić,hr CRO,MF,Salernitana,26,1996,15,14,1162,31,49,39,47
Tomas Totland,no NOR,DF,se Häcken,24,1998,6,5,465,51,77,85,65
Tomasz Kędziora,pl POL,DF,gr PAOK,29,1994,8,7,619,63,54,51,44
