Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Line Index,Passes Index
Fernando Muslera,uy URU,GK,tr Galatasaray,37,1986,8,8,720,36,74
Filip Jørgensen,dk DEN,GK,Villarreal,21,2002,37,37,3330,51,56
Filip Marshall,eng ENG,GK,eng Aston Villa,20,2003,1,1,90,25,25
Filip Samurović,rs SRB,GK,rs Čukarički,20,2002,1,1,90,25,36
Finn Dahmen,de GER,GK,Augsburg,25,1998,31,31,2790,53,61
Fran Vieites,es ESP,GK,Betis,24,1999,4,3,315,72,36
Francesco Rossi,it ITA,GK,it Atalanta,32,1991,2,0,12,77,76
Franco Israel,uy URU,GK,pt Sporting CP,23,2000,4,4,360,65,53
Frederik Rønnow,dk DEN,GK,de Union Berlin,30,1992,39,39,3510,54,72
Gauthier Gallon,fr FRA,GK,fr Rennes,30,1993,1,1,90,36,62
Gianluigi Donnarumma,it ITA,GK,fr Paris S-G,24,1999,37,37,3249,74,35
Giorgi Mamardashvili,ge GEO,GK,Valencia,22,2000,37,37,3284,76,41
Giorgos Athanasiadis,gr GRE,GK,gr AEK Athens,30,1993,3,2,212,63,57
Gregor Kobel,ch SUI,GK,de Dortmund,25,1997,39,39,3445,68,60
Grégoire Coudert,fr FRA,GK,Brest,24,1999,3,2,181,63,68
Guglielmo Vicario,it ITA,GK,Tottenham,26,1996,38,38,3420,53,36
Guillaume Dietsch,fr FRA,GK,Metz,22,2001,1,0,73,39,57
Guillaume Restes,fr FRA,GK,Toulouse,18,2005,42,42,3780,43,20
Guillermo Ochoa,mx MEX,GK,Salernitana,38,1985,21,21,1890,29,30
Heinz Lindner,at AUT,GK,be Union SG,33,1990,2,2,180,61,13
Hendrik Van Crombrugge,be BEL,GK,be Genk,30,1993,2,2,180,88,32
Ionuț Radu,ro ROU,GK,Bournemouth,26,1997,2,2,180,17,38
Itamar Nitzan,il ISR,GK,il Maccabi Haifa,36,1987,1,1,90,39,58
Ivan Nevistić,hr CRO,GK,hr Dinamo Zagreb,25,1998,7,7,630,45,60
Ivan Provedel,it ITA,GK,it Lazio,29,1994,38,38,3419,53,39
Ivo Grbić,hr CRO,GK,Sheffield Utd,27,1996,9,9,771,34,49
Iván Cuéllar,es ESP,GK,Mallorca,39,1984,1,1,90,71,34
Iván Villar,es ESP,GK,Celta Vigo,26,1997,12,12,1014,35,27
Iñaki Peña,es ESP,GK,Barcelona,24,1999,12,12,1080,27,43
Jack Butland,eng ENG,GK,sct Rangers,30,1993,8,8,720,65,41
Jacob Karlstrom,no NOR,GK,no Molde,26,1997,2,2,130,46,77
James Shea,eng ENG,GK,Luton Town,32,1991,1,0,15,72,93
James Trafford,eng ENG,GK,Burnley,20,2002,28,28,2520,42,62
Jan Oblak,si SVN,GK,Atlético Madrid,30,1993,48,48,4350,56,31
Janis Blaswich,de GER,GK,de RB Leipzig,32,1991,26,26,2340,38,54
Jason Steele,eng ENG,GK,Brighton,32,1990,22,22,1980,26,41
Jaume Doménech,es ESP,GK,Valencia,32,1990,2,1,79,32,34
Jay Gorter,nl NED,GK,nl Ajax,23,2000,2,2,180,68,68
Jean Butez,fr FRA,GK,be Antwerp,28,1995,5,5,450,28,84
Jean-Louis Leca,fr FRA,GK,Lens,37,1985,1,1,90,9,18
Jens Grahl,de GER,GK,Eint Frankfurt,34,1988,4,3,315,69,35
Jeremías Ledesma,ar ARG,GK,Cádiz,30,1993,34,34,3048,62,64
Jesse Öst,fi FIN,GK,fi HJK,32,1990,3,2,258,36,36
Jesús Owono,gq EQG,GK,Alavés,22,2001,4,4,360,44,60
Jindřich Staněk,cz CZE,GK,cz Viktoria Plzeň,27,1996,5,5,450,37,59
Jiří Pavlenka,cz CZE,GK,Werder Bremen,31,1992,7,7,630,31,54
Joe Hart,eng ENG,GK,sct Celtic,36,1987,6,6,540,30,46
Jonas Omlin,ch SUI,GK,Gladbach,29,1994,7,7,630,33,63
Jordan Pickford,eng ENG,GK,Everton,29,1994,38,38,3420,63,74
Josep Martinez,es ESP,GK,Genoa,25,1998,36,36,3239,53,64
Josip Condric,hr CRO,GK,kz Astana FK,29,1993,6,6,540,37,27
José Sá,pt POR,GK,Wolves,30,1993,35,35,3037,69,31
Juan Musso,ar ARG,GK,it Atalanta,29,1994,23,23,2070,66,60
Julen Agirrezabala,es ESP,GK,Athletic Club,22,2000,4,2,238,38,75
Julian Faye-Lund,no NOR,GK,no Bodø/Glimt,24,1999,2,2,180,21,34
Justin Bijlow,nl NED,GK,nl Feyenoord,25,1998,4,4,360,45,29
Jérémy Frick,ch SUI,GK,ch Servette FC,30,1993,10,10,930,64,68
Kacper Tobiasz,pl POL,GK,pl Legia Warsaw,20,2002,6,6,540,34,25
Kamil Grabara,pl POL,GK,dk FC Copenhagen,24,1999,8,8,720,48,63
Kelle Roos,nl NED,GK,sct Aberdeen,31,1992,6,6,540,57,50
Kepa Arrizabalaga,es ESP,GK,Real Madrid,28,1994,18,17,1558,60,41
Kevin Müller,de GER,GK,Heidenheim,32,1991,34,34,3060,54,80
Kevin Trapp,de GER,GK,Eint Frankfurt,33,1990,39,39,3464,47,30
Keylor Navas,cr CRC,GK,Paris S-G,36,1986,4,4,360,28,23
Kjell Scherpen,nl NED,GK,at Sturm Graz,23,2000,6,6,540,73,37
Kjetil Haug,no NOR,GK,no Bodø/Glimt,25,1998,2,2,210,31,32
Koen Casteels,be BEL,GK,Wolfsburg,31,1992,25,25,2250,53,74
Kostas Tzolakis,gr GRE,GK,gr Olympiacos,20,2002,6,6,630,85,43
Lapo Nava,it ITA,GK,Milan,19,2004,1,0,3,15,72
Lorenzo Montipò,it ITA,GK,Hellas Verona,27,1996,37,37,3330,42,63
Loris Karius,de GER,GK,Newcastle Utd,30,1993,1,1,90,29,32
Luca Gemello,it ITA,GK,Torino,23,2000,2,2,180,27,62
Lucas Chevalier,fr FRA,GK,Lille,21,2001,40,40,3629,71,33
Luka Gugeshashvili,ge GEO,GK,az Qarabağ,24,1999,1,0,6,29,13
Lukáš Hrádecký,fi FIN,GK,Leverkusen,33,1989,33,33,2970,69,30
Luís Maximiano,pt POR,GK,Almería,24,1999,33,33,2970,48,51
Maarten Vandevoordt,be BEL,GK,be Genk,21,2002,4,4,360,72,53
Maduka Okoye,ng NGA,GK,Udinese,23,1999,21,21,1890,49,37
Maksym Koval,ua UKR,GK,md Sheriff Tiraspol,30,1992,6,6,540,34,66
Manuel Neuer,de GER,GK,de Bayern Munich,37,1986,32,32,2863,52,57
Manuel Riemann,de GER,GK,Bochum,34,1988,33,33,2970,43,76
Marc Martínez,es ESP,GK,Granada,33,1990,3,3,270,54,55
Marc-André ter Stegen,de GER,GK,Barcelona,31,1992,36,36,3240,60,54
Marcel Schuhen,de GER,GK,Darmstadt 98,30,1993,31,31,2790,42,85
Marcin Bułka,pl POL,GK,Nice,23,1999,34,34,3060,67,43
Marco Bizot,nl NED,GK,Brest,32,1991,32,32,2876,66,72
Marco Carnesecchi,it ITA,GK,it Atalanta,23,2000,28,28,2508,65,53
Marco Silvestri,it ITA,GK,Udinese,32,1991,17,17,1530,35,30
Marco Sportiello,it ITA,GK,it Milan,31,1992,9,7,710,42,52
Mark Flekken,nl NED,GK,Brentford,30,1993,37,37,3285,45,67
Mark Travers,ie IRL,GK,Bournemouth,24,1999,4,4,360,61,41
Marko Dmitrović,rs SRB,GK,Sevilla,31,1992,17,17,1530,41,48
Marko Marić,hr CRO,GK,ba Zrinjski Mostar,27,1996,6,6,540,34,25
Martin Dúbravka,sk SVK,GK,Newcastle Utd,34,1989,24,23,2075,57,36
Martin Jedlička,cz CZE,GK,cz Viktoria Plzeň,25,1998,4,4,420,88,75
Martin Trnovský,sk SVK,GK,sk Slovan Bratislava,23,2000,2,1,124,48,64
Marvin Schwäbe,de GER,GK,Köln,28,1995,34,34,3060,50,45
Massamba Ndiaye,sn SEN,GK,Clermont Foot,21,2001,4,4,360,74,72
Matej Kovar,cz CZE,GK,Leverkusen,23,2000,13,13,1170,78,45
Matevž Vidovšek,si SVN,GK,si Olimpija,23,1999,2,2,180,74,25
Matheus,br BRA,GK,pt Braga,31,1992,8,8,750,32,45
Mathew Ryan,au AUS,GK,nl AZ Alkmaar,31,1992,5,5,450,28,72
Mathieu Gorgelin,fr FRA,GK,Le Havre,32,1990,1,1,90,54,17
Matt Turner,us USA,GK,Nott'ham Forest,29,1994,17,17,1530,42,77
Mattia Perin,it ITA,GK,Juventus,30,1992,3,3,225,66,19
Matz Sels,be BEL,GK,Nott'ham Forest,31,1992,35,35,3150,26,45
Mert Günok,tr TUR,GK,tr Beşiktaş,34,1989,3,3,270,55,71
Michael Zetterer,de GER,GK,Werder Bremen,28,1995,27,27,2430,71,80
Michele Cerofolini,it ITA,GK,Frosinone,24,1999,8,7,675,33,16
Michele Di Gregorio,it ITA,GK,Monza,26,1997,33,33,2872,74,80
Mike Maignan,fr FRA,GK,it Milan,28,1995,41,41,3609,54,66
Milan Borjan,ca CAN,GK,sk Slovan Bratislava,35,1987,7,7,593,70,51
Mile Svilar,rs SRB,GK,it Roma,23,1999,29,29,2640,75,45
Moritz Nicolas,de GER,GK,Gladbach,25,1997,27,27,2430,46,59
Mory Diaw,sn SEN,GK,Clermont Foot,30,1993,30,30,2700,70,71
Mykyta Turbaievskyi,ua UKR,GK,ua Zorya Luhansk,21,2002,5,5,450,29,25
Nemanja Belić,rs SRB,GK,rs Čukarički,36,1987,3,2,241,29,62
Nenad Filipović,rs SRB,GK,rs Čukarički,36,1987,3,3,209,63,55
Neto,br BRA,GK,Bournemouth,34,1989,32,32,2880,59,57
Nick Pope,eng ENG,GK,Newcastle Utd,31,1992,20,20,1795,75,38
Nicola Bagnolini,it ITA,GK,Bologna,19,2004,1,0,5,53,59
Nicola Leali,it ITA,GK,Genoa,30,1993,3,2,176,71,64
Niki Mäenpää,fi FIN,GK,fi HJK,38,1985,4,4,282,57,29
Nikita Contini Baranovsky,it ITA,GK,Napoli,27,1996,1,0,17,52,16
Nikita Haikin,ru RUS,GK,no Bodø/Glimt,28,1995,4,4,360,49,59
Niklas Lomb,de GER,GK,de Leverkusen,30,1993,1,1,90,26,35
Nikola Simić,rs SRB,GK,rs TSC,26,1996,1,1,90,31,46
Nils Jonatan Johansson,se SWE,GK,fo KÍ,32,1991,6,6,540,68,61
Noah Atubolu,de GER,GK,Freiburg,21,2002,44,44,3990,46,67
Nordin Jackers,be BEL,GK,be Club Brugge,25,1997,4,4,360,42,78
Odysseas Vlachodimos,gr GRE,GK,Nott'ham Forest,29,1994,5,5,450,18,64
Oleksandr Saputin,ua UKR,GK,ua Zorya Luhansk,19,2003,1,1,89,60,54
Oliver Baumann,de GER,GK,Hoffenheim,33,1990,34,34,3060,64,73
Oliver Christensen,dk DEN,GK,it Fiorentina,24,1999,8,8,720,30,58
Oliver Petersen,no NOR,GK,no Molde,21,2001,9,8,770,35,30
Omri Glazer,il ISR,GK,rs Red Star,27,1996,6,6,540,47,47
Orlando Mosquera,pa PAN,GK,il Maccabi Tel Aviv,28,1994,4,4,360,81,66
Pau López,es ESP,GK,Marseille,28,1994,46,46,4139,44,36
Paul Nardi,fr FRA,GK,be Gent,29,1994,2,2,159,31,30
Paulo Gazzaniga,ar ARG,GK,Girona,31,1992,38,38,3420,73,55
Pavao Pervan,at AUT,GK,Wolfsburg,35,1987,9,9,810,20,54
Pepe Reina,es ESP,GK,Villarreal,40,1982,9,9,810,45,44
Peter Abrahamsson,se SWE,GK,se Häcken,35,1988,6,6,540,19,46
Peter Vindahl Jensen,dk DEN,GK,cz Sparta Prague,25,1998,10,10,900,30,65
Philipp Köhn,ch SUI,GK,Monaco,25,1998,22,22,1980,60,36
Pierluigi Gollini,it ITA,GK,Napoli,28,1995,7,7,630,55,51
Pietro Terracciano,it ITA,GK,it Fiorentina,33,1990,42,42,3840,58,59
Predrag Rajković,rs SRB,GK,Mallorca,27,1995,36,36,3240,56,64
Péter Gulácsi,hu HUN,GK,de RB Leipzig,33,1990,16,16,1440,63,24
Radosław Majecki,pl POL,GK,Monaco,23,1999,12,12,1080,81,40
Raffaele Di Gennaro,it ITA,GK,Inter,29,1993,1,0,23,69,75
Raúl Fernández,es ESP,GK,Granada,35,1988,4,4,280,29,39
Remi Matthews,eng ENG,GK,Crystal Palace,29,1994,1,0,4,19,21
Robert Sánchez,es ESP,GK,Chelsea,25,1997,16,16,1433,60,62
Robin Olsen,se SWE,GK,Aston Villa,33,1990,7,6,585,30,53
Robin Zentner,de GER,GK,Mainz 05,28,1994,30,30,2700,65,64
Roei Mashpati,il ISR,GK,il Maccabi Tel Aviv,30,1992,4,4,390,17,27
Rome-Jayden Owusu-Oduro,nl NED,GK,nl AZ Alkmaar,19,2004,1,1,90,23,70
Rubén Blanco,es ESP,GK,Marseille,28,1995,3,2,211,40,41
Rui Patrício,pt POR,GK,Roma,35,1988,23,23,2070,44,41
Rui Silva,pt POR,GK,Betis,29,1994,34,34,3015,64,46
Rémy Descamps,fr FRA,GK,Nantes,27,1996,6,6,540,71,68
Rémy Riou,fr FRA,GK,Lyon,35,1987,3,3,270,36,23
Sam Johnstone,eng ENG,GK,Crystal Palace,30,1993,20,20,1796,39,44
Samuele Perisan,it ITA,GK,Empoli,25,1997,1,1,90,16,23
Senne Lammens,be BEL,GK,be Antwerp,21,2002,1,1,90,44,60
Sergio Herrera,es ESP,GK,Osasuna,30,1993,32,32,2869,55,70
Sergio Padt,nl NED,GK,bg Ludogorets,33,1990,5,5,450,37,48
Shareef Keouf,il ISR,GK,il Maccabi Haifa,22,2001,9,9,810,62,57
Simon Mignolet,be BEL,GK,be Club Brugge,35,1988,8,8,720,72,63
Simon Sluga,hr CRO,GK,bg Ludogorets,30,1993,3,3,270,51,39
Simone Aresti,it ITA,GK,Cagliari,37,1986,1,0,1,30,21
Simone Perilli,it ITA,GK,Hellas Verona,28,1995,1,1,90,64,55
Simone Scuffet,it ITA,GK,Cagliari,27,1996,31,31,2789,29,44
Stefan Ortega,de GER,GK,Manchester City,30,1992,12,8,905,53,65
Stefano Turati,it ITA,GK,Frosinone,21,2001,31,31,2745,33,32
Steve Mandanda,fr FRA,GK,Rennes,38,1985,41,41,3690,49,44
Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,29,1993,37,37,3330,59,43
Sven Ulreich,de GER,GK,de Bayern Munich,34,1988,14,14,1260,51,45
Thibaut Courtois,be BEL,GK,Real Madrid,31,1992,5,5,422,82,49
Thomas Kaminski,be BEL,GK,Luton Town,30,1992,38,38,3405,37,62
Thomas Strakosha,al ALB,GK,Brentford,28,1995,2,1,135,44,73
Timon Wellenreuther,de GER,GK,nl Feyenoord,27,1995,4,4,390,39,51
Tobias Lawal,at AUT,GK,at LASK,23,2000,6,6,540,45,23
Tommaso Martinelli,it ITA,GK,Fiorentina,17,2006,1,1,90,12,42
Tomáš Koubek,cz CZE,GK,Augsburg,30,1992,3,3,270,31,48
Unai Marrero,es ESP,GK,Real Sociedad,21,2001,2,1,142,37,54
Unai Simón,es ESP,GK,Athletic Club,26,1997,36,36,3182,73,56
Vanja Milinković-Savić,rs SRB,GK,Torino,26,1997,36,36,3240,72,72
Vaná,br BRA,GK,cy Aris Limassol FC,32,1991,6,6,540,67,47
Veljko Ilic,rs SRB,GK,rs TSC,20,2003,5,5,450,24,38
Vicente Guaita,es ESP,GK,Celta Vigo,36,1987,27,26,2403,61,56
Viktor Baier,cz CZE,GK,cz Viktoria Plzeň,18,2005,3,3,270,74,43
Vincenzo Fiorillo,it ITA,GK,Salernitana,33,1990,4,4,360,42,39
Vitezslav Jaros,cz CZE,GK,at Sturm Graz,22,2001,4,4,360,74,33
Vito Mannone,it ITA,GK,Lille,35,1988,5,4,361,76,30
Vladan Kovačević,ba BIH,GK,pl Raków,25,1998,6,6,540,68,41
Walter Benítez,ar ARG,GK,nl PSV Eindhoven,30,1993,8,8,720,30,45
Wes Foderingham,eng ENG,GK,Sheffield Utd,32,1991,30,29,2649,42,54
Wladimiro Falcone,it ITA,GK,Lecce,28,1995,38,38,3420,48,36
Wojciech Szczęsny,pl POL,GK,Juventus,33,1990,35,35,3150,56,48
Yann Sommer,ch SUI,GK,it Inter,34,1988,41,41,3720,71,44
Yassine Bounou,ma MAR,GK,Sevilla,32,1991,1,1,90,9,56
Yehvann Diouf,sn SEN,GK,Reims,23,1999,34,34,3060,53,54
Yuri Lodygin,ru RUS,GK,gr Panathinaikos,33,1990,1,1,90,23,50
Yvon Mvogo,ch SUI,GK,Lorient,29,1994,34,34,3060,47,51
Álex Remiro,es ESP,GK,Real Sociedad,28,1995,45,45,3995,65,57
Álvaro Vallés,es ESP,GK,Las Palmas,26,1997,37,37,3263,69,56
Ørjan Nyland,no NOR,GK,Sevilla,32,1990,26,26,2340,64,63
Đorđe Petrović,rs SRB,GK,Chelsea,23,1999,23,22,1987,40,37
İrfan Can Eğribayat,tr TUR,GK,tr Fenerbahçe,25,1998,4,4,360,65,52
Łukasz Fabiański,pl POL,GK,West Ham,38,1985,19,16,1531,62,60
Łukasz Skorupski,pl POL,GK,Bologna,32,1991,32,32,2880,52,37
