Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
es ESP,MO,Vizela,24,1999,21,9,903,62,57,45,58
pt POR,DF,Vitória,19,2003,1,0,15,21,20,63,3
se SWE,MF,Spezia,34,1989,9,3,332,37,55,50,61
mx MEX,DF,Querétaro,18,2004,1,0,2,21,30,62,3
pe PER,MF,pe Alianza Lima,26,1998,3,0,6,71,11,15,35
pe PER,DF,pe Universitario,34,1989,6,6,495,55,29,29,54
mx MEX,DF,FC Juárez,25,1997,21,16,1349,65,61,61,23
it ITA,MO,Cosenza,21,2002,28,11,1070,30,43,33,61
mx MEX,MF,Santos,23,2000,28,15,1456,43,44,41,55
mx MEX,MF,Atlas,30,1992,29,27,2357,62,54,43,28
us USA,GK,FC Cincinnati,33,1990,3,3,270,40,41,41,39
us USA,GK,Minnesota Utd,24,1999,3,3,270,40,41,40,41
be BEL,DF,Twente,24,1998,19,3,566,48,43,42,45
mx MEX,MF,Necaxa,21,2001,20,9,830,60,23,37,68
ve VEN,GK,ve Dep Táchira,28,1995,2,2,180,40,44,53,32
us USA,MF,Philadelphia Union,36,1987,30,13,1455,79,68,57,54
es ESP,MF,Reggiana,24,1998,9,1,299,62,32,70,27
cr CRC,MF,Minnesota Utd,22,2001,11,6,430,61,39,42,39
mx MEX,DF,Tijuana,21,2002,8,7,595,49,63,57,65
ar ARG,DF,Banfield,26,1997,17,15,1371,53,27,32,69
ve VEN,FW,Estoril,22,2000,31,13,1361,57,40,20,53
ar ARG,MO,Tijuana,26,1997,36,25,2184,56,49,65,49
mx MEX,DF,Necaxa,26,1997,15,10,822,61,52,74,59
ar ARG,DF,Belgrano,35,1988,18,17,1453,38,44,34,50
cl CHI,GK,cl Cobresal,21,2002,1,1,90,40,52,51,32
uy URU,MF,py Libertad,34,1989,1,1,90,61,34,69,30
us USA,MO,América,25,1998,30,20,1768,74,79,70,67
uy URU,MO,Atl Goianiense,23,2000,36,22,2156,43,72,57,68
ar ARG,MO,Vélez Sarsfield,18,2006,4,0,85,20,13,7,6
mx MEX,DF,Necaxa,20,2003,1,0,7,59,59,67,59
rs SRB,MO,Vizela,25,1997,19,8,767,15,34,21,81
rs SRB,DF,Kortrijk,29,1993,11,11,985,31,27,31,86
ru RUS,MO,Atlanta Utd,28,1995,9,8,748,71,80,59,28
br BRA,DF,Portimonense,20,2002,27,27,2367,58,29,31,68
hr CRO,MO,Fortuna Sittard,27,1996,31,25,2096,54,68,39,38
hn HON,FW,Sporting KC,20,2003,20,8,633,59,63,75,55
br BRA,FW,Vitória,24,2000,34,32,2387,64,62,29,62
it ITA,MO,Pisa,22,2000,25,18,1534,58,61,62,45
it ITA,FW,Cosenza,20,2003,4,2,175,45,25,40,69
it ITA,MF,Como,27,1995,36,33,2785,56,45,31,41
it ITA,MF,Reggiana,20,2002,35,35,3011,62,67,65,45
it ITA,DF,Calcio Lecco 1912,24,1999,23,22,1917,43,25,37,37
ca CAN,MF,CF Montréal,17,2006,2,0,16,38,28,16,65
it ITA,DF,Calcio Lecco 1912,27,1995,30,30,2624,70,73,67,36
it ITA,DF,Ternana,29,1994,16,9,829,65,54,63,40
au AUS,DF,Parma,19,2003,29,28,2527,43,24,36,39
it ITA,MF,Pisa,31,1992,4,1,100,30,44,19,33
it ITA,DF,Cosenza,20,2003,21,11,1074,39,47,48,70
it ITA,MO,Como,29,1994,37,23,1949,74,50,29,41
it ITA,MF,Südtirol,24,1999,10,3,383,37,36,65,61
it ITA,DF,Reggiana,20,2002,35,35,2913,49,45,42,57
it ITA,GK,Cosenza,30,1993,37,37,3296,56,57,66,47
it ITA,MO,FeralpiSalò,20,2003,15,0,157,81,34,86,91
it ITA,DF,FeralpiSalò,23,2000,21,16,1494,34,41,40,60
it ITA,DF,Modena,21,2002,24,17,1597,35,34,50,50
it ITA,DF,Cittadella,35,1988,29,28,2419,63,67,57,59
at AUT,MF,Vancouver W'caps,29,1994,30,23,1938,66,66,70,35
it ITA,MF,Calcio Lecco 1912,21,2002,33,25,2256,61,37,31,79
it ITA,DF,Cremonese,33,1990,4,1,152,39,60,40,85
it ITA,MF,Palermo,20,2002,10,4,476,63,48,62,42
be BEL,DF,Gent,26,1997,25,23,1940,84,83,84,67
it ITA,DF,Como,32,1991,26,18,1542,64,80,69,54
it ITA,DF,Cittadella,20,2003,9,7,499,53,58,71,35
it ITA,MF,Cittadella,30,1993,35,33,2963,77,69,57,35
cv CPV,MO,Fortuna Sittard,26,1997,16,3,415,42,49,34,43
py PAR,FW,ec LDU de Quito,28,1995,6,6,510,62,53,37,61
sl SLE,DF,Middlesbrough,24,1999,14,6,585,88,60,90,27
us USA,GK,D.C. United,29,1994,29,29,2610,52,62,56,60
it ITA,DF,Sampdoria,29,1994,3,3,239,27,36,34,47
us USA,MF,Orlando City,19,2004,2,0,10,71,51,48,19
ar ARG,MO,Barracas Central,19,2004,8,2,248,34,43,45,63
ar ARG,MO,Independiente,19,2004,16,8,648,50,42,47,63
eng ENG,MF,Huddersfield,18,2004,19,15,1278,51,26,34,68
eng ENG,GK,Southampton,33,1989,5,5,450,40,44,48,44
us USA,MO,Vizela,22,2000,12,3,373,35,84,43,55
eng ENG,MF,Kortrijk,21,2002,10,2,244,43,43,75,27
co COL,DF,co Millonarios,22,2002,2,2,180,21,37,31,64
eng ENG,MF,West Brom,28,1995,43,35,3247,59,80,53,48
us USA,MO,Nashville SC,28,1995,34,27,2302,44,45,31,67
eng ENG,GK,West Brom,26,1996,46,46,4140,58,59,64,47
eng ENG,MO,Sunderland,30,1993,32,12,1461,46,86,52,46
ec ECU,DF,ec Barcelona,21,2002,3,3,269,27,28,30,56
sv SLV,DF,Seattle Sounders,27,1996,29,27,2284,68,68,80,49
br BRA,DF,Flamengo,33,1991,10,7,645,68,94,88,42
br BRA,MO,Ath Paranaense,28,1995,16,6,670,20,36,29,66
br BRA,MO,Vasco da Gama,34,1990,7,2,238,63,57,55,59
br BRA,MF,Botafogo (RJ),31,1992,16,13,1031,66,63,58,51
ar ARG,DF,Talleres,24,1999,8,5,461,53,62,63,66
ec ECU,MF,ec LDU de Quito,24,1999,3,0,33,58,81,98,21
cl CHI,MO,Grêmio,21,2002,16,11,770,58,51,56,39
dk DEN,DF,Benfica,25,1997,19,18,1517,83,84,76,72
ar ARG,DF,Botafogo (RJ),28,1995,37,32,2875,58,59,47,59
ec ECU,MO,ec Independiente,24,1999,3,0,88,25,22,76,11
ec ECU,GK,ec LDU de Quito,36,1987,6,6,540,49,44,40,33
ar ARG,MO,Deportivo Riestra,24,2000,15,3,510,58,28,63,74
ie IRL,MO,Middlesbrough,21,2001,12,2,233,63,88,60,81
se SWE,DF,Brescia,25,1998,24,22,1817,78,58,70,36
fi FIN,MF,Austin,32,1991,34,29,2596,63,69,46,40
pt POR,MF,Estoril,32,1991,6,2,249,38,27,39,47
pt POR,DF,AZ Alkmaar,21,2001,25,19,1756,38,62,36,34
pt POR,DF,Gil Vicente FC,25,1998,14,13,1064,45,52,65,63
ar ARG,DF,Internacional,23,2000,23,23,2063,92,88,80,58
gr GRE,DF,Real Salt Lake,25,1998,29,23,1994,85,76,72,42
ro ROU,MF,Columbus Crew,24,1999,28,17,1441,83,78,83,32
mx MEX,MO,Pachuca,18,2005,20,7,800,46,77,79,70
ar ARG,FW,Tijuana,31,1992,16,5,531,49,72,64,73
ar ARG,MF,uy Nacional,29,1994,7,7,507,77,49,54,64
ar ARG,FW,San Lorenzo,23,2000,31,27,2216,59,34,63,77
be BEL,MF,RWDM,26,1996,7,5,484,53,62,54,62
ar ARG,MO,Barracas Central,27,1996,14,7,746,32,34,12,43
it ITA,FW,Ternana,28,1995,1,1,45,37,49,17,25
fr FRA,MO,Anderlecht,23,2000,12,5,381,46,62,69,60
mx MEX,DF,Necaxa,27,1996,34,34,3060,48,28,28,56
mx MEX,MO,Cruz Azul,23,2000,26,11,1063,22,56,52,34
