Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Line Index,Passes Index
br BRA,GK,Moreirense,27,1995,30,30,2686,53,72
jp JPN,GK,Portimonense,28,1995,20,20,1800,45,51
hr CRO,GK,Charlotte,31,1992,34,34,3060,69,46
no NOR,GK,Leeds United,22,2000,1,1,90,40,29
de GER,GK,Twente,33,1990,32,32,2880,62,48
be BEL,GK,Standard Liège,30,1992,1,1,90,38,25
ar ARG,GK,Cen. Córdoba–SdE,21,2002,1,1,90,17,55
ar ARG,GK,Vélez Sarsfield,20,2003,1,0,39,27,11
ar ARG,GK,Talleres,24,1999,1,1,90,21,10
ar ARG,GK,Boca Juniors,21,2002,12,11,999,78,26
ar ARG,GK,Parma,33,1990,37,36,3252,53,69
ar ARG,GK,cl Cobresal,36,1987,5,5,450,53,67
eng ENG,GK,Huddersfield,30,1992,37,37,3305,38,65
br BRA,GK,Ath Paranaense,22,2001,14,14,1223,41,43
it ITA,GK,Pisa,24,1999,7,7,630,36,34
it ITA,GK,Cosenza,25,1998,2,1,124,72,47
se SWE,GK,Blackburn,24,1999,21,20,1829,51,40
it ITA,GK,Brescia,28,1995,9,9,765,38,47
it ITA,GK,Brescia,28,1995,25,25,2250,55,50
it ITA,GK,Cittadella,28,1995,3,3,270,58,48
ar ARG,GK,Sarmiento,28,1995,23,23,2070,62,53
br BRA,GK,Vitória,25,1998,37,37,3330,47,34
ar ARG,GK,Newell's OB,34,1989,11,11,976,59,55
br BRA,GK,Casa Pia,25,1997,4,3,273,39,48
be BEL,GK,Kortrijk,28,1995,9,9,810,66,76
br BRA,GK,RB Bragantino,22,2001,8,6,631,45,32
us USA,GK,NYCFC,27,1996,1,0,79,26,42
mx MEX,GK,Monterrey,29,1993,2,2,180,70,57
ar ARG,GK,Cen. Córdoba–SdE,24,2000,26,26,2340,55,36
pa PAN,GK,uy Nacional,32,1991,8,8,720,40,22
mx MEX,GK,América,26,1997,29,29,2565,53,37
br BRA,GK,Famalicão,22,2001,33,33,2970,69,67
ca CAN,GK,Toronto FC,23,2000,9,9,810,45,45
nl NED,GK,Fortuna Sittard,29,1993,5,5,450,52,51
br BRA,GK,Vasco da Gama,28,1995,38,38,3420,53,50
id IDN,GK,FC Dallas,25,1998,30,30,2700,61,44
be BEL,GK,Genk,21,2002,30,30,2700,61,58
dk DEN,GK,Leicester City,23,2000,44,44,3960,57,38
br BRA,GK,Rio Ave,23,2000,7,7,630,39,40
gh GHA,GK,Eupen,24,1999,2,2,180,64,68
ar ARG,GK,Instituto,23,2000,27,27,2430,50,50
ar ARG,GK,Banfield,39,1984,2,2,118,27,39
br BRA,GK,Estoril,33,1990,22,22,1979,67,43
br BRA,GK,br Palmeiras,37,1986,2,2,180,30,26
ar ARG,GK,Barracas Central,26,1997,10,10,900,64,75
it ITA,GK,Bari,25,1998,6,5,481,34,38
br BRA,GK,Bahia,27,1996,34,34,2996,63,55
