Team,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Age_goal,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
ec Independiente,6,8,7.8,85,28,1,1,149,16,2822,3364,1205,1336,1238,1393,307,472,7,5.4,67,229,47,15,259,102,255,92,60,51,24,17,43,86,43,43,40,77,0,3916,275,1011,2092,843,116,3915,106,52,2175,69,28,97,34,2796,13,0,0,69,73,8,1,1,0,238,72,83,48,9,13,4,1,1,1,0,0,6.6,17,41,139,14,33,61,1,8
ec LDU de Quito,6,6,7.9,97,25,1,1,168,7,1938,2536,821,925,788,959,289,507,2,5.9,75,180,57,25,213,93,213,74,47,22,40,12,34,78,44,68,44,71,3,3123,244,802,1499,854,133,3122,103,46,1491,78,13,102,45,1920,13,0,0,65,52,13,1,2,0,251,87,80,36,6,18,12,2,2,1,0,1,6.4,27,53,82,22,53,43,3,2
pe Alianza Lima,6,5,4.7,78,25,0,0,127,6,1316,1878,572,678,539,699,167,383,4,3.4,57,113,38,15,164,66,163,98,62,55,36,7,56,116,60,60,61,144,1,2534,309,904,1096,560,101,2534,99,56,1129,42,12,86,52,1303,16,0,0,77,76,11,0,0,0,254,95,86,54,7,20,13,1,0,0,0,0,5.3,29,81,112,20,41,89,2,3
pe Universitario,6,5,3.7,65,14,0,0,112,6,1572,2162,720,831,604,783,206,418,3,2.4,51,138,31,16,158,58,155,112,70,50,51,11,65,119,54,53,38,96,1,2745,239,742,1411,611,77,2745,70,35,1364,40,11,104,53,1557,15,1,1,73,67,7,0,0,0,260,90,103,36,9,17,8,0,0,0,0,0,8.6,35,82,85,14,47,76,8,3
py Cerro Porteño,6,4,3.3,62,18,0,0,96,8,1382,1993,533,672,573,733,222,452,4,3.3,37,136,38,16,147,68,146,109,74,61,36,12,45,104,59,79,42,128,3,2620,286,942,1155,556,79,2620,75,36,1128,41,9,87,48,1375,20,2,1,89,71,11,0,1,0,258,81,83,28,5,22,17,2,1,1,0,0,6.3,41,103,113,14,48,77,4,3
py Libertad,6,7,7.0,69,15,0,1,120,13,2462,3107,1155,1319,962,1139,267,465,7,6.3,53,195,50,20,225,81,221,104,55,53,41,10,48,102,54,58,57,127,0,3785,368,1176,1831,810,112,3784,89,45,1920,75,9,100,60,2439,15,0,0,69,57,11,0,0,0,290,115,106,25,8,28,20,1,0,0,0,0,9.3,38,80,154,17,52,76,1,4
uy Liverpool,6,6,3.6,64,16,0,0,99,7,1371,1969,591,696,574,742,188,440,1,1.3,32,131,14,2,148,56,148,106,77,57,44,5,68,114,46,63,38,129,4,2642,353,960,1215,502,50,2642,118,60,1217,44,12,90,52,1363,16,2,0,77,74,8,0,1,0,259,66,90,54,14,41,27,1,1,1,0,0,12.1,17,77,137,21,37,103,3,5
uy Nacional,8,8,12.5,114,28,1,1,189,13,2545,3405,1121,1302,1052,1293,299,604,6,8.7,81,252,63,21,329,109,324,136,80,41,66,29,62,117,55,83,64,111,2,4220,308,1093,2053,1136,177,4219,126,58,2356,85,16,141,61,2524,26,0,0,107,86,12,0,0,0,366,144,139,32,9,26,17,3,0,0,0,0,8.7,21,56,116,32,42,72,5,2
uy Peñarol,12,20,13.8,152,49,0,0,268,35,2934,4198,1308,1582,1121,1476,371,826,15,8.9,92,268,91,35,413,114,405,209,133,97,89,23,103,194,91,135,118,269,3,5620,588,1814,2495,1376,201,5620,178,71,2518,101,18,214,107,2902,28,1,0,132,168,18,0,1,0,553,179,171,59,12,46,34,6,1,1,0,0,13.1,42,170,196,39,101,182,15,11
ve Caracas,6,3,2.6,43,12,0,0,70,5,1410,1985,644,770,565,730,168,380,2,1.1,31,98,10,1,127,60,123,103,65,64,29,10,46,98,52,70,50,141,0,2682,388,1100,1157,453,48,2682,111,41,1226,50,14,93,53,1400,7,2,0,77,64,14,0,0,0,251,71,73,44,19,40,21,0,0,0,0,0,12.7,24,81,92,23,73,123,1,2
ve Dep Táchira,6,2,2.9,31,9,0,0,53,4,1758,2347,804,937,734,889,189,411,2,2.3,23,122,18,4,171,51,167,110,68,72,35,3,52,112,60,58,60,168,0,3023,410,1200,1455,408,38,3023,111,57,1565,42,9,101,51,1743,12,2,0,71,67,16,0,1,0,239,96,111,54,11,35,23,0,1,0,1,0,15.7,38,107,116,30,75,123,9,2
