Team,Matches Played,Goals,xG,Shots,Shots on Target,Penalties Scored,Penalties Attempted,Shot Creating Actions,Goal Creating Actions,Passes Completed (Total),Passes Attempted (Total),Passes Completed (Short),Passes Attempted (Short),Passes Completed (Medium),Passes Attempted (Medium),Passes Completed (Long),Passes Attempted (Long),Assists,Expected Assists (xA),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Progressive Carries,Progressive Passes Received,Tackles,Tackles Won,Tackles Defensive Third,Tackles Middle Third,Tackles Attacking Third,Challenges Tackled,Challenges Attempted,Challenges Lost,Blocks,Interceptions,Clearances,Errors,Touches,Touches Defensive Penalty Area,Touches Defensive Third,Touches Middle Third,Touches Attacking Third,Touches Attacking Penalty Area,Live-Ball Touches,Take-Ons Attempted,Successful Take-Ons,Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Yellow Cards,Red Cards,Second Yellow Cards,Fouls Committed,Fouls Drawn,Offsides,Penalties Won,Penalties Conceded,Own Goals,Ball Recoveries,Aerial Duels Won,Aerial Duels Lost,Age_goal,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions
pt Benfica,12,13,19.2,162,47,3,3,281,22,5241,6536,2408,2732,2118,2499,524,903,7,11.9,115,420,100,13,502,253,499,257,161,140,94,23,144,273,129,156,102,257,5,8075,875,2671,3535,1960,292,8071,262,116,5028,224,49,186,118,5207,19,2,0,104,148,17,1,4,0,675,145,164,42,16,57,41,2,4,2,0,2,21.0,43,118,291,55,98,173,6,9
pt Braga,8,11,12.8,127,36,2,3,235,20,3832,4603,1688,1857,1657,1849,398,663,8,9.6,98,347,90,34,415,162,411,152,85,71,60,21,76,155,79,89,56,129,1,5496,481,1473,2650,1412,219,5493,140,68,3344,121,31,114,72,3813,16,1,0,96,95,8,3,1,2,392,98,119,62,18,43,27,0,1,1,0,0,16.2,29,76,230,36,47,102,1,16
pt Porto,8,16,11.5,103,45,1,1,182,25,3051,3771,1287,1470,1303,1473,342,581,12,9.1,76,196,76,17,292,132,287,161,93,86,54,21,60,131,71,81,69,142,4,4678,587,1670,2054,1001,199,4677,158,69,2994,73,33,126,50,3010,14,0,0,94,117,13,1,0,1,381,96,94,23,9,28,20,2,0,0,0,0,5.9,39,118,322,37,52,86,8,14
pt Sporting CP,10,15,16.8,113,39,4,5,209,26,4916,5890,2157,2417,2174,2453,445,741,8,11.2,88,334,64,15,359,174,355,159,99,75,70,14,86,157,71,110,81,171,2,7018,781,2545,3236,1294,217,7013,221,93,4486,127,61,186,78,4863,10,1,0,95,150,8,3,1,0,545,109,119,59,11,31,20,1,1,1,0,0,10.3,38,110,330,37,59,118,9,10
rs Red Star,6,6,9.1,83,27,0,0,142,10,1678,2235,731,846,703,879,215,392,5,5.2,63,132,38,13,189,90,189,100,47,42,38,20,49,113,64,89,50,123,4,2954,418,1144,1164,681,135,2954,124,60,1441,56,33,87,53,1664,21,0,0,82,58,17,0,2,1,304,80,80,27,15,45,31,0,2,2,0,0,15.1,30,61,124,16,53,84,1,5
rs TSC,6,6,4.5,44,20,0,0,75,8,1817,2351,747,861,857,1013,179,373,4,1.9,32,108,26,9,144,52,144,70,48,38,28,4,33,74,41,71,50,156,2,2975,515,1325,1259,414,60,2975,45,19,1313,40,9,88,46,1793,13,1,1,74,59,9,0,1,1,261,81,64,46,19,39,21,0,1,1,0,0,14.6,19,64,190,27,45,109,6,3
rs Čukarički,6,2,3.0,43,17,0,0,72,4,1425,1997,576,701,613,766,183,403,2,2.6,32,116,27,10,155,55,154,96,62,56,35,5,50,108,58,68,71,167,2,2722,423,1071,1152,531,77,2722,64,28,1344,37,21,116,47,1416,21,2,1,72,73,9,0,4,0,271,84,100,92,16,37,20,0,4,3,1,0,13.0,47,113,116,13,69,99,8,5
sct Aberdeen,6,10,6.3,52,19,0,0,88,17,1238,1887,480,594,553,727,185,481,7,4.4,36,101,27,7,130,48,129,95,49,50,37,8,57,114,57,60,75,142,0,2574,395,994,1039,572,91,2574,80,33,1168,40,12,78,44,1231,6,0,0,61,67,12,0,2,0,314,78,91,31,10,29,19,1,2,2,0,0,11.0,45,146,161,12,52,104,3,5
sct Celtic,6,5,4.8,45,21,1,1,82,10,2872,3405,1308,1447,1325,1478,197,344,4,3.9,37,159,34,5,225,72,220,86,49,45,31,10,50,107,57,82,45,124,0,4078,524,1633,1776,695,74,4077,117,45,2438,62,10,113,53,2851,16,3,1,51,71,10,1,2,0,269,63,47,36,15,38,21,0,2,0,2,0,13.3,11,30,192,36,52,84,1,1
sct Rangers,8,10,10.8,107,39,0,0,177,15,2893,3805,1119,1315,1372,1623,338,664,8,6.3,78,247,66,19,320,126,317,145,85,72,54,19,80,163,83,107,75,197,1,4815,555,1536,2155,1181,185,4815,186,86,2375,96,28,138,67,2876,19,0,0,98,66,10,0,1,1,455,112,106,30,9,35,27,2,1,1,0,0,9.9,31,102,192,42,73,116,5,7
