Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penaltys Winner,Efficiency,% Saves,% Long Passes,% Crosses Stopped
Jiří Pavlenka,cz CZE,GK,Werder Bremen,31,1992,7,7,630,2.43,5.43,3.0,0.14,0.29,0.29,0.0,0.0,1.87,4.43,12.14,25.29,5.29,9.86,15.57,1.0,1.29,0.0,-0.3,55.25,36.49,6.42
Joe Hart,eng ENG,GK,sct Celtic,36,1987,6,6,540,2.5,6.33,3.5,0.0,0.33,0.0,0.33,0.0,2.22,1.83,5.0,32.0,6.0,8.67,14.0,0.17,0.17,0.33,-0.13,55.29,36.6,1.21
Jonas Omlin,ch SUI,GK,Gladbach,29,1994,7,7,630,2.57,6.71,4.14,0.0,0.29,0.29,0.0,0.0,1.9,4.57,12.86,34.57,5.29,4.86,11.14,1.0,1.71,0.0,-0.35,61.7,35.54,8.98
Jordan Pickford,eng ENG,GK,Everton,29,1994,38,38,3420,1.34,4.34,3.08,0.34,0.21,0.21,0.0,0.0,1.38,9.47,23.71,34.13,3.71,7.18,15.0,0.79,1.42,0.0,0.03,70.97,39.94,5.27
Josep Martinez,es ESP,GK,Genoa,25,1998,36,36,3239,1.19,3.61,2.42,0.22,0.11,0.08,0.03,0.0,1.08,6.31,16.2,34.82,2.97,4.75,16.12,1.25,1.11,0.03,-0.1,67.04,38.95,7.75
Josip Condric,hr CRO,GK,kz Astana FK,29,1993,6,6,540,2.17,6.0,3.83,0.17,0.33,0.33,0.0,0.0,1.55,2.67,16.17,23.17,5.17,9.33,14.0,1.33,0.83,0.0,-0.4,63.83,16.51,9.5
José Sá,pt POR,GK,Wolves,30,1993,35,35,3037,1.72,5.57,3.88,0.12,0.24,0.24,0.0,0.0,1.95,2.58,12.57,24.92,5.63,7.5,15.47,1.33,0.83,0.0,0.12,69.66,20.53,8.6
Juan Musso,ar ARG,GK,it Atalanta,29,1994,23,23,2070,0.87,2.91,2.09,0.48,0.22,0.22,0.0,0.0,0.88,4.83,13.13,26.96,5.48,6.39,9.65,1.0,1.7,0.0,0.01,71.82,36.79,10.36
Julen Agirrezabala,es ESP,GK,Athletic Club,22,2000,4,2,238,1.51,4.54,3.03,0.76,0.0,0.0,0.0,0.0,0.91,6.81,18.53,29.5,7.56,8.32,15.5,0.76,1.13,0.0,-0.66,66.74,36.75,4.9
Julian Faye-Lund,no NOR,GK,no Bodø/Glimt,24,1999,2,2,180,2.5,4.5,2.0,0.0,0.0,0.0,0.0,0.0,1.1,3.0,8.5,24.5,4.5,6.0,14.0,1.5,0.0,0.0,-1.27,44.44,35.29,10.71
Justin Bijlow,nl NED,GK,nl Feyenoord,25,1998,4,4,360,1.75,3.75,2.5,0.0,0.5,0.5,0.0,0.0,1.75,1.5,6.0,41.5,3.5,3.0,7.75,0.25,3.0,0.0,0.0,66.67,25.0,3.23
Jérémy Frick,ch SUI,GK,ch Servette FC,30,1993,10,10,930,1.26,3.68,2.52,0.39,0.0,0.0,0.0,0.0,1.4,8.42,20.9,28.84,3.58,7.84,11.42,0.68,0.97,0.0,0.1,68.48,40.29,5.95
Kacper Tobiasz,pl POL,GK,pl Legia Warsaw,20,2002,6,6,540,1.83,4.0,2.17,0.17,0.0,0.0,0.0,0.0,1.65,2.67,11.17,30.5,3.0,4.67,8.83,0.33,2.83,0.0,-0.11,54.25,23.9,3.74
